expt,physics_ml,physics,ml
-4.72,-4.175026254653931,-3.08,-1.0950263
-3.04,-2.175412584304809,0.8990000000000005,-3.0744126
-4.59,-1.6493663883209226,0.2400000000000002,-1.8893664
-3.82,-4.087756626129151,-8.342,4.2542434
-2.93,-2.6986408615112305,-4.915,2.2163591
-0.98,-1.269159028530121,-0.5100000000000002,-0.759159
-0.74,-1.3049207100868228,-1.7760000000000002,0.4710793
2.89,2.1444268670082094,3.059,-0.91457313
-1.59,-0.48578272545337686,-0.3540000000000001,-0.13178273
-3.75,-3.221950867295265,-3.437,0.21504913
-0.25,-0.5913007707595828,-0.1470000000000002,-0.44430077
-2.82,-2.152263492584228,-1.0439999999999996,-1.1082635
-5.48,-4.429959109306336,-2.5780000000000003,-1.8519591
2.51,2.1782707884311674,2.514,-0.3357292
-0.64,0.24407767677307124,2.819,-2.5749223
-7.5,-6.569868385314942,-12.912,6.3421316
-1.99,-2.441479131698608,-2.022,-0.41947913
-3.64,-3.50656227684021,-3.096,-0.41056228
-4.84,-3.9969926372766493,-3.836,-0.16099264
-5.22,-0.7915255985260008,2.454,-3.2455256
-0.83,-0.8610474061965943,-0.395,-0.4660474
-0.68,-0.19046662092208871,0.3349999999999999,-0.5254666
-3.56,-2.871257588863373,-2.3600000000000003,-0.5112576
-2.49,-2.3399830212593073,-3.0489999999999995,0.709017
-4.93,-4.377636906027794,-4.612,0.2343631
-6.16,-5.1835761728286744,-4.644,-0.5395762
-2.23,-1.5756221342086794,-3.18,1.6043779
-0.53,0.046799723148345684,0.5789999999999997,-0.5322003
-5.1,-4.684965240895748,-4.789,0.10403476
-4.47,-3.6800633502006534,-2.9200000000000004,-0.76006335
-7.17,-6.761485732078553,-4.813000000000001,-1.9484857
0.29,0.2908540782928466,1.031,-0.7401459
-2.78,-2.743640277862549,-6.998,4.2543597
3.43,2.4057242107391357,0.92,1.4857242
-3.15,-4.699215359181165,-4.664,-0.03521536
-5.85,-6.585279513835907,-5.939,-0.6462795
-6.21,-6.959204401016235,-9.289,2.3297956
-5.71,-6.582021409988403,-9.407,2.8249786
-1.14,-1.3826715826988223,-0.6750000000000003,-0.7076716
-2.4,-2.11825594329834,-3.919,1.800744
