expt,physics_ml,physics,ml
-4.72,-4.6379089119338985,-3.13599,-1.5019189
-3.04,-3.5661782751083373,-2.34475,-1.2214283
-4.59,-2.8125938405990603,-1.75525,-1.0573438
-3.82,-3.445856238632202,-5.70653,2.2606738
-2.93,-3.427006206684113,-4.29168,0.8646738
-0.98,-1.1512467380800246,-0.999704,-0.15154274
-0.74,-1.2706481551384925,-1.27761,0.006961845
2.89,1.7418941468811036,2.21496,-0.47306585
-1.59,-1.085025092365265,-0.719727,-0.3652981
-3.75,-3.9243808035516743,-4.06934,0.1449592
-0.25,-0.8293522453365325,-0.471056,-0.35829625
-2.82,-3.1036667011260985,-1.84855,-1.2551167
-5.48,-4.915499011497498,-3.16298,-1.752519
2.51,1.593789961681366,1.94086,-0.34707004
-0.64,-0.5244480697045326,-0.443376,-0.08107207
-7.5,-7.135665876464843,-8.80233,1.6666641
-1.99,-2.6540532771110534,-2.3491,-0.30495328
-3.64,-4.142870286006928,-5.01902,0.8761497
-4.84,-4.382558379811645,-4.40906,0.02650162
-5.22,-3.3445565501403807,-2.18137,-1.1631866
-0.83,-1.4436160696722566,-1.44315,-0.00046606967
-0.68,-0.5929827645788193,-0.835526,0.24254324
-3.56,-2.954576679618359,-2.86147,-0.09310668
-2.49,-3.180260448970795,-3.65004,0.46977955
-4.93,-4.349763510341644,-4.65612,0.3063565
-6.16,-5.986169627113342,-4.45142,-1.5347496
-2.23,-2.397896781234741,-3.55178,1.1538832
-0.53,-0.7754164252220154,-0.0964986,-0.6789178
-5.1,-5.140896562347412,-4.07426,-1.0666366
-4.47,-3.3800981471443174,-3.08674,-0.29335815
-7.17,-7.0622765756034855,-6.12954,-0.9327366
0.29,0.11256524180603023,0.842092,-0.72952676
-2.78,-3.0073252186584476,-4.36373,1.3564048
3.43,4.749590153782368,4.87378,-0.124189846
-3.15,-3.3606895552635194,-3.9786,0.61791044
-5.85,-6.930392171630859,-4.87226,-2.0581322
-6.21,-6.024345383720398,-7.45533,1.4309846
-5.71,-7.312693983955384,-9.16167,1.848976
-1.14,-1.0508275863790513,-1.21859,0.16776241
-2.4,-3.24466295009613,-3.65181,0.40714705
-2.33,-2.419882144241333,-2.13828,-0.28160214
-1.14,-2.4186191744709014,-2.08024,-0.33837917
2.38,1.3402739706993103,1.99285,-0.652576
-5.88,-6.492690840873718,-7.03166,0.53896916
-2.81,-2.9423151873397826,-3.49388,0.5515648
1.77,1.4170560582137108,1.49411,-0.07705394
-6.5,-5.905476091156006,-9.58076,3.675284
-1.62,-1.8791205380325318,-0.783938,-1.0951825
-1.79,-2.1801665026164057,-2.10896,-0.0712065
-6.79,-6.986753083610535,-6.0964,-0.8903531
-1.1,-2.3363073694610597,-1.82824,-0.50806737
-0.9,-1.3867546721601487,-1.62474,0.23798533
-3.41,-3.7766282440900802,-3.92455,0.14792176
-3.52,-3.724200891151428,-4.42939,0.7051891
-1.43,-1.433908746982813,-1.41537,-0.018538747
0.0,-0.08673579343032836,0.166193,-0.2529288
1.47,1.0512630662441254,1.41845,-0.36718693
-2.38,-2.31986019405365,-2.83859,0.5187298
-7.19,-6.671445907020569,-7.9709,1.2994541
2.1,1.2828342086982727,1.86422,-0.5813858
-4.02,-3.2926127580833433,-2.83267,-0.45994276
-3.5,-3.2689695592498778,-4.48506,1.2160904
-4.61,-5.104830933570862,-4.84475,-0.26008093
-2.07,-2.3531439352416994,-2.91204,0.55889606
-0.33,-0.557925769610405,-0.33592,-0.22200577
-0.9,-1.6310647368049622,-1.05546,-0.57560474
