expt,physics_ml,physics,ml
-4.72,-4.167141975045205,-4.198,0.030858025
-3.04,-2.954192350387573,-1.348,-1.6061924
-4.59,-3.0844427013397215,-2.215,-0.8694427
-3.82,-4.721477874755859,-10.084,5.362522
-2.93,-2.5786869182586676,-5.664000000000001,3.085313
-0.98,-0.9075722064971923,-1.884,0.9764278
-0.74,-1.0979235143661499,-2.347,1.2490765
2.89,2.0598999080657956,1.531,0.5288999
-1.59,-1.3291110045909882,-1.157,-0.172111
-3.75,-2.655084566116333,-4.779,2.1239154
-0.25,-0.4850864264965057,-0.941,0.45591357
-2.82,-2.32419566655159,-1.839,-0.48519567
-5.48,-4.167206442356109,-3.6,-0.56720644
2.51,2.025183810710907,1.177,0.8481838
-0.64,0.9971400299072266,0.054,0.94314003
-7.5,-8.335755241394043,-13.788,5.4522448
-1.99,-2.49410258102417,-3.258,0.7638974
-3.64,-3.372103719711303,-4.154999999999999,0.7828963
-4.84,-4.054206872940064,-4.9510000000000005,0.8967931
-5.22,-1.4101951694488526,0.565,-1.9751952
-0.83,-1.0250757532119754,-1.9830000000000003,0.95792425
-0.68,-0.2565948705673218,-1.373,1.1164051
-3.56,-3.3536801910400396,-4.3100000000000005,0.9563198
-2.49,-2.36968532371521,-4.558,2.1883147
-4.93,-4.7362871093750005,-5.8420000000000005,1.1057129
-6.16,-5.591190338611602,-6.337999999999999,0.74680966
-2.23,-1.948433601379394,-4.436999999999999,2.4885664
-0.53,-0.8000166428089142,-0.47,-0.33001664
-5.1,-4.78138130569458,-5.384,0.6026187
-4.47,-3.2349930782318115,-3.952,0.7170069
-7.17,-6.805375505447388,-4.476,-2.3293755
0.29,-0.10828885316848758,-0.53,0.42171115
-2.78,-2.5808029747009273,-7.81,5.229197
3.43,2.983416748046875,-1.05,4.0334167
-3.15,-5.271611136436463,-6.369000000000001,1.0973889
-5.85,-6.765097158670425,-7.212,0.44690284
-6.21,-7.104866119384766,-10.271,3.1661339
-5.71,-7.368279256820678,-10.415,3.0467207
-1.14,-1.2482584648132322,-2.143,0.89474154
-2.4,-3.462988293647766,-4.938,1.4750117
-2.33,-1.914596258878708,-1.618,-0.29659626
-1.14,-1.4081178760528568,-2.2350000000000003,0.8268821
2.38,1.5683732578754426,1.201,0.36737326
-5.88,-8.330777715206146,-9.311,0.9802223
-2.81,-2.619527681350708,-5.633,3.0134723
1.77,0.8529858150482177,-1.971,2.8239858
-6.5,-4.942759380340576,-10.36,5.4172406
-1.62,-1.5259816093444822,-0.4169999999999998,-1.1089816
-1.79,-1.9349736728668212,-2.904,0.9690263
-6.79,-6.756395524501801,-7.431,0.6746045
-1.1,-1.279107708454132,-1.932,0.6528923
-0.9,-1.2456506366729738,-2.462,1.2163494
-3.41,-2.7614705085754396,-4.95,2.1885295
-3.52,-2.939496437072754,-5.341,2.4015036
-1.43,-0.5421077861785888,-1.914,1.3718922
0.0,0.07845682454109193,-0.238,0.31645682
1.47,0.8329317803382874,0.562,0.27093178
-2.38,-2.9504874877929685,-3.643,0.6925125
-7.19,-8.202985202789307,-13.637,5.434015
2.1,1.4524398667812348,1.092,0.36043987
-4.02,-3.6092052867412567,-3.149,-0.4602053
-3.5,-2.356773578643799,-6.937,4.5802264
-4.61,-3.6540115184783932,-5.757,2.1029885
-2.07,-2.215710062026978,-5.094,2.87829
-0.33,-0.15332455444335924,-0.7229999999999999,0.56967545
-0.9,-1.0556409690380097,-1.491,0.43535903
-2.7,-3.5541675901412964,-4.96,1.4058324
1.83,1.7152659788131714,0.8140000000000001,0.901266
0.1,-3.7088910179138175,-8.008,4.299109
-3.9,-3.1979043884277347,-4.517,1.3190956
-6.6,-6.349096898078919,-7.579000000000001,1.2299031
2.0,1.2814686789512635,0.939,0.34246868
-7.0,-9.72391463470459,-13.862,4.1380854
-5.66,-5.519651826858521,-6.384,0.8643482
1.83,1.4732117538452147,0.388,1.0852118
-0.1,-0.19225013852119427,-0.4749999999999998,0.28274986
-0.45,-0.6870050454139704,-1.5649999999999995,0.87799495
3.16,2.242566949605942,2.063,0.17956695
-0.63,-0.18740596246719377,-1.0570000000000002,0.86959404
2.51,1.5969897439479828,1.349,0.24798974
-4.5,-3.912935653567314,-4.069,0.15606435
-3.15,-3.175171758174896,-4.164,0.98882824
-2.56,-1.9232543792724606,-7.209,5.2857456
-5.0,-4.726471666276455,-4.6930000000000005,-0.033471666
2.55,2.1473576741218565,1.933,0.21435767
-2.56,-2.7401498165130613,-5.284,2.5438502
-6.25,-5.71006482219696,-6.356,0.6459352
-5.22,-4.461633030891418,-5.292,0.83036697
-2.92,-2.96966157245636,-4.378,1.4083384
-6.0,-7.99382415008545,-11.502,3.5081758
-4.5,-3.887507607460022,-3.277,-0.6105076
-4.1,-4.698373690605164,-6.191000000000001,1.4926263
-1.45,0.44087931966781624,-0.1639999999999999,0.6048793
-1.93,-2.6110349149703977,-3.897,1.2859651
-1.36,-1.3465997829437257,-2.164,0.8174002
-1.23,-0.6856323251724241,-1.5259999999999998,0.8403677
0.25,-0.5574791579842568,-0.6140000000000001,0.056520842
