expt,physics_ml,physics,ml
-4.72,-4.29129652513504,-5.18839,0.8970935
-3.04,-2.1791538890686035,-0.459959,-1.7191949
-4.59,-2.7951466796478273,-0.0271034,-2.7680433
-3.82,-4.9978211138153075,-7.40799,2.410169
-2.93,-3.350117159309387,-4.61494,1.2648228
-0.98,-0.9489656210374833,-1.03292,0.08395438
-0.74,-1.5894835192489625,-3.15843,1.5689465
2.89,2.3497435313606263,1.81014,0.53960353
-1.59,-0.8209528530311585,-1.07732,0.25636715
-3.75,-3.4420349455356596,-3.77505,0.33301505
-0.25,-0.3343676358032227,-0.71708,0.38271236
-2.82,-2.0103802895641327,-1.56176,-0.4486203
-5.48,-4.627118067369461,-4.36136,-0.26575807
2.51,1.5640276098394394,1.40514,0.15888761
-0.64,0.3571411757087708,1.28346,-0.9263188
-7.5,-6.972995783233642,-10.8339,3.8609042
-1.99,-2.1988350264072416,-2.4254,0.22656497
-3.64,-3.381896660938263,-3.56014,0.17824334
-4.84,-4.064253637971878,-4.16219,0.09793636
-5.22,-2.1768299854888915,0.758061,-2.934891
-0.83,-0.9959331871938706,-1.12182,0.12588681
-0.68,-0.34512532934665685,-0.52897,0.18384467
-3.56,-3.1841555677461626,-3.07073,-0.11342557
-2.49,-2.8419953133773803,-3.53497,0.6929747
-4.93,-4.538640793104172,-4.70552,0.1668792
-6.16,-5.973566959152222,-7.09326,1.119693
-2.23,-2.204649094619751,-3.54854,1.3438909
-0.53,-0.310220468624115,-0.480758,0.17053753
-5.1,-5.2986014610672,-6.24389,0.94528854
-4.47,-4.265210798330307,-4.35282,0.0876092
-7.17,-7.104154306182862,-4.25126,-2.8528943
0.29,0.3994859110975265,0.17009,0.22939591
-2.78,-3.7735629862976072,-5.86792,2.094357
3.43,2.9371965362091066,0.254252,2.6829445
-3.15,-4.579101050281524,-4.9079,0.32879895
-5.85,-7.003932160835266,-8.22223,1.2182978
-6.21,-6.253082584381103,-11.8365,5.5834174
-5.71,-7.055928638076782,-8.60135,1.5454214
-1.14,-1.2505803647136688,-1.29576,0.045179635
-2.4,-3.198978483161926,-4.12996,0.9309815
-2.33,-2.060927817034721,-1.8648,-0.19612782
-1.14,-1.3539455962753295,-2.15556,0.8016144
2.38,1.869075515050888,1.44952,0.41955552
-5.88,-6.572931632070541,-6.77053,0.19759837
-2.81,-2.7209830624389646,-4.20468,1.4836969
1.77,1.39967138287735,0.791322,0.6083494
-6.5,-4.504224061737061,-9.71401,5.209786
-1.62,-0.9386107795715332,0.120075,-1.0586858
-1.79,-2.036289176015854,-2.33928,0.30299082
-6.79,-6.4993285012054445,-7.52273,1.0234015
-1.1,-1.0875287776947022,-1.8681,0.7805712
-0.9,-1.1958467731714248,-1.43665,0.24080323
-3.41,-3.399355790567398,-3.8887,0.4893442
-3.52,-3.6094164540100095,-4.39293,0.78351355
-1.43,-1.5903680760955812,-0.99751,-0.5928581
0.0,0.32875323517131805,0.101348,0.22740524
1.47,1.3319980555820465,1.07213,0.25986806
-2.38,-2.56162200507164,-2.95259,0.390968
-7.19,-7.336197077560424,-10.7518,3.415603
2.1,1.6503199814796448,1.31365,0.33666998
-4.02,-3.183082392244339,-2.79528,-0.3878024
-3.5,-3.891584835662842,-5.56639,1.6748052
-4.61,-4.331829007406235,-4.83052,0.498691
-2.07,-2.1011418757629396,-3.57202,1.4708781
-0.33,-0.1912427786540985,-0.47762,0.28637722
-0.9,-0.7069546766633987,-0.799137,0.09218232
-2.7,-2.9724977878856658,-3.34068,0.3681822
1.83,1.5078709156837462,0.946109,0.5617619
0.1,-0.8366614826202392,-3.94705,3.1103885
-3.9,-3.306217809724808,-3.7048,0.3985822
-6.6,-6.277001175308227,-8.02315,1.7461488
2.0,1.5665577791023255,1.12003,0.44652778
-7.0,-8.869161933135986,-14.5282,5.659038
-5.66,-5.785629588088989,-6.91146,1.1258304
1.83,1.4459846364116669,0.970985,0.47499964
-0.1,0.09482754316520692,-0.133123,0.22795054
-0.45,-0.23172669713020322,-0.52667,0.2949433
3.16,2.7751280878067015,2.51855,0.2565781
-0.63,-0.4716940390300751,-0.812795,0.34110096
2.51,1.7432573335742951,1.62481,0.11844733
-4.5,-4.293343228797912,-5.00348,0.7101368
-3.15,-3.109680685827732,-3.19751,0.087829314
-2.56,-3.421248718795776,-5.48206,2.0608113
-5.0,-4.468536049079895,-5.6162,1.147664
2.55,2.3840385497140884,2.29093,0.09310855
-2.56,-2.96312018863678,-4.24467,1.2815498
-6.25,-5.757738448982239,-6.98088,1.2231416
-5.22,-4.335404274325371,-4.42823,0.092825726
-2.92,-2.9234270215225218,-3.33477,0.41134298
-6.0,-8.012476719589234,-9.76472,1.7522433
-4.5,-4.240999116989136,-0.838771,-3.402228
-4.1,-4.058579478530884,-4.60303,0.5444505
-1.45,-0.33029452177047725,0.526665,-0.8569595
-1.93,-2.3231943081951143,-2.69166,0.3684657
-1.36,-1.3956005156946183,-1.36047,-0.035130516
-1.23,-1.0171318601608277,-0.274275,-0.74285686
0.25,-0.1381378572473526,-0.276351,0.13821314
-2.45,-2.452494643688202,-2.10475,-0.34774464
0.34,0.3026596326818466,0.119949,0.18271063
-5.74,-11.876917714691164,-17.9246,6.0476823
2.88,2.34524464635849,1.77155,0.57369465
-4.52,-4.851196869478226,-5.18411,0.33291313
-2.26,-1.9963153790664672,-3.36217,1.3658546
-5.33,-4.6588889610481266,-5.15847,0.49958104
-0.78,-0.2864956544237137,-0.214983,-0.071512654
1.23,1.3276918678998948,1.45995,-0.13225813
-5.04,-5.795986223688126,-6.16124,0.36525378
-2.22,-2.388003922214508,-2.91149,0.5234861
0.75,0.769602538593769,0.837996,-0.06839346
-4.01,-4.003579769525528,-4.14466,0.14108023
-3.68,-3.5988217430877683,-5.10333,1.5045083
-0.4,-0.369564322148323,-0.532461,0.16289668
-2.4,-2.8484450545215605,-3.18849,0.34004495
-4.78,-4.061498621282578,-4.43881,0.37731138
-3.84,-2.708810168800354,-1.51706,-1.1917502
-3.37,-2.040897586936951,-1.41162,-0.6292776
-4.68,-7.083930802917481,-12.0556,4.971669
-1.24,-1.2080223893547057,-1.92444,0.7164176
-4.39,-3.821942853899002,-4.11972,0.29777715
-1.88,-1.223061416325569,-1.38631,0.16324858
-6.13,-5.622697510528565,-7.28605,1.6633525
-6.13,-6.10712587184906,-7.64695,1.5398241
-6.09,-6.291194743347168,-11.9917,5.7005053
-3.65,-3.6288942436523435,-0.687282,-2.9416122
-3.71,-1.5694447292098999,0.247824,-1.8172687
-4.69,-4.640455434150696,-5.02207,0.38161457
-3.78,-2.8726592266750335,-3.22477,0.35211077
-1.4,-1.1558332223701477,-1.49848,0.34264678
1.16,1.0602595582904817,0.614294,0.44596556
-1.08,-0.6650247346858978,-0.784598,0.119573265
-4.31,-5.958715889663697,-9.77372,3.815004
1.32,1.0862890434417725,0.457816,0.62847304
-6.69,-7.60791243057251,-13.4748,5.8668876
-0.85,-0.7524331250562668,-0.925864,0.17343087
-7.65,-8.323999160242082,-8.7222,0.39820084
-0.9,-1.4906433412265778,-1.75567,0.26502666
2.93,2.704760171661377,2.13476,0.5700002
-2.93,-3.0336678705120086,-3.26924,0.23557213
-4.85,-4.4211925576591495,-5.40434,0.98314744
-5.91,-6.572528622999191,-7.01664,0.44411138
-3.64,-3.1612252150726317,-4.00587,0.8446448
2.88,2.3711234405422212,2.11479,0.25633344
-0.86,-0.8462617016363144,-0.910305,0.0640433
-5.53,-5.382740016174316,-4.4052,-0.97754
-4.95,-4.931885482120514,-4.82255,-0.10933548
0.14,0.6645076120481491,0.701361,-0.036853388
-0.8,-1.0442651792907716,-1.11664,0.07237482
-7.47,-7.253115857162475,-6.17629,-1.0768259
-1.92,-2.53871838760376,-5.8345,3.2957816
-2.01,-1.118743360862732,-1.37636,0.25761664
-3.17,-1.8090994616699219,0.12063,-1.9297295
-6.23,-5.636820376586914,-6.4982,0.8613796
-2.64,-2.515732990026474,-2.89825,0.382517
-4.04,-4.34119530166626,-6.10414,1.7629447
-5.26,-4.729966576271057,-6.42043,1.6904634
-0.11,-0.9711663151550294,-2.31658,1.3454137
-3.12,-1.7297768817949295,-1.51698,-0.21279688
-1.74,-1.9524211803340914,-2.20109,0.24866882
-3.92,-3.38104068860054,-3.46184,0.08079931
-1.21,-0.805187464413643,-1.00181,0.19662254
-4.7,-5.087537569236756,-6.24795,1.1604124
-5.94,-5.569194060592651,-7.69278,2.123586
-4.4,-3.9243973715591434,-4.77228,0.8478826
-2.11,-1.5980812768173216,-2.91517,1.3170887
-3.04,-3.2734008873558045,-3.97811,0.7047091
-4.59,-4.173120614013672,-5.70146,1.5283394
-0.16,-0.0723621375322342,-0.29635,0.22398786
-4.91,-4.320373715553283,-4.61091,0.29053628
-3.28,-2.677603707280159,-2.91009,0.2324863
-2.28,-1.989604450378418,-3.43541,1.4458055
-2.82,-2.4382152178525924,-2.5709,0.13268478
-6.5,-7.241334508247375,-9.19807,1.9567355
-0.1,-0.13238764519596102,-0.297899,0.16551135
-1.24,-1.0023787861537934,-1.35657,0.3541912
-0.19,-1.1555283036346435,-0.574862,-0.5806663
-1.31,-1.5952435565686225,-1.50151,-0.09373356
-2.89,-2.9222686531352995,-2.83423,-0.08803865
-1.66,-1.1964483093881606,-1.15759,-0.03885831
-7.28,-7.198911891021728,-6.20454,-0.9943719
-3.8,-4.381030533447266,-5.39714,1.0161095
-4.7,-4.276015207710266,-4.62444,0.3484248
-3.92,-4.563124359855652,-6.07176,1.5086356
-4.02,-4.42925956123352,-6.62393,2.1946704
-3.64,-3.9864158252716066,-5.5929,1.6064842
-4.15,-2.062830762062073,-0.56341,-1.4994208
-1.24,-1.2551004873371125,-0.91786,-0.3372405
-0.84,-1.0227283286190032,-1.27666,0.25393167
-2.74,-2.9028033088302614,-3.45786,0.5550567
-5.9,-6.281191610641479,-7.32407,1.0428784
1.68,1.334463208782196,0.945712,0.3887512
2.93,2.17296890080452,1.85463,0.3183389
-7.58,-6.298774750823974,-3.68537,-2.6134048
-3.67,-3.1558791750621795,-3.09537,-0.060509175
2.56,2.1212653730106354,1.90077,0.22049537
-4.12,-3.3131843173980715,-3.50505,0.19186568
0.16,-0.1851947590808869,-0.559973,0.37477824
