expt,physics_ml,physics,ml
-4.72,-5.280662536621094,0,-5.2806625
-3.04,-2.1088082790374756,0,-2.1088083
-4.59,-4.568573474884033,0,-4.5685735
-3.82,-4.749940395355225,0,-4.7499404
-2.93,-3.7632761001586914,0,-3.763276
-0.98,-0.4580596685409546,0,-0.45805967
-0.74,-0.8615779876708984,0,-0.861578
2.89,1.8172484636306763,0,1.8172485
-1.59,-1.2007545232772827,0,-1.2007545
-3.75,-4.1382341384887695,0,-4.138234
-0.25,0.3491763472557068,0,0.34917635
-2.82,-2.8546676635742188,0,-2.8546677
-5.48,-5.532756805419922,0,-5.532757
2.51,1.3424291610717773,0,1.3424292
-0.64,0.8446165919303894,0,0.8446166
-7.5,-5.787466049194336,0,-5.787466
-1.99,-1.640370488166809,0,-1.6403705
-3.64,-2.696322202682495,0,-2.6963222
-4.84,-3.736219644546509,0,-3.7362196
-5.22,-4.344173431396484,0,-4.3441734
-0.83,-0.722862958908081,0,-0.72286296
-0.68,-0.03959904611110687,0,-0.039599046
-3.56,-2.161651611328125,0,-2.1616516
-2.49,-2.579094886779785,0,-2.579095
-4.93,-4.394536018371582,0,-4.394536
-6.16,-5.717679500579834,0,-5.7176795
-2.23,-2.558171510696411,0,-2.5581715
-0.53,-1.2310901880264282,0,-1.2310902
-5.1,-4.595361232757568,0,-4.595361
-4.47,-4.780874729156494,0,-4.7808747
-7.17,-4.904760837554932,0,-4.904761
0.29,0.35901325941085815,0,0.35901326
-2.78,-3.550524950027466,0,-3.550525
3.43,2.059511184692383,0,2.0595112
-3.15,-2.1537437438964844,0,-2.1537437
-5.85,-6.133073329925537,0,-6.1330733
-6.21,-4.909315586090088,0,-4.9093156
-5.71,-3.6939728260040283,0,-3.6939728
-1.14,-0.8495908975601196,0,-0.8495909
-2.4,-3.506424903869629,0,-3.506425
-2.33,-1.1602652072906494,0,-1.1602652
-1.14,-1.360089659690857,0,-1.3600897
2.38,2.1815907955169678,0,2.1815908
-5.88,-5.332340717315674,0,-5.3323407
-2.81,-3.087071657180786,0,-3.0870717
1.77,1.740572452545166,0,1.7405725
-6.5,-5.608454704284668,0,-5.6084547
-1.62,-0.7880102396011353,0,-0.78801024
-1.79,-1.3951631784439087,0,-1.3951632
-6.79,-5.987077713012695,0,-5.9870777
-1.1,-1.6717782020568848,0,-1.6717782
-0.9,-0.8264808058738708,0,-0.8264808
-3.41,-3.9013772010803223,0,-3.9013772
-3.52,-3.2205264568328857,0,-3.2205265
-1.43,-1.3481954336166382,0,-1.3481954
0.0,-0.03578951582312584,0,-0.035789516
1.47,1.4160629510879517,0,1.416063
-2.38,-1.1647874116897583,0,-1.1647874
-7.19,-5.396389961242676,0,-5.39639
2.1,1.3316072225570679,0,1.3316072
-4.02,-3.8624184131622314,0,-3.8624184
-3.5,-3.473360538482666,0,-3.4733605
-4.61,-3.9526216983795166,0,-3.9526217
-2.07,-2.9244017601013184,0,-2.9244018
-0.33,-0.7640810012817383,0,-0.764081
-0.9,-0.32238247990608215,0,-0.32238248
-2.7,-1.9985930919647217,0,-1.9985931
1.83,0.4970328211784363,0,0.49703282
0.1,-0.16419470310211182,0,-0.1641947
-3.9,-3.7615115642547607,0,-3.7615116
-6.6,-6.060962200164795,0,-6.060962
2.0,1.098349928855896,0,1.0983499
-7.0,-5.059265613555908,0,-5.0592656
-5.66,-5.978845119476318,0,-5.978845
1.83,1.928594708442688,0,1.9285947
-0.1,-0.0867825299501419,0,-0.08678253
-0.45,-0.18017342686653137,0,-0.18017343
3.16,1.4711703062057495,0,1.4711703
-0.63,-1.18738853931427,0,-1.1873885
2.51,1.9948164224624634,0,1.9948164
-4.5,-5.402717113494873,0,-5.402717
-3.15,-2.863036870956421,0,-2.8630369
-2.56,-3.496189594268799,0,-3.4961896
-5.0,-5.499245643615723,0,-5.4992456
2.55,1.4505425691604614,0,1.4505426
-2.56,-2.832141399383545,0,-2.8321414
-6.25,-6.00798225402832,0,-6.0079823
-5.22,-4.330574989318848,0,-4.330575
-2.92,-3.1858999729156494,0,-3.1859
-6.0,-4.630734443664551,0,-4.6307344
-4.5,-4.362053394317627,0,-4.3620534
-4.1,-5.013881683349609,0,-5.0138817
-1.45,-2.4976561069488525,0,-2.497656
-1.93,-1.2649089097976685,0,-1.2649089
-1.36,-0.8257814645767212,0,-0.82578146
-1.23,-1.1099694967269897,0,-1.1099695
0.25,0.3728650212287903,0,0.37286502
-2.45,-3.3010475635528564,0,-3.3010476
0.34,0.4073539972305298,0,0.407354
-5.74,-5.848017692565918,0,-5.8480177
2.88,1.5484936237335205,0,1.5484936
-4.52,-2.92706561088562,0,-2.9270656
-2.26,-2.4947798252105713,0,-2.4947798
-5.33,-2.8946797847747803,0,-2.8946798
-0.78,-0.3031790256500244,0,-0.30317903
1.23,0.7422969937324524,0,0.742297
-5.04,-4.529226779937744,0,-4.529227
-2.22,-1.7328135967254639,0,-1.7328136
0.75,0.4454329013824463,0,0.4454329
-4.01,-3.9837679862976074,0,-3.983768
-3.68,-3.2163875102996826,0,-3.2163875
-0.4,0.3069053292274475,0,0.30690533
-2.4,-2.007955312728882,0,-2.0079553
-4.78,-4.146355152130127,0,-4.146355
-3.84,-2.5923798084259033,0,-2.5923798
-3.37,-1.9994975328445435,0,-1.9994975
-4.68,-6.013871669769287,0,-6.0138717
