expt,physics_ml,physics,ml
-4.72,-5.004090196609497,-3.232,-1.7720902
-3.04,-3.199266965866089,-1.083,-2.116267
-4.59,-4.512182286262512,-3.953,-0.5591823
-3.82,-4.217849342346192,-5.442,1.2241507
-2.93,-3.4313952971696855,-3.652,0.2206047
-0.98,-1.5886691665649415,-0.11,-1.4786692
-0.74,-1.1277051892280578,-0.609,-0.5187052
2.89,2.620138470649719,2.542,0.07813847
-1.59,-1.8842498226165771,-0.617,-1.2672498
-3.75,-4.19801028394699,-3.344,-0.8540103
-0.25,-0.2141289157867432,0.833,-1.0471289
-2.82,-2.8010489463806154,-1.325,-1.476049
-5.48,-5.663441271781921,-4.345,-1.3184413
2.51,2.139410573005676,2.506,-0.36658943
-0.64,-0.7518390321731567,0.885,-1.636839
-7.5,-7.188576293945312,-10.251,3.0624237
-1.99,-2.1587431993484496,-0.384,-1.7747432
-3.64,-4.061355457782746,-4.573,0.51164454
-4.84,-3.758036595821381,-2.869,-0.8890366
-5.22,-3.6595457401275633,-1.284,-2.3755457
-0.83,-1.5222013921737672,-0.697,-0.8252014
-0.68,-1.082090109348297,-0.456,-0.6260901
-3.56,-4.111255671977997,-3.59,-0.5212557
-2.49,-3.1558872227668764,-2.563,-0.5928872
-4.93,-4.304464881896973,-3.343,-0.9614649
-6.16,-6.210697410583496,-5.148,-1.0626974
-2.23,-2.3158889212608336,-2.929,0.6131111
-0.53,-0.7899166016578674,-0.178,-0.6119166
-5.1,-5.164906207084655,-3.491,-1.6739062
-4.47,-3.817165208339691,-3.288,-0.5291652
-7.17,-7.53419941997528,-6.116,-1.4181994
0.29,-0.11898401689529414,0.553,-0.671984
-2.78,-3.159479382514953,-4.028,0.8685206
3.43,3.3451550681591034,3.077,0.26815507
-3.15,-4.731759855151177,-4.9,0.16824014
-5.85,-6.969715054512024,-5.833,-1.136715
-6.21,-6.174041250228882,-7.878,1.7039587
-5.71,-7.890567572593689,-8.683,0.7924324
-1.14,-1.8854305248260497,-0.473,-1.4124305
-2.4,-3.29343399079144,-3.304,0.010566009
-2.33,-2.674478316307068,-1.275,-1.3994783
-1.14,-1.5511532020568848,-0.395,-1.1561532
2.38,1.8291161918640135,2.59,-0.7608838
-5.88,-7.898890422344207,-8.161,0.26210958
-2.81,-2.7674518382549285,-2.86,0.09254816
1.77,1.1324438605308533,1.691,-0.55855614
-6.5,-4.472667764663696,-7.024,2.5513322
-1.62,-1.6617101802825927,0.136,-1.7977102
-1.79,-1.883697832107544,-0.363,-1.5206978
-6.79,-6.61163857460022,-5.28,-1.3316386
-1.1,-1.4593061990737914,-0.182,-1.2773062
-0.9,-1.6292592668533326,-0.79,-0.83925927
-3.41,-3.934686708450317,-3.05,-0.8846867
-3.52,-3.960564962387085,-3.166,-0.79456496
-1.43,-1.5029889736175537,-0.091,-1.411989
0.0,0.27629985666275014,1.261,-0.98470014
1.47,1.5293518886566164,2.486,-0.9566481
-2.38,-2.6519890575408933,-1.853,-0.79898906
-7.19,-7.180711427688598,-10.466,3.2852886
2.1,1.4051119689941407,2.588,-1.182888
-4.02,-3.544789266586304,-2.075,-1.4697893
-3.5,-3.762354722738266,-3.372,-0.39035472
-4.61,-3.990644591331482,-3.043,-0.9476446
-2.07,-2.244348560333252,-2.336,0.09165144
-0.33,-0.31288986396789553,0.973,-1.2858899
-0.9,-1.4327575831413268,-0.553,-0.8797576
-2.7,-3.012102343916893,-3.143,0.13089766
1.83,1.7348763012886046,2.465,-0.7301237
0.1,-0.47279171323776237,-1.156,0.6832083
-3.9,-4.7401830344200135,-4.003,-0.73718303
-6.6,-6.70660720539093,-5.707,-0.9996072
2.0,1.3961240005493165,2.495,-1.098876
-7.0,-8.47980511856079,-10.857,2.377195
-5.66,-5.626229041099548,-4.768,-0.85822904
1.83,1.6432485361099243,2.452,-0.80875146
-0.1,-0.006496182441711351,1.084,-1.0904962
-0.45,-0.8212300252914428,-0.22,-0.60123
3.16,2.56912823677063,3.335,-0.76587176
-0.63,-0.6283753871917724,0.775,-1.4033754
2.51,1.734383249759674,2.613,-0.87861675
-4.5,-4.355409507751465,-3.13,-1.2254095
-3.15,-3.741749123811722,-4.198,0.45625088
-2.56,-2.9264907999038696,-3.867,0.9405092
-5.0,-4.919049209594727,-3.394,-1.5250492
2.55,2.022911208629608,2.381,-0.3580888
-2.56,-3.104108498811722,-3.492,0.3878915
-6.25,-6.075190410137177,-5.272,-0.8031904
-5.22,-4.22714963054657,-3.201,-1.0261496
-2.92,-3.545676950454712,-2.704,-0.84167695
-6.0,-6.022696712970734,-6.716,0.6933033
-4.5,-4.348264676094056,-3.156,-1.1922647
-4.1,-4.140113020420074,-3.238,-0.902113
-1.45,-1.9757504978179932,-0.379,-1.5967505
-1.93,-2.5473097128868103,-1.742,-0.8053097
-1.36,-2.0066556005477905,-0.553,-1.4536556
-1.23,-1.2425049695968629,0.059,-1.301505
0.25,-0.675828854560852,1.108,-1.7838289
-2.45,-2.1793797013759613,-1.956,-0.2233797
0.34,0.28030944871902475,1.223,-0.94269055
-5.74,-12.493639125823975,-16.515,4.021361
2.88,2.329041521310806,2.686,-0.35695848
-4.52,-5.894847013950348,-6.79,0.895153
-2.26,-1.9693230869770049,-2.219,0.24967691
-5.33,-4.374818705320358,-4.055,-0.3198187
-0.78,-1.3946559181213378,0.326,-1.7206559
1.23,0.8791193752288817,1.503,-0.6238806
-5.04,-5.813583220243454,-5.495,-0.31858322
-2.22,-2.647371820449829,-2.254,-0.39337182
0.75,1.8153608894348143,2.485,-0.6696391
-4.01,-4.190481822013854,-2.767,-1.4234818
-3.68,-3.696919713497162,-3.123,-0.5739197
-0.4,-0.522432131767273,0.705,-1.2274321
-2.4,-3.0754185025691987,-3.213,0.1375815
-4.78,-4.6306933178901675,-4.014,-0.6166933
-3.84,-4.427653226852417,-2.66,-1.7676532
-3.37,-3.880542197227478,-2.54,-1.3405422
-4.68,-7.747336730003356,-8.809,1.0616633
-1.24,-1.9612460045814515,-1.078,-0.883246
-4.39,-4.224028654098511,-2.945,-1.2790287
-1.88,-1.9909830009937286,-1.835,-0.155983
-6.13,-6.150222530841828,-5.453,-0.69722253
-6.13,-6.361440721988678,-5.579,-0.7824407
-6.09,-7.236945766448974,-8.844,1.6070542
-3.65,-3.6660410957336427,-2.233,-1.4330411
-3.71,-3.979993799209595,-1.878,-2.1019938
-4.69,-4.238964183807373,-3.508,-0.7309642
-3.78,-4.385649944186211,-4.304,-0.081649944
-1.4,-1.0266010489463806,-0.359,-0.66760105
1.16,1.161551453590393,2.327,-1.1654485
-1.08,-1.5681402349472047,0.285,-1.8531402
-4.31,-4.713659569263458,-3.809,-0.90465957
1.32,0.9585297613143919,2.328,-1.3694702
-6.69,-6.541680019855499,-7.281,0.73932
-0.85,-1.4527614936828614,-0.761,-0.6917615
-7.65,-7.940394117355346,-10.552,2.611606
-0.9,-1.4001146016120911,-0.806,-0.5941146
2.93,2.9932149939984085,2.97,0.023214994
-2.93,-3.567725195646286,-3.221,-0.3467252
-4.85,-5.092373328208923,-3.33,-1.7623733
-5.91,-5.88777268075943,-5.014,-0.8737727
-3.64,-3.8465367755889894,-2.446,-1.4005368
2.88,2.3086472754478455,3.088,-0.7793527
-0.86,-1.6111106705665588,-0.795,-0.8161107
-5.53,-5.624351304769516,-5.325,-0.2993513
-4.95,-5.371209265947342,-5.646,0.27479073
0.14,0.1641445636749268,1.175,-1.0108554
-0.8,-1.308307297706604,-0.658,-0.6503073
-7.47,-7.838997760295868,-8.003,0.16400224
-1.92,-2.8047009840011596,-3.964,1.159299
-2.01,-1.5477092213630677,-0.657,-0.8907092
-3.17,-2.9724244804382325,-0.822,-2.1504245
-6.23,-6.175772705554962,-5.378,-0.7977727
-2.64,-3.044712580680847,-2.364,-0.6807126
-4.04,-4.686811431884766,-5.559,0.87218857
-5.26,-4.8982066173553465,-4.127,-0.7712066
-0.11,-0.3738823642730713,0.226,-0.59988236
-3.12,-2.9597428884506227,-1.809,-1.1507429
-1.74,-2.4903486557006835,-1.057,-1.4333487
-3.92,-3.3451259293556213,-2.779,-0.5661259
-1.21,-1.8542908864021301,-0.883,-0.9712909
-4.7,-5.394914153814316,-4.91,-0.48491415
-5.94,-5.360828824996949,-4.746,-0.6148288
-4.4,-4.57921028137207,-3.0,-1.5792103
-2.11,-1.612557471752167,-2.176,0.5634425
-3.04,-3.5644021701812743,-2.945,-0.61940217
-4.59,-3.997981209039688,-3.638,-0.3599812
-0.16,-0.22055867385864258,0.993,-1.2135587
-4.91,-4.732836775779724,-4.18,-0.5528368
-3.28,-2.879721326828003,-1.795,-1.0847213
-2.28,-2.2126880207061768,-2.754,0.541312
