expt,physics_ml,physics,ml
-4.72,-4.350227463264465,-3.22227,-1.1279575
-3.04,-3.199377000541687,-2.11372,-1.085657
-4.59,-2.8607368029022218,-0.447715,-2.4130218
-3.82,-4.713647390441895,-6.57758,1.8639326
-2.93,-3.2482429780864717,-3.66474,0.41649702
-0.98,-1.632685094051361,-1.45543,-0.1772551
-0.74,-0.5577138206100464,0.116715,-0.6744288
2.89,2.434995850343704,2.25602,0.17897585
-1.59,-1.1765907782535554,-0.907798,-0.26879278
-3.75,-3.212784547843933,-2.45829,-0.75449455
-0.25,-0.45703129207229615,-0.333791,-0.12324029
-2.82,-3.1212970458412173,-2.20814,-0.91315705
-5.48,-5.319278502502442,-2.99454,-2.3247385
2.51,1.4930290651988982,1.90732,-0.41429093
-0.64,1.0935105730021,1.07819,0.015320573
-7.5,-7.2089074546813965,-11.5907,4.3817925
-1.99,-2.6516763576591016,-2.59119,-0.060486358
-3.64,-3.6733187575531003,-1.97427,-1.6990488
-4.84,-4.5876167063045505,-4.24443,-0.3431867
-5.22,-2.6297417999191284,-0.845567,-1.7841748
-0.83,-1.2038128636455536,-0.78156,-0.42225286
-0.68,-0.5732903898506164,-0.174978,-0.3983124
-3.56,-4.215165983352661,-4.87666,0.661494
-2.49,-2.4867448856067655,-2.04742,-0.4393249
-4.93,-4.910427641067505,-4.83966,-0.07076764
-6.16,-5.645120403823853,-5.22681,-0.4183104
-2.23,-2.4120008029413222,-2.60682,0.1948192
-0.53,-0.9430785781402589,-0.328502,-0.6145766
-5.1,-5.022946705417633,-4.24733,-0.7756167
-4.47,-3.769812329444885,-3.01116,-0.7586523
-7.17,-6.919740371284485,-5.51506,-1.4046804
0.29,0.3937914793672561,0.587594,-0.19380252
-2.78,-3.5440825267791745,-4.6221,1.0780175
3.43,3.742206755094528,3.87818,-0.13597324
-3.15,-5.022877328910828,-6.23754,1.2146627
-5.85,-6.7085989060974125,-6.02331,-0.6852889
-6.21,-5.216690069885255,-8.16397,2.94728
-5.71,-6.720612925510406,-7.41548,0.6948671
-1.14,-1.5936736856269837,-1.37383,-0.21984369
-2.4,-2.892582117547989,-3.03474,0.14215788
-2.33,-1.5574406607589721,-0.656971,-0.90046966
-1.14,-1.2712600187454224,-0.168841,-1.102419
2.38,1.8630827583515643,1.92139,-0.05830724
-5.88,-6.952461487092972,-7.25704,0.3045785
-2.81,-2.681902393360138,-2.60627,-0.07563239
1.77,2.0793909791278837,2.14558,-0.06618902
-6.5,-5.043792185592652,-8.7748,3.7310078
-1.62,-1.3119650749931335,-0.702526,-0.6094391
-1.79,-1.9961100161075591,-2.24375,0.24763998
-6.79,-6.231484475383758,-5.55451,-0.6769745
-1.1,-1.2306405890274048,0.13347,-1.3641106
-0.9,-1.3241727063941955,-1.10628,-0.2178927
-3.41,-3.051188469057083,-2.60413,-0.44705847
-3.52,-3.308088881044388,-2.92428,-0.38380888
-1.43,-1.5133649682331085,-1.25393,-0.25943497
0.0,0.4175362981071472,0.494274,-0.0767377
1.47,1.1854657800006867,1.58098,-0.39551422
-2.38,-2.4680897601413725,-2.19608,-0.27200976
-7.19,-6.765082704162598,-11.0791,4.3140173
2.1,1.5058119314861298,1.77912,-0.27330807
-4.02,-4.096414059295654,-3.53689,-0.55952406
-3.5,-3.6442236991977692,-3.82261,0.1783863
-4.61,-4.2038785435485835,-3.38543,-0.81844854
-2.07,-2.0268080753326414,-1.9494,-0.077408075
-0.33,-0.23441289604377746,-0.111232,-0.123180896
-0.9,-0.9768826968307496,-0.454687,-0.5221957
-2.7,-3.3660104319524766,-3.21382,-0.15219043
1.83,1.4396784379291534,1.41048,0.029198438
0.1,-0.084927111787796,-0.295295,0.21036789
-3.9,-3.3762845593261717,-2.54708,-0.82920456
-6.6,-6.275415158305168,-6.11241,-0.16300516
2.0,1.3282124133205413,1.58001,-0.2517976
-7.0,-7.826425745010376,-10.9895,3.1630743
-5.66,-5.240598461403847,-5.03739,-0.20320846
1.83,1.5472814505815506,1.48245,0.06483145
-0.1,0.16554205781841277,0.237144,-0.07160194
-0.45,-0.22363195043063164,-0.175011,-0.04862095
3.16,2.6874476859378813,3.02248,-0.3350323
-0.63,-0.4624812181613445,-0.452146,-0.010335218
2.51,1.9937883949422837,2.09389,-0.100101605
-4.5,-3.6670940754318235,-3.06674,-0.6003541
-3.15,-3.4145392120170595,-3.33028,-0.08425921
-2.56,-2.9580045341873165,-4.23319,1.2751855
-5.0,-4.756631039009094,-3.71136,-1.045271
2.55,1.7528183954429628,2.63282,-0.8800016
-2.56,-2.8897982599163057,-3.25219,0.36239174
-6.25,-5.3559367458057405,-5.03392,-0.32201675
-5.22,-4.650704048147202,-4.53999,-0.11071405
-2.92,-2.857773646697998,-2.03486,-0.82291365
-6.0,-7.169456839141846,-8.46006,1.2906032
-4.5,-3.911265573883057,-1.1554,-2.7558656
-4.1,-4.022150370903015,-5.42207,1.3999196
-1.45,-1.0445921065597534,-0.198253,-0.8463391
-1.93,-2.672970023984909,-2.59937,-0.073600024
-1.36,-1.976473606772423,-1.79157,-0.1849036
-1.23,-0.8242242907238007,-0.64337,-0.18085429
0.25,-0.22425239483356474,-0.30804,0.083787605
-2.45,-2.0645261709976195,-2.42453,0.36000383
0.34,0.5654081307601928,1.16712,-0.60171187
-5.74,-11.352465446472168,-15.6455,4.2930346
2.88,1.8570692405986784,2.27878,-0.42171076
-4.52,-5.81367305975914,-5.89031,0.07663694
-2.26,-2.295639160809517,-2.43606,0.14042084
-5.33,-5.06403632434845,-5.53734,0.47330368
-0.78,-1.1893465336093902,-0.872876,-0.31647053
1.23,1.4361008130836488,1.72768,-0.2915792
-5.04,-5.1476667811203,-6.36168,1.2140132
-2.22,-2.7135166279125214,-3.02813,0.31461337
0.75,0.873496783285141,1.24953,-0.37603322
-4.01,-4.582335019989014,-4.48067,-0.10166502
-3.68,-3.4576623826777935,-3.42936,-0.028302383
-0.4,-0.11280830488586424,0.501321,-0.6141293
-2.4,-3.279559936542511,-3.16852,-0.11103994
-4.78,-4.396989971551895,-4.12816,-0.26882997
-3.84,-4.11655775135994,-3.61894,-0.49761775
-3.37,-3.939505504131317,-3.62975,-0.3097555
-4.68,-7.301597419166566,-8.8229,1.5213026
-1.24,-1.5426926844537259,-1.55695,0.014257316
-4.39,-4.4419853874206545,-2.54335,-1.8986354
-1.88,-1.856444526901245,-2.38699,0.5305455
-6.13,-6.091472299919128,-5.37761,-0.7138623
-6.13,-6.401606860961914,-5.73784,-0.66376686
-6.09,-5.662600171051025,-8.48621,2.8236098
-3.65,-2.859601783447266,-1.38743,-1.4721718
-3.71,-3.2741064516830445,-1.88443,-1.3896765
-4.69,-5.44202781686306,-5.19547,-0.24655782
-3.78,-3.518375196170807,-3.33095,-0.1874252
-1.4,-1.1119559519176483,-0.814638,-0.29731795
1.16,0.745183347043991,1.11506,-0.36987665
-1.08,-1.157170821668625,-0.824977,-0.33219382
-4.31,-4.851058327302932,-4.62461,-0.22644833
1.32,1.030177352955103,0.979696,0.050481353
-6.69,-6.529322274246216,-9.75254,3.2232177
-0.85,-0.7713007926998139,-0.611056,-0.1602448
-7.65,-7.747933322143554,-10.5162,2.7682667
-0.9,-1.7043438740444183,-1.42557,-0.27877387
2.93,3.0122972021961214,2.67309,0.3392072
-2.93,-3.092343078331947,-3.25283,0.16048692
-4.85,-4.632390094947815,-3.44245,-1.1899401
-5.91,-5.747846590042114,-5.0985,-0.6493466
-3.64,-3.0708232087707517,-1.99121,-1.0796132
2.88,2.2832661821937563,2.60951,-0.32624382
-0.86,-1.1098581743164062,-0.601092,-0.5087662
-5.53,-5.274980814409256,-5.0237,-0.2512808
-4.95,-5.918580083274842,-7.45565,1.5370699
0.14,0.6870108410358429,0.9559,-0.26888916
-0.8,-1.2161209126300812,-0.783307,-0.4328139
-7.47,-7.307505773701668,-7.11554,-0.19196577
-1.92,-2.489709306278229,-3.26379,0.7740807
-2.01,-1.8960151858901977,-1.13631,-0.7597052
-3.17,-3.0132333687591553,-1.68438,-1.3288534
-6.23,-6.083246223869324,-6.69444,0.6111938
-2.64,-2.487908006668091,-1.58225,-0.905658
-4.04,-3.7335190464019776,-6.64135,2.907831
-5.26,-5.080347580008507,-5.20993,0.12958242
-0.11,-0.15510667888832091,0.315228,-0.47033468
-3.12,-2.178286604728699,-1.45809,-0.7201966
-1.74,-0.8785801487522125,-0.463833,-0.41474715
-3.92,-2.671641398887634,-2.14173,-0.5299114
-1.21,-1.1396537809181213,-0.721355,-0.41829878
-4.7,-5.0293948911798,-5.08732,0.05792511
-5.94,-5.933633347616196,-6.28411,0.35047665
-4.4,-3.9064692651367188,-2.81291,-1.0935593
-2.11,-2.0364031108570098,-2.15562,0.11921689
-3.04,-2.9406948536396027,-2.4956,-0.44509485
-4.59,-4.449033025245667,-6.06873,1.619697
-0.16,-0.028815662837982176,0.078599,-0.10741466
-4.91,-4.394268374061585,-3.19085,-1.2034184
-3.28,-4.580352563362121,-3.10348,-1.4768726
-2.28,-2.3993922662878036,-2.54764,0.14824773
-2.82,-2.7045829915094375,-2.56703,-0.13755299
-6.5,-6.692470565109253,-7.70803,1.0155594
-0.1,0.12630686109161382,0.740226,-0.61391914
-1.24,-1.1592671711254119,-1.00473,-0.15453717
-0.19,-1.0744512717666626,-0.574444,-0.5000073
-1.31,-1.0969905091381074,-1.38311,0.2861195
-2.89,-2.5685923398685455,-2.31487,-0.25372234
-1.66,-1.8232042061710358,-2.12569,0.3024858
-7.28,-7.3424443798017505,-7.15087,-0.19157438
-3.8,-3.9403243708276747,-3.77384,-0.16648437
-4.7,-4.4589214857482915,-3.22784,-1.2310815
-3.92,-4.320691501998901,-5.5199,1.1992085
-4.02,-4.008749811019897,-5.31384,1.3050902
-3.64,-3.8042530570983883,-5.05235,1.248097
-4.15,-3.588778223991394,-2.59,-0.9987782
-1.24,-1.81746002117157,-1.59966,-0.21780002
-0.84,-1.196714770487547,-1.14971,-0.04700477
-2.74,-2.684823150959015,-2.11109,-0.57373315
-5.9,-5.673788561797142,-5.4481,-0.22568856
1.68,1.554105729970932,1.46041,0.09369573
2.93,2.3013687575113773,2.34462,-0.043251242
-7.58,-7.281807047729492,-5.11088,-2.170927
-3.67,-4.762856979541779,-5.00793,0.24507302
2.56,2.1071526325321197,2.41431,-0.30715737
-4.12,-3.8243661499023434,-4.6225,0.79813385
0.16,-0.08609666810703279,-0.216707,0.13061033
-4.39,-5.455744758138657,-5.64226,0.18651524
