expt,physics_ml,physics,ml
-3.82,-3.7660632057189947,-8.342,4.575937
-2.93,-2.5614402675628662,-4.915,2.3535597
-0.98,-1.1721594429016116,-0.5100000000000002,-0.66215944
-0.74,-0.5262830028533938,-1.7760000000000002,1.249717
-1.59,-0.8804853239059449,-0.3540000000000001,-0.5264853
-3.75,-3.134108596563339,-3.437,0.3028914
-4.55,-4.514983080387116,-3.886,-0.6289831
-2.73,-1.9657993718385698,-2.164,0.19820063
-0.53,-0.15846134996414207,-1.1310000000000002,0.97253865
-0.25,-0.6016809792518618,-0.1470000000000002,-0.45468098
-5.48,-3.9969118146896365,-2.5780000000000003,-1.4189118
2.51,2.491591335773468,2.514,-0.022408664
-0.64,1.1975037994384765,2.819,-1.6214962
-0.83,0.45316960048675536,1.117,-0.6638304
-6.88,-5.544550921440125,-7.502000000000001,1.9574491
-3.64,-3.6711424431800843,-3.096,-0.57514244
-4.84,-4.371253822803498,-3.836,-0.5352538
-5.22,-1.5545511207580565,2.454,-4.008551
-9.01,-8.032823559761049,-8.097000000000001,0.06417644
-0.83,-1.0121447038650513,-0.395,-0.6171447
-0.68,-0.29753724575042734,0.3349999999999999,-0.63253725
-3.56,-3.3639616823196414,-2.3600000000000003,-1.0039617
-4.93,-5.246945809841156,-4.612,-0.6349458
-8.42,-10.402460037231446,-15.736,5.33354
-6.16,-5.104220962762833,-4.644,-0.46022096
-2.23,-1.5173929262161256,-3.18,1.6626071
-0.53,-0.20377474641799953,0.5789999999999997,-0.78277475
-4.47,-3.080766586661339,-2.9200000000000004,-0.16076659
-7.17,-7.227278507232667,-4.813000000000001,-2.4142785
-2.78,-2.792304370880127,-6.998,4.2056956
3.43,2.82948486328125,0.92,1.9094849
-11.0,-11.211238039970398,-13.089,1.877762
-6.21,-6.19739409828186,-9.289,3.091606
-5.71,-6.408406908035278,-9.407,2.998593
-5.26,-4.800585563421249,-4.414,-0.38658556
-1.14,-1.4472267508506778,-0.6750000000000003,-0.77222675
-2.4,-2.6655124130249024,-3.919,1.2534876
-2.33,-1.7787731647491452,-0.5999999999999996,-1.1787732
2.38,1.8553841719627382,2.551,-0.6956158
-6.5,-6.204156887054442,-10.986999999999998,4.782843
-1.62,-1.9392898254394528,1.2070000000000003,-3.1462898
-6.79,-5.51916053211689,-5.371,-0.14816053
-1.1,-1.8367089028358459,-1.162,-0.6747089
-0.9,-1.391617419719696,-0.815,-0.5766174
-3.52,-3.7094236936569214,-4.359,0.6495763
-1.43,-1.3034298362731933,-0.0689999999999999,-1.2344298
0.0,0.3542308106422425,1.064,-0.7097692
1.47,1.3608474092483522,2.083,-0.7221526
-4.62,-3.2292816925048826,-2.405,-0.8242817
-2.38,-2.424956345319748,-2.106,-0.31895635
2.1,1.63585502910614,2.348,-0.712145
-9.73,-11.384458030700683,-13.664,2.279542
-9.34,-7.690648246765137,-5.351,-2.3396482
-10.0,-8.316620839118958,-9.663,1.3463792
-3.5,-3.649448682785035,-6.277000000000001,2.6275513
-4.61,-3.9912955360412603,-4.9830000000000005,0.99170446
-2.07,-1.4400967912673952,-3.333,1.8929032
-0.33,-0.3544736876487731,0.1360000000000001,-0.4904737
-0.9,-1.0412639465332032,0.0409999999999999,-1.082264
-2.7,-2.5177554211616515,-3.021,0.5032446
1.83,1.8996892666816712,1.76,0.13968927
-3.9,-3.014363972306252,-3.2510000000000003,0.23663603
-1.5,-0.9494882557392117,-0.4909999999999996,-0.45848826
-6.6,-6.098110357254743,-6.148,0.049889643
2.0,1.344987121105194,2.053,-0.7080129
-7.0,-7.85631563949585,-12.178,4.3216844
-10.78,-15.605510208129882,-20.947,5.34149
-0.46,-1.0649885535240173,-1.375,0.31001145
-10.17,-10.261719599127769,-10.456,0.1942804
-2.75,-3.237082046508789,-6.869,3.631918
3.16,3.2872609705924987,4.122,-0.834739
-10.21,-8.36810364151001,-13.469,5.1008964
-4.42,-5.412987608134746,-5.502,0.08901239
-2.56,-1.8163906211853025,-6.337,4.5206094
-9.51,-9.512740098953246,-11.187,1.6742599
-5.0,-4.080348274946212,-3.754,-0.32634827
-14.21,-13.007986499786375,-15.301999999999998,2.2940135
2.55,2.621690915107727,3.698,-1.0763091
-2.56,-2.8470681085586556,-4.239000000000001,1.3919319
-2.64,-3.0451529197692864,-4.667999999999999,1.6228471
-5.22,-4.744536354064942,-4.1770000000000005,-0.56753635
-2.92,-2.2765454864501953,-2.835,0.5584545
-4.5,-3.648648229598999,-0.891,-2.7576482
-1.66,-1.3200236024856569,-0.6440000000000001,-0.6760236
-11.85,-11.319294414520265,-13.96,2.6407056
-4.1,-4.549145228862763,-5.445,0.8958548
-7.66,-7.3232682347893725,-7.261000000000001,-0.062268235
-1.93,-2.3251817412376403,-2.432,0.10681826
-3.28,-3.452870703220368,-4.063000000000001,0.6101293
-1.36,-1.542174780845642,-0.863,-0.6791748
-1.23,-0.5898277702331542,0.931,-1.5208278
0.25,-0.7306717414855957,0.298,-1.0286717
-2.45,-1.3218118925094604,-2.077,0.7551881
0.34,0.7666682701110841,1.723,-0.95633173
-5.74,-14.834633975982666,-20.831,5.996366
2.88,2.0097147579193115,3.012,-1.0022852
-4.52,-4.252555140018464,-4.746,0.49344486
-2.26,-1.556278257369995,-3.155,1.5987217
2.56,2.704329033136368,2.939,-0.23467097
-5.33,-4.277786876201629,-4.789,0.5112131
-9.65,-9.013304159402848,-9.316,0.30269584
-0.78,-0.6062836160659786,0.6010000000000004,-1.2072836
1.23,1.2132215137481688,2.562,-1.3487785
-5.04,-6.005119684219361,-6.2780000000000005,0.27288032
-9.8,-8.737544648647308,-7.93,-0.80754465
-18.72,-18.271093494415283,-20.982,2.7109065
-10.64,-9.001200212478638,-8.464,-0.5372002
-2.22,-1.9675923006534575,-2.433,0.4654077
0.75,0.38210716915130605,1.632,-1.2498928
-4.01,-4.191938264727593,-3.986,-0.20593826
-3.68,-3.224512783050537,-5.516,2.2914872
-0.4,-0.18087111616134655,0.7509999999999999,-0.9318711
-3.37,-1.854825256347656,-0.1479999999999997,-1.7068253
-1.24,-1.1744959266185755,-1.4969999999999994,0.32250407
-4.39,-2.982204418182373,-2.105,-0.8772044
-9.94,-8.284245040893556,-12.553,4.268755
-6.13,-5.787075041294098,-5.236,-0.55107504
-6.13,-6.371563775539398,-5.67,-0.7015638
-6.09,-6.276389541625976,-9.69,3.4136105
-3.71,-1.7771196136474607,2.099,-3.8761196
-4.69,-4.478407377719879,-5.032,0.5535926
-3.78,-2.4805989872217173,-2.5729999999999995,0.09240101
-1.4,-0.6350978581905364,-1.053,0.41790214
1.16,0.850986020565033,1.455,-0.604014
-1.08,-0.8063731136322021,-0.0689999999999999,-0.7373731
-4.31,-5.108493593215941,-7.677999999999999,2.5695064
-6.69,-7.888354721069335,-11.94,4.0516453
-0.85,-0.600295228481293,-0.0820000000000003,-0.5182952
-7.65,-8.637524175643922,-9.675,1.0374758
-0.9,-0.7026514234542844,-1.2439999999999998,0.5413486
2.93,2.511871738910675,3.508,-0.99612826
-2.93,-3.246086410403252,-3.357,0.11091359
-11.14,-9.727796283721922,-12.390999999999998,2.6632037
-4.85,-3.9812496962547304,-3.394,-0.5872497
-5.91,-5.347090414524079,-4.541,-0.8060904
-3.64,-2.3560148305892943,-1.332,-1.0240148
2.88,2.786762512683868,3.526,-0.7392375
-4.91,-5.584349511623382,-4.861,-0.7233495
-0.86,-0.9370040531158446,-0.0619999999999998,-0.87500405
-5.53,-5.304776196479797,-4.755,-0.5497762
-9.41,-10.771866054534913,-12.345,1.573134
-4.95,-4.727893116831779,-4.880999999999999,0.15310688
0.14,0.7718666677474975,1.638,-0.86613333
-7.78,-9.364290243148803,-11.556,2.1917098
-1.92,-3.640432495117188,-6.219,2.5785675
-2.01,-1.4114540657997132,-0.7210000000000001,-0.69045407
-3.17,-2.102693929672241,1.86,-3.962694
-6.23,-4.387211582660675,-3.46,-0.9272116
-2.64,-1.6729296054840086,-2.159,0.4860704
-4.04,-3.957824691772461,-5.059,1.1011753
-0.11,-0.9116324825286863,-2.542,1.6303675
-16.92,-18.27682085418701,-21.404,3.1271791
-3.88,-2.6072205805778506,-1.6150000000000002,-0.9922206
-3.12,-1.9807160444259644,-0.907,-1.073716
-1.74,-1.1677336906194682,-1.3129999999999995,0.14526631
-3.92,-2.791071992874145,-1.656,-1.135072
-1.21,-0.7434973940849305,-0.1360000000000001,-0.6074974
-4.7,-5.66664916753769,-6.505000000000001,0.83835083
-5.94,-5.3472429785728455,-5.766,0.41875702
-0.23,-0.145904794692993,0.5590000000000002,-0.7049048
-2.11,-1.2504558343887329,-2.452,1.2015442
-4.09,-2.8385174288749697,-1.889,-0.9495174
-8.11,-7.4502691080570225,-7.174,-0.2762691
-4.91,-4.162987732648849,-4.606,0.44301227
-3.28,-2.629003160715103,-2.187,-0.44200316
-2.28,-1.4816695079803477,-3.136000000000001,1.6543305
2.06,2.3775058979988097,3.037,-0.6594941
-2.82,-2.4007211718559267,-1.841,-0.5597212
-1.24,-0.5570489310026172,-0.7430000000000003,0.18595107
-0.19,-1.0193814458847048,0.2559999999999998,-1.2753814
-2.89,-3.1289948163032535,-2.6060000000000003,-0.5229948
-8.84,-8.084844060659409,-7.702,-0.38284406
-1.66,-1.4192895336151126,-0.4170000000000002,-1.0022895
-7.28,-6.853767575144767,-6.741999999999999,-0.111767575
-4.7,-4.058297788619996,-4.7620000000000005,0.7037022
-3.92,-4.203058713912963,-6.568999999999999,2.3659413
-4.02,-4.110481496810914,-7.296000000000001,3.1855185
-3.64,-3.371819526672363,-5.882,2.5101805
-4.15,-2.860406970977783,0.9000000000000004,-3.760407
-1.24,-2.151174266815185,-0.2329999999999996,-1.9181743
-3.13,-3.4712855110168466,-5.976000000000001,2.5047145
-0.84,-1.2342447357177737,-0.8080000000000003,-0.42624474
-2.74,-1.6853315372467041,-2.677,0.99166846
-5.9,-5.336721685171128,-5.009,-0.3277217
1.68,1.1867390155792235,1.7999999999999998,-0.613261
2.93,2.401007457256317,3.133,-0.73199254
-3.67,-3.490002453327179,-2.5,-0.99000245
2.56,2.4281884169578554,3.16,-0.7318116
-9.29,-8.486972054004669,-9.196,0.70902795
-7.48,-7.597627828359604,-7.179,-0.41862783
-1.34,-2.4172098007202147,0.7410000000000001,-3.1582098
0.16,-0.2916118550300597,0.2450000000000001,-0.53661186
-4.63,-4.049771696567536,-4.2940000000000005,0.2442283
-4.39,-5.471119372844696,-5.155,-0.31611937
3.13,3.0100515170097353,3.817,-0.8069485
-6.79,-6.247255144119263,-5.0600000000000005,-1.1872551
-4.97,-7.590903066635132,-10.849,3.258097
-1.17,-1.374505351781845,-1.23,-0.14450535
-2.78,-2.380125889778138,-2.6350000000000007,0.2548741
-1.39,-1.4047211670875548,-0.7149999999999999,-0.68972117
-0.11,1.0193837890624997,-0.4490000000000003,1.4683838
-4.59,-3.3962940841913225,-3.575,0.17870592
-23.62,-25.248529956817627,-22.823,-2.42553
-4.23,-4.753292757034301,-5.005999999999999,0.25270724
-7.63,-9.465464427351952,-9.493,0.027535573
-4.1,-3.5450062065124506,-5.077999999999999,1.5329938
-4.84,-4.766757538557053,-4.284000000000001,-0.48275754
-9.3,-10.174431604385376,-10.744,0.5695684
1.07,-0.992719425201416,-3.964,2.9712806
-5.21,-5.719179251194,-4.915,-0.80417925
-6.4,-7.203093328833579,-7.105999999999999,-0.09709333
-2.55,-0.7523704748153683,0.6020000000000003,-1.3543705
-3.54,-3.7614418318271636,-3.424,-0.33744183
-2.29,-1.6853605928421023,-3.619,1.9336394
1.58,1.8161348543167115,2.971,-1.1548651
0.27,0.8106328291893004,0.1669999999999998,0.6436328
-6.01,-5.360094704627991,-4.54,-0.8200947
-6.16,-7.177205312728882,-10.263,3.0857947
-2.33,-0.2761422233581543,3.367,-3.6431422
-5.49,-5.576078921437263,-5.353,-0.22307892
-4.59,-3.986444276303054,-3.963000000000001,-0.023444276
-3.52,-4.005328652441502,-3.983,-0.022328652
0.6,0.665087133407593,1.3310000000000002,-0.66591287
-5.23,-4.618487343311311,-4.897000000000001,0.27851266
-6.78,-7.217280355453491,-10.766,3.5487196
-5.99,-7.117113498687743,-8.979,1.8618865
-1.46,-0.7653253407478333,-0.197,-0.56832534
-11.53,-12.039653036117558,-14.322000000000005,2.282347
-4.09,-3.375695311546325,-4.811999999999999,1.4363047
-3.3,-1.9625236496925353,-1.061,-0.90152365
-4.58,-9.21863507926464,-9.325,0.10636492
-6.12,-6.347355807065965,-6.319000000000001,-0.028355807
-5.66,-5.297367120742798,-6.7010000000000005,1.4036329
-4.21,-3.121192226886749,-2.223,-0.8981922
-2.63,-2.634365722179413,-1.809,-0.8253657
0.56,0.686559132575989,0.3790000000000002,0.30755913
-3.73,-3.0914712572097782,-2.3150000000000004,-0.77647126
2.3,1.9245179603099825,2.301,-0.37648204
-5.45,-6.687115496635437,-7.269,0.5818845
-2.4,-1.7134210240244874,-1.8090000000000008,0.095578976
-5.73,-5.53177131563425,-5.475,-0.056771316
-2.32,-1.927853481054306,-1.448,-0.47985348
1.58,1.4649951477050784,2.1020000000000003,-0.63700485
-6.62,-6.390315935082732,-6.402999999999999,0.012684065
-3.11,-2.8969470548629754,-4.029999999999999,1.133053
-1.12,-1.03222563123703,-1.886,0.85377437
-3.1,-4.199996259689331,-3.553,-0.64699626
-2.83,-2.9460754671096803,-4.479,1.5329245
-6.48,-6.570841762542724,-12.322,5.751158
2.3,1.8953121061325073,2.637,-0.7416879
-5.91,-5.012110578775406,-4.756,-0.25611058
-2.78,-2.5464451775550843,-1.911,-0.6354452
-8.41,-8.44852275633812,-8.054,-0.39452276
-4.42,-4.222643280386925,-4.341,0.11835672
-5.57,-5.6088269648551945,-4.956,-0.65282696
-2.55,-2.7395410637855533,-2.4730000000000003,-0.26654106
-2.16,-1.5740195546150213,-0.6160000000000005,-0.95801955
-5.21,-5.123085161685943,-4.534,-0.58908516
-2.53,-2.307313887834549,-2.486,0.17868611
-2.86,-2.799159602165222,-4.654,1.8548404
-2.47,-2.4571297607421876,-1.846,-0.61112976
-4.29,-3.767188138484955,-2.982,-0.78518814
-9.86,-6.938440299987793,-10.151,3.2125597
-10.27,-9.408720888376235,-9.658,0.24927911
-3.58,-3.531869246006012,-3.339,-0.19286925
-4.57,-3.59545659160614,-2.791,-0.8044566
-5.1,-5.4657549514770505,-10.914,5.448245
1.59,1.5336899490356446,2.572,-1.03831
-6.25,-6.9227215080261235,-6.7780000000000005,-0.14472151
-0.04,0.11000525712966924,0.81,-0.69999474
-1.64,-1.7971611502170566,-2.0940000000000003,0.29683885
-5.8,-5.843366884231568,-5.224,-0.6193669
2.51,2.383342216491699,2.723,-0.33965778
-7.37,-7.700095469594002,-7.679,-0.02109547
0.1,1.555453872203827,2.512,-0.9565461
-4.42,-3.596432175159454,-2.877,-0.7194322
-4.77,-4.804496442317963,-4.424,-0.38049644
-3.09,-3.115241084098816,-1.41,-1.7052411
-9.4,-11.826546100616454,-16.104,4.277454
-3.43,-2.520432830810547,-4.801,2.2805672
-9.82,-9.712156056404114,-9.199,-0.51315606
1.28,1.5824300928115846,0.8170000000000001,0.7654301
-8.7,-9.56918137359619,-14.578,5.0088186
-4.27,-4.73941654586792,-6.894,2.1545835
-2.37,-2.1460256557464596,-1.0229999999999997,-1.1230257
-8.68,-8.442454881668091,-10.445,2.002545
-8.84,-14.435809118270875,-17.582,3.146191
-9.37,-7.6407797555923445,-9.172999999999998,1.5322202
-7.1,-7.3403776798248295,-10.541,3.2006223
0.0,-0.3074305968284606,0.3170000000000001,-0.6244306
-18.06,-21.295878097534178,-25.772,4.476122
0.08,0.4951932578086855,-0.1469999999999998,0.64219326
-5.82,-5.811531462669372,-5.164999999999999,-0.64653146
-0.03,0.0027100701332092303,0.752,-0.74928993
-2.28,-2.4332178254127506,-1.7270000000000003,-0.7062178
-4.73,-4.357358198523522,-4.171,-0.1863582
-5.11,-4.278748916625977,-1.7490000000000006,-2.529749
-12.74,-13.584529527664184,-13.709,0.12447047
-6.68,-6.576352571487425,-7.673999999999999,1.0976474
-8.26,-8.161792097091675,-10.06,1.8982079
1.07,-1.4043342685699463,-4.835,3.4306657
-2.46,-2.2354810452461242,-1.585,-0.65048105
-3.88,-4.101558832168579,-0.8540000000000001,-3.2475588
2.13,2.0829784984588624,3.112,-1.0290215
-0.53,-0.710590163707733,-0.0539999999999998,-0.65659016
-1.69,-1.3208375501632692,-2.68,1.3591624
-5.48,-5.215033617019653,-2.715,-2.5000336
-0.59,-0.4848035886287687,-0.3889999999999998,-0.09580359
-4.22,-3.3031694984436033,-6.26,2.9568305
-7.07,-5.080309967041016,-9.804,4.72369
-2.49,-1.76368323135376,-3.4330000000000003,1.6693168
-9.61,-8.954246601104737,-10.659,1.7047534
-3.43,-2.487023975372315,-5.252000000000001,2.764976
-4.4,-2.545288896560669,1.4,-3.945289
-6.44,-6.7674884848594665,-6.093,-0.6744885
-4.55,-2.2655057330131534,-1.727,-0.53850573
-8.18,-8.336122713565826,-8.548,0.21187729
-6.5,-5.989935682296753,-4.948,-1.0419357
3.12,3.1465589923858643,0.5920000000000001,2.554559
-7.62,-8.306946665763855,-10.257,1.9500533
-1.34,-0.5415659866333007,1.104,-1.645566
-1.29,-3.8033458023071294,-6.5280000000000005,2.7246542
-2.02,-1.2336375846862797,-5.589,4.3553624
-9.13,-9.361454435348511,-10.746,1.3845456
2.97,2.592225147247315,3.3760000000000003,-0.78377485
-6.55,-5.720975509643555,-2.7910000000000004,-2.9299755
-2.94,-2.6537345199584967,-5.478000000000001,2.8242655
-3.3,-2.74704843378067,-3.296,0.54895157
-2.64,-2.052989444732666,-4.71,2.6570106
-6.27,-6.326491528511047,-5.231,-1.0954915
-5.46,-4.199953103065491,-2.775,-1.4249531
-1.91,-2.4230637192726134,-1.775,-0.6480637
-3.88,-3.483820335865021,-3.955,0.47117966
-7.67,-6.190972612142563,-6.529,0.3380274
1.09,-0.20382282352447512,0.104,-0.30782282
