expt,physics_ml,physics,ml
-3.82,-3.7657220614242553,-5.70653,1.9408079
-2.93,-3.560222587757111,-4.29168,0.7314574
-0.98,-1.549801346305847,-0.999704,-0.55009735
-0.74,-1.2559836914396285,-1.27761,0.021626309
-1.59,-0.8186747634429932,-0.719727,-0.09894776
-3.75,-3.310977229919434,-4.06934,0.75836277
-4.55,-4.526683067817688,-3.02802,-1.4986631
-2.73,-2.4896869678497313,-2.63325,0.14356303
-0.53,-0.8836255107710361,-0.940476,0.05685049
-0.25,-0.3641792690811157,-0.471056,0.10687673
-5.48,-5.468733707885742,-3.16298,-2.3057537
2.51,2.4078673390007017,1.94086,0.46700734
-0.64,-1.0798050118217468,-0.443376,-0.636429
-0.83,-0.19417008765830995,0.0773561,-0.2715262
-6.88,-6.3385131124973295,-6.14795,-0.19056311
-3.64,-4.672715702552796,-5.01902,0.3463043
-4.84,-4.680626271781922,-4.40906,-0.27156627
-5.22,-3.5286091366958616,-2.18137,-1.3472391
-9.01,-8.74545290933609,-9.73036,0.9849071
-0.83,-1.7176026863098144,-1.44315,-0.2744527
-0.68,-0.8793108605215549,-0.835526,-0.04378486
-3.56,-3.012017131896019,-2.86147,-0.15054713
-4.93,-4.728564677352905,-4.65612,-0.07244468
-8.42,-10.981412994384765,-12.837,1.855587
-6.16,-5.74246995727539,-4.45142,-1.29105
-2.23,-2.1428615000534057,-3.55178,1.4089185
-0.53,-0.08760553112015725,-0.0964986,0.008893069
-4.47,-3.023609919300079,-3.08674,0.06313008
-7.17,-6.569084320106507,-6.12954,-0.43954432
-2.78,-3.2701609597015384,-4.36373,1.093569
3.43,4.231023597507477,4.87378,-0.6427564
-11.0,-10.162743856430053,-11.027,0.86425614
-6.21,-6.852922782974243,-7.45533,0.6024072
-5.71,-7.375582963867188,-9.16167,1.786087
-5.26,-5.765229306373596,-4.11941,-1.6458193
-1.14,-1.683256873216629,-1.21859,-0.46466687
-2.4,-2.797622630653381,-3.65181,0.85418737
-2.33,-2.4367245095062255,-2.13828,-0.2984445
2.38,2.1073723975181577,1.99285,0.1145224
-6.5,-6.7051725366210935,-9.58076,2.8755875
-1.62,-1.4277662132148743,-0.783938,-0.6438282
-6.79,-6.861737407588959,-6.0964,-0.7653374
-1.1,-2.3559455501937867,-1.82824,-0.52770555
-0.9,-1.603951274534464,-1.62474,0.020788725
-3.52,-4.109009133472442,-4.42939,0.32038087
-1.43,-1.8962203985404968,-1.41537,-0.4808504
0.0,0.06008633128929139,0.166193,-0.10610667
1.47,1.4755094631135464,1.41845,0.057059463
-4.62,-4.289760955238343,-2.75965,-1.530111
-2.38,-2.625515494670868,-2.83859,0.2130745
