expt,physics_ml,physics,ml
-3.82,-4.194863208770752,-10.084,5.889137
-2.93,-3.074605907440186,-5.664000000000001,2.589394
-0.98,-0.684016164779663,-1.884,1.1999838
-0.74,-0.9864616365432739,-2.347,1.3605384
-1.59,-0.6376560277938843,-1.157,0.519344
-3.75,-3.132269815444946,-4.779,1.6467302
-4.55,-4.2711646242141725,-5.567,1.2958354
-2.73,-2.01055988407135,-3.516,1.5054401
-0.53,-0.5792371463775634,-1.92,1.3407629
-0.25,-0.026638284683227487,-0.941,0.9143617
-5.48,-4.7228176355361935,-3.6,-1.1228176
2.51,1.984852566242218,1.177,0.80785257
-0.64,0.20215884828567504,0.054,0.14815885
-0.83,0.24647303128242481,-0.1260000000000001,0.37247303
-6.88,-6.9124436416625965,-8.578999999999999,1.6665564
-3.64,-4.444759248495101,-4.154999999999999,-0.28975925
-4.84,-4.301417852401734,-4.9510000000000005,0.64958215
-5.22,-2.244755325317383,0.565,-2.8097553
-9.01,-8.21507537651062,-10.528,2.3129246
-0.83,-1.3030554847717288,-1.9830000000000003,0.6799445
-0.68,-0.33951148796081543,-1.373,1.0334885
-3.56,-3.1108977174758916,-4.3100000000000005,1.1991023
-4.93,-4.7560508174896245,-5.8420000000000005,1.0859492
-8.42,-11.411074016571042,-17.747999999999998,6.336926
-6.16,-5.382475317001342,-6.337999999999999,0.9555247
-2.23,-2.1979467506408685,-4.436999999999999,2.2390532
-0.53,-0.1496222627162933,-0.47,0.32037774
-4.47,-3.4178549427986145,-3.952,0.53414506
-7.17,-6.997826267242432,-4.476,-2.5218263
-2.78,-2.3684754943847652,-7.81,5.4415245
3.43,3.421104621887207,-1.05,4.4711046
-11.0,-9.749166330337525,-13.534,3.7848337
-6.21,-6.44495043373108,-10.271,3.8260496
-5.71,-6.943090715408324,-10.415,3.4719093
-5.26,-4.7362710313797,-5.908,1.171729
-1.14,-1.1099253826141355,-2.143,1.0330746
-2.4,-2.997678792953491,-4.938,1.9403212
-2.33,-1.248692094564438,-1.618,0.3693079
2.38,1.6621479938030244,1.201,0.461148
-6.5,-4.049159393310546,-10.36,6.3108406
-1.62,-0.8186728997230528,-0.4169999999999998,-0.4016729
-6.79,-6.308219080924988,-7.431,1.1227809
-1.1,-1.3237836546897888,-1.932,0.60821635
-0.9,-1.3385461444854738,-2.462,1.1234539
-3.52,-3.39536909198761,-5.341,1.9456309
-1.43,-0.9076132431030273,-1.914,1.0063868
0.0,0.403424298286438,-0.238,0.6414243
1.47,1.178921603679657,0.562,0.6169216
-4.62,-3.7010509845018387,-3.734,0.032949015
-2.38,-2.440336935997009,-3.643,1.2026631
2.1,1.6727213187217713,1.092,0.5807213
-9.73,-10.47883390045166,-14.286,3.807166
-9.34,-7.482291968345643,-5.558000000000001,-1.924292
-10.0,-8.043206441879272,-10.138,2.0947936
-3.5,-3.3669013614654544,-6.937,3.5700986
-4.61,-4.202448756217956,-5.757,1.5545512
-2.07,-2.2401133956909183,-5.094,2.8538866
-0.33,-0.07379181194305406,-0.7229999999999999,0.6492082
-0.9,-0.7285043034553529,-1.491,0.7624957
-2.7,-3.1861910438537597,-4.96,1.773809
1.83,1.6221676363945008,0.8140000000000001,0.80816764
-3.9,-3.0617546243667606,-4.517,1.4552454
-1.5,-0.921516422271728,-1.4539999999999995,0.5324836
-6.6,-6.420904759407044,-7.579000000000001,1.1580952
2.0,1.4860183491706849,0.939,0.54701835
-7.0,-8.182405960083008,-13.862,5.679594
-10.78,-15.961596069335936,-22.31,6.348404
-0.46,-0.7221691923141478,-2.058,1.3358308
-10.17,-10.052197796344757,-10.994,0.9418022
-2.75,-2.3654283142089847,-7.735,5.3695717
3.16,2.726177490234375,2.063,0.6631775
-10.21,-9.068650497436524,-14.964,5.8953495
-4.42,-4.859307753801346,-5.131,0.27169225
-2.56,-1.6067098464965817,-7.209,5.60229
-9.51,-9.962084394454957,-12.156,2.1939156
-5.0,-4.057020168781281,-4.6930000000000005,0.63597983
-14.21,-13.346588371276855,-16.648,3.3014116
2.55,2.0513469668030737,1.933,0.11834697
-2.56,-2.896342357635498,-5.284,2.3876576
-2.64,-2.7579569892883304,-5.408,2.650043
-5.22,-4.4349542303085325,-5.292,0.85704577
-2.92,-2.7790940790176393,-4.378,1.5989059
-4.5,-4.034708311080933,-3.277,-0.7577083
-1.66,-0.9334417490959166,-1.4529999999999998,0.51955825
-11.85,-12.276367122650147,-16.782,4.505633
-4.1,-4.377913251876832,-6.191000000000001,1.8130867
