expt,physics_ml,physics,ml
-3.82,-4.400408744812012,0,-4.4004087
-2.93,-3.2955801486968994,0,-3.2955801
-0.98,-0.5219430923461914,0,-0.5219431
-0.74,-1.356972575187683,0,-1.3569726
-1.59,-1.595941424369812,0,-1.5959414
-3.75,-3.6138882637023926,0,-3.6138883
-4.55,-5.810755729675293,0,-5.8107557
-2.73,-2.2587015628814697,0,-2.2587016
-0.53,-1.1179441213607788,0,-1.1179441
-0.25,-0.1915840357542038,0,-0.19158404
-5.48,-5.758737564086914,0,-5.7587376
2.51,2.1419529914855957,0,2.141953
-0.64,-0.8039668202400208,0,-0.8039668
-0.83,-1.7823041677474976,0,-1.7823042
-6.88,-6.424411773681641,0,-6.424412
-3.64,-3.6587777137756348,0,-3.6587777
-4.84,-4.673468589782715,0,-4.6734686
-5.22,-4.468985557556152,0,-4.4689856
-9.01,-8.399941444396973,0,-8.399941
-0.83,-0.5302411317825317,0,-0.53024113
-0.68,-0.4672297239303589,0,-0.46722972
-3.56,-3.258380651473999,0,-3.2583807
-4.93,-4.584023952484131,0,-4.584024
-8.42,-8.028950691223145,0,-8.028951
-6.16,-5.571016311645508,0,-5.5710163
-2.23,-2.8437132835388184,0,-2.8437133
-0.53,-1.1972843408584595,0,-1.1972843
-4.47,-5.230695724487305,0,-5.2306957
-7.17,-5.951279640197754,0,-5.9512796
-2.78,-3.771836757659912,0,-3.7718368
3.43,2.4039323329925537,0,2.4039323
-11.0,-8.937376022338867,0,-8.937376
-6.21,-5.365442752838135,0,-5.3654428
-5.71,-4.00393533706665,0,-4.0039353
-5.26,-5.803473949432373,0,-5.803474
-1.14,-0.6096418499946594,0,-0.60964185
-2.4,-2.7498209476470947,0,-2.749821
-2.33,-1.7207335233688354,0,-1.7207335
2.38,1.6262606382369995,0,1.6262606
-6.5,-5.621957302093506,0,-5.6219573
-1.62,-1.2736915349960327,0,-1.2736915
-6.79,-6.801822185516357,0,-6.801822
-1.1,-1.91094172000885,0,-1.9109417
-0.9,-0.7268829345703125,0,-0.72688293
-3.52,-3.2933380603790283,0,-3.293338
-1.43,-1.9626452922821045,0,-1.9626453
0.0,-0.7335014939308167,0,-0.7335015
1.47,1.1977670192718506,0,1.197767
-4.62,-4.894863605499268,0,-4.8948636
-2.38,-1.9858671426773071,0,-1.9858671
2.1,1.1944931745529175,0,1.1944932
-9.73,-10.042957305908203,0,-10.042957
-9.34,-7.011440277099609,0,-7.0114403
-10.0,-8.3921537399292,0,-8.392154
-3.5,-3.8549158573150635,0,-3.8549159
-4.61,-4.1704421043396,0,-4.170442
-2.07,-2.692701816558838,0,-2.6927018
-0.33,-1.2595099210739136,0,-1.2595099
-0.9,-0.5085764527320862,0,-0.50857645
-2.7,-2.113175392150879,0,-2.1131754
1.83,0.9350433349609375,0,0.93504333
-3.9,-3.7448983192443848,0,-3.7448983
-1.5,-1.4875234365463257,0,-1.4875234
-6.6,-6.254329204559326,0,-6.254329
2.0,1.1826629638671875,0,1.182663
-7.0,-6.119049549102783,0,-6.1190495
-10.78,-9.195740699768066,0,-9.195741
-0.46,-0.4929226040840149,0,-0.4929226
-10.17,-8.66720199584961,0,-8.667202
-2.75,-3.3388235569000244,0,-3.3388236
3.16,1.351298451423645,0,1.3512985
-10.21,-8.487441062927246,0,-8.487441
-4.42,-4.339763641357422,0,-4.3397636
-2.56,-3.6701948642730713,0,-3.6701949
-9.51,-8.203320503234863,0,-8.2033205
-5.0,-5.092727184295654,0,-5.092727
-14.21,-10.27710247039795,0,-10.277102
2.55,1.661573886871338,0,1.6615739
-2.56,-3.000563621520996,0,-3.0005636
-2.64,-3.148428440093994,0,-3.1484284
-5.22,-4.548076152801514,0,-4.548076
-2.92,-3.2599031925201416,0,-3.2599032
-4.5,-4.7497406005859375,0,-4.7497406
-1.66,-2.4428606033325195,0,-2.4428606
-11.85,-9.686037063598633,0,-9.686037
-4.1,-4.846297740936279,0,-4.8462977
-7.66,-6.796328067779541,0,-6.796328
-1.93,-1.9619370698928833,0,-1.9619371
-3.28,-3.182703733444214,0,-3.1827037
-1.36,-0.638752281665802,0,-0.6387523
-1.23,-1.4712127447128296,0,-1.4712127
0.25,0.5384424924850464,0,0.5384425
-2.45,-2.273263692855835,0,-2.2732637
0.34,-0.4821826219558716,0,-0.48218262
-5.74,-5.6215901374816895,0,-5.62159
2.88,1.6482768058776855,0,1.6482768
-4.52,-4.612461566925049,0,-4.6124616
-2.26,-2.662543773651123,0,-2.6625438
2.56,1.5157390832901,0,1.5157391
-5.33,-3.6683735847473145,0,-3.6683736
-9.65,-7.938680648803711,0,-7.9386806
-0.78,-0.582389771938324,0,-0.5823898
1.23,0.48244237899780273,0,0.48244238
-5.04,-4.14881706237793,0,-4.148817
-9.8,-7.397397041320801,0,-7.397397
-18.72,-16.921823501586914,0,-16.921824
-10.64,-8.784646034240723,0,-8.784646
-2.22,-2.2367732524871826,0,-2.2367733
0.75,0.4106851816177368,0,0.41068518
-4.01,-4.375839710235596,0,-4.3758397
-3.68,-3.2174530029296875,0,-3.217453
-0.4,-1.0830789804458618,0,-1.083079
-3.37,-3.253993272781372,0,-3.2539933
-1.24,-0.8640265464782715,0,-0.86402655
-4.39,-4.627117156982422,0,-4.627117
-9.94,-8.260644912719727,0,-8.260645
-6.13,-5.9059157371521,0,-5.9059157
-6.13,-5.841180324554443,0,-5.8411803
-6.09,-5.1403937339782715,0,-5.1403937
-3.71,-3.5271897315979004,0,-3.5271897
-4.69,-4.640240669250488,0,-4.6402407
-3.78,-3.6664633750915527,0,-3.6664634
-1.4,-1.0917664766311646,0,-1.0917665
1.16,1.233068823814392,0,1.2330688
-1.08,-1.2369840145111084,0,-1.236984
-4.31,-5.724333763122559,0,-5.724334
-6.69,-6.3921122550964355,0,-6.3921123
-0.85,-0.6770381927490234,0,-0.6770382
-7.65,-6.599203109741211,0,-6.599203
-0.9,-1.0412236452102661,0,-1.0412236
2.93,1.9867669343948364,0,1.9867669
-2.93,-4.96324348449707,0,-4.9632435
-11.14,-10.309591293334961,0,-10.309591
-4.85,-5.49531888961792,0,-5.495319
-5.91,-5.808779716491699,0,-5.8087797
-3.64,-4.642847061157227,0,-4.642847
2.88,1.3330572843551636,0,1.3330573
-4.91,-5.648335933685303,0,-5.648336
-0.86,-0.5168192386627197,0,-0.51681924
-5.53,-5.824880599975586,0,-5.8248806
-9.41,-8.918790817260742,0,-8.918791
-4.95,-4.280545711517334,0,-4.2805457
0.14,-0.14093507826328278,0,-0.14093508
-7.78,-7.431005001068115,0,-7.431005
-1.92,-1.438293695449829,0,-1.4382937
-2.01,-2.1248257160186768,0,-2.1248257
-3.17,-3.146108388900757,0,-3.1461084
-6.23,-5.395472049713135,0,-5.395472
-2.64,-3.264073610305786,0,-3.2640736
-4.04,-3.4423415660858154,0,-3.4423416
-0.11,0.1754082292318344,0,0.17540823
-16.92,-16.861894607543945,0,-16.861895
-3.88,-4.676138877868652,0,-4.676139
-3.12,-3.1875922679901123,0,-3.1875923
-1.74,-1.2942055463790894,0,-1.2942055
-3.92,-4.8291215896606445,0,-4.8291216
-1.21,-0.5654127597808838,0,-0.56541276
-4.7,-4.140471458435059,0,-4.1404715
-5.94,-6.40941858291626,0,-6.4094186
-0.23,-0.4428754448890686,0,-0.44287544
-2.11,-2.908931255340576,0,-2.9089313
-4.09,-4.718391418457031,0,-4.7183914
-8.11,-7.577884197235107,0,-7.577884
-4.91,-4.3075690269470215,0,-4.307569
-3.28,-3.023200273513794,0,-3.0232003
-2.28,-3.1007516384124756,0,-3.1007516
2.06,1.3108106851577759,0,1.3108107
-2.82,-2.381880760192871,0,-2.3818808
-1.24,-1.1067687273025513,0,-1.1067687
-0.19,-0.8937578201293945,0,-0.8937578
-2.89,-2.3005340099334717,0,-2.300534
-8.84,-7.405384540557861,0,-7.4053845
-1.66,-2.8946375846862793,0,-2.8946376
-7.28,-6.8081135749816895,0,-6.8081136
-4.7,-4.701983451843262,0,-4.7019835
-3.92,-3.944024085998535,0,-3.944024
-4.02,-4.275808334350586,0,-4.2758083
-3.64,-4.122788429260254,0,-4.1227884
-4.15,-3.5339081287384033,0,-3.5339081
-1.24,-1.0800471305847168,0,-1.0800471
-3.13,-3.8282392024993896,0,-3.8282392
-0.84,-0.9525465965270996,0,-0.9525466
-2.74,-3.527434825897217,0,-3.5274348
-5.9,-5.792582035064697,0,-5.792582
1.68,1.1199522018432617,0,1.1199522
2.93,1.687727689743042,0,1.6877277
-3.67,-3.34582257270813,0,-3.3458226
2.56,1.6441638469696045,0,1.6441638
-9.29,-8.05512809753418,0,-8.055128
-7.48,-7.065585136413574,0,-7.065585
-1.34,-1.3591634035110474,0,-1.3591634
0.16,0.1270119994878769,0,0.127012
-4.63,-4.570559024810791,0,-4.570559
-4.39,-4.439506530761719,0,-4.4395065
3.13,1.3445173501968384,0,1.3445174
-6.79,-6.209705352783203,0,-6.2097054
-4.97,-3.9905760288238525,0,-3.990576
-1.17,-0.9065066576004028,0,-0.90650666
-2.78,-2.063633918762207,0,-2.063634
-1.39,-0.5989142060279846,0,-0.5989142
-0.11,-0.5496147274971008,0,-0.5496147
-4.59,-4.66365385055542,0,-4.663654
-23.62,-17.893077850341797,0,-17.893078
-4.23,-3.4569509029388428,0,-3.456951
-7.63,-6.57850980758667,0,-6.57851
-4.1,-3.761934757232666,0,-3.7619348
-4.84,-3.9148619174957275,0,-3.914862
-9.3,-7.626509666442871,0,-7.6265097
1.07,1.2301312685012817,0,1.2301313
-5.21,-5.470674514770508,0,-5.4706745
-6.4,-5.870270252227783,0,-5.8702703
-2.55,-2.1280198097229004,0,-2.1280198
-3.54,-2.8551461696624756,0,-2.8551462
-2.29,-2.72147798538208,0,-2.721478
1.58,1.68995201587677,0,1.689952
0.27,-0.507620632648468,0,-0.50762063
-6.01,-5.663913249969482,0,-5.6639132
-6.16,-5.553250312805176,0,-5.5532503
-2.33,-1.780805230140686,0,-1.7808052
-5.49,-5.874200344085693,0,-5.8742003
-4.59,-4.49958610534668,0,-4.499586
-3.52,-3.918409824371338,0,-3.9184098
0.6,-0.07112611830234528,0,-0.07112612
-5.23,-4.7263360023498535,0,-4.726336
-6.78,-7.450623512268066,0,-7.4506235
-5.99,-5.195683002471924,0,-5.195683
-1.46,-1.2910239696502686,0,-1.291024
-11.53,-9.762269973754883,0,-9.76227
-4.09,-3.044496536254883,0,-3.0444965
-3.3,-2.933703660964966,0,-2.9337037
-4.58,-6.426177978515625,0,-6.426178
-6.12,-6.283758640289307,0,-6.2837586
-5.66,-4.937768459320068,0,-4.9377685
-4.21,-4.832669258117676,0,-4.8326693
-2.63,-2.0444512367248535,0,-2.0444512
0.56,0.6784849166870117,0,0.6784849
-3.73,-3.7570903301239014,0,-3.7570903
2.3,1.8289357423782349,0,1.8289357
-5.45,-5.196491241455078,0,-5.1964912
-2.4,-2.5026655197143555,0,-2.5026655
-5.73,-4.926090717315674,0,-4.9260907
-2.32,-1.918244481086731,0,-1.9182445
1.58,1.1606031656265259,0,1.1606032
-6.62,-6.355101585388184,0,-6.3551016
-3.11,-3.0191495418548584,0,-3.0191495
-1.12,-1.912765622138977,0,-1.9127656
-3.1,-3.3673713207244873,0,-3.3673713
-2.83,-3.072488784790039,0,-3.0724888
-6.48,-6.381616115570068,0,-6.381616
2.3,1.369688868522644,0,1.3696889
-5.91,-5.61486291885376,0,-5.614863
-2.78,-2.13608980178833,0,-2.1360898
-8.41,-7.992359638214111,0,-7.9923596
-4.42,-3.7981624603271484,0,-3.7981625
-5.57,-5.6819353103637695,0,-5.6819353
-2.55,-1.8430490493774414,0,-1.843049
-2.16,-2.925227165222168,0,-2.9252272
-5.21,-5.437855243682861,0,-5.4378552
-2.53,-2.4789295196533203,0,-2.4789295
-2.86,-3.5952470302581787,0,-3.595247
-2.47,-2.4086387157440186,0,-2.4086387
-4.29,-4.685661792755127,0,-4.685662
-9.86,-7.945656776428223,0,-7.945657
-10.27,-8.88235855102539,0,-8.882359
-3.58,-4.004604339599609,0,-4.0046043
-4.57,-5.198262691497803,0,-5.1982627
-5.1,-5.144201755523682,0,-5.1442018
1.59,1.7157148122787476,0,1.7157148
-6.25,-5.68357515335083,0,-5.683575
-0.04,-0.40975421667099,0,-0.40975422
-1.64,-1.3471333980560303,0,-1.3471334
-5.8,-6.395021915435791,0,-6.395022
2.51,1.837520956993103,0,1.837521
-7.37,-6.2326130867004395,0,-6.232613
0.1,0.0502961128950119,0,0.050296113
-4.42,-4.500714302062988,0,-4.5007143
-4.77,-4.490616321563721,0,-4.4906163
-3.09,-3.500812530517578,0,-3.5008125
-9.4,-7.740678310394287,0,-7.7406783
-3.43,-2.9008212089538574,0,-2.9008212
-9.82,-8.464346885681152,0,-8.464347
1.28,0.9061664342880249,0,0.90616643
-8.7,-7.610721111297607,0,-7.610721
-4.27,-3.9182775020599365,0,-3.9182775
-2.37,-1.8688758611679077,0,-1.8688759
-8.68,-7.375692367553711,0,-7.3756924
-8.84,-7.4566969871521,0,-7.456697
-9.37,-7.09783411026001,0,-7.097834
-7.1,-7.581323623657227,0,-7.5813236
0.0,-0.2357073575258255,0,-0.23570736
-18.06,-16.407649993896484,0,-16.40765
0.08,-0.643718957901001,0,-0.64371896
-5.82,-5.966180324554443,0,-5.9661803
-0.03,-0.2204933613538742,0,-0.22049336
-2.28,-2.4289841651916504,0,-2.4289842
-4.73,-4.524706840515137,0,-4.524707
-5.11,-5.213711261749268,0,-5.2137113
-12.74,-13.28376579284668,0,-13.283766
-6.68,-6.817101001739502,0,-6.817101
-8.26,-7.636717796325684,0,-7.636718
1.07,0.41451311111450195,0,0.4145131
-2.46,-2.3501856327056885,0,-2.3501856
-3.88,-3.9063045978546143,0,-3.9063046
2.13,1.6946552991867065,0,1.6946553
-0.53,-0.33496248722076416,0,-0.3349625
-1.69,-2.2942402362823486,0,-2.2942402
-5.48,-5.52427339553833,0,-5.5242734
-0.59,-0.4998425841331482,0,-0.49984258
-4.22,-3.4478044509887695,0,-3.4478045
-7.07,-6.909003257751465,0,-6.9090033
-2.49,-3.105511426925659,0,-3.1055114
-9.61,-8.208416938781738,0,-8.208417
-3.43,-3.5727505683898926,0,-3.5727506
-4.4,-3.2086236476898193,0,-3.2086236
-6.44,-7.204492092132568,0,-7.204492
-4.55,-4.284592151641846,0,-4.284592
-8.18,-7.254617214202881,0,-7.254617
-6.5,-6.137668609619141,0,-6.1376686
3.12,2.136138439178467,0,2.1361384
-7.62,-7.711176872253418,0,-7.711177
-1.34,-0.7973549365997314,0,-0.79735494
-1.29,-1.8389612436294556,0,-1.8389612
-2.02,-3.245361089706421,0,-3.245361
-9.13,-9.29401969909668,0,-9.29402
2.97,1.7052292823791504,0,1.7052293
-6.55,-6.291609287261963,0,-6.2916093
-2.94,-3.504737138748169,0,-3.5047371
-3.3,-3.4186267852783203,0,-3.4186268
-2.64,-3.0776960849761963,0,-3.077696
-6.27,-5.821640968322754,0,-5.821641
-5.46,-5.907983779907227,0,-5.907984
-1.91,-2.139183282852173,0,-2.1391833
-3.88,-3.6977968215942383,0,-3.6977968
-7.67,-6.935116767883301,0,-6.935117
1.09,1.3894871473312378,0,1.3894871
-7.03,-6.128598690032959,0,-6.1285987
-0.57,-1.1817317008972168,0,-1.1817317
2.51,1.6833672523498535,0,1.6833673
-4.09,-4.864363670349121,0,-4.8643637
0.29,-0.5764980316162109,0,-0.57649803
-3.25,-2.5122663974761963,0,-2.5122664
-3.79,-4.540744304656982,0,-4.5407443
-5.29,-5.674066543579102,0,-5.6740665
-9.31,-7.695394992828369,0,-7.695395
-4.35,-5.328155040740967,0,-5.328155
-3.52,-3.7264201641082764,0,-3.7264202
-9.3,-9.103172302246094,0,-9.103172
-2.45,-2.666579008102417,0,-2.666579
-3.45,-3.692326068878174,0,-3.692326
-4.74,-4.914018630981445,0,-4.9140186
-0.8,-1.4140805006027222,0,-1.4140805
-5.18,-4.6802873611450195,0,-4.6802874
-2.15,-2.6348018646240234,0,-2.6348019
-12.64,-11.178473472595215,0,-11.178473
-11.95,-10.42996597290039,0,-10.429966
-2.22,-2.6412460803985596,0,-2.641246
-7.78,-6.997167110443115,0,-6.997167
-6.92,-6.285757064819336,0,-6.285757
-4.58,-4.330420017242432,0,-4.33042
-3.88,-3.952970266342163,0,-3.9529703
-1.16,-1.5883280038833618,0,-1.588328
-7.29,-6.595989227294922,0,-6.595989
-2.79,-3.270362138748169,0,-3.2703621
-1.46,-0.882532000541687,0,-0.882532
-2.04,-2.5570034980773926,0,-2.5570035
-3.88,-4.846328258514404,0,-4.8463283
-0.44,-0.0916014164686203,0,-0.09160142
-9.52,-7.746974468231201,0,-7.7469745
-1.83,-1.865054965019226,0,-1.865055
-0.56,-1.1228798627853394,0,-1.1228799
1.79,1.3090492486953735,0,1.3090492
-9.63,-8.87960147857666,0,-8.8796015
-6.1,-5.179155349731445,0,-5.1791553
-1.95,-1.762078881263733,0,-1.7620789
0.84,0.8074111938476562,0,0.8074112
-4.69,-5.21974515914917,0,-5.219745
1.31,0.9371610879898071,0,0.9371611
