expt,physics_ml,physics,ml
-3.82,-4.194960681915283,-5.442,1.2470393
-2.93,-3.4195709426403047,-3.652,0.23242906
-0.98,-1.1201615190505982,-0.11,-1.0101615
-0.74,-1.023069801568985,-0.609,-0.4140698
-1.59,-1.4730523390769958,-0.617,-0.85605234
-3.75,-3.8119062366485594,-3.344,-0.46790624
-4.55,-4.183621494293213,-3.317,-0.8666215
-2.73,-2.311917316913605,-1.325,-0.9869173
-0.53,-0.7297769002914429,-0.443,-0.2867769
-0.25,-0.3374020500183106,0.833,-1.170402
-5.48,-5.644638986587524,-4.345,-1.299639
2.51,2.334987032175064,2.506,-0.17101297
-0.64,0.010351667404174814,0.885,-0.87464833
-0.83,-1.03815585231781,0.139,-1.1771559
-6.88,-6.54419048178196,-6.588,0.04380952
-3.64,-4.4348544638156895,-4.573,0.13814554
-4.84,-4.022266310691833,-2.869,-1.1532663
-5.22,-3.4361594524383543,-1.284,-2.1521595
-9.01,-9.527000313282013,-8.718,-0.8090003
-0.83,-1.367768439769745,-0.697,-0.67076844
-0.68,-0.7034479973316192,-0.456,-0.247448
-3.56,-3.6454690733551978,-3.59,-0.055469073
-4.93,-4.306675677776337,-3.343,-0.9636757
-8.42,-9.897714546203613,-13.953,4.0552855
-6.16,-6.00920593547821,-5.148,-0.86120594
-2.23,-2.480492154598236,-2.929,0.44850785
-0.53,-1.2420431642532348,-0.178,-1.0640432
-4.47,-3.995006573677063,-3.288,-0.7070066
-7.17,-6.7732690606117245,-6.116,-0.65726906
-2.78,-2.7891287832260128,-4.028,1.2388712
3.43,2.7525539178848266,3.077,-0.32444608
-11.0,-11.103168606281281,-10.412,-0.6911686
-6.21,-5.948236563682556,-7.878,1.9297634
-5.71,-7.769006820201874,-8.683,0.9139932
-5.26,-5.215675802707672,-4.308,-0.9076758
-1.14,-1.2746861677169798,-0.473,-0.80168617
-2.4,-2.854619751214981,-3.304,0.44938025
-2.33,-2.062200331687927,-1.275,-0.78720033
2.38,2.172301139831543,2.59,-0.41769886
-6.5,-4.951107095718384,-7.024,2.072893
-1.62,-1.0517678632736205,0.136,-1.1877679
-6.79,-7.1728943872451785,-5.28,-1.8928944
-1.1,-1.174203116416931,-0.182,-0.9922031
-0.9,-1.407876946926117,-0.79,-0.61787695
-3.52,-3.839370659351349,-3.166,-0.67337066
-1.43,-1.3291705045700073,-0.091,-1.2381705
0.0,-0.018701590538025004,1.261,-1.2797016
1.47,1.4618327007293703,2.486,-1.0241673
