expt,physics_ml,physics,ml
-3.82,-4.738045002059937,-6.57758,1.839535
-2.93,-3.379052732219696,-3.66474,0.28568727
-0.98,-1.1946238865184784,-1.45543,0.2608061
-0.74,-0.7343371054267883,0.116715,-0.8510521
-1.59,-1.0587565827589036,-0.907798,-0.15095858
-3.75,-3.485214133300781,-2.45829,-1.0269241
-4.55,-4.595802296351194,-4.56098,-0.034822296
-2.73,-1.820256777434349,-1.61028,-0.20997678
-0.53,-0.23326787460327147,0.516745,-0.7500129
-0.25,-0.8080919805679321,-0.333791,-0.47430098
-5.48,-4.668741726913453,-2.99454,-1.6742017
2.51,2.1740087938976287,1.90732,0.2666888
-0.64,0.6923761081123352,1.07819,-0.3858139
-0.83,-0.3086689946159363,0.0647066,-0.3733756
-6.88,-7.416199911823273,-7.73074,0.3145401
-3.64,-3.142083181877136,-1.97427,-1.1678132
-4.84,-4.382838750295639,-4.24443,-0.13840875
-5.22,-1.951166284172058,-0.845567,-1.1055993
-9.01,-7.779566292438507,-6.82641,-0.9531563
-0.83,-0.7386081888949871,-0.78156,0.04295181
-0.68,-0.3206792444734573,-0.174978,-0.14570124
-3.56,-3.536752115402222,-4.87666,1.3399079
-4.93,-4.736736837718487,-4.83966,0.10292316
-8.42,-9.772337399291992,-13.7258,3.9534626
-6.16,-5.402128092107773,-5.22681,-0.17531809
-2.23,-2.4528134145212173,-2.60682,0.15400659
-0.53,-1.147907734539032,-0.328502,-0.81940573
-4.47,-3.4090367991065977,-3.01116,-0.3978768
-7.17,-7.000608257827759,-5.51506,-1.4855483
-2.78,-3.9499715610504147,-4.6221,0.67212844
3.43,3.6058090357112884,3.87818,-0.27237096
-11.0,-10.396042252707481,-10.5443,0.14825775
-6.21,-5.38067150756836,-8.16397,2.7832985
-5.71,-6.887021941165924,-7.41548,0.52845806
-5.26,-4.914753620197773,-4.98249,0.06773638
-1.14,-1.167386571006775,-1.37383,0.20644343
-2.4,-2.658621042003632,-3.03474,0.37611896
-2.33,-1.590646765991211,-0.656971,-0.93367577
2.38,1.5171439081573486,1.92139,-0.4042461
-6.5,-4.67920320968628,-8.7748,4.095597
-1.62,-0.9223985491762161,-0.702526,-0.21987255
-6.79,-5.451994086453914,-5.55451,0.10251591
-1.1,-0.807730077533722,0.13347,-0.9412001
-0.9,-1.0275851721453666,-1.10628,0.07869483
-3.52,-3.5161616924095154,-2.92428,-0.5918817
-1.43,-1.7249573444652557,-1.25393,-0.47102734
0.0,0.18655745155715941,0.494274,-0.30771655
1.47,0.9307426185417176,1.58098,-0.6502374
-4.62,-4.084002115173339,-2.76292,-1.3210821
-2.38,-2.0914723806548117,-2.19608,0.10460762
2.1,1.1524098831367493,1.77912,-0.6267101
-9.73,-10.682835297298432,-10.2147,-0.4681353
-9.34,-6.659839968366623,-6.18442,-0.47541997
