expt,physics_ml,physics,ml
-2.49,-2.98772313451767,-3.886,0.89827687
-3.82,-3.7264976425170904,-8.342,4.6155024
-0.98,-0.9317640757560732,-0.5100000000000002,-0.42176408
-1.59,-0.6732952573299409,-0.3540000000000001,-0.31929526
-4.55,-4.187991939544678,-3.886,-0.30199194
-2.73,-1.7906381144523622,-2.164,0.3733619
-0.53,-1.0410519567728045,-1.1310000000000002,0.08994804
-0.25,-0.11539305385947249,-0.1470000000000002,0.031606946
-2.82,-2.5108864011764522,-1.0439999999999996,-1.4668864
2.51,2.557535191565752,2.514,0.04353519
-0.83,0.2644279761314392,1.117,-0.852572
-7.5,-7.197285472869874,-12.912,5.7147145
-1.99,-2.1122297049760816,-2.022,-0.090229705
-6.88,-6.778907145977021,-7.502000000000001,0.72309285
-3.64,-3.8215508303642274,-3.096,-0.72555083
-5.22,-0.9403009376525877,2.454,-3.394301
-0.83,-0.7227370929718018,-0.395,-0.3277371
-0.68,-0.13882694482803354,0.3349999999999999,-0.47382694
-3.56,-3.108091757297516,-2.3600000000000003,-0.74809176
-2.49,-2.593166952371597,-3.0489999999999995,0.45583305
-0.99,-1.0796246747970581,-0.798,-0.28162467
-6.16,-4.839614755153656,-4.644,-0.19561476
-2.23,-2.213011794090271,-3.18,0.9669882
-0.53,-0.29814105844497707,0.5789999999999997,-0.87714106
-5.1,-4.804467900782823,-4.789,-0.015467901
-4.47,-3.1140345168113712,-2.9200000000000004,-0.19403452
-7.17,-7.583510911941529,-4.813000000000001,-2.770511
1.38,1.7579744859933852,1.539,0.21897449
0.29,0.865407016634941,1.031,-0.16559298
-10.08,-8.677068035125732,-14.392,5.714932
-2.78,-3.042893503189087,-6.998,3.9551065
-11.0,-11.877001656532288,-13.089,1.2119983
-3.15,-4.2575561954975125,-4.664,0.4064438
-5.85,-6.388493587017059,-5.939,-0.4494936
-6.21,-5.571220363616943,-9.289,3.7177796
-5.26,-4.500389362812042,-4.414,-0.08638936
-1.14,-1.0153795361518863,-0.6750000000000003,-0.34037954
-10.03,-10.894085823059083,-17.736,6.841914
-2.4,-2.4043508472442627,-3.919,1.5146492
-2.33,-1.4657038211822506,-0.5999999999999996,-0.8657038
2.38,2.1901454935073854,2.551,-0.3608545
1.77,1.2782575631141662,1.89,-0.61174244
-6.5,-5.6743688697814925,-10.986999999999998,5.312631
-1.62,-1.2989919357299802,1.2070000000000003,-2.505992
-1.79,-1.7716864259243015,-2.1220000000000003,0.35031357
-6.79,-5.791729070901871,-5.371,-0.42072907
-1.1,-1.1672677504718303,-1.162,-0.0052677505
-0.9,-1.0729683065414428,-0.815,-0.2579683
-3.41,-3.0611792101860056,-3.689000000000001,0.6278208
-3.52,-3.23423353099823,-4.359,1.1247665
-1.43,-1.3475335779190063,-0.0689999999999999,-1.2785336
0.0,0.4208278551101685,1.064,-0.64317214
-20.52,-18.743129093170168,-15.182,-3.561129
1.47,1.6894710915088655,2.083,-0.3935289
-4.62,-3.1692374634742735,-2.405,-0.76423746
-2.38,-2.2087721613645552,-2.106,-0.10277216
-7.19,-7.601501274108887,-13.05,5.4484987
2.1,1.9205408196449278,2.348,-0.42745918
-9.73,-10.688832725524902,-13.664,2.9751673
-4.02,-3.2617070417404177,-2.998,-0.26370704
-10.0,-9.313475978851319,-9.663,0.34952402
-3.5,-3.603300859451295,-6.277000000000001,2.6736991
-2.07,-1.8754922704696657,-3.333,1.4575077
-0.33,0.05828244245052347,0.1360000000000001,-0.07771756
-0.9,-0.3580702629089356,0.0409999999999999,-0.39907026
1.83,1.797628434598446,1.76,0.037628435
0.1,-0.22097322082519533,-4.766,4.545027
-1.5,-1.1733680400848385,-0.4909999999999996,-0.68236804
-6.6,-6.285159839272499,-6.148,-0.13715984
-7.0,-8.220733192443848,-12.178,3.9572668
-0.46,-1.1897546648979187,-1.375,0.18524534
-10.17,-10.51077998778224,-10.456,-0.054779988
-5.66,-4.5645177285671235,-4.423,-0.14151773
1.83,1.628463639855385,1.824,-0.19553636
-0.1,0.4332184457778929,0.7149999999999999,-0.28178155
-0.45,-0.21570206069946307,0.2959999999999998,-0.51170206
3.16,3.0407569618225097,4.122,-1.081243
-0.63,-0.04473876953125,-0.375,0.33026123
2.51,2.2627119512557985,2.797,-0.53428805
-3.15,-2.5692880207002164,-2.547,-0.02228802
-2.56,-1.7405043716430662,-6.337,4.5964956
-9.51,-10.371367835521697,-11.187,0.81563216
-5.0,-4.124994180440902,-3.754,-0.37099418
-14.21,-14.616556181430814,-15.301999999999998,0.6854438
2.55,2.578595088005066,3.698,-1.1194049
-2.56,-3.1622025146484383,-4.239000000000001,1.0767975
-6.25,-5.296610304355621,-4.834,-0.4626103
-2.92,-2.77641623750329,-2.835,0.058583762
-6.0,-6.915013706207276,-11.137,4.2219863
-1.66,-1.1508520307540895,-0.6440000000000001,-0.50685203
-11.85,-11.259396991729737,-13.96,2.700603
-4.1,-4.838198788166046,-5.445,0.6068012
-7.66,-7.523076139450074,-7.261000000000001,-0.26207614
-1.45,-0.7335605964660645,1.789,-2.5225606
-1.93,-2.2934720851182937,-2.432,0.13852791
-1.36,-1.2596957926750183,-0.863,-0.3966958
0.25,-0.05390519690513612,0.298,-0.3519052
-2.45,-1.3687820811271667,-2.077,0.7082179
0.34,0.46767718601226815,1.723,-1.2553228
-5.74,-13.449979454040527,-20.831,7.3810205
-16.43,-15.411387072563171,-15.161,-0.25038707
2.88,2.5908394808769226,3.012,-0.42116052
-4.52,-4.384862878084183,-4.746,0.36113712
-2.26,-1.8432500648498533,-3.155,1.3117499
2.56,2.6934805854558945,2.939,-0.24551941
-5.33,-4.39747669839859,-4.789,0.3915233
-4.8,-4.852962833404541,-4.031,-0.82196283
-9.76,-9.032113405197858,-9.078,0.045886595
-9.65,-9.50967402791977,-9.316,-0.19367403
-0.78,0.03100239133834881,0.6010000000000004,-0.5699976
-5.04,-5.487949433803559,-6.2780000000000005,0.79005057
-7.98,-8.868865964889526,-12.398,3.529134
-9.8,-9.117005996704101,-7.93,-1.187006
-18.72,-18.375210649490356,-20.982,2.6067894
-10.64,-9.225766731739045,-8.464,-0.76176673
-2.22,-1.990820975780487,-2.433,0.44217902
-7.77,-7.815511354446411,-4.834,-2.9815114
-9.61,-10.414385944366455,-14.456,4.041614
-3.68,-3.315910068511963,-5.516,2.20009
-4.78,-4.466583368778228,-4.81,0.34341663
-3.84,-2.720222608566284,-0.367,-2.3532226
-3.37,-1.2634903173446652,-0.1479999999999997,-1.1154903
-4.68,-6.775131267547607,-10.494,3.7188687
-1.24,-1.2014827044010157,-1.4969999999999994,0.2955173
-4.39,-3.357126932144165,-2.105,-1.2521269
-9.94,-8.483485248565675,-12.553,4.0695148
-6.13,-5.577291636228561,-5.236,-0.34129164
-6.13,-5.991508377790451,-5.67,-0.32150838
-6.09,-5.749647560119628,-9.69,3.9403524
-3.65,-3.4529722290039064,-0.7080000000000002,-2.7449722
-3.71,-0.9130296478271482,2.099,-3.0120296
-3.78,-2.1834820072650905,-2.5729999999999995,0.389518
-1.4,-0.6807644634246826,-1.053,0.37223554
1.16,1.575603308081627,1.455,0.12060331
-1.08,-0.6472208442687988,-0.0689999999999999,-0.57822084
-4.31,-4.370661523818969,-7.677999999999999,3.3073385
1.32,1.4606580538749694,1.142,0.31865805
-6.69,-7.564870300292968,-11.94,4.3751297
-0.85,-0.3367557055950168,-0.0820000000000003,-0.2547557
-0.9,-0.7961737039089201,-1.2439999999999998,0.4478263
2.93,3.384007780432701,3.508,-0.12399222
-2.93,-2.857065088272095,-3.357,0.4999349
-11.14,-10.318862405776976,-12.390999999999998,2.0721376
-5.91,-4.84409346318245,-4.541,-0.30309346
-3.64,-2.4724513120651244,-1.332,-1.1404513
-4.91,-5.350431738853454,-4.861,-0.48943174
-0.86,-0.40112473917007424,-0.0619999999999998,-0.33912474
-5.53,-5.184216384887695,-4.755,-0.42921638
-4.95,-5.275768238067626,-4.880999999999999,-0.39476824
0.14,0.6690692191123961,1.638,-0.9689308
-0.8,-0.6704859023094176,-0.3879999999999999,-0.2824859
-13.43,-13.874620083451271,-13.638,-0.23662008
-7.78,-8.193527227401733,-11.556,3.3624728
-1.92,-3.9763697566986087,-6.219,2.2426302
-6.23,-5.2263047313690185,-3.46,-1.7663047
-2.64,-2.066803729176521,-2.159,0.09219627
-8.61,-8.696050392150878,-11.536,2.8399496
-4.04,-4.395648404598236,-5.059,0.6633516
-5.26,-5.129182759761811,-4.454000000000001,-0.67518276
-0.11,-0.9311962766647337,-2.542,1.6108037
-16.92,-17.465927556991577,-21.404,3.9380724
-3.88,-2.725851287841797,-1.6150000000000002,-1.1108513
-3.12,-2.1663977451324463,-0.907,-1.2593977
-1.74,-1.7368929748535151,-1.3129999999999995,-0.42389297
-0.77,-1.1142295722961424,-2.663,1.5487704
-1.21,-0.3504559770822526,-0.1360000000000001,-0.21445598
-4.7,-5.756994907855988,-6.505000000000001,0.7480051
-5.94,-5.576156986117363,-5.766,0.18984301
-0.23,-0.3687794957160948,0.5590000000000002,-0.9277795
-4.4,-3.277354640483856,-2.457,-0.82035464
-2.11,-1.8622552533149719,-2.452,0.58974475
-3.04,-2.7971915974617003,-3.739,0.9418084
-4.59,-4.426538977622986,-5.035,0.608461
-4.09,-2.9601361169815066,-1.889,-1.0711361
-0.16,0.151760405778885,0.4380000000000001,-0.2862396
-3.28,-2.746207558631897,-2.187,-0.55920756
-2.28,-2.0063583478927622,-3.136000000000001,1.1296417
-6.5,-7.119612211227418,-10.569,3.4493878
-0.1,0.08447187519073496,1.106,-1.0215281
-1.24,-0.45230111408233675,-0.7430000000000003,0.2906989
-0.19,-1.1126828613281252,0.2559999999999998,-1.3686829
-1.31,-0.867050075769424,-1.1939999999999995,0.32694992
-2.89,-2.9661106703281406,-2.6060000000000003,-0.36011067
-8.84,-8.278307356357574,-7.702,-0.57630736
-1.66,-1.755168263435364,-0.4170000000000002,-1.3381683
-3.8,-4.150767088890076,-5.801,1.6502329
-4.7,-4.948303764581681,-4.7620000000000005,-0.18630376
-3.92,-5.148063892364501,-6.568999999999999,1.4209361
-4.02,-3.664635416030885,-7.296000000000001,3.6313646
-3.64,-4.487639219284057,-5.882,1.3943608
-4.15,-1.7874487400054928,0.9000000000000004,-2.6874487
-1.24,-1.6557693080902096,-0.2329999999999996,-1.4227693
-3.13,-3.7376972923278817,-5.976000000000001,2.2383027
-0.84,-0.9446366595029834,-0.8080000000000003,-0.13663666
-2.74,-2.4420774866342545,-2.677,0.23492251
-5.9,-5.222220283389092,-5.009,-0.21322028
-18.17,-17.544989191055297,-20.386,2.8410108
2.93,2.378076894760132,3.133,-0.7549231
-7.58,-6.892474395751953,-3.957,-2.9354744
-3.67,-2.930638551712036,-2.5,-0.43063855
2.56,2.828152987957001,3.16,-0.331847
-9.29,-9.114391481041908,-9.196,0.08160852
-4.12,-3.925882774114609,-3.712,-0.21388277
-7.48,-7.628594497680664,-7.179,-0.4495945
-1.34,-1.4129697647094726,0.7410000000000001,-2.1539698
0.16,0.13620860397815715,0.2450000000000001,-0.108791396
-3.84,-3.8548258209228514,-4.84,0.9851742
-15.83,-15.3967783908844,-17.948,2.5512216
-0.89,-1.4940887513160708,-2.244,0.74991125
-9.53,-14.679150798797608,-17.503,2.8238492
-6.79,-5.539701638221741,-5.0600000000000005,-0.47970164
-0.55,-0.2808919529914855,-0.6479999999999999,0.36710805
-4.97,-6.803739093780518,-10.849,4.045261
-2.78,-2.240642497539521,-2.6350000000000007,0.3943575
-0.8,-1.156533628463745,-1.456,0.29946637
-1.39,-1.1673627161979674,-0.7149999999999999,-0.45236272
-0.11,0.6968096504211423,-0.4490000000000003,1.1458097
-1.01,-0.9805294303894043,-0.653,-0.32752943
2.34,2.694827047497034,2.731,-0.036172953
-23.62,-24.632185147285462,-22.823,-1.8091851
-4.23,-5.1198509511947625,-5.005999999999999,-0.11385095
-9.2,-9.831862169742584,-10.594,0.76213783
-7.63,-8.619849293708802,-9.493,0.8731507
1.07,-0.748149169921875,-3.964,3.2158508
-5.21,-5.6510352873802185,-4.915,-0.7360353
-6.4,-7.414341324329375,-7.105999999999999,-0.30834132
-2.55,-2.190884826660156,0.6020000000000003,-2.7928848
-3.54,-3.7630758633613586,-3.424,-0.33907586
-1.27,-1.5790888707637785,-1.6229999999999998,0.04391113
1.66,1.8787704815864563,2.399,-0.5202295
-6.01,-4.90297470331192,-4.54,-0.3629747
-6.16,-6.3522493724823,-10.263,3.9107506
-2.33,0.8063079280853271,3.367,-2.560692
-4.87,-4.916368450164795,-10.664,5.7476315
-6.96,-6.926831773281096,-7.790999999999999,0.8641682
-5.49,-5.817655518531799,-5.353,-0.46465552
