expt,physics_ml,physics,ml
-2.49,-2.6967321517181397,-3.72622,1.0294878
-3.82,-4.320550109176636,-5.70653,1.3859799
-0.98,-0.8910007368960381,-0.999704,0.10870326
-1.59,-0.9405176097173691,-0.719727,-0.22079061
-4.55,-4.374766206283569,-3.02802,-1.3467462
-2.73,-2.4274743814468382,-2.63325,0.20577562
-0.53,-0.8992668461689949,-0.940476,0.041209154
-0.25,-0.18238572836494443,-0.471056,0.28867027
-2.82,-2.2646570883274078,-1.84855,-0.4161071
2.51,1.686273362979889,1.94086,-0.25458664
-0.83,-0.6177805662979126,0.0773561,-0.69513667
-7.5,-8.49878431637764,-8.80233,0.30354568
-1.99,-2.26333486918211,-2.3491,0.08576513
-6.88,-7.400676554870605,-6.14795,-1.2527266
-3.64,-4.379946151275635,-5.01902,0.63907385
-5.22,-3.833430270309448,-2.18137,-1.6520603
-0.83,-1.3773050841927528,-1.44315,0.065844916
-0.68,-0.8061513334879875,-0.835526,0.029374667
-3.56,-3.5672086040687563,-2.86147,-0.7057386
-2.49,-2.7970786981964113,-3.65004,0.8529613
-0.99,-1.4995821831083298,-1.62836,0.12877782
-6.16,-5.36252748052597,-4.45142,-0.9111075
-2.23,-2.2922166731643676,-3.55178,1.2595633
-0.53,-0.7636892113624573,-0.0964986,-0.6671906
-5.1,-4.851707521686554,-4.07426,-0.7774475
-4.47,-3.3083145896100996,-3.08674,-0.22157459
-7.17,-7.102564487495423,-6.12954,-0.9730245
1.38,1.3044565768032075,0.995003,0.30945358
0.29,0.5380498692913055,0.842092,-0.30404213
-10.08,-11.888664651441575,-11.4593,-0.42936465
-2.78,-2.782141254882813,-4.36373,1.5815887
-11.0,-10.749698181867599,-11.027,0.27730182
-3.15,-4.139691163754463,-3.9786,-0.16109116
-5.85,-7.278845454940796,-4.87226,-2.4065855
-6.21,-5.932802305297852,-7.45533,1.5225277
-5.26,-5.059847436103821,-4.11941,-0.94043744
-1.14,-1.1640868497157097,-1.21859,0.05450315
-10.03,-10.536107617950439,-14.7366,4.2004924
-2.4,-3.1696862972354887,-3.65181,0.4821237
-2.33,-2.04364642819643,-2.13828,0.09463357
