expt,physics_ml,physics,ml
-2.49,-2.5801584568023683,-5.059,2.4788415
-3.82,-4.27443493270874,-10.084,5.809565
-0.98,-0.9812743034362792,-1.884,0.9027257
-1.59,-1.0474985636472702,-1.157,0.10950144
-4.55,-4.384950248718262,-5.567,1.1820498
-2.73,-2.253786054611206,-3.516,1.262214
-0.53,-1.3582947087287902,-1.92,0.5617053
-0.25,-0.3550989184379577,-0.941,0.5859011
-2.82,-3.1397344007492065,-1.839,-1.3007344
2.51,2.256566478729248,1.177,1.0795665
-0.83,-0.2133667746782304,-0.1260000000000001,-0.087366775
-7.5,-7.52627600479126,-13.788,6.261724
-1.99,-2.65995769071579,-3.258,0.5980423
-6.88,-6.037228826522826,-8.578999999999999,2.5417712
-3.64,-4.277152313590049,-4.154999999999999,-0.12215231
-5.22,-2.1055801486968995,0.565,-2.6705801
-0.83,-1.0553380446434024,-1.9830000000000003,0.92766196
-0.68,-0.6165117959976196,-1.373,0.7564882
-3.56,-3.3378272032737737,-4.3100000000000005,0.9721728
-2.49,-2.8864130096435545,-4.558,1.671587
-0.99,-1.7614740860760214,-1.7380000000000002,-0.023474086
-6.16,-5.20042389678955,-6.337999999999999,1.1375761
-2.23,-1.8280474777221674,-4.436999999999999,2.6089525
-0.53,-0.6939132970571518,-0.47,-0.2239133
-5.1,-5.224251341462136,-5.384,0.15974866
-4.47,-3.7749243010282516,-3.952,0.1770757
-7.17,-6.262919951438904,-4.476,-1.78692
1.38,0.5277287969589233,0.176,0.3517288
0.29,0.23390570402145383,-0.53,0.7639057
-10.08,-9.285808597564698,-15.336,6.0501914
-2.78,-2.265433368682861,-7.81,5.5445666
-11.0,-10.219159206390382,-13.534,3.3148408
-3.15,-5.126009506225587,-6.369000000000001,1.2429905
-5.85,-6.32490830373764,-7.212,0.8870917
-6.21,-6.848410459518433,-10.271,3.4225895
-5.26,-4.952312357902527,-5.908,0.95568764
-1.14,-1.1197892360687254,-2.143,1.0232108
-10.03,-10.82616512680054,-17.249000000000002,6.422835
-2.4,-3.021745718002319,-4.938,1.9162543
-2.33,-1.839596047282219,-1.618,-0.22159605
2.38,1.4085098752975465,1.201,0.20750988
1.77,1.8775844135284423,-1.971,3.8485844
-6.5,-3.8163713073730463,-10.36,6.5436287
-1.62,-1.3820908112525938,-0.4169999999999998,-0.9650908
-1.79,-2.559852973461151,-2.904,0.34414703
-6.79,-6.6384894309043885,-7.431,0.79251057
-1.1,-1.8838162794411182,-1.932,0.04818372
-0.9,-1.3047792787551882,-2.462,1.1572207
-3.41,-3.6721317291259767,-4.95,1.2778683
-3.52,-3.7288140449523928,-5.341,1.612186
-1.43,-2.304810817480087,-1.914,-0.39081082
0.0,-0.19588343623280524,-0.238,0.042116564
-20.52,-17.493620803833007,-14.703,-2.7906208
1.47,0.8783743019104004,0.562,0.3163743
-4.62,-4.085321130990982,-3.734,-0.35132113
-2.38,-2.496804349899292,-3.643,1.1461957
-7.19,-7.231927310943604,-13.637,6.4050727
2.1,1.2996938301324845,1.092,0.20769383
-9.73,-10.279317127227783,-14.286,4.006683
-4.02,-3.742057692050934,-3.149,-0.5930577
-10.0,-8.06176160621643,-10.138,2.0762384
-3.5,-3.7720818157196048,-6.937,3.1649182
-2.07,-2.142989534378052,-5.094,2.9510105
-0.33,-0.39176149177551256,-0.7229999999999999,0.3312385
-0.9,-0.8128618035316468,-1.491,0.6781382
1.83,0.8936288996934891,0.8140000000000001,0.0796289
0.1,-2.1557699279785147,-8.008,5.85223
-1.5,-1.3479061462879176,-1.4539999999999995,0.10609385
-6.6,-6.229519132614136,-7.579000000000001,1.3494809
-7.0,-10.159765254974365,-13.862,3.7022347
-0.46,-1.2190077023506163,-2.058,0.8389923
-10.17,-9.675649684906006,-10.994,1.3183503
-5.66,-4.956164416313172,-6.384,1.4278356
1.83,1.057333279132843,0.388,0.6693333
-0.1,-0.39742564260959606,-0.4749999999999998,0.07757436
-0.45,-0.4739907407760615,-1.5649999999999995,1.0910093
3.16,2.0949953672587873,2.063,0.031995367
-0.63,-0.7636690921783449,-1.0570000000000002,0.2933309
2.51,1.3865519208610058,1.349,0.03755192
-3.15,-3.03803392791748,-4.164,1.1259661
-2.56,-1.5542057838439938,-7.209,5.654794
-9.51,-9.470526081085206,-12.156,2.685474
-5.0,-4.759864997148514,-4.6930000000000005,-0.066865
-14.21,-13.03831171798706,-16.648,3.6096883
2.55,1.7525699155330658,1.933,-0.18043008
-2.56,-2.717789014816284,-5.284,2.566211
-6.25,-5.293704563140869,-6.356,1.0622954
-2.92,-3.2703343420028688,-4.378,1.1076657
-6.0,-6.925837661743165,-11.502,4.5761623
-1.66,-1.4208979702293871,-1.4529999999999998,0.03210203
-11.85,-11.508245880126953,-16.782,5.273754
-4.1,-4.633837357521058,-6.191000000000001,1.5571626
-7.66,-7.094298148155211,-8.399999999999999,1.3057019
-1.45,-1.960471357345581,-0.1639999999999999,-1.7964714
-1.93,-2.5297708959579466,-3.897,1.3672291
-1.36,-1.5958225383758546,-2.164,0.56817746
0.25,-0.19617668533325205,-0.6140000000000001,0.4178233
-2.45,-0.6481280212402343,-3.763,3.114872
0.34,0.2211622903048993,0.2330000000000001,-0.01183771
-5.74,-15.902054397583008,-22.442,6.5399456
-16.43,-15.239804327011111,-16.787000000000003,1.5471957
2.88,2.084905666351318,1.494,0.59090567
-4.52,-5.400350693702698,-6.704000000000001,1.3036493
-2.26,-1.2549794673919674,-4.225,2.9700205
2.56,1.580842221736908,1.451,0.12984222
-5.33,-4.940442839622498,-6.216,1.2755572
-4.8,-4.8664263091981415,-4.9,0.03357369
-9.76,-8.621038695335388,-9.946,1.3249613
-9.65,-8.694874665260315,-10.122,1.4271253
-0.78,-0.4069062428474428,-0.9580000000000002,0.55109376
-5.04,-6.172873888015747,-8.035,1.8621261
-7.98,-9.7071298828125,-14.874,5.16687
-9.8,-8.78764677286148,-8.065,-0.7226468
-18.72,-17.31076188468933,-20.654,3.343238
-10.64,-8.221783628940582,-9.078,0.8562164
-2.22,-2.3320135955810546,-3.888,1.5559864
-7.77,-6.1129143390655525,-3.0660000000000003,-3.0469143
-9.61,-10.187467037200928,-15.111,4.923533
-3.68,-3.1280534725189213,-6.573,3.4449465
-4.78,-5.662854887485504,-6.364,0.7011451
-3.84,-3.4679185280799865,-2.501,-0.9669185
-3.37,-2.04387677359581,-2.438,0.39412323
-4.68,-6.842471500396728,-11.946,5.1035285
-1.24,-1.7352209091186523,-3.25,1.5147791
-4.39,-4.012572885990142,-3.514,-0.4985729
-9.94,-9.141786708831788,-13.765,4.6232133
-6.13,-5.689546656608581,-6.699999999999999,1.0104533
-6.13,-6.118346969127655,-7.054,0.93565303
-6.09,-6.637068334579467,-10.241,3.6039317
-3.65,-2.423005345344543,-1.2779999999999998,-1.1450053
-3.71,-2.279545657157898,-0.3420000000000001,-1.9375457
-3.78,-3.2965827999114996,-4.531000000000001,1.2344172
-1.4,-1.0425925168991093,-2.2910000000000004,1.2484075
1.16,0.6919115505218505,0.1459999999999999,0.54591155
-1.08,-1.2563231806755064,-1.6729999999999998,0.41667682
-4.31,-4.159902130126953,-8.711,4.551098
1.32,0.32019649076461804,-0.0569999999999999,0.3771965
-6.69,-8.135701398849488,-11.855,3.7192986
-0.85,-0.45696937561035167,-1.745,1.2880306
-0.9,-2.3473175787925715,-2.9399999999999995,0.5926824
2.93,2.4807000136375428,1.81,0.6707
-2.93,-3.6823417323827745,-3.555,-0.12734173
-11.14,-11.064213459014892,-12.292,1.2277865
-5.91,-5.390644738674164,-6.26,0.86935526
-3.64,-3.1577073357403274,-3.2139999999999995,0.056292664
-4.91,-5.922305505752564,-7.1930000000000005,1.2706945
-0.86,-0.7416614542007445,-1.5759999999999998,0.83433855
-5.53,-5.867243692398071,-7.146999999999999,1.2797563
-4.95,-4.824033160924912,-5.277,0.45296684
0.14,0.39322368156909926,0.1869999999999998,0.20622368
-0.8,-1.1862208828926086,-1.986,0.7997791
-13.43,-14.694232222080231,-14.259,-0.43523222
-7.78,-8.706410228729249,-13.662,4.95559
-1.92,-2.143413288116455,-6.957,4.8135867
-6.23,-4.904541549444199,-5.391,0.48645845
-2.64,-2.9735733065605165,-3.966,0.9924267
-8.61,-9.411840852737427,-11.634,2.2221591
-4.04,-3.9947236595153814,-5.906000000000001,1.9112763
-5.26,-4.958926506996155,-5.871,0.9120735
-0.11,0.6258622589111327,-3.156,3.7818623
-16.92,-17.056078453063964,-20.52,3.4639215
-3.88,-3.358764258176089,-3.4150000000000005,0.05623574
-3.12,-1.842665962934494,-1.386,-0.45666596
-1.74,-1.3178506784439081,-2.6179999999999994,1.3001493
-0.77,-1.8064968061447146,-3.5700000000000003,1.7635032
