expt,physics_ml,physics,ml
-2.49,-2.939747507362366,-4.00628,1.0665325
-3.82,-4.455974361648559,-7.40799,2.9520156
-0.98,-1.103169155163765,-1.03292,-0.070249155
-1.59,-1.3460426831912995,-1.07732,-0.26872268
-4.55,-4.876421100521088,-5.87065,0.9942289
-2.73,-2.2997515810775755,-2.41788,0.11812842
-0.53,-1.546235375022888,-2.7346,1.1883646
-0.25,-0.15630305107116704,-0.71708,0.56077695
-2.82,-3.1593099153137207,-1.56176,-1.5975499
2.51,1.8526511961364747,1.40514,0.4475112
-0.83,-0.66577137789917,-0.126202,-0.5395694
-7.5,-8.200818325424194,-10.8339,2.6330817
-1.99,-2.2708438298940656,-2.4254,0.15455617
-6.88,-6.254647219009399,-6.78707,0.5324228
-3.64,-4.436426447048188,-3.56014,-0.87628645
-5.22,-2.2458609856262206,0.758061,-3.003922
-0.83,-0.9307575197887421,-1.12182,0.19106248
-0.68,-0.44143034204959875,-0.52897,0.08753966
-3.56,-3.304970546822548,-3.07073,-0.23424055
-2.49,-3.0486843433094024,-3.53497,0.48628566
-0.99,-1.3197630180454254,-1.64191,0.32214698
-6.16,-5.416473696479797,-7.09326,1.6767863
-2.23,-2.596277717628479,-3.54854,0.9522623
-0.53,-1.280171800239563,-0.480758,-0.7994138
-5.1,-5.6110872751617435,-6.24389,0.6328027
-4.47,-3.902226856298447,-4.35282,0.45059314
-7.17,-7.381797271499634,-4.25126,-3.1305373
1.38,1.0417992907276155,0.742274,0.2995253
0.29,0.40201760348320004,0.17009,0.2319276
-10.08,-9.040380878829955,-12.6779,3.6375191
-2.78,-3.10966165725708,-5.86792,2.7582583
-11.0,-11.213149804329872,-11.1336,-0.079549804
-3.15,-4.510092372083664,-4.9079,0.39780763
-5.85,-7.344116372566223,-8.22223,0.8781136
-6.21,-5.739652465820312,-11.8365,6.0968475
-5.26,-5.1489115912055965,-5.99241,0.8434984
-1.14,-1.1417490633821488,-1.29576,0.15401094
-10.03,-11.05913766746521,-14.2538,3.1946623
-2.4,-3.716566830358505,-4.12996,0.41339317
-2.33,-2.1786217628002165,-1.8648,-0.31382176
2.38,1.630025245923996,1.44952,0.18050525
1.77,1.508548266860962,0.791322,0.71722627
-6.5,-5.946067571411133,-9.71401,3.7679424
-1.62,-1.367466675567627,0.120075,-1.4875417
-1.79,-2.1843829360294342,-2.33928,0.15489706
-6.79,-7.204800225477219,-7.52273,0.31792977
-1.1,-1.5730797475337983,-1.8681,0.29502025
-0.9,-1.0531816700935364,-1.43665,0.38346833
-3.41,-3.656395590853691,-3.8887,0.23230441
-3.52,-3.665858953170776,-4.39293,0.72707105
-1.43,-0.7559509266710281,-0.99751,0.24155907
0.0,-0.037477923204422,0.101348,-0.13882592
