expt,physics_ml,physics,ml
-2.49,-2.7125508785247803,0,-2.7125509
-3.82,-4.540073394775391,0,-4.5400734
-0.98,-0.8784839510917664,0,-0.87848395
-1.59,-0.8854681253433228,0,-0.8854681
-4.55,-5.740642547607422,0,-5.7406425
-2.73,-1.3853682279586792,0,-1.3853682
-0.53,-0.03959072381258011,0,-0.039590724
-0.25,0.7767170071601868,0,0.776717
-2.82,-2.2368738651275635,0,-2.2368739
2.51,0.6181344985961914,0,0.6181345
-0.83,-1.5584981441497803,0,-1.5584981
-7.5,-5.9399895668029785,0,-5.9399896
-1.99,-0.9021934270858765,0,-0.9021934
-6.88,-5.97363805770874,0,-5.973638
-3.64,-3.2040274143218994,0,-3.2040274
-5.22,-3.238049030303955,0,-3.238049
-0.83,-0.24340298771858215,0,-0.24340299
-0.68,-0.06511218100786209,0,-0.06511218
-3.56,-2.1324636936187744,0,-2.1324637
-2.49,-2.4922280311584473,0,-2.492228
-0.99,-0.8762532472610474,0,-0.87625325
-6.16,-5.273067474365234,0,-5.2730675
-2.23,-2.5707061290740967,0,-2.5707061
-0.53,-0.9536213278770447,0,-0.9536213
-5.1,-5.128981113433838,0,-5.128981
-4.47,-3.0008254051208496,0,-3.0008254
-7.17,-5.64555025100708,0,-5.6455503
1.38,0.9214181900024414,0,0.9214182
0.29,0.8640133142471313,0,0.8640133
-10.08,-6.00629186630249,0,-6.006292
-2.78,-3.2904324531555176,0,-3.2904325
-11.0,-10.499662399291992,0,-10.499662
-3.15,-2.1151795387268066,0,-2.1151795
-5.85,-6.938609600067139,0,-6.9386096
-6.21,-5.269606590270996,0,-5.2696066
-5.26,-5.57744836807251,0,-5.5774484
-1.14,-0.3458399176597595,0,-0.34583992
-10.03,-11.808423042297363,0,-11.808423
-2.4,-2.2208662033081055,0,-2.2208662
-2.33,-0.9131470918655396,0,-0.9131471
2.38,0.9640130996704102,0,0.9640131
1.77,0.9798675775527954,0,0.9798676
-6.5,-4.600212097167969,0,-4.600212
-1.62,-0.8469880223274231,0,-0.846988
-1.79,-1.0475889444351196,0,-1.047589
-6.79,-6.888382911682129,0,-6.888383
-1.1,-0.5632327795028687,0,-0.5632328
-0.9,-0.1890561431646347,0,-0.18905614
-3.41,-2.9953064918518066,0,-2.9953065
-3.52,-2.4759819507598877,0,-2.475982
-1.43,-0.1224852055311203,0,-0.122485206
0.0,-0.022251233458518982,0,-0.022251233
-20.52,-12.491747856140137,0,-12.491748
1.47,0.7927705645561218,0,0.79277056
-4.62,-4.8765435218811035,0,-4.8765435
-2.38,-1.297456979751587,0,-1.297457
-7.19,-6.891310214996338,0,-6.89131
2.1,0.8513510227203369,0,0.851351
-9.73,-11.066240310668945,0,-11.06624
-4.02,-2.9224066734313965,0,-2.9224067
-10.0,-8.313759803771973,0,-8.31376
-3.5,-2.8868513107299805,0,-2.8868513
-2.07,-2.153310537338257,0,-2.1533105
-0.33,0.2614397406578064,0,0.26143974
-0.9,-0.36795294284820557,0,-0.36795294
1.83,0.5164071917533875,0,0.5164072
0.1,-0.3083561062812805,0,-0.3083561
-1.5,-0.4672192931175232,0,-0.4672193
-6.6,-6.785424709320068,0,-6.7854247
-7.0,-6.973758697509766,0,-6.9737587
-0.46,0.696062445640564,0,0.69606245
-10.17,-8.202033042907715,0,-8.202033
-5.66,-5.102438926696777,0,-5.102439
1.83,0.8468260765075684,0,0.8468261
-0.1,-0.015212848782539368,0,-0.015212849
-0.45,0.3303186893463135,0,0.3303187
3.16,0.8782246112823486,0,0.8782246
-0.63,0.15473558008670807,0,0.15473558
2.51,0.950006365776062,0,0.95000637
-3.15,-3.4352383613586426,0,-3.4352384
-2.56,-2.5701217651367188,0,-2.5701218
-9.51,-8.234551429748535,0,-8.234551
-5.0,-4.888943672180176,0,-4.8889437
-14.21,-11.146595001220703,0,-11.146595
2.55,0.871605634689331,0,0.87160563
-2.56,-2.7813515663146973,0,-2.7813516
-6.25,-6.234401702880859,0,-6.2344017
-2.92,-2.913121461868286,0,-2.9131215
-6.0,-4.553361415863037,0,-4.5533614
-1.66,-1.3023006916046143,0,-1.3023007
-11.85,-10.613004684448242,0,-10.613005
-4.1,-5.223029136657715,0,-5.223029
-7.66,-7.1543426513671875,0,-7.1543427
-1.45,-1.7442255020141602,0,-1.7442255
-1.93,-1.4909082651138306,0,-1.4909083
-1.36,-0.5790549516677856,0,-0.57905495
0.25,0.43492239713668823,0,0.4349224
-2.45,-2.560216188430786,0,-2.5602162
0.34,0.11535625159740448,0,0.11535625
-5.74,-8.801618576049805,0,-8.801619
-16.43,-12.176534652709961,0,-12.176535
2.88,1.0390222072601318,0,1.0390222
-4.52,-3.843381643295288,0,-3.8433816
-2.26,-2.4955849647521973,0,-2.495585
2.56,0.9395054578781128,0,0.93950546
-5.33,-1.941931962966919,0,-1.941932
-4.8,-3.3961880207061768,0,-3.396188
-9.76,-9.277502059936523,0,-9.277502
-9.65,-7.99354362487793,0,-7.9935436
-0.78,-0.9565746188163757,0,-0.9565746
-5.04,-3.3830838203430176,0,-3.3830838
-7.98,-4.858133792877197,0,-4.858134
-9.8,-7.944581508636475,0,-7.9445815
-18.72,-12.811477661132812,0,-12.811478
-10.64,-8.332247734069824,0,-8.332248
-2.22,-0.877295196056366,0,-0.8772952
-7.77,-6.334588050842285,0,-6.334588
-9.61,-12.167580604553223,0,-12.167581
-3.68,-2.4248478412628174,0,-2.4248478
-4.78,-3.4366354942321777,0,-3.4366355
-3.84,-2.803820848464966,0,-2.8038208
-3.37,-1.9496440887451172,0,-1.9496441
-4.68,-6.6894145011901855,0,-6.6894145
-1.24,-1.07436203956604,0,-1.074362
-4.39,-4.572653770446777,0,-4.572654
-9.94,-8.418688774108887,0,-8.418689
-6.13,-6.263912677764893,0,-6.2639127
-6.13,-6.322521686553955,0,-6.3225217
-6.09,-5.646735191345215,0,-5.646735
-3.65,-3.353015661239624,0,-3.3530157
-3.71,-2.5185763835906982,0,-2.5185764
-3.78,-2.4316086769104004,0,-2.4316087
-1.4,-1.5642110109329224,0,-1.564211
1.16,0.5913767218589783,0,0.5913767
-1.08,0.3144819140434265,0,0.3144819
-4.31,-3.515660047531128,0,-3.51566
1.32,0.7186192274093628,0,0.7186192
-6.69,-7.5583672523498535,0,-7.5583673
-0.85,-0.15414150059223175,0,-0.1541415
-0.9,-0.864566445350647,0,-0.86456645
2.93,0.9908854961395264,0,0.9908855
-2.93,-4.574281215667725,0,-4.574281
-11.14,-10.962127685546875,0,-10.962128
-5.91,-6.0440216064453125,0,-6.0440216
-3.64,-4.513792514801025,0,-4.5137925
-4.91,-5.272790908813477,0,-5.272791
-0.86,-0.4854106307029724,0,-0.48541063
-5.53,-4.959907054901123,0,-4.959907
-4.95,-3.546783924102783,0,-3.546784
0.14,0.21298454701900482,0,0.21298455
-0.8,-0.3099377751350403,0,-0.30993778
-13.43,-12.063891410827637,0,-12.063891
-7.78,-6.637976169586182,0,-6.637976
-1.92,-1.966880440711975,0,-1.9668804
-6.23,-6.000978469848633,0,-6.0009785
-2.64,-2.9534177780151367,0,-2.9534178
-8.61,-7.337238788604736,0,-7.337239
-4.04,-2.34574294090271,0,-2.345743
-5.26,-5.527921676635742,0,-5.5279217
-0.11,0.5999645590782166,0,0.59996456
-16.92,-12.807148933410645,0,-12.807149
-3.88,-4.515697002410889,0,-4.515697
-3.12,-2.807224988937378,0,-2.807225
-1.74,-1.2315614223480225,0,-1.2315614
-0.77,-0.8207311630249023,0,-0.82073116
-1.21,-0.38048046827316284,0,-0.38048047
-4.7,-4.277856349945068,0,-4.2778563
-5.94,-5.392229080200195,0,-5.392229
-0.23,-0.06934335082769394,0,-0.06934335
-4.4,-4.514482021331787,0,-4.514482
-2.11,-2.3866896629333496,0,-2.3866897
-3.04,-2.500706195831299,0,-2.5007062
-4.59,-3.398444175720215,0,-3.3984442
-4.09,-4.519014358520508,0,-4.5190144
-0.16,0.13211993873119354,0,0.13211994
-3.28,-2.0582668781280518,0,-2.0582669
-2.28,-2.581157922744751,0,-2.581158
-6.5,-7.0099711418151855,0,-7.009971
-0.1,0.14228709042072296,0,0.14228709
-1.24,-1.104659914970398,0,-1.1046599
-0.19,0.8720718622207642,0,0.87207186
-1.31,-1.5844664573669434,0,-1.5844665
-2.89,-3.38299560546875,0,-3.3829956
-8.84,-6.950762748718262,0,-6.9507627
-1.66,-2.288505792617798,0,-2.2885058
-3.8,-4.068949222564697,0,-4.068949
-4.7,-4.257317066192627,0,-4.257317
-3.92,-4.653717041015625,0,-4.653717
-4.02,-4.750064373016357,0,-4.7500644
-3.64,-3.9873929023742676,0,-3.987393
-4.15,-2.879770517349243,0,-2.8797705
-1.24,-0.6167210340499878,0,-0.61672103
-3.13,-3.533769130706787,0,-3.5337691
-0.84,0.41012340784072876,0,0.4101234
-2.74,-2.707982301712036,0,-2.7079823
-5.9,-5.504746913909912,0,-5.504747
-18.17,-12.816280364990234,0,-12.81628
2.93,0.9432364702224731,0,0.9432365
-7.58,-5.018511772155762,0,-5.018512
-3.67,-2.063817024230957,0,-2.063817
2.56,0.6913260817527771,0,0.6913261
-9.29,-10.216742515563965,0,-10.2167425
-4.12,-3.5149929523468018,0,-3.514993
-7.48,-6.479929447174072,0,-6.4799294
-1.34,-0.6549320220947266,0,-0.654932
0.16,-0.30437618494033813,0,-0.30437618
-3.84,-3.6155481338500977,0,-3.6155481
-15.83,-12.83150577545166,0,-12.831506
-0.89,-0.3691847324371338,0,-0.36918473
-9.53,-10.545665740966797,0,-10.545666
-6.79,-6.60136079788208,0,-6.601361
-0.55,0.16690073907375336,0,0.16690074
-4.97,-3.968841314315796,0,-3.9688413
-2.78,-3.050522565841675,0,-3.0505226
-0.8,-0.523584246635437,0,-0.52358425
-1.39,-0.4085701107978821,0,-0.4085701
-0.11,0.9803223609924316,0,0.98032236
-1.01,-0.752000093460083,0,-0.7520001
2.34,0.7115201950073242,0,0.7115202
-23.62,-12.418134689331055,0,-12.418135
-4.23,-3.1977405548095703,0,-3.1977406
-9.2,-7.477489471435547,0,-7.4774895
-7.63,-7.3477067947387695,0,-7.347707
1.07,0.8278598785400391,0,0.8278599
-5.21,-5.997796058654785,0,-5.997796
-6.4,-5.3607306480407715,0,-5.3607306
-2.55,-0.6074733734130859,0,-0.6074734
-3.54,-2.4568417072296143,0,-2.4568417
-1.27,-0.44500595331192017,0,-0.44500595
1.66,0.9002910852432251,0,0.9002911
-6.01,-5.797167778015137,0,-5.797168
-6.16,-5.267188549041748,0,-5.2671885
-2.33,-0.5537999868392944,0,-0.5538
-4.87,-5.690691947937012,0,-5.690692
-6.96,-5.314179420471191,0,-5.3141794
-5.49,-6.2291412353515625,0,-6.229141
-3.52,-3.0478763580322266,0,-3.0478764
-2.13,-2.1259920597076416,0,-2.125992
-5.23,-3.6535520553588867,0,-3.653552
-6.78,-8.254229545593262,0,-8.25423
-5.99,-5.240518093109131,0,-5.240518
-1.46,0.02002069354057312,0,0.020020694
-11.53,-9.421321868896484,0,-9.421322
-4.09,-3.863130569458008,0,-3.8631306
-1.28,-0.3231240510940552,0,-0.32312405
-3.3,-2.0615506172180176,0,-2.0615506
-4.58,-6.25958251953125,0,-6.2595825
-6.12,-5.193166255950928,0,-5.1931663
-5.66,-4.238089561462402,0,-4.2380896
-4.21,-4.52595853805542,0,-4.5259585
-1.46,-1.4871705770492554,0,-1.4871706
0.56,0.48424017429351807,0,0.48424017
2.3,0.8694263696670532,0,0.86942637
-5.45,-3.917098045349121,0,-3.917098
-1.2,-0.6468644142150879,0,-0.6468644
-5.73,-3.9929630756378174,0,-3.992963
-7.43,-4.281608581542969,0,-4.2816086
-2.32,-0.8584543466567993,0,-0.85845435
1.58,0.8854267597198486,0,0.88542676
-6.62,-7.179697036743164,0,-7.179697
-3.45,-3.179564952850342,0,-3.179565
-3.11,-2.713059425354004,0,-2.7130594
-1.12,-0.5149329900741577,0,-0.514933
-3.1,-2.187082529067993,0,-2.1870825
-0.3,0.17241059243679047,0,0.17241059
2.3,0.8992985486984253,0,0.89929855
-5.91,-5.7358880043029785,0,-5.735888
-8.41,-7.802307605743408,0,-7.8023076
-3.81,-2.9111928939819336,0,-2.911193
-5.57,-6.101814270019531,0,-6.1018143
-2.55,-1.920838713645935,0,-1.9208387
-5.21,-5.658120155334473,0,-5.65812
-11.01,-9.731168746948242,0,-9.731169
-2.86,-2.6322875022888184,0,-2.6322875
1.01,0.8183586597442627,0,0.81835866
-4.29,-3.1588118076324463,0,-3.1588118
-9.86,-9.294004440307617,0,-9.294004
-10.27,-8.643208503723145,0,-8.6432085
-3.58,-3.4365382194519043,0,-3.4365382
-5.73,-3.6678757667541504,0,-3.6678758
-4.57,-4.2000861167907715,0,-4.200086
-5.1,-6.262110233306885,0,-6.26211
-6.619999999999999,-5.569294452667236,0,-5.5692945
1.59,0.7865428328514099,0,0.78654283
-5.72,-4.395171165466309,0,-4.395171
-6.25,-5.2271647453308105,0,-5.2271647
-0.04,-0.08833450824022293,0,-0.08833451
-1.64,-0.9116753935813904,0,-0.9116754
-5.8,-5.941826820373535,0,-5.941827
2.51,0.8237982392311096,0,0.82379824
-7.37,-5.447431564331055,0,-5.4474316
-3.95,-3.351093053817749,0,-3.351093
-3.43,-2.409721612930298,0,-2.4097216
-9.82,-7.7897868156433105,0,-7.789787
1.28,0.3991398811340332,0,0.39913988
-4.27,-3.7984743118286133,0,-3.7984743
-8.68,-6.958444595336914,0,-6.9584446
-8.84,-5.582756996154785,0,-5.582757
-9.37,-7.031754493713379,0,-7.0317545
0.0,0.9719514846801758,0,0.9719515
-18.06,-12.853156089782715,0,-12.853156
-3.65,-3.3058862686157227,0,-3.3058863
-5.82,-6.127198696136475,0,-6.1271987
-0.03,-0.04201310873031616,0,-0.04201311
-4.16,-4.09067440032959,0,-4.0906744
-5.11,-5.234649658203125,0,-5.2346497
-4.4,-4.697768688201904,0,-4.6977687
-12.74,-10.988874435424805,0,-10.988874
1.07,0.5481626391410828,0,0.54816264
-3.88,-3.815782308578491,0,-3.8157823
-3.95,-3.191777229309082,0,-3.1917772
2.13,0.8448613882064819,0,0.8448614
-0.53,-0.036467015743255615,0,-0.036467016
-1.69,-2.5199549198150635,0,-2.519955
-5.48,-5.206247806549072,0,-5.206248
-0.59,0.3492482900619507,0,0.3492483
-7.07,-6.601203441619873,0,-6.6012034
0.67,0.5835859775543213,0,0.583586
-9.61,-8.210001945495605,0,-8.210002
-3.43,-2.4211766719818115,0,-2.4211767
-2.49,-1.343505859375,0,-1.3435059
-6.44,-7.00289249420166,0,-7.0028925
-4.55,-3.943910837173462,0,-3.9439108
-8.18,-6.782843589782715,0,-6.7828436
-3.44,-0.7797911167144775,0,-0.7797911
-5.06,-3.1499087810516357,0,-3.1499088
-6.5,-6.563121795654297,0,-6.563122
3.12,0.6751736402511597,0,0.67517364
-1.34,-0.8989156484603882,0,-0.89891565
-1.29,-0.5697672963142395,0,-0.5697673
-2.02,-2.6736388206481934,0,-2.6736388
-9.13,-12.277268409729004,0,-12.277268
-2.1,-1.1782320737838745,0,-1.1782321
-6.55,-5.294173717498779,0,-5.2941737
-2.49,-2.585127830505371,0,-2.5851278
-2.64,-3.1185479164123535,0,-3.118548
-6.27,-6.65401554107666,0,-6.6540155
-3.88,-3.3235816955566406,0,-3.3235817
-7.03,-6.590274333953857,0,-6.5902743
-0.57,0.4067709445953369,0,0.40677094
2.51,0.9205437898635864,0,0.9205438
-4.09,-3.1380209922790527,0,-3.138021
-2.3,-1.0668439865112305,0,-1.066844
0.29,-0.014353454113006592,0,-0.014353454
-3.25,-2.263666868209839,0,-2.2636669
-9.62,-7.8861613273620605,0,-7.8861613
-5.29,-6.190438270568848,0,-6.1904383
-4.35,-5.530910015106201,0,-5.53091
-3.52,-3.032710552215576,0,-3.0327106
-9.3,-7.482837677001953,0,-7.4828377
-2.45,-1.774954080581665,0,-1.7749541
-3.45,-3.2470078468322754,0,-3.2470078
-4.74,-5.533705711364746,0,-5.5337057
-0.8,-0.4059738516807556,0,-0.40597385
-5.18,-4.135102272033691,0,-4.1351023
-2.15,-2.4904773235321045,0,-2.4904773
-12.64,-12.724373817443848,0,-12.724374
-5.33,-4.859042167663574,0,-4.859042
-11.95,-10.48021125793457,0,-10.480211
-5.31,-3.8186185359954834,0,-3.8186185
-2.22,-2.3185486793518066,0,-2.3185487
-7.78,-8.138544082641602,0,-8.138544
-6.92,-6.405664920806885,0,-6.405665
-4.58,-4.740120887756348,0,-4.740121
-3.88,-3.959501266479492,0,-3.9595013
-1.16,-1.269075870513916,0,-1.2690759
-7.29,-6.374141693115234,0,-6.3741417
-2.79,-2.6180217266082764,0,-2.6180217
-1.46,-0.732977032661438,0,-0.73297703
-2.04,-2.6808152198791504,0,-2.6808152
-1.12,-0.4868892431259155,0,-0.48688924
-0.44,-0.28843456506729126,0,-0.28843457
-4.51,-3.9607317447662354,0,-3.9607317
-9.52,-8.260082244873047,0,-8.260082
-0.56,0.35061120986938477,0,0.3506112
1.79,0.9784396886825562,0,0.9784397
-9.63,-8.415197372436523,0,-8.415197
-6.46,-6.364454746246338,0,-6.3644547
0.84,0.6201561689376831,0,0.62015617
-4.69,-4.678586483001709,0,-4.6785865
1.31,0.7187866568565369,0,0.71878666
-15.46,-10.996180534362793,0,-10.996181
-1.12,-0.9573237299919128,0,-0.95732373
-3.51,-2.2778732776641846,0,-2.2778733
-2.67,-2.158430576324463,0,-2.1584306
-3.24,-3.307217836380005,0,-3.3072178
-1.82,-2.3547918796539307,0,-2.3547919
-0.44,0.4261173605918884,0,0.42611736
-8.72,-6.997641086578369,0,-6.997641
-5.73,-6.222175598144531,0,-6.2221756
-2.68,-2.780590057373047,0,-2.78059
-4.06,-4.876997947692871,0,-4.876998
-4.42,-4.430622100830078,0,-4.430622
-8.83,-7.958169460296631,0,-7.9581695
1.2,0.22322575747966766,0,0.22322576
-7.81,-5.502074241638184,0,-5.5020742
-9.71,-9.069684028625488,0,-9.069684
-9.44,-9.490113258361816,0,-9.490113
-6.62,-6.567398548126221,0,-6.5673985
-4.82,-3.2315824031829834,0,-3.2315824
-5.03,-5.072052955627441,0,-5.072053
-8.21,-7.493595123291016,0,-7.493595
-0.79,-0.1788930594921112,0,-0.17889306
-4.45,-5.418637275695801,0,-5.4186373
0.06,0.5229320526123047,0,0.52293205
-6.35,-5.416469573974609,0,-5.4164696
-0.48,0.3586687445640564,0,0.35866874
-0.5,0.31774580478668213,0,0.3177458
-9.4,-7.844430923461914,0,-7.844431
2.83,0.8534581661224365,0,0.85345817
-3.22,-1.2646996974945068,0,-1.2646997
-3.03,-2.224653959274292,0,-2.224654
-2.51,-2.509705066680908,0,-2.509705
0.71,0.8733766078948975,0,0.8733766
-0.14,-0.09959093481302261,0,-0.099590935
-6.19,-6.626016139984131,0,-6.626016
-6.32,-5.050821781158447,0,-5.050822
-3.18,-2.1914796829223633,0,-2.1914797
-9.28,-7.842921257019043,0,-7.8429213
2.67,0.881432056427002,0,0.88143206
2.52,0.8948012590408325,0,0.89480126
0.5,0.9765653610229492,0,0.97656536
-5.49,-6.339513301849365,0,-6.3395133
-3.22,-3.535080671310425,0,-3.5350807
-4.13,-3.5227458477020264,0,-3.5227458
-5.9,-6.365847110748291,0,-6.365847
-3.24,-2.690901279449463,0,-2.6909013
-2.48,-2.2136473655700684,0,-2.2136474
-2.92,-1.606404185295105,0,-1.6064042
-6.2,-6.317997932434082,0,-6.317998
-6.4,-5.208986759185791,0,-5.2089868
-0.4,-0.017494723200798035,0,-0.017494723
-0.25,0.5886058807373047,0,0.5886059
-4.05,-2.83188796043396,0,-2.831888
-3.47,-2.988070249557495,0,-2.9880702
-3.93,-3.9752795696258545,0,-3.9752796
0.56,0.1966596096754074,0,0.19665961
-5.49,-6.630515098571777,0,-6.630515
-8.15,-5.464271068572998,0,-5.464271
-5.51,-4.605161190032959,0,-4.605161
-0.82,0.007956072688102722,0,0.007956073
-1.1,-1.4836622476577759,0,-1.4836622
-0.22,0.6603312492370605,0,0.66033125
-1.61,-0.7170571088790894,0,-0.7170571
1.31,0.8306626677513123,0,0.83066267
-4.39,-3.705287218093872,0,-3.7052872
1.92,0.8866267204284668,0,0.8866267
-4.87,-6.577446937561035,0,-6.577447
-3.2,-1.2383291721343994,0,-1.2383292
0.93,0.7226450443267822,0,0.72264504
-1.96,-0.8921347260475159,0,-0.8921347
-7.29,-6.68916654586792,0,-6.6891665
-6.74,-5.836385726928711,0,-5.8363857
0.18,0.11069713532924652,0,0.110697135
-2.88,-2.4953420162200928,0,-2.495342
-0.48,0.8370369076728821,0,0.8370369
-4.37,-4.07689905166626,0,-4.076899
-0.9,-0.265312135219574,0,-0.26531214
-7.4,-6.137644290924072,0,-6.1376443
-25.47,-12.573603630065918,0,-12.573604
-17.74,-12.811537742614746,0,-12.811538
-4.23,-4.312943458557129,0,-4.3129435
-1.89,-0.8837050795555115,0,-0.8837051
-6.69,-5.377678394317627,0,-5.3776784
-4.44,-5.956827163696289,0,-5.956827
-3.13,-2.8019802570343018,0,-2.8019803
-3.34,-2.3961777687072754,0,-2.3961778
-1.38,-0.8775520920753479,0,-0.8775521
-0.99,-0.83868008852005,0,-0.8386801
-4.24,-3.322437047958374,0,-3.322437
-4.71,-4.781562805175781,0,-4.781563
-4.29,-3.1444623470306396,0,-3.1444623
-4.53,-2.8502159118652344,0,-2.850216
-4.78,-5.418637275695801,0,-5.4186373
-0.78,-1.1049164533615112,0,-1.1049165
-0.95,-0.3626278042793274,0,-0.3626278
-0.74,-0.05053658038377762,0,-0.05053658
-1.21,0.47081923484802246,0,0.47081923
-4.2,-4.09067440032959,0,-4.0906744
