expt,physics_ml,physics,ml
-4.72,-4.258435683250427,-3.08,-1.1784357
-3.04,-2.3802308330535884,0.8990000000000005,-3.2792308
-4.59,-2.5412967300415037,0.2400000000000002,-2.7812967
-3.82,-3.9008378906250005,-8.342,4.441162
-2.93,-3.126559295654297,-4.915,1.7884407
-0.98,-1.3216961717605593,-0.5100000000000002,-0.8116962
-0.74,-1.8472474510073664,-1.7760000000000002,-0.07124745
2.89,2.5582801547050478,3.059,-0.50071985
-1.59,-0.7142192103862763,-0.3540000000000001,-0.3602192
-3.75,-3.512828619301319,-3.437,-0.07582862
-0.25,-0.7469653339385989,-0.1470000000000002,-0.59996533
-2.82,-2.6162160339355465,-1.0439999999999996,-1.572216
-5.48,-4.891899278640747,-2.5780000000000003,-2.3138993
2.51,1.9242064967155454,2.514,-0.5897935
-0.64,0.8937513771057128,2.819,-1.9252486
-7.5,-8.158638774871827,-12.912,4.753361
-1.99,-2.5047533960342405,-2.022,-0.4827534
-4.84,-4.543247972488404,-3.836,-0.707248
-5.22,-1.6173067054748533,2.454,-4.0713067
-0.83,-1.1865776371955872,-0.395,-0.79157764
-0.68,-0.30996731758117685,0.3349999999999999,-0.6449673
-2.49,-2.094884251594543,-3.0489999999999995,0.95411575
-4.93,-5.213444184780121,-4.612,-0.6014442
-6.16,-5.322086519241333,-4.644,-0.6780865
-2.23,-1.74104052066803,-3.18,1.4389595
-0.53,-0.21503012990951564,0.5789999999999997,-0.79403013
-5.1,-4.869954186618328,-4.789,-0.08095419
-4.47,-3.630605323314667,-2.9200000000000004,-0.7106053
-7.17,-7.4922013645172125,-4.813000000000001,-2.6792014
0.29,0.5343397674560546,1.031,-0.49666023
-2.78,-2.839561794281006,-6.998,4.158438
3.43,2.342394871711731,0.92,1.4223949
-3.15,-4.617112386167049,-4.664,0.046887614
-6.21,-6.241105045318603,-9.289,3.047895
-5.71,-6.583204681396484,-9.407,2.8237953
-1.14,-1.3589638352394107,-0.6750000000000003,-0.68396384
-2.4,-2.7363933029174805,-3.919,1.1826067
-2.33,-1.904768323898315,-0.5999999999999996,-1.3047683
-1.14,-1.7326526064872745,-1.6020000000000003,-0.1306526
2.38,1.9642195711135866,2.551,-0.5867804
-5.88,-7.365759755551815,-7.278,-0.087759756
-2.81,-2.3013073883056645,-4.246,1.9446926
1.77,1.374390914440155,1.89,-0.5156091
-1.62,-0.22422434616088838,1.2070000000000003,-1.4312243
-1.79,-2.3168145627975467,-2.1220000000000003,-0.19481456
-6.79,-6.293475874423981,-5.371,-0.9224759
-1.1,-1.3437611753940581,-1.162,-0.18176118
-0.9,-1.4371514344215393,-0.815,-0.62215143
-3.41,-3.684779313147069,-3.689000000000001,0.004220687
-3.52,-3.2080447998046875,-4.359,1.1509552
-1.43,-1.5236693563461303,-0.0689999999999999,-1.4546694
