expt,physics_ml,physics,ml
-4.72,-4.2054268318712715,-4.198,-0.007426832
-3.04,-2.0738298397064208,-1.348,-0.72582984
-4.59,-3.650572862625122,-2.215,-1.4355729
-3.82,-5.057602771759033,-10.084,5.026397
-2.93,-2.6731574192047125,-5.664000000000001,2.9908426
-0.98,-1.1408688988685607,-1.884,0.7431311
-0.74,-1.3088430137634277,-2.347,1.038157
2.89,2.762237411499023,1.531,1.2312374
-1.59,-1.0575602151155472,-1.157,0.099439785
-3.75,-3.4935066261291503,-4.779,1.2854934
-0.25,-0.5953336808681488,-0.941,0.34566632
-2.82,-2.227134241104126,-1.839,-0.38813424
-5.48,-4.766448235511779,-3.6,-1.1664482
2.51,2.2683517475128174,1.177,1.0913517
-0.64,-0.17560188984870911,0.054,-0.22960189
-7.5,-8.237637413024903,-13.788,5.5503626
-1.99,-2.673166437625885,-3.258,0.58483356
-4.84,-4.045485759735108,-4.9510000000000005,0.90551424
-5.22,-2.19201379776001,0.565,-2.7570138
-0.83,-1.223663588047028,-1.9830000000000003,0.7593364
-0.68,-0.31498596477508545,-1.373,1.058014
-2.49,-2.776813896179199,-4.558,1.7811861
-4.93,-4.767556182861329,-5.8420000000000005,1.0744438
-6.16,-5.49092066335678,-6.337999999999999,0.84707934
-2.23,-2.1239630813598627,-4.436999999999999,2.313037
-0.53,-0.4538978536427021,-0.47,0.016102146
-5.1,-5.7194962766170505,-5.384,-0.33549628
-4.47,-2.793320753097534,-3.952,1.1586792
-7.17,-6.330112267494202,-4.476,-1.8541123
0.29,0.17569854974746701,-0.53,0.70569855
-2.78,-2.830693778991699,-7.81,4.979306
3.43,0.93814058303833,-1.05,1.9881406
-3.15,-4.9297637166976935,-6.369000000000001,1.4392363
-6.21,-7.242218347549439,-10.271,3.0287817
-5.71,-7.203033962249755,-10.415,3.211966
-1.14,-1.231221490383148,-2.143,0.9117785
-2.4,-2.962293303489685,-4.938,1.9757067
-2.33,-2.107492326974869,-1.618,-0.48949233
-1.14,-1.6212746357917789,-2.2350000000000003,0.61372536
2.38,1.7143894085884095,1.201,0.5133894
-5.88,-7.979603420257568,-9.311,1.3313966
-2.81,-2.9171758728027344,-5.633,2.7158241
1.77,0.9272372283935546,-1.971,2.8982372
-1.62,-1.137993638038635,-0.4169999999999998,-0.72099364
-1.79,-2.3803149619102477,-2.904,0.52368504
-6.79,-6.316044574737549,-7.431,1.1149554
-1.1,-1.4633397645950317,-1.932,0.46866024
-0.9,-1.3488939876556398,-2.462,1.113106
-3.41,-3.275808048248291,-4.95,1.674192
-3.52,-3.1314078960418703,-5.341,2.209592
-1.43,-1.424950058698654,-1.914,0.48904994
0.0,0.08195001435279847,-0.238,0.31995
1.47,0.9330919320583344,0.562,0.37109193
-2.38,-2.4783458642959593,-3.643,1.1646541
-7.19,-8.018608963012696,-13.637,5.618391
2.1,1.5059508903026582,1.092,0.4139509
-4.02,-3.4237480869293213,-3.149,-0.2747481
-3.5,-2.615707599639893,-6.937,4.3212924
-4.61,-4.7017510242462155,-5.757,1.055249
-2.07,-2.3152479114532474,-5.094,2.778752
-0.33,-0.1528804402351378,-0.7229999999999999,0.57011956
-0.9,-1.159131321668625,-1.491,0.33186868
-2.7,-3.6637166357040405,-4.96,1.2962834
1.83,1.1770416989326478,0.8140000000000001,0.3630417
0.1,-2.9456583099365226,-8.008,5.0623417
-3.9,-3.268642227172852,-4.517,1.2483578
-6.6,-6.395812276840211,-7.579000000000001,1.1831877
2.0,1.4271299734115601,0.939,0.48812997
-7.0,-9.946817409515381,-13.862,3.9151826
-5.66,-5.221322592735291,-6.384,1.1626774
1.83,1.174846101284027,0.388,0.7868461
-0.1,-0.22194725871086102,-0.4749999999999998,0.25305274
-0.45,-0.16736454010009716,-1.5649999999999995,1.3976355
3.16,2.5345528190135957,2.063,0.47155282
-0.63,-0.4980385489463808,-1.0570000000000002,0.55896145
2.51,1.769907199382782,1.349,0.4209072
-4.5,-3.852499449491501,-4.069,0.21650055
-3.15,-3.0496061697006223,-4.164,1.1143938
-2.56,-1.898010143280029,-7.209,5.31099
-5.0,-4.688947387069464,-4.6930000000000005,0.004052613
2.55,1.5332987027168274,1.933,-0.3997013
-2.56,-2.722897371292114,-5.284,2.5611026
-6.25,-5.252454095840454,-6.356,1.1035459
-5.22,-4.226032678604126,-5.292,1.0659673
-2.92,-2.7082383422851564,-4.378,1.6697617
-6.0,-7.518353368759156,-11.502,3.9836466
-4.5,-3.4661531944274904,-3.277,-0.1891532
-4.1,-4.048430219650269,-6.191000000000001,2.1425698
-1.45,-0.7020355715751647,-0.1639999999999999,-0.5380356
-1.93,-2.5359534473419187,-3.897,1.3610466
-1.36,-1.3361917986869813,-2.164,0.8278082
-1.23,-1.342010385751724,-1.5259999999999998,0.18398961
0.25,-0.35033337020874034,-0.6140000000000001,0.26366663
0.34,0.2750381389558316,0.2330000000000001,0.04203814
2.88,2.5726688327789304,1.494,1.0786688
-4.52,-5.718546275138856,-6.704000000000001,0.9854537
-2.26,-1.6415771007537838,-4.225,2.583423
-5.33,-5.0751198921203615,-6.216,1.1408801
-0.78,-1.0351750062704088,-0.9580000000000002,-0.077175006
1.23,1.2363819046914577,1.196,0.040381905
-5.04,-6.3762965536117555,-8.035,1.6587034
-2.22,-2.529831398010254,-3.888,1.3581686
0.75,0.40529140484333037,0.487,-0.081708595
-4.01,-4.244096765518188,-5.385,1.1409032
-3.68,-3.589593933105469,-6.573,2.983406
-0.4,-0.47457762563228595,-0.2989999999999999,-0.17557763
-2.4,-3.309864295959473,-4.589,1.2791357
-4.78,-5.1301465406417845,-6.364,1.2338535
-4.68,-7.42025365447998,-11.946,4.5257463
-1.24,-1.7611104249954224,-3.25,1.4888896
-4.39,-3.6194896265268324,-3.514,-0.10548963
-1.88,-1.6784909867346287,-1.661,-0.017490987
-6.13,-6.0417251706123345,-6.699999999999999,0.6582748
-6.13,-6.51714150094986,-7.054,0.5368585
-6.09,-6.881646934509277,-10.241,3.359353
-3.65,-3.1948072938919063,-1.2779999999999998,-1.9168073
-4.69,-5.007551028251648,-6.3020000000000005,1.294449
-3.78,-3.3445079145431524,-4.531000000000001,1.1864921
-1.4,-1.030019870758057,-2.2910000000000004,1.2609801
1.16,0.629661264181137,0.1459999999999999,0.48366126
-1.08,-1.5705542932748793,-1.6729999999999998,0.10244571
-4.31,-3.6259899482727054,-8.711,5.08501
1.32,0.9891410284042359,-0.0569999999999999,1.046141
-6.69,-8.193265419006348,-11.855,3.6617346
-0.85,-0.5918140363693238,-1.745,1.153186
-7.65,-9.302244858264924,-9.742,0.43975514
-0.9,-1.6788311624526973,-2.9399999999999995,1.2611688
2.93,2.7142072892189026,1.81,0.9042073
-2.93,-3.1195171999931337,-3.555,0.4354828
-4.85,-4.23015998864174,-4.409000000000001,0.17884001
-5.91,-5.797529110908508,-6.26,0.4624709
-3.64,-2.9050782456398005,-3.2139999999999995,0.30892175
2.88,2.1656836256980894,1.736,0.42968363
-0.86,-1.074101234436035,-1.5759999999999998,0.50189877
-5.53,-5.823070094108581,-7.146999999999999,1.3239299
-4.95,-5.894314040660858,-5.277,-0.61731404
0.14,0.4012310440540312,0.1869999999999998,0.21423104
-0.8,-1.4915034160614014,-1.986,0.49449658
-7.47,-7.997730607986449,-9.37,1.3722694
-1.92,-1.7293717689514159,-6.957,5.227628
-2.01,-1.5352664823532105,-1.437,-0.09826648
-3.17,-2.1155032567977905,-0.593,-1.5225033
-2.64,-2.7405832204818728,-3.966,1.2254168
-4.04,-2.3354545650482184,-5.906000000000001,3.5705454
-5.26,-4.890022047519684,-5.871,0.98097795
-0.11,-0.08018098449707045,-3.156,3.075819
-3.12,-1.994863592147827,-1.386,-0.6088636
-1.74,-1.4535406522750849,-2.6179999999999994,1.1644593
-3.92,-1.985331212997437,-3.1370000000000005,1.1516688
-1.21,-0.8886278705596924,-1.633,0.7443721
-4.7,-4.8447551422119135,-7.742999999999999,2.8982449
-5.94,-5.874170951843261,-7.055,1.180829
-4.4,-3.7634199597835543,-3.829,0.06558004
-2.11,-1.4562793006896966,-3.7239999999999993,2.2677207
-3.04,-3.214922562599182,-4.941,1.7260774
-4.59,-3.9018478393554688,-5.5,1.5981522
-0.16,-0.30682745409011836,-0.567,0.26017255
-4.91,-4.115673153877258,-5.242999999999999,1.1273268
-3.28,-2.752792463541031,-2.654,-0.09879246
-2.28,-1.8300858383178715,-4.238,2.4079142
-2.82,-2.45028304195404,-3.5409999999999995,1.090717
-6.5,-7.532141483306885,-11.438,3.9058585
-0.1,-0.1940805552005766,-0.1059999999999998,-0.088080555
-1.24,-1.271369158744812,-2.662,1.3906308
-0.19,-0.6767559430599215,-0.9960000000000002,0.31924406
-1.31,-1.5731637234687805,-2.137,0.5638363
-2.89,-3.0060729856491086,-4.087,1.080927
-1.66,-1.4831724295914175,-1.4440000000000002,-0.03917243
-7.28,-7.928188469886781,-9.178,1.2498115
-3.8,-4.275156391143799,-6.288,2.0128436
-4.7,-4.147818720817566,-5.313,1.1651813
-3.92,-4.652771253585815,-7.645,2.9922287
-4.02,-4.1607751121521,-8.749,4.588225
-3.64,-4.383523729324341,-7.053,2.6694763
-1.24,-1.242551612138748,-1.543,0.3004484
-0.84,-1.4760674669742586,-1.7140000000000002,0.23793253
-2.74,-2.887853578567505,-4.404,1.5161464
-5.9,-5.740159287452697,-6.765,1.0248407
1.68,1.213009152889252,0.3730000000000001,0.84000915
2.93,1.7330873712301254,1.539,0.19408737
-7.58,-4.126097648620606,-0.3680000000000001,-3.7580976
-3.67,-3.505981193542481,-4.4110000000000005,0.9050188
2.56,1.8577211431264877,1.621,0.23672114
-4.12,-3.177997453689575,-4.508,1.3300025
0.16,-0.019101161956787127,-1.645,1.6258988
-4.39,-5.42403048324585,-6.463,1.0389695
0.01,0.07444648265838616,-0.7050000000000001,0.7794465
-3.84,-3.6548577165603637,-5.085,1.4301423
-0.89,-1.5448003549575806,-2.677,1.1321996
3.13,2.322491043806076,1.9,0.42249104
-6.79,-6.086991741418839,-6.346,0.25900826
-0.55,-0.8415318982601168,-1.2080000000000002,0.3664681
-4.97,-6.853247901916504,-10.997,4.143752
-1.17,-1.8822236711978912,-2.137,0.25477633
-2.78,-3.6240892162323,-5.049,1.4249108
-0.8,-1.4956120967864992,-2.7,1.2043879
-1.39,-1.6922960729598997,-2.147,0.45470393
-0.11,1.4066589279174804,-3.233,4.639659
2.34,1.4609229053258894,1.3119999999999998,0.1489229
-4.59,-4.253598396301269,-5.167,0.9134016
-4.23,-5.476268565893173,-5.769,0.29273143
-7.63,-9.231823764801025,-10.636,1.4041762
-4.1,-3.1305113258361814,-5.744,2.6134887
-4.84,-4.722019162297249,-4.612,-0.11001916
-6.4,-7.638550565123557,-7.712999999999999,0.074449435
-2.55,-0.9751268110275269,-1.496,0.5208732
-3.54,-3.8118892529308797,-3.822,0.010110747
-2.29,-2.484187997817993,-5.239,2.754812
-1.27,-1.9323266143798827,-2.537,0.6046734
1.58,1.6493145993947982,1.521,0.1283146
0.27,-0.48290764808654796,-1.245,0.76209235
1.66,1.570578213214874,0.7079999999999999,0.8625782
-6.01,-5.7131506366729745,-6.242000000000001,0.52884936
-6.16,-7.937841615676881,-11.085,3.1471584
-4.87,-10.084715579986572,-15.924,5.8392844
-6.96,-8.25700657558441,-9.277,1.0199934
-5.49,-6.603676141738892,-7.889,1.2853239
-4.59,-3.922122836112976,-5.25,1.3278772
-3.52,-3.7159809808731072,-4.622999999999999,0.907019
-2.13,-1.2882038192749024,-6.383,5.094796
-5.23,-4.63670085811615,-5.564,0.92729914
