expt,physics_ml,physics,ml
-4.72,-4.696295744895935,-3.232,-1.4642957
-3.04,-2.743647511482239,-1.083,-1.6606475
-4.59,-4.360412886619567,-3.953,-0.4074129
-3.82,-3.8052289171218874,-5.442,1.6367711
-2.93,-3.103820969581604,-3.652,0.54817903
-0.98,-1.510595545768738,-0.11,-1.4005955
-0.74,-1.2580718126296997,-0.609,-0.6490718
2.89,2.327523012280464,2.542,-0.21447699
-1.59,-1.7327766580581665,-0.617,-1.1157767
-3.75,-3.3137820004075764,-3.344,0.030218
-0.25,-0.18807071876525883,0.833,-1.0210707
-2.82,-2.4531634569168093,-1.325,-1.1281635
-5.48,-5.356175513267517,-4.345,-1.0111755
2.51,2.010275321960449,2.506,-0.49572468
-0.64,-0.2590708637237549,0.885,-1.1440709
-7.5,-7.257625413894653,-10.251,2.9933746
-1.99,-1.9462622966766356,-0.384,-1.5622623
-4.84,-4.200737637519836,-2.869,-1.3317376
-5.22,-3.2409994211196897,-1.284,-1.9569994
-0.83,-1.4375630946159363,-0.697,-0.7405631
-0.68,-0.5119875667095184,-0.456,-0.055987567
-2.49,-2.7864857231378557,-2.563,-0.22348572
-4.93,-4.480615084648132,-3.343,-1.1376151
-6.16,-6.164542077064514,-5.148,-1.0165421
-2.23,-2.2507747807502745,-2.929,0.6782252
-0.53,-0.8588146238327026,-0.178,-0.6808146
-5.1,-4.883781376838684,-3.491,-1.3927814
-4.47,-3.997967255592346,-3.288,-0.70996726
-7.17,-7.396895709991455,-6.116,-1.2808957
0.29,-0.23475024414062495,0.553,-0.78775024
-2.78,-2.9385168581008907,-4.028,1.0894831
3.43,3.336245067834854,3.077,0.25924507
-3.15,-4.118887865543366,-4.9,0.78111213
-6.21,-6.398464301109314,-7.878,1.4795357
-5.71,-7.117834957122803,-8.683,1.565165
-1.14,-1.465021083831787,-0.473,-0.9920211
-2.4,-3.2118558459877966,-3.304,0.092144154
-2.33,-2.432289743423462,-1.275,-1.1572897
-1.14,-1.6592134428024292,-0.395,-1.2642134
2.38,1.8278744482994078,2.59,-0.76212555
-5.88,-7.299759136199951,-8.161,0.86124086
-2.81,-3.2306298172473906,-2.86,-0.37062982
1.77,1.20495982503891,1.691,-0.48604017
-1.62,-1.5724066867828368,0.136,-1.7084067
-1.79,-1.788252079963684,-0.363,-1.4252521
-6.79,-6.3293720769882205,-5.28,-1.0493721
-1.1,-1.4706947393417358,-0.182,-1.2886947
-0.9,-1.4249550485610962,-0.79,-0.63495505
-3.41,-3.640474486351013,-3.05,-0.5904745
-3.52,-3.7565573964118957,-3.166,-0.5905574
-1.43,-1.5121050271987915,-0.091,-1.421105
0.0,0.1752061471939086,1.261,-1.0857939
1.47,1.414915858268738,2.486,-1.0710841
-2.38,-2.7250120191574094,-1.853,-0.872012
-7.19,-7.669814029693603,-10.466,2.796186
2.1,1.5635525588989259,2.588,-1.0244474
-4.02,-3.2931117534637453,-2.075,-1.2181118
-3.5,-4.085301599025726,-3.372,-0.7133016
-4.61,-3.981683032989502,-3.043,-0.93868303
-2.07,-2.6662175402641295,-2.336,-0.33021754
-0.33,-0.30442362022399905,0.973,-1.2774236
-0.9,-1.6556947498321533,-0.553,-1.1026947
-2.7,-2.859745316982269,-3.143,0.28325468
1.83,1.5413840079307555,2.465,-0.923616
0.1,0.4303242149353028,-1.156,1.5863242
-3.9,-4.580038049697876,-4.003,-0.57703805
-6.6,-6.757081014633179,-5.707,-1.050081
2.0,1.5363164496421815,2.495,-0.95868355
-7.0,-9.407011754035949,-10.857,1.4499882
-5.66,-5.3210686378479,-4.768,-0.55306864
1.83,1.2213496942520141,2.452,-1.2306503
-0.1,-0.11437152957916252,1.084,-1.1983715
-0.45,-0.5628301811218261,-0.22,-0.34283018
3.16,2.6113203978538513,3.335,-0.7236796
-0.63,-0.45460197925567625,0.775,-1.229602
2.51,1.765704894542694,2.613,-0.8472951
-4.5,-4.295461182594299,-3.13,-1.1654612
-3.15,-3.613996849536896,-4.198,0.58400315
-2.56,-2.422902361869812,-3.867,1.4440976
-5.0,-4.655820912361145,-3.394,-1.2618209
2.55,1.8669942793846128,2.381,-0.5140057
-2.56,-2.858379737854004,-3.492,0.63362026
-6.25,-6.246668383598328,-5.272,-0.9746684
-5.22,-4.555838967323304,-3.201,-1.354839
-2.92,-3.34667373085022,-2.704,-0.64267373
-6.0,-5.435403862953186,-6.716,1.2805961
-4.5,-4.403192025184632,-3.156,-1.247192
-4.1,-3.9814465885162353,-3.238,-0.7434466
-1.45,-1.4836794652938843,-0.379,-1.1046795
-1.93,-2.5670463008880615,-1.742,-0.8250463
-1.36,-2.063420322418213,-0.553,-1.5104203
-1.23,-0.9812604341506959,0.059,-1.0402604
0.25,-0.46806494426727285,1.108,-1.576065
0.34,0.3339521985054017,1.223,-0.8890478
2.88,1.9351939067840576,2.686,-0.7508061
-4.52,-5.93490419626236,-6.79,0.8550958
-2.26,-1.6834312262535094,-2.219,0.5355688
-5.33,-4.610860698223114,-4.055,-0.5558607
-0.78,-1.198685502052307,0.326,-1.5246855
1.23,0.7435448555946349,1.503,-0.75945514
-5.04,-4.836190755367279,-5.495,0.65880924
-2.22,-2.15702025526762,-2.254,0.096979745
0.75,1.6978034234046935,2.485,-0.7871966
-4.01,-4.2583470745086665,-2.767,-1.4913471
-3.68,-3.9737442474365237,-3.123,-0.85074425
-0.4,-0.4807491731643677,0.705,-1.1857492
-2.4,-2.578650773048401,-3.213,0.6343492
-4.78,-4.821969510555268,-4.014,-0.8079695
-4.68,-7.584440692901611,-8.809,1.2245593
-1.24,-1.8379151730537415,-1.078,-0.7599152
-4.39,-4.025732941627503,-2.945,-1.080733
-1.88,-1.7775895139575004,-1.835,0.057410486
-6.13,-6.431434681892395,-5.453,-0.9784347
-6.13,-6.707576040267944,-5.579,-1.128576
-6.09,-7.0860924901962274,-8.844,1.7579075
-3.65,-3.1746691064834596,-2.233,-0.9416691
-4.69,-4.333068116188049,-3.508,-0.8250681
-3.78,-3.551914016246796,-4.304,0.752086
-1.4,-1.2673150029182434,-0.359,-0.908315
1.16,1.2735075731277465,2.327,-1.0534924
-1.08,-1.2903209590911866,0.285,-1.575321
-4.31,-3.8133767001479866,-3.809,-0.0043767
1.32,1.115473678588867,2.328,-1.2125263
-6.69,-6.613106947898864,-7.281,0.66789305
-0.85,-1.3224433884620668,-0.761,-0.5614434
-7.65,-7.974180652618408,-10.552,2.5778193
-0.9,-1.2547847089767457,-0.806,-0.4487847
2.93,3.022237264811993,2.97,0.052237265
-2.93,-3.3863831750154496,-3.221,-0.16538318
-4.85,-4.605917887687683,-3.33,-1.2759179
-5.91,-6.177267135620117,-5.014,-1.1632671
-3.64,-3.5085203847885134,-2.446,-1.0625204
2.88,2.353574634075165,3.088,-0.73442537
-0.86,-1.7578754258155822,-0.795,-0.9628754
-5.53,-5.454157453775406,-5.325,-0.12915745
-4.95,-5.3480733058452605,-5.646,0.2979267
0.14,0.16446583271026616,1.175,-1.0105342
-0.8,-1.4295027928352355,-0.658,-0.7715028
-7.47,-7.3096837787628175,-8.003,0.6933162
-1.92,-2.1598409547805786,-3.964,1.804159
