expt,physics_ml,physics,ml
-4.72,-4.465819942970276,-3.22227,-1.24355
-3.04,-3.4166393878173826,-2.11372,-1.3029194
-4.59,-2.9689447439575196,-0.447715,-2.5212297
-3.82,-5.016445900039673,-6.57758,1.5611341
-2.93,-3.349612567653656,-3.66474,0.31512743
-0.98,-1.7627697278785706,-1.45543,-0.30733973
-0.74,-0.6791139980888367,0.116715,-0.795829
2.89,2.4665899330568313,2.25602,0.21056993
-1.59,-1.2969360727291108,-0.907798,-0.38913807
-3.75,-3.6466052723312377,-2.45829,-1.1883153
-0.25,-0.4171618569407463,-0.333791,-0.08337086
-2.82,-2.82529042591095,-2.20814,-0.6171504
-5.48,-5.222143197097779,-2.99454,-2.2276032
2.51,2.062039978570938,1.90732,0.15471998
-0.64,0.6672495614910126,1.07819,-0.41094044
-7.5,-7.823685496520996,-11.5907,3.7670145
-1.99,-2.449700807156563,-2.59119,0.1414892
-4.84,-4.652329141311646,-4.24443,-0.40789914
-5.22,-2.5414605260772705,-0.845567,-1.6958935
-0.83,-1.2614441178417206,-0.78156,-0.47988412
-0.68,-0.5846955896167755,-0.174978,-0.4097176
-2.49,-2.5601040472221372,-2.04742,-0.51268405
-4.93,-5.180373292360306,-4.83966,-0.3407133
-6.16,-5.844131848869324,-5.22681,-0.61732185
-2.23,-2.516994421966076,-2.60682,0.08982558
-0.53,-0.7962095445652009,-0.328502,-0.46770754
-5.1,-5.045150270061493,-4.24733,-0.79782027
-4.47,-3.4190850395298003,-3.01116,-0.40792504
-7.17,-6.845395974693298,-5.51506,-1.330336
0.29,0.3167990719261169,0.587594,-0.27079493
-2.78,-3.311648254013061,-4.6221,1.3104517
3.43,3.7568088425326347,3.87818,-0.12137116
-3.15,-5.5087113910102845,-6.23754,0.7288286
-6.21,-5.657265907974244,-8.16397,2.506704
-5.71,-7.099867415647506,-7.41548,0.31561258
-1.14,-1.675264725522995,-1.37383,-0.30143473
-2.4,-2.8110537817382815,-3.03474,0.22368622
-2.33,-1.780188225074768,-0.656971,-1.1232172
-1.14,-1.4079147533569336,-0.168841,-1.2390738
2.38,1.6848092556142806,1.92139,-0.23658074
-5.88,-7.1450673178219795,-7.25704,0.11197268
-2.81,-2.9592598226261138,-2.60627,-0.35298982
1.77,1.7974060538578032,2.14558,-0.34817395
-1.62,-1.4279037384757995,-0.702526,-0.72537774
-1.79,-2.4581725537776946,-2.24375,-0.21442255
-6.79,-6.70056164527893,-5.55451,-1.1460516
-1.1,-1.2650207865524292,0.13347,-1.3984908
-0.9,-1.4467605362224578,-1.10628,-0.34048054
-3.41,-3.2373889983940125,-2.60413,-0.633259
-3.52,-3.3919438543605804,-2.92428,-0.46766385
-1.43,-1.4066450720357895,-1.25393,-0.15271507
0.0,0.021402100395202628,0.494274,-0.4728719
1.47,0.9484541387367249,1.58098,-0.63252586
-2.38,-2.641738594369888,-2.19608,-0.4456586
