expt,physics_ml,physics,ml
-3.82,-3.9855339777755736,-5.70653,1.720996
-2.93,-3.429580829315186,-4.29168,0.8620992
-0.98,-0.8738882806339264,-0.999704,0.12581572
-0.74,-1.1979201694583892,-1.27761,0.07968983
-1.59,-1.083834370376587,-0.719727,-0.36410737
-3.75,-3.889961505379677,-4.06934,0.1793785
-4.55,-4.033096885223388,-3.02802,-1.0050769
-2.73,-2.405783431649208,-2.63325,0.22746657
-0.53,-0.7867760357151031,-0.940476,0.15369996
-0.25,-0.3441650128421783,-0.471056,0.12689099
-5.48,-5.207286039810181,-3.16298,-2.044306
2.51,3.0654415753936766,1.94086,1.1245816
-0.64,-0.6848173094520569,-0.443376,-0.24144131
-0.83,-0.5142951608528137,0.0773561,-0.59165126
-6.88,-6.531781053972244,-6.14795,-0.38383105
-4.84,-4.640267847595215,-4.40906,-0.23120785
-5.22,-3.4945436516952513,-2.18137,-1.3131737
-0.83,-1.3297557097911834,-1.44315,0.11339429
-0.68,-0.7638469592103958,-0.835526,0.07167904
-4.93,-4.704766047711372,-4.65612,-0.048646048
-8.42,-9.486889945983886,-12.837,3.35011
-6.16,-5.637906363410949,-4.45142,-1.1864864
-2.23,-2.77107132938385,-3.55178,0.7807087
-0.53,-0.2767335090576172,-0.0964986,-0.18023491
-4.47,-3.889139396896362,-3.08674,-0.8023994
-7.17,-6.356151003279686,-6.12954,-0.226611
-2.78,-3.1147360071945194,-4.36373,1.248994
3.43,4.238617408065796,4.87378,-0.6351626
-11.0,-11.184535970211028,-11.027,-0.15753597
-6.21,-6.35315440662384,-7.45533,1.1021756
-5.71,-7.784903675956727,-9.16167,1.3767663
-5.26,-5.0503698803520205,-4.11941,-0.9309599
-1.14,-1.0970904615783692,-1.21859,0.12149954
-2.4,-2.5527563787078855,-3.65181,1.0990536
-2.33,-2.20830717256546,-2.13828,-0.07002717
2.38,2.155456745958328,1.99285,0.16260675
-1.62,-1.1692204568748474,-0.783938,-0.38528246
-6.79,-6.87841150894165,-6.0964,-0.7820115
-1.1,-1.6142001974487306,-1.82824,0.2140398
-0.9,-1.4074742003583909,-1.62474,0.2172658
-3.52,-3.525795267715454,-4.42939,0.90359473
-1.43,-1.6371526247215271,-1.41537,-0.22178262
0.0,0.21221674136447907,0.166193,0.04602374
1.47,1.4663546404361725,1.41845,0.04790464
-4.62,-4.624203213119507,-2.75965,-1.8645532
-2.38,-2.5958732703590393,-2.83859,0.24271673
2.1,2.0149217761468887,1.86422,0.15070178
-9.34,-8.267152853775023,-7.0233,-1.2438529
-10.0,-8.97880785091877,-8.86721,-0.11159785
-3.5,-3.7426804538345335,-4.48506,0.74237955
-4.61,-4.875650174751878,-4.84475,-0.030900175
-2.07,-2.50476500872612,-2.91204,0.407275
-0.33,-0.2725429474544525,-0.33592,0.06337705
-0.9,-1.0841508838897944,-1.05546,-0.028690884
-2.7,-3.1646783895778654,-3.36853,0.20385161
1.83,1.6725443889665603,1.58483,0.08771439
-3.9,-3.8215982560300827,-3.87304,0.051441744
-1.5,-1.26707189381361,-1.21919,-0.047881894
-6.6,-6.375318584442138,-5.06,-1.3153186
2.0,1.7502116253614426,1.7034,0.046811625
-7.0,-7.124169491195678,-10.2434,3.1192305
-10.78,-12.921655643844606,-16.3334,3.4117444
-0.46,-1.041050622215271,-1.27049,0.22943938
-10.17,-9.624457555847169,-7.41383,-2.2106276
-2.75,-2.9685437756729125,-3.69162,0.7230762
3.16,3.0257769287633898,2.91848,0.10729693
-10.21,-8.35986428604126,-10.9961,2.6362357
-4.42,-4.660334715623856,-4.54452,-0.115814716
-2.56,-2.9082344080352787,-4.44589,1.5376556
-9.51,-9.743120124816894,-8.1405,-1.6026201
-5.0,-4.695044942932129,-3.49758,-1.197465
-14.21,-14.480126223659516,-14.8526,0.37247378
2.55,2.481343517400622,2.45293,0.028413517
-2.56,-3.13870547624588,-3.93896,0.8002545
-2.64,-3.429593936271668,-4.44732,1.0177261
-5.22,-4.690814978752136,-4.45391,-0.23690498
-2.92,-3.1765271935796737,-3.39716,0.2206328
-4.5,-4.516684981002808,-2.76389,-1.752795
-1.66,-1.3850157766971587,-0.987116,-0.39789978
-11.85,-13.433938815307616,-16.8997,3.4657612
-4.1,-4.090956339244842,-4.35713,0.26617366
-7.66,-7.624577991447449,-5.90371,-1.720868
-1.93,-2.2799644655132294,-2.62514,0.34517553
-3.28,-3.3894918274116517,-4.24967,0.8601782
-1.36,-1.3108786456537247,-1.42337,0.112491354
-1.23,-1.1609793520832061,-1.06334,-0.09763935
0.25,-0.19363641764640807,-0.15377,-0.039866418
0.34,0.19301764445877076,0.154981,0.038036644
2.88,3.0670058917045595,2.28365,0.7833559
-4.52,-4.690416510591507,-4.74726,0.05684349
-2.26,-2.3286723874473574,-3.31809,0.9894176
2.56,2.4461143076896668,2.26505,0.18106431
-5.33,-4.389550346674919,-4.45569,0.06613965
-9.65,-8.85824438030243,-6.91532,-1.9429244
-0.78,-0.6783561285190582,-0.522718,-0.15563813
1.23,1.5324936580061912,1.6215,-0.08900634
-5.04,-5.499243232078552,-6.65232,1.1530768
-9.8,-9.628841654434204,-8.14114,-1.4877017
-18.72,-18.75262613992691,-18.2348,-0.51782614
-10.64,-8.676352734375001,-6.17855,-2.4978027
-2.22,-2.512491561012268,-2.90258,0.39008844
0.75,1.0791720305776595,1.18976,-0.11058797
-4.01,-4.398050213254094,-4.41646,0.018409787
-3.68,-4.027597076320649,-4.5269,0.49930292
-0.4,-0.33233630692863464,-0.412074,0.07973769
-1.24,-1.463437249183655,-2.152,0.68856275
-4.39,-4.51010983543396,-2.5708,-1.9393098
-9.94,-8.615744980621338,-9.41755,0.801805
-6.13,-6.16458729549408,-4.28096,-1.8836273
-6.13,-6.368007364196777,-4.56342,-1.8045874
-6.09,-6.5858131011962895,-7.55965,0.9738369
-4.69,-4.535927551431656,-4.80417,0.26824245
-3.78,-3.8585272683143614,-3.55265,-0.30587727
-1.4,-1.641233163909912,-2.35133,0.71009684
1.16,0.9090765213603973,0.988937,-0.07986048
-1.08,-0.7227794012708664,-0.666442,-0.0563374
-4.31,-3.925761187438965,-3.20438,-0.7213812
-6.69,-8.000177584228515,-8.97106,0.9708824
-0.85,-1.2266702743148803,-1.34506,0.118389726
-7.65,-8.636277320098877,-13.5122,4.8759227
-0.9,-1.4587997012519835,-1.75629,0.2974903
2.93,3.363894488162994,2.63907,0.7248245
-2.93,-3.2209136056995393,-2.99426,-0.2266536
-4.85,-4.285524367828369,-3.33427,-0.95125437
-5.91,-5.291297323837281,-4.30714,-0.9841573
-3.64,-3.2834334572219848,-2.09909,-1.1843435
2.88,2.6704105379343033,2.5646,0.10581054
-4.91,-5.330656704711914,-7.0248,1.6941433
-0.86,-1.2195912725114821,-1.18579,-0.033801273
-5.53,-4.987936605453491,-6.689,1.7010634
-4.95,-5.494773230202794,-5.50793,0.01315677
0.14,0.48180177047300343,0.532738,-0.05093623
-7.78,-8.920466714963913,-9.22536,0.30489329
-1.92,-2.694214000320435,-5.60085,2.906636
-2.01,-1.2092239567871093,-0.920562,-0.28866196
