expt,physics_ml,physics,ml
-3.82,-4.861781963348388,-10.084,5.222218
-2.93,-3.2287904872894293,-5.664000000000001,2.4352095
-0.98,-1.0534320440292357,-1.884,0.83056796
-0.74,-0.7019299240112304,-2.347,1.6450701
-1.59,-1.419280434370041,-1.157,-0.26228043
-3.75,-3.72472377204895,-4.779,1.0542762
-4.55,-4.564831106185913,-5.567,1.0021689
-2.73,-2.316261616706848,-3.516,1.1997384
-0.53,-0.5441683959960937,-1.92,1.3758316
-0.25,-0.5188925120830535,-0.941,0.4221075
-5.48,-4.220262861251831,-3.6,-0.62026286
2.51,2.5603231925964356,1.177,1.3833232
-0.64,0.03403321886062622,0.054,-0.019966781
-0.83,0.0626511594057082,-0.1260000000000001,0.18865116
-6.88,-7.110179428100585,-8.578999999999999,1.4688206
-4.84,-4.377327586174012,-4.9510000000000005,0.5736724
-5.22,-1.8537180995941163,0.565,-2.418718
-0.83,-0.9261453943252567,-1.9830000000000003,1.0568546
-0.68,-1.2421598176956177,-1.373,0.13084018
-4.93,-4.80547713470459,-5.8420000000000005,1.0365229
-8.42,-10.75954565811157,-17.747999999999998,6.9884543
-6.16,-5.356423438072204,-6.337999999999999,0.98157656
-2.23,-2.59859975528717,-4.436999999999999,1.8384002
-0.53,-0.7146999251842499,-0.47,-0.24469993
-4.47,-2.6106923599243164,-3.952,1.3413076
-7.17,-6.710663963317871,-4.476,-2.234664
-2.78,-3.1614900207519527,-7.81,4.64851
3.43,1.813593578338623,-1.05,2.8635936
-11.0,-11.189542612075806,-13.534,2.3444574
-6.21,-6.722705932617188,-10.271,3.548294
-5.71,-7.402023353576659,-10.415,3.0129766
-5.26,-4.924926169395447,-5.908,0.98307383
-1.14,-1.2247768573760984,-2.143,0.91822314
-2.4,-2.5172777538299558,-4.938,2.4207222
-2.33,-1.8767145268917085,-1.618,-0.25871453
2.38,1.506743843317032,1.201,0.30574384
-1.62,-1.5037925882339476,-0.4169999999999998,-1.0867926
-6.79,-6.336526399612427,-7.431,1.0944736
-1.1,-1.4131055660247802,-1.932,0.51889443
-0.9,-1.433734642982483,-2.462,1.0282654
-3.52,-3.718736568450928,-5.341,1.6222634
-1.43,-1.395417179107666,-1.914,0.5185828
0.0,0.08832550597190858,-0.238,0.3263255
1.47,0.685423807322979,0.562,0.12342381
-4.62,-4.127757253885269,-3.734,-0.39375725
-2.38,-2.3455641202926634,-3.643,1.2974359
2.1,1.40919109416008,1.092,0.3171911
-9.34,-6.458029301643372,-5.558000000000001,-0.9000293
-10.0,-8.68595479774475,-10.138,1.4520452
-3.5,-3.7305066223144534,-6.937,3.2064934
-4.61,-4.6075820035934445,-5.757,1.149418
-2.07,-2.762085098266602,-5.094,2.331915
-0.33,-0.4147089819908141,-0.7229999999999999,0.30829102
-0.9,-1.2371181581020356,-1.491,0.25388184
-2.7,-3.8028382873535156,-4.96,1.1571617
1.83,1.2727830603122712,0.8140000000000001,0.45878306
-3.9,-3.4358696146011356,-4.517,1.0811304
-1.5,-1.4889826216697688,-1.4539999999999995,-0.03498262
-6.6,-6.3898212947845465,-7.579000000000001,1.1891787
2.0,1.4302365674972535,0.939,0.49123657
-7.0,-7.618965160369873,-13.862,6.243035
-10.78,-15.301976261138915,-22.31,7.0080237
-0.46,-0.8283888416290281,-2.058,1.2296112
-10.17,-10.380134028434753,-10.994,0.613866
-2.75,-2.9923299407958988,-7.735,4.74267
3.16,2.3479824130535127,2.063,0.2849824
-10.21,-8.7841584815979,-14.964,6.1798415
-4.42,-5.133577118575573,-5.131,-0.0025771186
-2.56,-2.4076999511718746,-7.209,4.8013
-9.51,-10.540727001190186,-12.156,1.615273
-5.0,-4.60981781411171,-4.6930000000000005,0.083182186
-14.21,-13.696465728759765,-16.648,2.9515343
2.55,2.1201297955513,1.933,0.1871298
-2.56,-3.3101651277542112,-5.284,1.9738349
-2.64,-3.5753326492309574,-5.408,1.8326674
-5.22,-4.444657151222229,-5.292,0.84734285
-2.92,-3.0897292881011964,-4.378,1.2882707
-4.5,-3.9376125831604005,-3.277,-0.6606126
-1.66,-1.444242580115795,-1.4529999999999998,0.00875742
-11.85,-13.040488655090332,-16.782,3.7415113
-4.1,-4.665701881408692,-6.191000000000001,1.5252981
-7.66,-7.233726406097411,-8.399999999999999,1.1662736
-1.93,-2.491489812850952,-3.897,1.4055102
-3.28,-3.665069799423218,-5.23,1.5649302
-1.36,-1.3129061117172243,-2.164,0.8510939
-1.23,-1.3732363352775572,-1.5259999999999998,0.15276366
0.25,-0.43178575479984294,-0.6140000000000001,0.18221425
0.34,0.46709023880958567,0.2330000000000001,0.23409024
2.88,2.2088917913436887,1.494,0.7148918
-4.52,-5.216638688087464,-6.704000000000001,1.4873613
-2.26,-2.5928073883056637,-4.225,1.6321926
2.56,2.5471778163909913,1.451,1.0961778
-5.33,-4.929630318641663,-6.216,1.2863697
-9.65,-8.839882990837097,-10.122,1.282117
-0.78,-1.3981629567146303,-0.9580000000000002,-0.44016296
1.23,1.0952709517478942,1.196,-0.10072905
-5.04,-6.391863379478455,-8.035,1.6431366
-9.8,-9.279313626289367,-8.065,-1.2143136
-18.72,-18.806800917625427,-20.654,1.8471991
-10.64,-9.270705646157264,-9.078,-0.19270565
-2.22,-2.4701024179458617,-3.888,1.4178976
0.75,0.36101404976844786,0.487,-0.12598595
-4.01,-4.417581686973572,-5.385,0.9674183
-3.68,-3.7419832210540775,-6.573,2.8310168
-0.4,-0.1878248652219771,-0.2989999999999999,0.111175135
-1.24,-1.861794352531433,-3.25,1.3882056
-4.39,-4.037277521133422,-3.514,-0.5232775
-9.94,-7.704919471740723,-13.765,6.0600805
-6.13,-6.329013210535049,-6.699999999999999,0.3709868
-6.13,-6.876481602430344,-7.054,0.1775184
-6.09,-6.931173864364624,-10.241,3.3098261
-4.69,-5.140299632072449,-6.3020000000000005,1.1617004
-3.78,-3.343940955162049,-4.531000000000001,1.187059
-1.4,-1.111241212844849,-2.2910000000000004,1.1797588
1.16,0.31492069578170767,0.1459999999999999,0.1689207
-1.08,-0.9712870340347288,-1.6729999999999998,0.70171297
-4.31,-4.909405265808106,-8.711,3.8015947
-6.69,-6.913077335357666,-11.855,4.9419227
-0.85,-0.6116055202484132,-1.745,1.1333945
-7.65,-9.577723131895066,-9.742,0.16427687
-0.9,-1.6528728628158564,-2.9399999999999995,1.2871271
2.93,2.92883020401001,1.81,1.1188302
-2.93,-3.4018902707099916,-3.555,0.15310973
-4.85,-4.1647940185070045,-4.409000000000001,0.24420598
-5.91,-6.007040808200836,-6.26,0.2529592
-3.64,-2.942189587593078,-3.2139999999999995,0.2718104
2.88,2.020627169370651,1.736,0.28462717
-4.91,-6.203472059249878,-7.1930000000000005,0.98952794
-0.86,-1.2927210280895232,-1.5759999999999998,0.28327897
-5.53,-6.049563333511352,-7.146999999999999,1.0974367
-4.95,-5.353626569032669,-5.277,-0.07662657
0.14,0.7163294191360472,0.1869999999999998,0.5293294
-7.78,-9.156935512542725,-13.662,4.5050645
-1.92,-2.710843307495117,-6.957,4.2461567
-2.01,-1.2684821422100068,-1.437,0.16851786
-3.17,-2.9126210861206054,-0.593,-2.319621
-2.64,-2.6696885023117067,-3.966,1.2963115
-4.04,-3.8529182491302496,-5.906000000000001,2.0530818
-0.11,-1.0539430198669435,-3.156,2.102057
-16.92,-17.993219394683837,-20.52,2.5267806
-3.88,-3.1432562851905828,-3.4150000000000005,0.2717437
-3.12,-1.8734167740345,-1.386,-0.48741677
-1.74,-1.4057207994461054,-2.6179999999999994,1.2122792
-3.92,-2.7699241394996648,-3.1370000000000005,0.36707586
-1.21,-0.7238111333847046,-1.633,0.90918887
-4.7,-5.934226005554199,-7.742999999999999,1.808774
-5.94,-5.76119523525238,-7.055,1.2938048
-0.23,-0.4888082933425901,-1.5199999999999998,1.0311917
-2.11,-2.0580179920196526,-3.7239999999999993,1.665982
-4.09,-3.2484590005874634,-3.52,0.271541
-8.11,-7.641562419891358,-8.756,1.1144376
-4.91,-4.080594032287597,-5.242999999999999,1.162406
-3.28,-3.4669068613052367,-2.654,-0.81290686
-2.28,-2.0796087627410893,-4.238,2.1583912
2.06,1.852650182723999,1.043,0.8096502
-2.82,-2.6028177652359004,-3.5409999999999995,0.93818223
-1.24,-1.5228920574188232,-2.662,1.139108
-0.19,-0.7429609975814822,-0.9960000000000002,0.253039
-2.89,-3.750443803787231,-4.087,0.3365562
-8.84,-8.10166630935669,-8.952,0.8503337
-1.66,-1.6053406240940096,-1.4440000000000002,-0.16134062
-7.28,-8.066564825057984,-9.178,1.1114352
-4.7,-4.098015702247619,-5.313,1.2149843
-3.92,-5.087859411239624,-7.645,2.5571406
-4.02,-4.191540168762208,-8.749,4.55746
-3.64,-4.496567752838135,-7.053,2.5564322
-1.24,-0.9036427907943725,-1.543,0.6393572
-3.13,-4.181530620574951,-6.377,2.1954694
-0.84,-1.309152258872986,-1.7140000000000002,0.40484774
-2.74,-3.0985282220840453,-4.404,1.3054718
-5.9,-5.6522370719909665,-6.765,1.1127629
1.68,1.439500782966614,0.3730000000000001,1.0665008
2.93,1.7002133532762527,1.539,0.16121335
-3.67,-4.1829252258539205,-4.4110000000000005,0.22807477
2.56,1.5846572450399399,1.621,-0.036342755
-9.29,-8.719543449401856,-10.217,1.4974566
-7.48,-8.791816305875779,-9.281,0.4891837
-1.34,-2.2768869419097904,-0.7270000000000001,-1.549887
0.16,-0.056840438842773455,-1.645,1.5881596
-4.63,-4.770527517318725,-5.762,0.9914725
-4.39,-5.356553614616394,-6.463,1.1064464
3.13,2.1840644121170043,1.9,0.2840644
-6.79,-6.373416631579399,-6.346,-0.027416632
-4.97,-7.445483467102051,-10.997,3.5515165
-1.17,-1.518880283355713,-2.137,0.6181197
-2.78,-3.847957943916321,-5.049,1.201042
-1.39,-2.0248975456953047,-2.147,0.122102454
-0.11,-0.042516668319702244,-3.233,3.1904833
-4.59,-4.208789174079895,-5.167,0.9582108
-23.62,-24.658830072402953,-22.502,-2.15683
-4.23,-5.512527442216873,-5.769,0.25647256
-7.63,-9.422053419113158,-10.636,1.2139466
-4.1,-4.151457828521728,-5.744,1.5925422
-4.84,-4.908885520219803,-4.612,-0.29688552
-9.3,-11.120969004154205,-11.607,0.486031
1.07,-1.653802173614503,-6.793000000000001,5.139198
-6.4,-7.521410197496413,-7.712999999999999,0.1915898
-2.55,-1.6678052625656128,-1.496,-0.17180526
-3.54,-4.154915365695953,-3.822,-0.33291537
-2.29,-2.895241178512573,-5.239,2.3437588
1.58,1.025826933145523,1.521,-0.49517307
0.27,-0.1749316406250001,-1.245,1.0700684
-6.01,-5.946376697540284,-6.242000000000001,0.2956233
-6.16,-7.433316192626954,-11.085,3.6516838
-5.49,-6.580356539726258,-7.889,1.3086435
-4.59,-4.040382742881775,-5.25,1.2096173
-3.52,-3.399311516761779,-4.622999999999999,1.2236885
0.6,0.1084545695781709,-0.3599999999999999,0.46845457
-5.23,-4.900946368217468,-5.564,0.66305363
-6.78,-6.075853157043458,-12.175,6.099147
-5.99,-7.3281761665344245,-9.502,2.1738238
-1.46,-1.4437941900491718,-1.3460000000000003,-0.09779419
-11.53,-13.053182809829714,-16.368000000000002,3.3148172
-4.09,-3.0818945503234865,-6.16,3.0781054
-3.3,-2.755387866020203,-1.562,-1.1933879
-4.58,-8.873298501968383,-9.85,0.9767015
-6.12,-7.523179218292237,-8.772,1.2488208
-4.21,-3.42032786154747,-3.689,0.26867214
-2.63,-3.2280902802944187,-3.5250000000000004,0.29690972
0.56,0.03732666683197017,-0.928,0.96532667
-3.73,-3.4162256675958633,-3.48,0.06377433
2.3,1.6221214637756347,1.061,0.56112146
-5.45,-7.372098516464234,-8.649000000000001,1.2769015
-2.4,-2.56224277305603,-3.678,1.1157572
-5.73,-6.2196465904712674,-6.087,-0.13264659
-2.32,-2.080271010875702,-2.343,0.262729
1.58,1.4650236797332763,0.5449999999999999,0.9200237
-6.62,-6.537900634765624,-7.995999999999999,1.4580994
-3.11,-3.563610865592956,-5.052,1.4883891
-1.12,-1.0830042591094973,-3.349,2.2659957
-3.1,-4.1977884531021115,-5.35,1.1522115
-2.83,-3.198997228622437,-5.368,2.1690028
-6.48,-5.366775665283203,-12.66,7.2932243
