expt,physics_ml,physics,ml
-3.82,-4.8997471544647215,-7.40799,2.5082428
-2.93,-3.4557523254776,-4.61494,1.1591877
-0.98,-1.6301585406494141,-1.03292,-0.59723854
-0.74,-1.6318799454498292,-3.15843,1.52655
-1.59,-1.2722984457683564,-1.07732,-0.19497845
-3.75,-3.453226164627075,-3.77505,0.32182384
-4.55,-5.050145513439179,-5.87065,0.8205045
-2.73,-2.203661905055046,-2.41788,0.2142181
-0.53,-1.1945822759628295,-2.7346,1.5400177
-0.25,-0.41201973255157476,-0.71708,0.30506027
-5.48,-4.796832041368485,-4.36136,-0.43547204
2.51,2.5258091265106204,1.40514,1.1206691
-0.64,-0.39287175849914546,1.28346,-1.6763318
-0.83,-0.7464718945999146,-0.126202,-0.6202699
-6.88,-6.728263554550409,-6.78707,0.058806445
-4.84,-4.162927454742193,-4.16219,-0.00073745474
-5.22,-1.2341640509262084,0.758061,-1.992225
-0.83,-0.996567321009636,-1.12182,0.12525268
-0.68,-0.4067026494455338,-0.52897,0.12226735
-4.93,-4.585377987165451,-4.70552,0.12014201
-8.42,-12.000455802917479,-17.769,5.768544
-6.16,-5.947366307029724,-7.09326,1.1458937
-2.23,-2.4962661304855347,-3.54854,1.0522739
-0.53,-0.63006259856987,-0.480758,-0.1493046
-4.47,-3.2333889811706547,-4.35282,1.119431
-7.17,-7.4496881539916995,-4.25126,-3.1984282
-2.78,-3.7771385497283934,-5.86792,2.0907815
3.43,1.4209499789733886,0.254252,1.166698
-11.0,-11.653598133182525,-11.1336,-0.51999813
-6.21,-6.51559812927246,-11.8365,5.320902
-5.71,-7.41080611000061,-8.60135,1.1905439
-5.26,-4.692797597084045,-5.99241,1.2996124
-1.14,-1.7194017412757874,-1.29576,-0.42364174
-2.4,-3.785082488737106,-4.12996,0.3448775
-2.33,-1.9640301106452942,-1.8648,-0.09923011
2.38,1.4773173599731921,1.44952,0.02779736
-1.62,-1.2581776254653931,0.120075,-1.3782526
-6.79,-6.793026335220337,-7.52273,0.72970366
-1.1,-1.6326611166954041,-1.8681,0.23543888
-0.9,-1.12974863448143,-1.43665,0.30690137
-3.52,-4.172677664928436,-4.39293,0.22025234
-1.43,-1.5953057248687745,-0.99751,-0.5977957
0.0,-0.14233498053741456,0.101348,-0.24368298
1.47,1.0955326052057743,1.07213,0.023402605
-4.62,-4.40411651142478,-4.35224,-0.05187651
-2.38,-2.7295448296928404,-2.95259,0.22304517
2.1,1.1471133111953735,1.31365,-0.16653669
-9.34,-7.602975972366333,-5.4432,-2.159776
-10.0,-9.090423243980407,-8.58373,-0.50669324
-3.5,-4.465007625236511,-5.56639,1.1013824
-4.61,-4.850266083766222,-4.83052,-0.019746084
-2.07,-2.8518695292663576,-3.57202,0.7201505
-0.33,-0.6332879010391235,-0.47762,-0.1556679
-0.9,-0.79964575172019,-0.799137,-0.0005087517
-2.7,-3.0641436843204497,-3.34068,0.27653632
1.83,1.3704583378162383,0.946109,0.42434934
-3.9,-3.957356562423706,-3.7048,-0.25255656
-1.5,-1.3796280713729858,-0.982718,-0.39691007
-6.6,-7.122899207496642,-8.02315,0.9002508
