expt,physics_ml,physics,ml
-3.82,-3.0035064220428467,0,-3.0035064
-2.93,-3.2645413875579834,0,-3.2645414
-0.98,-0.8175852298736572,0,-0.81758523
-0.74,-0.5361250638961792,0,-0.53612506
-1.59,-1.0708812475204468,0,-1.0708812
-3.75,-3.367826461791992,0,-3.3678265
-4.55,-4.669430732727051,0,-4.6694307
-2.73,-2.567692279815674,0,-2.5676923
-0.53,-0.405850887298584,0,-0.4058509
-0.25,-0.3437184691429138,0,-0.34371847
-5.48,-4.88940954208374,0,-4.8894095
2.51,2.3377749919891357,0,2.337775
-0.64,0.26432499289512634,0,0.264325
-0.83,-1.1327987909317017,0,-1.1327988
-6.88,-5.910722255706787,0,-5.9107223
-4.84,-4.48314094543457,0,-4.483141
-5.22,-4.133703708648682,0,-4.1337037
-0.83,-0.6913138628005981,0,-0.69131386
-0.68,-0.4147416353225708,0,-0.41474164
-4.93,-4.615004062652588,0,-4.615004
-8.42,-7.6870317459106445,0,-7.6870317
-6.16,-4.6504998207092285,0,-4.6505
-2.23,-2.5861663818359375,0,-2.5861664
-0.53,-1.4833226203918457,0,-1.4833226
-4.47,-4.844497203826904,0,-4.844497
-7.17,-6.483935832977295,0,-6.483936
-2.78,-2.4854047298431396,0,-2.4854047
3.43,2.4820315837860107,0,2.4820316
-11.0,-8.658955574035645,0,-8.658956
-6.21,-5.098801136016846,0,-5.098801
-5.71,-3.8991448879241943,0,-3.899145
-5.26,-4.47670841217041,0,-4.4767084
-1.14,-0.8334839344024658,0,-0.83348393
-2.4,-2.9069178104400635,0,-2.9069178
-2.33,-1.7562427520751953,0,-1.7562428
2.38,1.906754732131958,0,1.9067547
-1.62,-0.9618518352508545,0,-0.96185184
-6.79,-6.725338459014893,0,-6.7253385
-1.1,-1.0008933544158936,0,-1.0008934
-0.9,-0.6703455448150635,0,-0.67034554
-3.52,-2.9869813919067383,0,-2.9869814
-1.43,-0.37428730726242065,0,-0.3742873
0.0,-0.13711808621883392,0,-0.13711809
1.47,1.0878311395645142,0,1.0878311
-4.62,-4.475246906280518,0,-4.475247
-2.38,-2.235273838043213,0,-2.2352738
2.1,1.3603675365447998,0,1.3603675
-9.34,-8.29930591583252,0,-8.299306
-10.0,-8.59720516204834,0,-8.597205
-3.5,-3.6041524410247803,0,-3.6041524
-4.61,-4.031857967376709,0,-4.031858
-2.07,-2.4903485774993896,0,-2.4903486
-0.33,-0.5760229229927063,0,-0.5760229
-0.9,-0.595953643321991,0,-0.59595364
-2.7,-2.327740430831909,0,-2.3277404
1.83,1.0867587327957153,0,1.0867587
-3.9,-3.780442953109741,0,-3.780443
-1.5,-1.212292194366455,0,-1.2122922
-6.6,-5.7573041915893555,0,-5.757304
2.0,1.4198273420333862,0,1.4198273
-7.0,-5.730307102203369,0,-5.730307
-10.78,-8.311692237854004,0,-8.311692
-0.46,-0.48912447690963745,0,-0.48912448
-10.17,-7.637375831604004,0,-7.637376
-2.75,-2.5445854663848877,0,-2.5445855
3.16,1.7609477043151855,0,1.7609477
-10.21,-8.399933815002441,0,-8.399934
-4.42,-4.248071193695068,0,-4.248071
-2.56,-2.489076852798462,0,-2.4890769
-9.51,-7.985057353973389,0,-7.9850574
-5.0,-6.046863079071045,0,-6.046863
-14.21,-10.854150772094727,0,-10.854151
2.55,1.8569540977478027,0,1.8569541
-2.56,-2.7211806774139404,0,-2.7211807
-2.64,-2.80403733253479,0,-2.8040373
-5.22,-4.704766750335693,0,-4.7047668
-2.92,-2.9224658012390137,0,-2.9224658
-4.5,-4.865968704223633,0,-4.8659687
-1.66,-1.5604724884033203,0,-1.5604725
-11.85,-8.878999710083008,0,-8.879
-4.1,-3.9816534519195557,0,-3.9816535
-7.66,-6.240757942199707,0,-6.240758
-1.93,-1.5977275371551514,0,-1.5977275
-3.28,-2.786026954650879,0,-2.786027
-1.36,-0.8184041976928711,0,-0.8184042
-1.23,-0.5998222827911377,0,-0.5998223
0.25,0.5601005554199219,0,0.56010056
0.34,-0.02584630250930786,0,-0.025846303
2.88,2.464643955230713,0,2.464644
-4.52,-3.6226108074188232,0,-3.6226108
-2.26,-2.4040493965148926,0,-2.4040494
2.56,2.4700160026550293,0,2.470016
-5.33,-3.1674351692199707,0,-3.1674352
-9.65,-7.032006740570068,0,-7.0320067
-0.78,-0.8392001390457153,0,-0.83920014
1.23,0.014447569847106934,0,0.01444757
-5.04,-4.083284378051758,0,-4.0832844
-9.8,-7.84844446182251,0,-7.8484445
-18.72,-16.401391983032227,0,-16.401392
-10.64,-8.242051124572754,0,-8.242051
-2.22,-1.2017375230789185,0,-1.2017375
0.75,-0.06973160803318024,0,-0.06973161
-4.01,-4.34312629699707,0,-4.3431263
-3.68,-3.437253713607788,0,-3.4372537
-0.4,-0.4469441771507263,0,-0.44694418
-1.24,-0.926133394241333,0,-0.9261334
-4.39,-4.017020225524902,0,-4.01702
-9.94,-7.239203453063965,0,-7.2392035
-6.13,-5.246586322784424,0,-5.2465863
-6.13,-5.364561557769775,0,-5.3645616
-6.09,-4.831857204437256,0,-4.831857
-4.69,-4.613625526428223,0,-4.6136255
-3.78,-2.893226146697998,0,-2.8932261
-1.4,-1.1493492126464844,0,-1.1493492
1.16,0.8426922559738159,0,0.84269226
-1.08,-1.0115710496902466,0,-1.011571
-4.31,-5.251800060272217,0,-5.2518
-6.69,-6.582070827484131,0,-6.582071
-0.85,-0.6843057870864868,0,-0.6843058
-7.65,-6.565174579620361,0,-6.5651746
-0.9,-1.0780211687088013,0,-1.0780212
2.93,2.466311454772949,0,2.4663115
-2.93,-2.5981879234313965,0,-2.598188
-4.85,-5.584229469299316,0,-5.5842295
-5.91,-4.742281436920166,0,-4.7422814
-3.64,-4.621358394622803,0,-4.6213584
2.88,1.7729253768920898,0,1.7729254
-4.91,-4.9391255378723145,0,-4.9391255
-0.86,-0.7076853513717651,0,-0.70768535
-5.53,-5.044023036956787,0,-5.044023
-4.95,-4.2246856689453125,0,-4.2246857
0.14,-0.5864315032958984,0,-0.5864315
-7.78,-6.749229907989502,0,-6.74923
-1.92,-2.2213988304138184,0,-2.2213988
-2.01,-1.5697126388549805,0,-1.5697126
-3.17,-2.5780720710754395,0,-2.578072
-2.64,-2.570154905319214,0,-2.570155
