expt,physics_ml,physics,ml
-3.82,-4.803792978363037,-6.57758,1.773787
-2.93,-3.487307194700241,-3.66474,0.1774328
-0.98,-1.5351515104103088,-1.45543,-0.07972151
-0.74,-0.9147091647720337,0.116715,-1.0314242
-1.59,-0.6514352935771942,-0.907798,0.2563627
-3.75,-3.5346206617736815,-2.45829,-1.0763307
-4.55,-4.724630423288345,-4.56098,-0.16365042
-2.73,-1.7696465182590484,-1.61028,-0.15936652
-0.53,-0.46832791078567504,0.516745,-0.9850729
-0.25,-0.2741647261891365,-0.333791,0.059626274
-5.48,-4.997118020095826,-2.99454,-2.002578
2.51,1.6541974318695067,1.90732,-0.25312257
-0.64,0.9233682763004303,1.07819,-0.15482172
-0.83,-0.17491322131004333,0.0647066,-0.23961982
-6.88,-7.553717155447006,-7.73074,0.17702284
-4.84,-4.508805358819962,-4.24443,-0.26437536
-5.22,-3.336136829940796,-0.845567,-2.4905698
-0.83,-0.9856936596012116,-0.78156,-0.20413366
-0.68,-0.6720056653766632,-0.174978,-0.49702767
-4.93,-4.892296615931988,-4.83966,-0.052636616
-8.42,-10.323053084182739,-13.7258,3.402747
-6.16,-5.386643252429963,-5.22681,-0.15983325
-2.23,-2.650510577149391,-2.60682,-0.043690577
-0.53,-1.1459324962158204,-0.328502,-0.8174305
-4.47,-3.66326485458374,-3.01116,-0.65210485
-7.17,-7.164412431297302,-5.51506,-1.6493524
-2.78,-3.3888273283004757,-4.6221,1.2332727
3.43,3.7313986448574066,3.87818,-0.14678136
-11.0,-10.592375132071972,-10.5443,-0.048075132
-6.21,-5.939831024856568,-8.16397,2.224139
-5.71,-6.830443066577911,-7.41548,0.58503693
-5.26,-5.102300439646244,-4.98249,-0.11981044
-1.14,-1.4271177780497075,-1.37383,-0.053287778
-2.4,-2.8771591474914553,-3.03474,0.15758085
-2.33,-1.6487960441551208,-0.656971,-0.99182504
2.38,1.97588178814888,1.92139,0.05449179
-1.62,-1.680805948234558,-0.702526,-0.97827995
-6.79,-5.954514178285598,-5.55451,-0.40000418
-1.1,-0.9749470341491699,0.13347,-1.108417
-0.9,-1.1923387880015373,-1.10628,-0.08605879
-3.52,-3.3343205871868133,-2.92428,-0.4100406
-1.43,-1.1964998146224022,-1.25393,0.057430185
0.0,0.08169342048072814,0.494274,-0.41258058
1.47,1.2100257546710969,1.58098,-0.37095425
-4.62,-4.616935707969665,-2.76292,-1.8540157
-2.38,-2.4407925315666197,-2.19608,-0.24471253
2.1,1.962806763048172,1.77912,0.18368676
-9.34,-7.5892502173614504,-6.18442,-1.4048302
-10.0,-9.009258227729799,-7.0254,-1.9838582
-3.5,-3.8544538410758973,-3.82261,-0.03184384
-4.61,-4.407401106529235,-3.38543,-1.0219711
-2.07,-2.076326928758621,-1.9494,-0.12692693
-0.33,-0.2333478429980278,-0.111232,-0.12211584
-0.9,-1.0166455514068604,-0.454687,-0.56195855
-2.7,-3.2819302201342584,-3.21382,-0.06811022
1.83,1.3798197283554077,1.41048,-0.030660272
-3.9,-3.5526802140045164,-2.54708,-1.0056002
-1.5,-1.3385694945220947,0.226437,-1.5650065
-6.6,-6.431162497434616,-6.11241,-0.3187525
2.0,1.6908826114034652,1.58001,0.11087261
-7.0,-7.966790630340576,-10.9895,3.0227094
-10.78,-14.313623374938963,-17.7065,3.3928766
-0.46,-0.5994789416694641,0.349135,-0.94861394
-10.17,-10.400774990582466,-10.1784,-0.22237499
-2.75,-3.425764218416214,-3.91934,0.49357578
3.16,2.8589333632993696,3.02248,-0.16354664
-10.21,-9.86828672103882,-13.1193,3.2510133
-4.42,-5.8619454135227205,-5.63668,-0.22526541
-2.56,-2.7056140303039546,-4.23319,1.527576
-9.51,-10.425499031972885,-10.0267,-0.39879903
-5.0,-4.703512452468872,-3.71136,-0.99215245
-14.21,-14.375762367725372,-13.9255,-0.45026237
2.55,2.7003675373864175,2.63282,0.06754754
-2.56,-3.2250516364300252,-3.25219,0.027138364
-2.64,-3.1123190859794616,-3.4179,0.3055809
-5.22,-4.575557373037339,-4.53999,-0.035567373
-2.92,-2.9413437098121644,-2.03486,-0.9064837
-4.5,-3.995092831039429,-1.1554,-2.8396928
-1.66,-1.3350655805492402,-1.05319,-0.28187558
-11.85,-12.937775145053864,-13.2855,0.34772485
