expt,physics_ml,physics,ml
-2.49,-3.3402825178813935,-3.72622,0.38593748
-3.82,-3.5566200268554686,-5.70653,2.14991
-0.98,-0.8203469034471512,-0.999704,0.1793571
-1.59,-1.2284376227874756,-0.719727,-0.5087106
-4.55,-4.401639556427002,-3.02802,-1.3736196
-2.73,-2.4589355458021163,-2.63325,0.17431445
-0.53,-1.080537393380165,-0.940476,-0.1400614
-0.25,-0.3654818391857147,-0.471056,0.10557416
-2.82,-2.7910778306007384,-1.84855,-0.94252783
2.51,2.5608227518653868,1.94086,0.61996275
-0.83,-0.5039913655151367,0.0773561,-0.58134747
-7.5,-8.889149551885128,-8.80233,-0.08681955
-1.99,-2.1094508681058883,-2.3491,0.23964913
-6.88,-6.939081377220154,-6.14795,-0.7911314
-5.22,-3.9871140519332884,-2.18137,-1.805744
-0.83,-0.996728108549118,-1.44315,0.4464219
-0.68,-0.11739106032943725,-0.835526,0.71813494
-2.49,-3.020076780834198,-3.65004,0.6299632
-0.99,-1.254093345746994,-1.62836,0.37426665
-6.16,-5.248449554843902,-4.45142,-0.79702955
-2.23,-2.8197705891418456,-3.55178,0.7320094
-0.53,-1.210360756867981,-0.0964986,-1.1138622
-5.1,-4.798399094352722,-4.07426,-0.7241391
-4.47,-3.6119714209938047,-3.08674,-0.5252314
-7.17,-6.859386119880677,-6.12954,-0.7298461
1.38,1.082870558002472,0.995003,0.08786756
0.29,0.4121835157794952,0.842092,-0.42990848
-10.08,-11.030404347705842,-11.4593,0.42889565
-2.78,-2.598400758247376,-4.36373,1.7653292
-11.0,-11.0517887019068,-11.027,-0.024788702
-3.15,-4.227558989977837,-3.9786,-0.24895899
-6.21,-5.753663287239075,-7.45533,1.7016667
-5.26,-4.753470382843018,-4.11941,-0.6340604
-1.14,-1.1884702176862956,-1.21859,0.030119782
-2.4,-3.0696800447082517,-3.65181,0.58212996
-2.33,-2.3185514318037033,-2.13828,-0.18027143
2.38,2.13718778822422,1.99285,0.14433779
1.77,1.7775204001522065,1.49411,0.2834104
-1.62,-1.2496232781772614,-0.783938,-0.46568528
-1.79,-2.3077779534673692,-2.10896,-0.19881795
-6.79,-6.62089631690979,-6.0964,-0.5244963
-1.1,-1.3995308506393433,-1.82824,0.42870915
-0.9,-1.3205480232143403,-1.62474,0.30419198
-3.41,-3.845740731227398,-3.92455,0.07880927
-3.52,-3.8409184681320188,-4.42939,0.58847153
-1.43,-2.0284911519241335,-1.41537,-0.61312115
0.0,-0.08184009142589568,0.166193,-0.24803309
-20.52,-17.089940089035032,-13.1838,-3.90614
1.47,1.217417331647873,1.41845,-0.20103267
-4.62,-4.283616431617737,-2.75965,-1.5239664
-2.38,-2.57982939871788,-2.83859,0.2587606
-7.19,-7.734577522540093,-7.9709,0.23632248
2.1,1.5075606472206116,1.86422,-0.35665935
-4.02,-4.069093134803772,-2.83267,-1.2364231
-10.0,-9.080436780295372,-8.86721,-0.21322678
-3.5,-3.657163226184845,-4.48506,0.8278968
-2.07,-2.3452867913627626,-2.91204,0.5667532
-0.33,-0.6775206565093994,-0.33592,-0.34160066
-0.9,-0.7629336654758454,-1.05546,0.29252633
1.83,1.7289853682088852,1.58483,0.14415537
0.1,-0.24081581400394442,-0.445985,0.20516919
-1.5,-1.6585396811389923,-1.21919,-0.43934968
-6.6,-6.870960173606872,-5.06,-1.8109602
-7.0,-7.95538296546936,-10.2434,2.288017
-0.46,-1.122639561047554,-1.27049,0.14785044
-10.17,-10.360793071823121,-7.41383,-2.946963
-5.66,-5.422424379768372,-4.31219,-1.1102344
1.83,1.4052275438404083,1.23501,0.17021754
-0.1,-0.3403150175239563,-0.0144752,-0.32583982
-0.45,-0.6607964782047271,-1.07818,0.41738352
3.16,2.461014708976746,2.91848,-0.4574653
-0.63,-0.9495757240104675,-0.552755,-0.39682072
2.51,2.2187969729137422,2.14692,0.07187697
-3.15,-3.191782545516491,-3.07776,-0.114022546
-2.56,-2.760275533332825,-4.44589,1.6856145
-9.51,-9.982011130332946,-8.1405,-1.8415111
-5.0,-4.546300955848694,-3.49758,-1.048721
-14.21,-14.393546871042252,-14.8526,0.45905313
2.55,2.532584388129711,2.45293,0.07965439
-2.56,-3.535598977527618,-3.93896,0.40336102
-6.25,-6.384715664787293,-4.41767,-1.9670457
-2.92,-3.1590370003318786,-3.39716,0.238123
-6.0,-7.849253512763976,-9.0964,1.2471465
-1.66,-1.3393231540355681,-0.987116,-0.35220715
-11.85,-13.3847115776062,-16.8997,3.5149884
