expt,physics_ml,physics,ml
-2.49,-2.3468804359436035,0,-2.3468804
-3.82,-4.145265102386475,0,-4.145265
-0.98,-1.1178520917892456,0,-1.1178521
-1.59,-2.038116455078125,0,-2.0381165
-4.55,-7.034729957580566,0,-7.03473
-2.73,-2.3375940322875977,0,-2.337594
-0.53,-0.8575236797332764,0,-0.8575237
-0.25,1.4539051055908203,0,1.4539051
-2.82,-1.719683051109314,0,-1.719683
2.51,1.0936791896820068,0,1.0936792
-0.83,-0.9072701930999756,0,-0.9072702
-7.5,-5.438908100128174,0,-5.438908
-1.99,-0.9820281267166138,0,-0.9820281
-6.88,-5.686975479125977,0,-5.6869755
-5.22,-3.1978490352630615,0,-3.197849
-0.83,-0.347416490316391,0,-0.3474165
-0.68,0.33325186371803284,0,0.33325186
-2.49,-2.4529850482940674,0,-2.452985
-0.99,-1.4040149450302124,0,-1.404015
-6.16,-6.332780361175537,0,-6.3327804
-2.23,-2.461266279220581,0,-2.4612663
-0.53,-0.1963598132133484,0,-0.19635981
-5.1,-5.157139778137207,0,-5.15714
-4.47,-3.3680272102355957,0,-3.3680272
-7.17,-5.438259601593018,0,-5.4382596
1.38,1.1570897102355957,0,1.1570897
0.29,0.8394666910171509,0,0.8394667
-10.08,-6.148959636688232,0,-6.1489596
-2.78,-4.490175724029541,0,-4.4901757
-11.0,-8.633444786071777,0,-8.633445
-3.15,-3.8307697772979736,0,-3.8307698
-6.21,-5.289555549621582,0,-5.2895555
-5.26,-7.040901184082031,0,-7.040901
-1.14,-0.8376435041427612,0,-0.8376435
-2.4,-2.499946355819702,0,-2.4999464
-2.33,-1.3041799068450928,0,-1.3041799
2.38,1.9884986877441406,0,1.9884987
1.77,1.8562116622924805,0,1.8562117
-1.62,-1.4945504665374756,0,-1.4945505
-1.79,-1.2259200811386108,0,-1.2259201
-6.79,-7.2741193771362305,0,-7.2741194
-1.1,-2.227527618408203,0,-2.2275276
-0.9,-0.5521490573883057,0,-0.55214906
-3.41,-3.1931514739990234,0,-3.1931515
-3.52,-2.513082981109619,0,-2.513083
-1.43,0.2247040867805481,0,0.22470409
0.0,-0.14027681946754456,0,-0.14027682
-20.52,-10.535612106323242,0,-10.535612
1.47,1.31659996509552,0,1.3166
-4.62,-5.6440110206604,0,-5.644011
-2.38,-1.646612524986267,0,-1.6466125
-7.19,-5.763728618621826,0,-5.7637286
2.1,1.1292729377746582,0,1.1292729
-4.02,-3.7871713638305664,0,-3.7871714
-10.0,-7.0485429763793945,0,-7.048543
-3.5,-3.971799850463867,0,-3.9717999
-2.07,-2.0557878017425537,0,-2.0557878
-0.33,-0.40869733691215515,0,-0.40869734
-0.9,-0.31348150968551636,0,-0.3134815
1.83,0.9359791278839111,0,0.9359791
0.1,-0.3539726436138153,0,-0.35397264
-1.5,-1.2562392950057983,0,-1.2562393
-6.6,-7.301089286804199,0,-7.3010893
-7.0,-5.906664848327637,0,-5.906665
-0.46,0.6580525636672974,0,0.65805256
-10.17,-8.90381145477295,0,-8.903811
-5.66,-6.666973114013672,0,-6.666973
1.83,2.518219470977783,0,2.5182195
-0.1,-0.14902418851852417,0,-0.14902419
-0.45,0.40995803475379944,0,0.40995803
3.16,1.1551995277404785,0,1.1551995
-0.63,-1.0861501693725586,0,-1.0861502
2.51,1.7581757307052612,0,1.7581757
-3.15,-4.136997222900391,0,-4.136997
-2.56,-3.379978895187378,0,-3.379979
-9.51,-8.399897575378418,0,-8.399898
-5.0,-6.327664852142334,0,-6.327665
-14.21,-9.508354187011719,0,-9.508354
2.55,1.987246036529541,0,1.987246
-2.56,-2.3014113903045654,0,-2.3014114
-6.25,-6.370884418487549,0,-6.3708844
-2.92,-2.82338547706604,0,-2.8233855
-6.0,-4.2036824226379395,0,-4.2036824
-1.66,-0.6395195722579956,0,-0.6395196
-11.85,-9.7872953414917,0,-9.787295
-4.1,-3.68985652923584,0,-3.6898565
-7.66,-8.407699584960938,0,-8.4077
-1.45,-0.7208206653594971,0,-0.72082067
-1.93,-1.7573020458221436,0,-1.757302
-1.36,-1.0911626815795898,0,-1.0911627
0.25,-0.18642151355743408,0,-0.18642151
0.34,-0.06175068020820618,0,-0.06175068
2.88,1.1536171436309814,0,1.1536171
-4.52,-4.537038326263428,0,-4.5370383
-2.26,-2.3574702739715576,0,-2.3574703
2.56,1.3375110626220703,0,1.3375111
-5.33,-2.5465750694274902,0,-2.546575
-4.8,-4.232109546661377,0,-4.2321095
-9.76,-8.162979125976562,0,-8.162979
-9.65,-8.444073677062988,0,-8.444074
-0.78,-1.1607030630111694,0,-1.1607031
-5.04,-3.3680431842803955,0,-3.3680432
-9.8,-7.252283573150635,0,-7.2522836
-18.72,-10.855716705322266,0,-10.855717
-10.64,-8.764673233032227,0,-8.764673
-2.22,-1.9536141157150269,0,-1.9536141
-7.77,-6.100656509399414,0,-6.1006565
-9.61,-9.38123607635498,0,-9.381236
-3.68,-2.2694108486175537,0,-2.2694108
-4.78,-3.5929789543151855,0,-3.592979
-4.68,-7.314316272735596,0,-7.3143163
-1.24,-1.2649459838867188,0,-1.264946
-4.39,-5.078783988952637,0,-5.078784
-9.94,-8.131614685058594,0,-8.131615
-6.13,-6.279012203216553,0,-6.279012
-6.13,-6.536962509155273,0,-6.5369625
-6.09,-5.142026901245117,0,-5.142027
-3.65,-3.0809006690979004,0,-3.0809007
-3.78,-2.1399993896484375,0,-2.1399994
-1.4,-1.35627281665802,0,-1.3562728
1.16,1.4894589185714722,0,1.4894589
-1.08,0.10847339034080505,0,0.10847339
-4.31,-4.654058456420898,0,-4.6540585
1.32,1.726932168006897,0,1.7269322
-6.69,-8.174583435058594,0,-8.174583
-0.85,-0.6692975759506226,0,-0.6692976
-0.9,-0.625076174736023,0,-0.6250762
2.93,2.2357077598571777,0,2.2357078
-2.93,-4.149919033050537,0,-4.149919
-5.91,-6.484327793121338,0,-6.484328
-3.64,-4.733156681060791,0,-4.7331567
-4.91,-5.80294132232666,0,-5.8029413
-0.86,-0.08540767431259155,0,-0.085407674
-5.53,-5.695066928863525,0,-5.695067
-4.95,-2.937836170196533,0,-2.9378362
0.14,0.7069278955459595,0,0.7069279
-0.8,0.0821700394153595,0,0.08217004
-13.43,-9.797319412231445,0,-9.797319
-7.78,-8.00493335723877,0,-8.004933
-1.92,-1.5308552980422974,0,-1.5308553
-2.64,-2.5010035037994385,0,-2.5010035
-8.61,-6.7256598472595215,0,-6.72566
-4.04,-3.517972946166992,0,-3.517973
-5.26,-5.64700984954834,0,-5.64701
-0.11,1.808358907699585,0,1.8083589
-16.92,-10.856072425842285,0,-10.856072
-3.88,-4.734026908874512,0,-4.734027
-3.12,-3.5234591960906982,0,-3.5234592
-1.74,-1.516847848892212,0,-1.5168478
-0.77,-1.5236084461212158,0,-1.5236084
-1.21,-0.6206827163696289,0,-0.6206827
-4.7,-3.4958372116088867,0,-3.4958372
-5.94,-7.223767280578613,0,-7.2237673
-0.23,-0.0008469820022583008,0,-0.000846982
-4.4,-4.740245819091797,0,-4.740246
-2.11,-2.28113055229187,0,-2.2811306
-3.04,-2.471895694732666,0,-2.4718957
-4.59,-4.281663417816162,0,-4.2816634
-4.09,-4.736168384552002,0,-4.7361684
-0.16,-0.05900892615318298,0,-0.059008926
-3.28,-2.569847345352173,0,-2.5698473
-2.28,-2.784351110458374,0,-2.784351
-6.5,-7.549212455749512,0,-7.5492125
-0.1,0.07191145420074463,0,0.071911454
-1.24,-1.515930414199829,0,-1.5159304
-0.19,2.129946708679199,0,2.1299467
-1.31,-1.6062127351760864,0,-1.6062127
-2.89,-3.225785255432129,0,-3.2257853
-8.84,-8.751527786254883,0,-8.751528
-1.66,-1.7147375345230103,0,-1.7147375
-3.8,-4.878909111022949,0,-4.878909
-4.7,-4.515683174133301,0,-4.515683
-3.92,-4.36792516708374,0,-4.367925
-4.02,-4.400374412536621,0,-4.4003744
-3.64,-4.2652459144592285,0,-4.265246
-1.24,-1.296011209487915,0,-1.2960112
-3.13,-4.060202598571777,0,-4.0602026
-0.84,0.8747618198394775,0,0.8747618
-2.74,-1.965933918952942,0,-1.9659339
-5.9,-6.935500621795654,0,-6.9355006
-18.17,-10.866598129272461,0,-10.866598
2.93,2.043447971343994,0,2.043448
-7.58,-5.230584144592285,0,-5.230584
-3.67,-3.414801836013794,0,-3.4148018
