expt,physics_ml,physics,ml
-4.72,-4.504453854560852,-3.08,-1.4244539
-3.04,-2.919634748458862,0.8990000000000005,-3.8186347
-4.59,-2.9088707065582273,0.2400000000000002,-3.1488707
-3.82,-3.210930339813233,-8.342,5.1310697
-2.93,-3.2773642921447754,-4.915,1.6376357
-0.98,-1.1176036095619204,-0.5100000000000002,-0.6076036
-0.74,-1.0607912311553958,-1.7760000000000002,0.71520877
2.89,2.9724061560034754,3.059,-0.086593844
-1.59,-2.0889116802215577,-0.3540000000000001,-1.7349117
-3.75,-4.055897974491119,-3.437,-0.618898
-0.25,-0.3290197403430941,-0.1470000000000002,-0.18201974
-2.82,-2.55917105102539,-1.0439999999999996,-1.515171
-5.48,-5.477638414382935,-2.5780000000000003,-2.8996384
2.51,2.608679556787014,2.514,0.09467956
-0.64,-0.18995309448242192,2.819,-3.008953
-7.5,-7.966472923278809,-12.912,4.945527
-1.99,-2.602086588859558,-2.022,-0.5800866
-3.64,-3.7082520565986634,-3.096,-0.61225206
-4.84,-4.631923948287964,-3.836,-0.79592395
-5.22,-3.759163375854492,2.454,-6.2131634
-0.83,-0.9814045023918152,-0.395,-0.5864045
-0.68,-0.31015763521194467,0.3349999999999999,-0.64515764
-3.56,-3.8232101058959964,-2.3600000000000003,-1.4632101
-2.49,-2.7156042208671565,-3.0489999999999995,0.33339578
-4.93,-5.474643122673035,-4.612,-0.8626431
-6.16,-5.489726430416107,-4.644,-0.84572643
-2.23,-2.4574295806884767,-3.18,0.7225704
-0.53,-1.6240639648437503,0.5789999999999997,-2.203064
-5.1,-5.150864328384399,-4.789,-0.36186433
-4.47,-4.4989737701416015,-2.9200000000000004,-1.5789738
-7.17,-5.817182577133179,-4.813000000000001,-1.0041826
0.29,0.1343088564872741,1.031,-0.89669114
-2.78,-3.147146318435669,-6.998,3.8508537
3.43,3.4694768619537353,0.92,2.5494769
-3.15,-4.261364574670791,-4.664,0.40263543
-5.85,-6.880367983818054,-5.939,-0.941368
-6.21,-5.933384145736694,-9.289,3.3556159
-5.71,-6.492535764694214,-9.407,2.9144642
-1.14,-1.3441077351570132,-0.6750000000000003,-0.66910774
-2.4,-2.622617215156555,-3.919,1.2963828
-2.33,-1.7538124084472653,-0.5999999999999996,-1.1538124
-1.14,-1.617318997204304,-1.6020000000000003,-0.015318997
2.38,2.1941259512901308,2.551,-0.35687405
-5.88,-7.563472363233566,-7.278,-0.28547236
-2.81,-3.0425637445449834,-4.246,1.2034363
1.77,2.085954233407974,1.89,0.19595423
-6.5,-6.1008591766357405,-10.986999999999998,4.886141
-1.62,-0.41316677856445283,1.2070000000000003,-1.6201668
-1.79,-2.488478949785233,-2.1220000000000003,-0.36647895
-6.79,-6.435049243927002,-5.371,-1.0640492
-1.1,-1.378935008764267,-1.162,-0.21693501
-0.9,-1.2628081166744232,-0.815,-0.44780812
-3.41,-3.830378551721574,-3.689000000000001,-0.14137855
-3.52,-3.7670110788345337,-4.359,0.5919889
-1.43,-1.3568884077072143,-0.0689999999999999,-1.2878884
0.0,0.4093540205955506,1.064,-0.654646
1.47,1.6822331206798555,2.083,-0.40076688
-2.38,-2.6377168235778807,-2.106,-0.5317168
-7.19,-7.314747142791749,-13.05,5.735253
2.1,1.708530138015747,2.348,-0.63946986
-4.02,-3.841539595603943,-2.998,-0.8435396
-3.5,-2.8966720600128184,-6.277000000000001,3.380328
-4.61,-4.410703499794007,-4.9830000000000005,0.5722965
-2.07,-2.221110160827637,-3.333,1.1118898
-0.33,-0.24173826718330374,0.1360000000000001,-0.37773827
-0.9,-0.6270300235748292,0.0409999999999999,-0.66803
-2.7,-2.7768707296848296,-3.021,0.24412927
1.83,0.9660726881027222,1.76,-0.7939273
0.1,-1.3340005550384522,-4.766,3.4319994
