expt,physics_ml,physics,ml
-4.72,-3.9502439262771607,-3.13599,-0.8142539
-3.04,-3.084885610103607,-2.34475,-0.7401356
-4.59,-2.6318180193901064,-1.75525,-0.876568
-3.82,-4.4213892472076415,-5.70653,1.2851408
-2.93,-2.826006553344727,-4.29168,1.4656734
-0.98,-1.6832928624191283,-0.999704,-0.68358886
-0.74,-1.349145974740982,-1.27761,-0.071535975
2.89,2.4932976276493073,2.21496,0.27833763
-1.59,-1.3315695130844116,-0.719727,-0.6118425
-3.75,-2.4276654814147953,-4.06934,1.6416745
-0.25,-0.9447315788326263,-0.471056,-0.47367558
-2.82,-1.3480573676109313,-1.84855,0.50049263
-5.48,-4.024201969127655,-3.16298,-0.86122197
2.51,1.9645135109579563,1.94086,0.023653511
-0.64,-0.6320227039585113,-0.443376,-0.1886467
-7.5,-8.9299097188282,-8.80233,-0.12757972
-1.99,-2.8418530586719513,-2.3491,-0.49275306
-3.64,-3.5778962760162356,-5.01902,1.4411237
-4.84,-4.284126339969635,-4.40906,0.12493366
-5.22,-2.7565489808273314,-2.18137,-0.575179
-0.83,-1.3872237478435039,-1.44315,0.055926252
-0.68,-1.0441900745401382,-0.835526,-0.20866407
-3.56,-3.4967590729904177,-2.86147,-0.6352891
-2.49,-2.034619658508301,-3.65004,1.6154203
-4.93,-4.4635609961700435,-4.65612,0.192559
-6.16,-4.393330769790411,-4.45142,0.05808923
-2.23,-2.117609277038574,-3.55178,1.4341707
-0.53,-0.8032045278488159,-0.0964986,-0.7067059
-5.1,-4.65018236995697,-4.07426,-0.57592237
-4.47,-3.809503180732727,-3.08674,-0.7227632
-7.17,-6.7485903835678105,-6.12954,-0.6190504
0.29,1.9615722522659302,0.842092,1.1194803
-2.78,-3.1425594553756717,-4.36373,1.2211705
3.43,5.191686349897385,4.87378,0.31790635
-3.15,-3.5538660036087037,-3.9786,0.424734
-5.85,-5.6055523412323,-4.87226,-0.73329234
-6.21,-6.066401705818176,-7.45533,1.3889283
-5.71,-7.679217726631165,-9.16167,1.4824523
-1.14,-1.8533892420196534,-1.21859,-0.63479924
-2.4,-2.200567195472717,-3.65181,1.4512428
-2.33,-2.53310781291008,-2.13828,-0.3948278
-1.14,-2.632120061626434,-2.08024,-0.55188006
2.38,1.2299273553848267,1.99285,-0.76292264
-5.88,-6.775847653064727,-7.03166,0.25581235
-2.81,-2.21710416305542,-3.49388,1.2767758
1.77,0.7988300441360474,1.49411,-0.69527996
-6.5,-6.469622371444702,-9.58076,3.1111376
-1.62,-1.537209222114563,-0.783938,-0.7532712
-1.79,-2.750270751438141,-2.10896,-0.64131075
-6.79,-6.119192171686888,-6.0964,-0.022792172
-1.1,-2.2242869365119935,-1.82824,-0.39604694
-0.9,-1.496766339173317,-1.62474,0.12797366
-3.41,-2.2530332239151,-3.92455,1.6715168
-3.52,-2.769211338653564,-4.42939,1.6601787
-1.43,-1.7459884113025665,-1.41537,-0.3306184
0.0,-0.30776921756935116,0.166193,-0.47396222
1.47,0.9824735245227814,1.41845,-0.43597648
-2.38,-3.0849505999946594,-2.83859,-0.2463606
-7.19,-5.334677875900269,-7.9709,2.6362221
2.1,1.0237479574394226,1.86422,-0.84047204
-4.02,-2.0285878447723387,-2.83267,0.80408216
-3.5,-3.1407023902511595,-4.48506,1.3443576
-4.61,-3.234443379402161,-4.84475,1.6103066
-2.07,-1.6790511656188967,-2.91204,1.2329888
-0.33,-0.8315081536006927,-0.33592,-0.49558815
-0.9,-1.038216283134222,-1.05546,0.017243717
-2.7,-3.008420044927597,-3.36853,0.36010996
1.83,0.8375769396591186,1.58483,-0.74725306
0.1,-1.0175148652648927,-0.445985,-0.57152987
-3.9,-2.2284934912109375,-3.87304,1.6445465
-6.6,-4.780204323530197,-5.06,0.27979568
2.0,0.874270304107666,1.7034,-0.8291297
-7.0,-8.845552109146118,-10.2434,1.3978479
-5.66,-4.30370610955596,-4.31219,0.00848389
1.83,0.7897397298908233,1.23501,-0.44527027
-0.1,-0.48934510690231325,-0.0144752,-0.4748699
-0.45,-1.3903977124023437,-1.07818,-0.3122177
3.16,2.0441797585296633,2.91848,-0.87430024
-0.63,-1.1821870821762084,-0.552755,-0.6294321
2.51,1.3480841263961794,2.14692,-0.7988359
-4.5,-3.7507016985321044,-2.95749,-0.7932117
-3.15,-3.0077068398094178,-3.07776,0.07005316
-2.56,-3.241280129089356,-4.44589,1.2046099
-5.0,-4.227541931705475,-3.49758,-0.72996193
2.55,1.5651499296951292,2.45293,-0.8877801
-2.56,-2.49347226234436,-3.93896,1.4454877
-6.25,-4.408941819919348,-4.41767,0.00872818
-5.22,-4.361945039901733,-4.45391,0.09196496
-2.92,-1.7413329545593261,-3.39716,1.655827
-6.0,-7.597978092575072,-9.0964,1.4984219
-4.5,-3.5251787620925903,-2.76389,-0.76128876
-4.1,-3.0210985630798337,-4.35713,1.3360314
-1.45,-0.7844848261051178,-0.516043,-0.26844183
-1.93,-3.129616487636566,-2.62514,-0.5044765
-1.36,-2.147231634731293,-1.42337,-0.72386163
-1.23,-1.3473957396411895,-1.06334,-0.28405574
0.25,-0.9394440951538086,-0.15377,-0.7856741
-2.45,-1.6286986090278623,-2.05691,0.4282114
0.34,-0.0763192049922943,0.154981,-0.2313002
-5.74,-13.613709113693236,-17.1026,3.488891
2.88,2.3070882934868338,2.28365,0.023438293
-4.52,-4.313019390592575,-4.74726,0.4342406
-2.26,-1.9329164408111574,-3.31809,1.3851736
-5.33,-4.210697266998291,-4.45569,0.24499273
-0.78,-1.230670857017517,-0.522718,-0.70795286
1.23,0.7123199548721313,1.6215,-0.90918005
-5.04,-6.908905121154785,-6.65232,-0.25658512
-2.22,-2.8142611901330947,-2.90258,0.08831881
0.75,0.34199276615142815,1.18976,-0.84776723
-4.01,-4.948682688198089,-4.41646,-0.5322227
-3.68,-3.2619062131881718,-4.5269,1.2649938
-0.4,-0.6487108621587754,-0.412074,-0.23663686
-2.4,-2.6097633616256712,-2.97693,0.36716664
-4.78,-5.107460423650742,-5.43569,0.32822958
-3.84,-3.098769906082153,-2.40379,-0.6949799
-3.37,-2.8529124479103087,-2.15698,-0.69593245
-4.68,-6.919605504989624,-8.1745,1.2548945
-1.24,-1.8818789024353029,-2.152,0.2701211
-4.39,-3.3817151124954226,-2.5708,-0.8109151
-1.88,-1.0502854522323608,-1.83761,0.78732455
-6.13,-4.275230171970129,-4.28096,0.005729828
-6.13,-4.413643705172539,-4.56342,0.1497763
-6.09,-6.139309938812256,-7.55965,1.4203401
-3.65,-2.619622693786621,-1.81251,-0.8071127
-3.71,-2.7893225143623352,-2.06332,-0.7260025
-4.69,-4.445150899333954,-4.80417,0.3590191
-3.78,-3.4606021894454955,-3.55265,0.09204781
-1.4,-3.0550657091903686,-2.35133,-0.7037357
1.16,0.879694992863655,0.988937,-0.10924201
-1.08,-1.08914627942276,-0.666442,-0.42270428
-4.31,-2.828348154191971,-3.20438,0.37603185
1.32,0.7695230127413273,0.735927,0.033596013
-6.69,-7.567418776092529,-8.97106,1.4036412
-0.85,-1.414366880235672,-1.34506,-0.06930688
-7.65,-12.319305779647827,-13.5122,1.1928942
-0.9,-1.459889840402603,-1.75629,0.29640016
2.93,2.824506487197876,2.63907,0.18543649
-2.93,-3.190588401565552,-2.99426,-0.1963284
-4.85,-4.126996278305054,-3.33427,-0.7927263
-5.91,-4.222911812200547,-4.30714,0.08422819
-3.64,-2.9691624840164184,-2.09909,-0.8700725
2.88,1.6952092739105225,2.5646,-0.8693907
-0.86,-1.1945494799697398,-1.18579,-0.00875948
-5.53,-6.588497404694557,-6.689,0.100502595
-4.95,-4.58023532169342,-5.50793,0.9276947
0.14,-0.07434251919937129,0.532738,-0.6070805
-0.8,-1.4307447460687162,-1.48351,0.052765254
-7.47,-8.661142040138245,-8.97363,0.31248796
-1.92,-5.266210718965531,-5.60085,0.33463928
-2.01,-1.5727829644317626,-0.920562,-0.65222096
-3.17,-3.064055670890808,-2.31716,-0.7468957
-6.23,-3.229061401309967,-3.60869,0.3796286
-2.64,-1.329624553604126,-2.97567,1.6460454
-4.04,-5.640865190629959,-5.70588,0.06501481
-5.26,-4.057362203783989,-3.98932,-0.068042204
