model_num,epochs,train,valid,test,conv_criterion
0,53,1.069250045187038,0.8695683898686924,2.8183407529221953,converged
1,97,0.675118062719971,0.7761332579233186,2.7949994476806066,converged
2,43,1.0524760573634604,1.001487829841525,2.842481940627986,converged
3,71,0.7292499243993794,0.8171457500196216,2.8936683147177695,converged
4,74,0.7953280490513738,0.8471503950661494,2.7626389881449276,converged
5,31,1.1130423430467438,0.9702080399266213,2.9350460404159158,converged
6,37,1.0168643217545847,0.8636379128204558,3.0931268745153617,converged
7,58,0.7871226333436986,0.9005423348514836,2.8243530278669313,converged
8,77,0.726918716822031,0.774081476163883,2.7616147890507667,converged
9,60,0.8305103924119606,0.9350398305041233,2.9559782511619375,converged
10,82,0.6227191545721843,0.8185150909076958,2.7720664045149093,converged
11,74,0.7618223749330805,0.7436248180627452,2.7611302218024854,converged
12,84,0.6797306564049443,0.8076007492669005,3.3311032508104432,converged
13,86,0.7931971653476467,0.8589773067737385,2.761156925119578,converged
14,22,1.439832911203079,1.1884112565466691,2.8135901774380683,converged
15,54,1.045106633493021,0.8380546516279426,2.850129633576456,converged
16,71,0.8513382589527032,0.86476389505762,3.0035743628046006,converged
17,71,0.8192624772560507,0.9136620813901818,3.317758437634264,converged
18,48,1.0057656606393575,0.9565439980411962,2.8521563725831935,converged
19,41,1.0171267452815107,0.9204888271757955,2.787254564054239,converged
