expt,physics_ml,physics,ml
-4.72,-5.043507099151611,0,-5.043507
-3.04,-3.7947914600372314,0,-3.7947915
-4.59,-5.17000675201416,0,-5.1700068
-3.82,-4.006008625030518,0,-4.0060086
-2.93,-3.407201051712036,0,-3.407201
-0.98,-1.480058193206787,0,-1.4800582
-0.74,-0.858569860458374,0,-0.85856986
2.89,2.627549409866333,0,2.6275494
-1.59,-1.0995457172393799,0,-1.0995457
-3.75,-3.5046842098236084,0,-3.5046842
-0.25,-0.06408960372209549,0,-0.0640896
-2.82,-2.674232006072998,0,-2.674232
-5.48,-5.047508716583252,0,-5.0475087
2.51,2.466280221939087,0,2.4662802
-0.64,-1.0568568706512451,0,-1.0568569
-7.5,-6.787217617034912,0,-6.7872176
-1.99,-1.8099476099014282,0,-1.8099476
-3.64,-2.8643414974212646,0,-2.8643415
-4.84,-3.7930586338043213,0,-3.7930586
-5.22,-5.087039947509766,0,-5.08704
-0.83,-1.3231059312820435,0,-1.3231059
-0.68,-0.6611708402633667,0,-0.66117084
-3.56,-3.5616071224212646,0,-3.5616071
-2.49,-2.7009737491607666,0,-2.7009737
-4.93,-4.827272891998291,0,-4.827273
-6.16,-6.264241695404053,0,-6.2642417
-2.23,-2.232085943222046,0,-2.232086
-0.53,-0.32784250378608704,0,-0.3278425
-5.1,-4.634966850280762,0,-4.634967
-4.47,-4.0264410972595215,0,-4.026441
-7.17,-6.473186492919922,0,-6.4731865
0.29,0.2654508948326111,0,0.2654509
-2.78,-3.1390221118927,0,-3.139022
3.43,1.5215054750442505,0,1.5215055
-3.15,-3.897728443145752,0,-3.8977284
-5.85,-6.2116923332214355,0,-6.2116923
-6.21,-5.40994930267334,0,-5.4099493
-5.71,-4.293107509613037,0,-4.2931075
-1.14,-1.3372732400894165,0,-1.3372732
-2.4,-2.6158154010772705,0,-2.6158154
-2.33,-2.099917411804199,0,-2.0999174
-1.14,-1.1981669664382935,0,-1.198167
2.38,2.507800340652466,0,2.5078003
-5.88,-4.618528366088867,0,-4.6185284
-2.81,-2.5286223888397217,0,-2.5286224
1.77,1.2547136545181274,0,1.2547137
-6.5,-6.3955535888671875,0,-6.3955536
-1.62,-1.788995623588562,0,-1.7889956
-1.79,-1.9218474626541138,0,-1.9218475
-6.79,-6.113814353942871,0,-6.1138144
-1.1,-0.7292618751525879,0,-0.7292619
-0.9,-1.6165671348571777,0,-1.6165671
-3.41,-2.9943931102752686,0,-2.994393
-3.52,-3.412583112716675,0,-3.412583
-1.43,-1.4192107915878296,0,-1.4192108
0.0,0.07531406730413437,0,0.07531407
1.47,0.9850149154663086,0,0.9850149
-2.38,-2.0844929218292236,0,-2.084493
-7.19,-6.2335100173950195,0,-6.23351
2.1,2.469040870666504,0,2.4690409
-4.02,-3.904167652130127,0,-3.9041677
-3.5,-4.979798793792725,0,-4.979799
-4.61,-4.4646315574646,0,-4.4646316
-2.07,-2.2750184535980225,0,-2.2750185
-0.33,-0.6310818195343018,0,-0.6310818
