expt,physics_ml,physics,ml
-4.72,-4.640945804834366,-3.232,-1.4089458048343655
-3.04,-3.3644659774303434,-1.083,-2.2814659774303436
-4.59,-4.551910461366177,-3.953,-0.5989104613661769
-3.82,-3.9320084018707293,-5.442,1.5099915981292709
-2.93,-2.7912640829086306,-3.652,0.8607359170913695
-0.98,-1.1666856503486631,-0.11,-1.056685650348663
-0.74,-1.1534607166573405,-0.609,-0.5444607166573405
2.89,2.576538320451975,2.542,0.034538320451975135
-1.59,-1.9664154870510095,-0.617,-1.3494154870510096
-3.75,-3.0868922357037665,-3.344,0.2571077642962334
-0.25,-0.1841263366937637,0.833,-1.0171263366937637
-2.82,-2.3534974277019507,-1.325,-1.0284974277019507
-5.48,-4.978095359802246,-4.345,-0.6330953598022466
2.51,2.1823358451426027,2.506,-0.3236641548573971
-0.64,-0.1955931061506271,0.885,-1.080593106150627
-7.5,-6.921562291145325,-10.251,3.329437708854674
-1.99,-1.7453079071044921,-0.384,-1.361307907104492
-3.64,-4.139940090060236,-4.573,0.4330599099397645
-4.84,-4.0733548285961145,-2.869,-1.2043548285961143
-5.22,-3.511445960044861,-1.284,-2.227445960044861
-0.83,-1.2226229676306246,-0.697,-0.5256229676306247
-0.68,-0.5995535471886395,-0.456,-0.1435535471886395
-3.56,-3.7304417647048838,-3.59,-0.1404417647048839
-2.49,-2.6468351640850307,-2.563,-0.08383516408503056
-4.93,-4.382821049571038,-3.343,-1.0398210495710378
-6.16,-5.964855344176291,-5.148,-0.8168553441762914
-2.23,-2.35670189717412,-2.929,0.5722981028258798
-0.53,-1.0528601078987123,-0.178,-0.8748601078987124
-5.1,-4.807809546947479,-3.491,-1.316809546947479
-4.47,-4.079640643775463,-3.288,-0.7916406437754628
-7.17,-7.156478309988975,-6.116,-1.0404783099889752
0.29,-0.4795271278619765,0.553,-1.0325271278619765
-2.78,-2.8386272548437113,-4.028,1.1893727451562883
3.43,3.347631987415254,3.077,0.27063198741525385
-3.15,-4.339050238765777,-4.9,0.5609497612342231
-5.85,-6.9032733159065245,-5.833,-1.0702733159065243
-6.21,-6.608797159671783,-7.878,1.2692028403282167
-5.71,-7.8049452768564205,-8.683,0.8780547231435794
-1.14,-1.4643886696100232,-0.473,-0.9913886696100233
-2.4,-2.6468314380347735,-3.304,0.6571685619652263
-2.33,-2.4778037488460543,-1.275,-1.2028037488460543
-1.14,-1.5564595472812652,-0.395,-1.1614595472812652
2.38,1.7741674894094466,2.59,-0.8158325105905533
-5.88,-8.017837035343051,-8.161,0.14316296465694833
-2.81,-2.742990504987538,-2.86,0.11700949501246205
1.77,1.1816014017760752,1.691,-0.5093985982239249
-6.5,-4.386570303678513,-7.024,2.6374296963214867
-1.62,-1.6402515962123871,0.136,-1.7762515962123873
-1.79,-1.7570646231174467,-0.363,-1.3940646231174467
-6.79,-6.070542341023684,-5.28,-0.7905423410236834
-1.1,-1.4435249484777448,-0.182,-1.2615249484777449
-0.9,-1.2734843270480631,-0.79,-0.4834843270480631
-3.41,-3.4367895042523733,-3.05,-0.38678950425237346
-3.52,-3.2894159724786873,-3.166,-0.12341597247868741
-1.43,-1.2939586136341097,-0.091,-1.2029586136341097
0.0,0.19462954556941972,1.261,-1.06637045443058
1.47,1.6261079744100573,2.486,-0.8598920255899429
-2.38,-2.427823784828186,-1.853,-0.5748237848281861
-7.19,-6.938451514005661,-10.466,3.5275484859943385
2.1,1.4105343883037569,2.588,-1.1774656116962432
-4.02,-3.3329728245735177,-2.075,-1.2579728245735176
-3.5,-3.362809523127973,-3.372,0.00919047687202701
-4.61,-3.1282283038198946,-3.043,-0.08522830381989444
-2.07,-2.250091569557785,-2.336,0.08590843044221463
-0.33,-0.33838074994087225,0.973,-1.3113807499408723
-0.9,-1.255250733971596,-0.553,-0.7022507339715959
-2.7,-2.756934602960944,-3.143,0.38606539703905574
1.83,1.1626064801216125,2.465,-1.3023935198783874
0.1,-0.595625445008278,-1.156,0.560374554991722
-3.9,-3.7874978023320436,-4.003,0.21550219766795653
-6.6,-6.58261065852642,-5.707,-0.8756106585264201
2.0,1.2951271903514865,2.495,-1.1998728096485136
-7.0,-9.440040863275527,-10.857,1.416959136724472
