expt,physics_ml,physics,ml
-4.72,-4.6892620391845705,-3.232,-1.457262
-3.04,-3.563771541595459,-1.083,-2.4807715
-4.59,-4.399751773357391,-3.953,-0.44675177
-3.82,-3.805124966621399,-5.442,1.636875
-2.93,-3.193817665100098,-3.652,0.45818233
-0.98,-1.5642640447616578,-0.11,-1.454264
-0.74,-1.1156927075386047,-0.609,-0.5066927
2.89,2.614208896279335,2.542,0.0722089
-1.59,-2.2472112340927124,-0.617,-1.6302112
-3.75,-3.062409538269043,-3.344,0.28159046
-0.25,-0.19262165260314945,0.833,-1.0256217
-2.82,-2.1719244837760927,-1.325,-0.8469245
-5.48,-4.800012798309326,-4.345,-0.4550128
2.51,2.511464136600494,2.506,0.0054641366
-0.64,-0.16333996295928954,0.885,-1.04834
-7.5,-6.5683453807830805,-10.251,3.6826546
-1.99,-1.8863205280303954,-0.384,-1.5023205
-3.64,-4.514196143627167,-4.573,0.058803856
-4.84,-4.346188944816589,-2.869,-1.477189
-5.22,-4.016067346572876,-1.284,-2.7320673
-0.83,-1.371476444721222,-0.697,-0.67447644
-0.68,-0.6908038107156753,-0.456,-0.23480381
-3.56,-3.9968049192428587,-3.59,-0.40680492
-2.49,-2.8804769282341005,-2.563,-0.31747693
-4.93,-4.447303002357483,-3.343,-1.104303
-6.16,-5.743033407211303,-5.148,-0.5950334
-2.23,-3.0082084783315657,-2.929,-0.07920848
-0.53,-0.9109728007316589,-0.178,-0.7329728
-5.1,-4.7669665250778195,-3.491,-1.2759665
-4.47,-4.141648960590363,-3.288,-0.85364896
-7.17,-7.349794093132019,-6.116,-1.2337941
0.29,-0.5772947998046875,0.553,-1.1302948
-2.78,-2.4771165876388546,-4.028,1.5508834
3.43,3.2114650387763977,3.077,0.13446504
-3.15,-4.435557508468628,-4.9,0.4644425
-5.85,-6.738355453491211,-5.833,-0.90535545
-6.21,-6.495719054222107,-7.878,1.382281
-5.71,-8.354317160129547,-8.683,0.32868284
-1.14,-1.7417538862228392,-0.473,-1.2687539
-2.4,-2.904245475769043,-3.304,0.39975452
-2.33,-2.569150948524475,-1.275,-1.294151
-1.14,-1.5553602170944214,-0.395,-1.1603602
2.38,1.9771935606002806,2.59,-0.61280644
-5.88,-8.059234322667121,-8.161,0.10176568
-2.81,-3.0652509635686873,-2.86,-0.20525096
1.77,1.572647899746895,1.691,-0.1183521
-6.5,-3.266018938064575,-7.024,3.757981
-1.62,-2.4837118759155272,0.136,-2.6197119
-1.79,-1.7251783256530762,-0.363,-1.3621783
-6.79,-5.726408271789551,-5.28,-0.44640827
-1.1,-1.585364062309265,-0.182,-1.4033641
-0.9,-1.2216383004188538,-0.79,-0.4316383
-3.41,-3.311153221130371,-3.05,-0.26115322
-3.52,-3.479977539539337,-3.166,-0.31397754
-1.43,-0.9842400941848755,-0.091,-0.8932401
0.0,0.06859179592132558,1.261,-1.1924082
1.47,1.7648186073303225,2.486,-0.7211814
-2.38,-2.5303591637611387,-1.853,-0.67735916
-7.19,-6.7341348323822015,-10.466,3.7318652
2.1,1.5091263656616212,2.588,-1.0788736
-4.02,-3.4335350513458254,-2.075,-1.358535
-3.5,-3.6782970042228698,-3.372,-0.306297
-4.61,-3.1215705596208574,-3.043,-0.07857056
-2.07,-2.541547884106636,-2.336,-0.20554788
-0.33,-0.4740216035842896,0.973,-1.4470216
-0.9,-1.4610383777618408,-0.553,-0.9080384
-2.7,-2.860069089412689,-3.143,0.2829309
1.83,1.1543790960311888,2.465,-1.3106209
0.1,-1.0056550768613814,-1.156,0.15034492
-3.9,-4.114885294318199,-4.003,-0.111885294
-6.6,-6.109719020843506,-5.707,-0.40271902
2.0,1.411646957397461,2.495,-1.083353
-7.0,-9.73123288822174,-10.857,1.1257671
-5.66,-5.0884280138015745,-4.768,-0.320428
1.83,1.689896203994751,2.452,-0.7621038
-0.1,-0.11364101505279534,1.084,-1.197641
-0.45,-0.29194472849369046,-0.22,-0.07194473
3.16,2.6300278520584106,3.335,-0.70497215
-0.63,-0.47130236625671384,0.775,-1.2463024
2.51,1.9263644461631775,2.613,-0.68663555
-4.5,-3.747895483970642,-3.13,-0.6178955
-3.15,-4.103108109116555,-4.198,0.09489189
-2.56,-2.449054018974304,-3.867,1.417946
-5.0,-4.923035568237305,-3.394,-1.5290356
2.55,1.9690692601203916,2.381,-0.41193074
-2.56,-3.267765672326088,-3.492,0.22423433
-6.25,-5.647730931758881,-5.272,-0.37573093
-5.22,-4.3689711341857915,-3.201,-1.1679711
-2.92,-3.417219940662384,-2.704,-0.71321994
-6.0,-5.6797458324432375,-6.716,1.0362542
-4.5,-4.598724943161011,-3.156,-1.442725
-4.1,-3.0767572914361954,-3.238,0.16124271
-1.45,-1.2896624126434326,-0.379,-0.9106624
-1.93,-2.346668915271759,-1.742,-0.6046689
-1.36,-2.2417872219085693,-0.553,-1.6887872
-1.23,-0.9958464059829713,0.059,-1.0548464
0.25,0.2131148772239686,1.108,-0.8948851
-2.45,-1.5349342522621154,-1.956,0.42106575
0.34,0.15847606468200692,1.223,-1.0645239
-5.74,-12.79274453163147,-16.515,3.7222555
2.88,2.349103401660919,2.686,-0.3368966
-4.52,-6.295517244338989,-6.79,0.49448276
-2.26,-1.4664735975265502,-2.219,0.7525264
-5.33,-4.304838158488273,-4.055,-0.24983816
-0.78,-1.666106556892395,0.326,-1.9921066
1.23,0.8986105113029479,1.503,-0.6043895
-5.04,-5.444486121535301,-5.495,0.05051388
-2.22,-2.560442141532898,-2.254,-0.30644214
0.75,0.9452280855178832,2.485,-1.5397719
-4.01,-4.407037655830383,-2.767,-1.6400377
-3.68,-2.970202867269516,-3.123,0.15279713
-0.4,-0.7456908655166626,0.705,-1.4506909
-2.4,-2.884838641166687,-3.213,0.32816136
-4.78,-4.695531548500061,-4.014,-0.68153155
-3.84,-4.055191311836243,-2.66,-1.3951913
-3.37,-3.7569381380081177,-2.54,-1.2169381
-4.68,-8.28813110256195,-8.809,0.5208689
-1.24,-1.1147072075605393,-1.078,-0.036707208
-4.39,-4.068055100440979,-2.945,-1.1230551
-1.88,-1.8714982932806015,-1.835,-0.036498293
-6.13,-5.871099880218506,-5.453,-0.41809988
-6.13,-6.136588040828705,-5.579,-0.55758804
-6.09,-7.2039294424057,-8.844,1.6400706
-3.65,-3.0013585286140443,-2.233,-0.7683585
-3.71,-4.0637659816741944,-1.878,-2.185766
-4.69,-4.991547925949097,-3.508,-1.4835479
-3.78,-4.193838799834252,-4.304,0.1101612
-1.4,-1.8969329919815063,-0.359,-1.537933
1.16,1.9437598962783813,2.327,-0.3832401
-1.08,-1.1307356023788453,0.285,-1.4157356
-4.31,-4.319840177536011,-3.809,-0.5108402
1.32,1.2127947120666502,2.328,-1.1152053
-6.69,-6.043230277061462,-7.281,1.2377697
-0.85,-1.2305928096771241,-0.761,-0.4695928
-7.65,-7.391341402053833,-10.552,3.1606586
-0.9,-1.0901886281967164,-0.806,-0.28418863
2.93,3.084193290472031,2.97,0.11419329
-2.93,-3.2525719842910767,-3.221,-0.031571984
-4.85,-4.7459427881240845,-3.33,-1.4159428
-5.91,-5.653017164707184,-5.014,-0.63901716
-3.64,-3.2780083618164064,-2.446,-0.83200836
2.88,2.284829676628113,3.088,-0.8031703
-0.86,-1.6500652861595153,-0.795,-0.8550653
-5.53,-5.79420520067215,-5.325,-0.4692052
-4.95,-5.701477827787399,-5.646,-0.055477828
0.14,0.3830044746398926,1.175,-0.7919955
-0.8,-1.350208707332611,-0.658,-0.6922087
