expt,physics_ml,physics,ml
-4.72,-4.655701386947632,-3.22227,-1.4334314
-3.04,-4.0163980128479,-2.11372,-1.902678
-4.59,-3.5687202967071534,-0.447715,-3.1210053
-3.82,-4.050220752792359,-6.57758,2.5273592
-2.93,-3.080808971157074,-3.66474,0.583931
-0.98,-1.3340320502448082,-1.45543,0.12139795
-0.74,-0.8054347178077698,0.116715,-0.9221497
2.89,2.602741291542053,2.25602,0.3467213
-1.59,-1.4161551076393128,-0.907798,-0.5083571
-3.75,-3.5808766079330443,-2.45829,-1.1225866
-0.25,-0.10274953877067566,-0.333791,0.23104146
-2.82,-2.9019248925590517,-2.20814,-0.6937849
-5.48,-5.2140527010345465,-2.99454,-2.2195127
2.51,2.597914136714935,1.90732,0.69059414
-0.64,-0.5503283429718018,1.07819,-1.6285183
-7.5,-8.11701688117981,-11.5907,3.473683
-1.99,-2.983066608133316,-2.59119,-0.3918766
-3.64,-3.9864081282806394,-1.97427,-2.0121381
-4.84,-4.2524422575163845,-4.24443,-0.0080122575
-5.22,-4.158637297241211,-0.845567,-3.3130703
-0.83,-1.0265381596660614,-0.78156,-0.24497816
-0.68,-0.5006794453411102,-0.174978,-0.32570145
-3.56,-3.12565435043335,-4.87666,1.7510056
-2.49,-2.6721555341911314,-2.04742,-0.62473553
-4.93,-4.956818778011799,-4.83966,-0.11715878
-6.16,-5.990044615325928,-5.22681,-0.7632346
-2.23,-2.5911407374215125,-2.60682,0.015679263
-0.53,-0.7095139330883027,-0.328502,-0.38101193
-5.1,-5.453546812133789,-4.24733,-1.2062168
-4.47,-4.580557687911988,-3.01116,-1.5693977
-7.17,-6.4537527485466,-5.51506,-0.93869275
0.29,0.2521286283912658,0.587594,-0.33546537
-2.78,-2.5980163856506344,-4.6221,2.0240836
3.43,3.484959485940933,3.87818,-0.3932205
-3.15,-3.7662229471588136,-6.23754,2.471317
-5.85,-6.766046279964447,-6.02331,-0.7427363
-6.21,-6.119310623855592,-8.16397,2.0446594
-5.71,-6.238832932929992,-7.41548,1.1766471
-1.14,-1.5832941327857972,-1.37383,-0.20946413
-2.4,-2.596170722475052,-3.03474,0.43856928
-2.33,-2.0020938141784668,-0.656971,-1.3451228
-1.14,-1.0077870444450379,-0.168841,-0.83894604
2.38,2.2956305772209165,1.92139,0.37424058
-5.88,-6.346028602161407,-7.25704,0.9110114
-2.81,-2.950518205423355,-2.60627,-0.3442482
1.77,1.780459559278488,2.14558,-0.36512044
-6.5,-6.6757039402008065,-8.7748,2.099096
