expt,physics_ml,physics,ml
-4.72,-4.629207091331482,-3.08,-1.5492071
-3.04,-3.390809703826904,0.8990000000000005,-4.2898097
-4.59,-4.117997417449951,0.2400000000000002,-4.3579974
-3.82,-3.742155067443848,-8.342,4.599845
-2.93,-2.9341361904144287,-4.915,1.9808638
-0.98,-1.5441485738754275,-0.5100000000000002,-1.0341486
-0.74,-1.211325086116791,-1.7760000000000002,0.5646749
2.89,2.6462666239738466,3.059,-0.41273338
-1.59,-1.1416121997833253,-0.3540000000000001,-0.7876122
-3.75,-4.028837346553802,-3.437,-0.59183735
-0.25,-0.1733184029608967,-0.1470000000000002,-0.026318403
-2.82,-2.5593771638870235,-1.0439999999999996,-1.5153772
-5.48,-5.083957841873169,-2.5780000000000003,-2.5059578
2.51,2.417072729706764,2.514,-0.09692727
-0.64,-0.34913468933105474,2.819,-3.1681347
-7.5,-7.4949248428344735,-12.912,5.417075
-1.99,-2.4406418950557707,-2.022,-0.4186419
-3.64,-3.857561930179596,-3.096,-0.76156193
-4.84,-4.783780787944794,-3.836,-0.9477808
-5.22,-4.342702861785888,2.454,-6.796703
-0.83,-1.3401108574867249,-0.395,-0.94511086
-0.68,-0.20540688276290903,0.3349999999999999,-0.5404069
-3.56,-3.5515855407714847,-2.3600000000000003,-1.1915855
-2.49,-2.7612125327587123,-3.0489999999999995,0.28778747
-4.93,-4.657099288225174,-4.612,-0.04509929
-6.16,-5.957594102859497,-4.644,-1.3135941
-2.23,-2.217140786647797,-3.18,0.9628592
-0.53,-0.2754455766677859,0.5789999999999997,-0.8544456
-5.1,-4.680935065388679,-4.789,0.108064935
-4.47,-4.0347801876068115,-2.9200000000000004,-1.1147802
-7.17,-6.605754411697388,-4.813000000000001,-1.7927544
0.29,0.360157531261444,1.031,-0.67084247
-2.78,-2.6565421562194826,-6.998,4.341458
3.43,3.3212796878814697,0.92,2.4012797
-3.15,-4.658424635544419,-4.664,0.0055753645
-5.85,-6.785860468387604,-5.939,-0.84686047
-6.21,-5.985589231491089,-9.289,3.3034108
-5.71,-7.581425840377808,-9.407,1.8255742
-1.14,-1.5658702135086062,-0.6750000000000003,-0.8908702
-2.4,-2.422878116607666,-3.919,1.4961219
-2.33,-1.7324908733367916,-0.5999999999999996,-1.1324909
-1.14,-1.5140360314846042,-1.6020000000000003,0.08796397
2.38,1.9891007552146913,2.551,-0.56189924
-5.88,-7.442376690983772,-7.278,-0.16437669
-2.81,-2.9507277688980107,-4.246,1.2952722
