expt,physics_ml,physics,ml
-4.72,-4.740586376419067,-3.13599,-1.6045964
-3.04,-3.758418394088745,-2.34475,-1.4136684
-4.59,-2.9751129379272463,-1.75525,-1.2198629
-3.82,-4.011733914642334,-5.70653,1.6947961
-2.93,-3.2520694948959354,-4.29168,1.0396105
-0.98,-0.7509223487415314,-0.999704,0.24878165
-0.74,-0.7594100197410583,-1.27761,0.5182
2.89,2.122236339828968,2.21496,-0.09272366
-1.59,-1.395139654876709,-0.719727,-0.67541265
-3.75,-3.774460384693146,-4.06934,0.29487962
-0.25,-0.27265064478492734,-0.471056,0.19840536
-2.82,-2.6666247628211974,-1.84855,-0.81807476
-5.48,-4.773376981239319,-3.16298,-1.610397
2.51,2.0078319874858854,1.94086,0.06697199
-0.64,-0.08187400825119018,-0.443376,0.361502
-7.5,-6.7467009850311275,-8.80233,2.055629
-1.99,-2.3168754640579223,-2.3491,0.032224536
-3.64,-3.864666381378174,-5.01902,1.1543536
-4.84,-4.0260747955417635,-4.40906,0.3829852
-5.22,-2.994283715839386,-2.18137,-0.8129137
-0.83,-1.1177483958244323,-1.44315,0.3254016
-0.68,-0.5779423222312927,-0.835526,0.25758368
-3.56,-3.465907053203583,-2.86147,-0.60443705
-2.49,-3.1574161343955995,-3.65004,0.49262387
-4.93,-4.126260397548675,-4.65612,0.5298596
-6.16,-6.169352224273681,-4.45142,-1.7179322
-2.23,-2.646222903995514,-3.55178,0.9055571
-0.53,-0.5185107204853058,-0.0964986,-0.42201212
-5.1,-5.513876680145263,-4.07426,-1.4396167
-4.47,-3.8443639109039305,-3.08674,-0.7576239
-7.17,-7.570201430358887,-6.12954,-1.4406614
0.29,-0.014123655803680468,0.842092,-0.85621566
-2.78,-3.08061985824585,-4.36373,1.2831101
3.43,4.6517087695884705,4.87378,-0.22207123
-3.15,-3.523571227645874,-3.9786,0.45502877
-5.85,-6.6566924111938475,-4.87226,-1.7844324
-6.21,-6.230701074676514,-7.45533,1.2246289
-5.71,-8.25934121076584,-9.16167,0.9023288
-1.14,-0.8672013667488099,-1.21859,0.35138863
-2.4,-2.6614202356910703,-3.65181,0.99038976
-2.33,-1.9434512810993194,-2.13828,0.19482872
-1.14,-1.941295240035057,-2.08024,0.13894476
2.38,1.689237380361557,1.99285,-0.30361262
-5.88,-6.64053661576271,-7.03166,0.39112338
-2.81,-3.018648441915512,-3.49388,0.47523156
1.77,1.8299014686203003,1.49411,0.33579147
-6.5,-4.827973840484619,-9.58076,4.752786
-1.62,-2.3897237275009156,-0.783938,-1.6057857
-1.79,-2.0543292585229875,-2.10896,0.05463074
-6.79,-5.636621720933914,-6.0964,0.45977828
-1.1,-1.7531353983187676,-1.82824,0.0751046
