model_num,epochs,train,valid,test,conv_criterion
0,24,0.8716895373861127,0.8571810221251372,2.7842221175895983,converged
1,34,0.6625355578688918,0.8549013453185851,2.7040668549154288,converged
2,39,0.5061802992537714,0.6077435726764705,2.5663142545505155,converged
3,43,0.5896882300149906,0.6908847467646695,2.745634439963437,converged
4,41,0.6610532202533959,0.8811365983627225,2.5932830916471965,converged
5,19,0.8433394878605611,0.8354439798095276,2.6549817308274393,converged
6,34,0.5827139104465712,0.7970214341313272,2.5621328686147216,converged
7,36,0.6630557181727935,0.7508532160735839,2.6555415747963593,converged
8,35,0.6170882431818441,0.7089471267146413,2.799420046825003,converged
9,36,0.7916628877721447,0.7834596646690815,2.814266056323086,converged
10,42,0.5566060772619704,0.6937792834090789,2.5072056776761507,converged
11,27,0.732285807473103,0.7993158295586619,2.5196111917976887,converged
12,30,0.5948415030781097,0.6336469565463994,2.676559466971735,converged
13,20,0.810214649569395,0.8467204404103287,2.5119998662900085,converged
14,27,0.7551525525248806,0.8550926359973536,2.809339650994353,converged
15,25,0.6918970586321562,0.8403533602428822,2.661114719847362,converged
16,42,0.4675677912041327,0.7117920221316426,2.784012822711504,converged
17,46,0.5939008192960566,0.769920973006274,2.663872323476355,converged
18,58,0.45695165143860006,0.6581857152320524,2.728621445525285,converged
19,42,0.5578833849500511,0.7514909901578974,2.5463462892875706,converged
