expt,physics_ml,physics,ml
-4.72,-4.938136802196503,-4.198,-0.7401368
-3.04,-4.19683451461792,-1.348,-2.8488345
-4.59,-4.566650714874267,-2.215,-2.3516507
-3.82,-4.108926662445068,-10.084,5.9750733
-2.93,-2.921122993469239,-5.664000000000001,2.742877
-0.98,-1.40019553565979,-1.884,0.48380446
-0.74,-1.1424659461975097,-2.347,1.204534
2.89,2.5818046150207516,1.531,1.0508046
-1.59,-1.8317629046440125,-1.157,-0.6747629
-3.75,-3.8915693321228026,-4.779,0.88743067
-0.25,-0.10245157814025874,-0.941,0.8385484
-2.82,-2.7902630701065063,-1.839,-0.95126307
-5.48,-5.333582496643066,-3.6,-1.7335825
2.51,2.3979664583206177,1.177,1.2209665
-0.64,-0.6559597454071044,0.054,-0.70995975
-7.5,-7.729624164581299,-13.788,6.058376
-1.99,-2.558932765007019,-3.258,0.69906723
-3.64,-4.172109870910644,-4.154999999999999,-0.01710987
-4.84,-4.246242726802826,-4.9510000000000005,0.7047573
-5.22,-4.674251136779786,0.565,-5.239251
-0.83,-1.1860387520790103,-1.9830000000000003,0.79696125
-0.68,-0.5416989665031433,-1.373,0.83130103
-3.56,-3.4822555160522466,-4.3100000000000005,0.8277445
-2.49,-2.4906605796813963,-4.558,2.0673394
-4.93,-4.306349865913392,-5.8420000000000005,1.5356501
-6.16,-5.723092616081237,-6.337999999999999,0.6149074
-2.23,-2.173257076263427,-4.436999999999999,2.263743
-0.53,-0.6815490436553955,-0.47,-0.21154904
-5.1,-5.331662889957428,-5.384,0.05233711
-4.47,-4.582649447441101,-3.952,-0.63064945
-7.17,-6.817139316558838,-4.476,-2.3411393
0.29,0.20744034767150876,-0.53,0.73744035
-2.78,-3.126212177276611,-7.81,4.683788
3.43,3.4675228118896486,-1.05,4.517523
-3.15,-3.5444293441772468,-6.369000000000001,2.8245707
-5.85,-6.854845511436462,-7.212,0.3571545
-6.21,-5.58956393814087,-10.271,4.681436
-5.71,-6.567028560638427,-10.415,3.8479714
-1.14,-1.342106454849243,-2.143,0.80089355
-2.4,-2.402725017547607,-4.938,2.535275
-2.33,-2.4358509473800662,-1.618,-0.81785095
-1.14,-1.4075201606750491,-2.2350000000000003,0.82747984
2.38,2.1899540672302247,1.201,0.98895407
-5.88,-7.385729800224304,-9.311,1.9252702
-2.81,-2.8533688621520996,-5.633,2.7796311
1.77,1.6402451553344726,-1.971,3.6112452
-6.5,-5.559631214141845,-10.36,4.800369
-1.62,-2.315310303688049,-0.4169999999999998,-1.8983103
-1.79,-2.3172386445999145,-2.904,0.58676136
-6.79,-6.400544649124146,-7.431,1.0304554
-1.1,-1.2038895077705383,-1.932,0.7281105
-0.9,-1.1136879796981813,-2.462,1.348312
-3.41,-3.8573840379714968,-4.95,1.092616
-3.52,-3.17024222946167,-5.341,2.1707578
-1.43,-1.6527948036193847,-1.914,0.2612052
0.0,0.07301697683334352,-0.238,0.31101698
1.47,1.3019667501449586,0.562,0.73996675
-2.38,-2.722839825630188,-3.643,0.9201602
-7.19,-7.549827968597413,-13.637,6.087172
2.1,2.1208201570510865,1.092,1.0288202
-4.02,-3.7688867559432984,-3.149,-0.61988676
-3.5,-3.573997699737549,-6.937,3.3630023
-4.61,-3.8642019338607785,-5.757,1.8927981
-2.07,-2.425140518188477,-5.094,2.6688595
-0.33,-0.47323090839385973,-0.7229999999999999,0.24976909
-0.9,-1.3798134956359864,-1.491,0.111186504
-2.7,-2.9053976154327392,-4.96,2.0546024
1.83,1.91522549533844,0.8140000000000001,1.1012255
0.1,-0.7945157127380362,-8.008,7.2134843
-3.9,-2.561169068336487,-4.517,1.9558309
-6.6,-6.371670607566834,-7.579000000000001,1.2073294
2.0,1.9959688081741334,0.939,1.0569688
-7.0,-7.936227333068848,-13.862,5.9257727
-5.66,-5.2597891654968265,-6.384,1.1242108
1.83,1.6795585041046142,0.388,1.2915585
-0.1,-0.17342284917831402,-0.4749999999999998,0.30157715
-0.45,-0.5120747709274287,-1.5649999999999995,1.0529252
3.16,2.836254156112671,2.063,0.77325416
-0.63,-0.4930256195068361,-1.0570000000000002,0.5639744
2.51,2.2295872201919558,1.349,0.8805872
-4.5,-4.634944015979767,-4.069,-0.565944
-3.15,-2.921740020751953,-4.164,1.24226
-2.56,-2.555950054168701,-7.209,4.65305
-5.0,-4.942492764472962,-4.6930000000000005,-0.24949276
2.55,2.3372144417762755,1.933,0.40421444
-2.56,-2.726404270172119,-5.284,2.5575957
-6.25,-5.820056372642517,-6.356,0.5359436
-5.22,-4.2510693712234495,-5.292,1.0409306
-2.92,-3.289370873451233,-4.378,1.0886291
-6.0,-7.165437366485596,-11.502,4.3365626
-4.5,-4.600379874229431,-3.277,-1.3233799
-4.1,-3.64315129852295,-6.191000000000001,2.5478487
-1.45,-1.0430727257728576,-0.1639999999999999,-0.8790727
-1.93,-2.7718472929000852,-3.897,1.1251527
-1.36,-1.36492111825943,-2.164,0.7990789
-1.23,-1.4419933328628538,-1.5259999999999998,0.08400667
0.25,0.5517524108886718,-0.6140000000000001,1.1657524
-2.45,-2.4392497425079345,-3.763,1.3237503
0.34,-0.03720052075386038,0.2330000000000001,-0.27020052
-5.74,-8.103527633666992,-22.442,14.338472
2.88,2.5287903966903684,1.494,1.0347904
-4.52,-4.599125389099122,-6.704000000000001,2.1048746
-2.26,-1.5985857009887692,-4.225,2.6264143
-5.33,-4.194460788726807,-6.216,2.0215392
-0.78,-1.3685733036994936,-0.9580000000000002,-0.4105733
1.23,1.6948978803157806,1.196,0.49889788
-5.04,-5.709152374267578,-8.035,2.3258476
-2.22,-2.2363896255493163,-3.888,1.6516104
0.75,0.9115796501636505,0.487,0.42457965
-4.01,-3.9445544576644895,-5.385,1.4404455
-3.68,-3.4809189300537113,-6.573,3.092081
-0.4,-0.6903005292415618,-0.2989999999999999,-0.39130053
-2.4,-2.422558082580567,-4.589,2.166442
-4.78,-4.472801245689392,-6.364,1.8911988
-3.84,-3.755737138748169,-2.501,-1.2547371
-3.37,-3.263822710990906,-2.438,-0.8258227
-4.68,-6.554778953552246,-11.946,5.391221
-1.24,-1.5151214599609375,-3.25,1.7348785
-4.39,-4.543966115951537,-3.514,-1.0299661
-1.88,-1.3833743796348572,-1.661,0.27762562
-6.13,-6.045473885536193,-6.699999999999999,0.6545261
-6.13,-6.3428002395629886,-7.054,0.71119976
-6.09,-5.161505046844482,-10.241,5.079495
-3.65,-2.9624153404235836,-1.2779999999999998,-1.6844153
-3.71,-3.91941117477417,-0.3420000000000001,-3.5774112
-4.69,-4.1517948646545415,-6.3020000000000005,2.1502051
-3.78,-3.004564982414246,-4.531000000000001,1.526435
-1.4,-0.8545266304016117,-2.2910000000000004,1.4364734
1.16,1.0302465877532958,0.1459999999999999,0.8842466
-1.08,-1.0801624279022215,-1.6729999999999998,0.5928376
-4.31,-4.344877277374268,-8.711,4.3661227
1.32,1.1374273710250855,-0.0569999999999999,1.1944274
-6.69,-6.961567859649659,-11.855,4.893432
-0.85,-0.8959740352630616,-1.745,0.84902596
-7.65,-8.071932928085328,-9.742,1.6700671
-0.9,-0.9452973031997676,-2.9399999999999995,1.9947027
2.93,2.8271810388565064,1.81,1.017181
-2.93,-3.256021730899811,-3.555,0.29897827
-4.85,-5.244349082946778,-4.409000000000001,-0.8353491
-5.91,-5.838008085489273,-6.26,0.4219919
-3.64,-3.7231838836669917,-3.2139999999999995,-0.5091839
2.88,2.5617107734680173,1.736,0.8257108
-0.86,-1.292777831315994,-1.5759999999999998,0.28322217
-5.53,-5.974997803688049,-7.146999999999999,1.1720022
-4.95,-5.389104177474976,-5.277,-0.11210418
0.14,0.6803054745197294,0.1869999999999998,0.49330547
-0.8,-1.1746181831359863,-1.986,0.8113818
-7.47,-7.701724762916564,-9.37,1.6682752
-1.92,-2.2045929260253905,-6.957,4.752407
-2.01,-2.2503282065391543,-1.437,-0.8133282
-3.17,-3.7286325149536133,-0.593,-3.1356325
-6.23,-5.567684021949768,-5.391,-0.17668402
-2.64,-2.913552561759949,-3.966,1.0524474
-4.04,-4.545639496803284,-5.906000000000001,1.3603605
-5.26,-4.936959632396698,-5.871,0.93404037
-0.11,-1.309098225593567,-3.156,1.8469018
-3.12,-2.0470788106918336,-1.386,-0.6610788
-1.74,-1.8957833938598627,-2.6179999999999994,0.7222166
-3.92,-4.508615171432496,-3.1370000000000005,-1.3716152
-1.21,-1.13757301735878,-1.633,0.49542698
-4.7,-4.2307791404724115,-7.742999999999999,3.5122209
-5.94,-5.166644148826599,-7.055,1.8883559
-4.4,-4.534071568489075,-3.829,-0.70507157
-2.11,-1.858937644004821,-3.7239999999999993,1.8650624
-3.04,-2.8250494155883787,-4.941,2.1159506
-4.59,-5.029890865087509,-5.5,0.47010913
-0.16,-0.22200771999359126,-0.567,0.34499228
-4.91,-4.2848767333030695,-5.242999999999999,0.95812327
-3.28,-3.1584861435890197,-2.654,-0.50448614
-2.28,-2.10136898803711,-4.238,2.136631
-2.82,-2.3645605955123896,-3.5409999999999995,1.1764394
-6.5,-6.25408533859253,-11.438,5.1839147
-0.1,-0.4559600887298582,-0.1059999999999998,-0.3499601
-1.24,-1.3240410680770873,-2.662,1.3379589
-0.19,-0.5890702090263369,-0.9960000000000002,0.4069298
-1.31,-1.6036598439216614,-2.137,0.53334016
-2.89,-2.7030876750946042,-4.087,1.3839123
-1.66,-1.764316791534424,-1.4440000000000002,-0.3203168
-7.28,-7.197073486328126,-9.178,1.9809265
-3.8,-3.6262673263549807,-6.288,2.6617327
-4.7,-4.384494579315185,-5.313,0.9285054
-3.92,-3.955750007629394,-7.645,3.68925
-4.02,-4.0419921150207525,-8.749,4.707008
-3.64,-3.548339870452881,-7.053,3.5046601
-4.15,-3.61304842376709,-1.314,-2.2990484
-1.24,-1.5231666140556335,-1.543,0.019833386
-0.84,-1.0608890190124514,-1.7140000000000002,0.653111
-2.74,-2.4748292722702026,-4.404,1.9291707
-5.9,-5.602191104888916,-6.765,1.1628089
1.68,1.4263249378204348,0.3730000000000001,1.0533249
2.93,2.4630590333938596,1.539,0.92405903
-7.58,-5.975604026794434,-0.3680000000000001,-5.607604
-3.67,-3.394420014381409,-4.4110000000000005,1.01658
2.56,2.4775595746040344,1.621,0.8565596
-4.12,-4.058407528877258,-4.508,0.44959247
0.16,-0.0846876096725464,-1.645,1.5603124
-4.39,-4.718626559257507,-6.463,1.7443734
0.01,0.06518713951110833,-0.7050000000000001,0.77018714
-3.84,-4.049038610458374,-5.085,1.0359614
-0.89,-1.066337182044983,-2.677,1.6106628
3.13,2.6965463399887084,1.9,0.79654634
-6.79,-6.3138959250450135,-6.346,0.032104075
-0.55,-0.7582699017524721,-1.2080000000000002,0.4497301
-4.97,-5.501617691040039,-10.997,5.4953823
-1.17,-1.8202451224327088,-2.137,0.31675488
-2.78,-2.821133350372315,-5.049,2.2278666
-0.8,-1.5100279569625856,-2.7,1.189972
-1.39,-1.696939304590225,-2.147,0.4500607
-0.11,0.5350892944335937,-3.233,3.7680893
2.34,2.264097415924072,1.3119999999999998,0.9520974
-4.59,-4.15365177822113,-5.167,1.0133482
-4.23,-5.265701836585999,-5.769,0.50329816
-7.63,-7.985688053131103,-10.636,2.650312
-4.1,-3.86983589553833,-5.744,1.8741641
-4.84,-4.566040229320526,-4.612,0.04595977
-5.21,-5.805255387783051,-6.461,0.6557446
-6.4,-7.801412344455718,-7.712999999999999,-0.088412344
-2.55,-2.312515862941742,-1.496,-0.81651586
-3.54,-4.5196540088653565,-3.822,-0.697654
-2.29,-2.5417257919311522,-5.239,2.6972742
-1.27,-1.8061262364387511,-2.537,0.73087376
1.58,1.8067604026794433,1.521,0.2857604
0.27,-0.16086709022521983,-1.245,1.0841329
1.66,1.7481598215103147,0.7079999999999999,1.0401598
-6.01,-5.721873418807984,-6.242000000000001,0.5201266
-6.16,-6.259042701721192,-11.085,4.8259573
-2.33,-4.057298671722412,1.513,-5.5702987
-4.87,-5.224077438354492,-15.924,10.699923
-6.96,-7.461608340263366,-9.277,1.8153917
-5.49,-6.20065087223053,-7.889,1.6883491
-4.59,-3.8536163568496704,-5.25,1.3963836
-3.52,-3.435273740768432,-4.622999999999999,1.1877263
