expt,physics_ml,physics,ml
-4.72,-4.699774265289307,0,-4.6997743
-3.04,-3.459193229675293,0,-3.4591932
-4.59,-4.606285095214844,0,-4.606285
-3.82,-3.586484909057617,0,-3.586485
-2.93,-3.2109506130218506,0,-3.2109506
-0.98,-1.331572413444519,0,-1.3315724
-0.74,-0.8032743334770203,0,-0.80327433
2.89,2.618222236633301,0,2.6182222
-1.59,-1.7377372980117798,0,-1.7377373
-3.75,-4.184268474578857,0,-4.1842685
-0.25,-0.38137656450271606,0,-0.38137656
-2.82,-3.49574613571167,0,-3.4957461
-5.48,-4.954148769378662,0,-4.954149
2.51,2.56614089012146,0,2.566141
-0.64,-1.161020040512085,0,-1.16102
-7.5,-6.96088171005249,0,-6.9608817
-1.99,-2.0925214290618896,0,-2.0925214
-3.64,-4.200811386108398,0,-4.2008114
-4.84,-4.890691757202148,0,-4.8906918
-5.22,-4.706062316894531,0,-4.7060623
-0.83,-0.8721430897712708,0,-0.8721431
-0.68,-0.5026723146438599,0,-0.5026723
-3.56,-4.0957932472229,0,-4.0957932
-2.49,-3.1364619731903076,0,-3.136462
-4.93,-4.910398006439209,0,-4.910398
-6.16,-6.055020332336426,0,-6.0550203
-2.23,-2.8767356872558594,0,-2.8767357
-0.53,-1.2540851831436157,0,-1.2540852
-5.1,-5.083092212677002,0,-5.083092
-4.47,-4.006702423095703,0,-4.0067024
-7.17,-7.115464687347412,0,-7.1154647
0.29,0.2959411144256592,0,0.2959411
-2.78,-3.1886038780212402,0,-3.1886039
3.43,2.672638416290283,0,2.6726384
-3.15,-4.010175704956055,0,-4.0101757
-5.85,-6.5429816246032715,0,-6.5429816
-6.21,-6.297571659088135,0,-6.2975717
-5.71,-4.5224199295043945,0,-4.52242
-1.14,-1.4494179487228394,0,-1.449418
-2.4,-2.6472156047821045,0,-2.6472156
-2.33,-2.400634527206421,0,-2.4006345
-1.14,-1.3800818920135498,0,-1.3800819
2.38,2.440199136734009,0,2.4401991
-5.88,-5.425766468048096,0,-5.4257665
-2.81,-3.088113307952881,0,-3.0881133
1.77,1.1526583433151245,0,1.1526583
-6.5,-5.888471603393555,0,-5.8884716
-1.62,-1.8896362781524658,0,-1.8896363
-1.79,-2.080113649368286,0,-2.0801136
-6.79,-6.803332805633545,0,-6.803333
-1.1,-1.768695592880249,0,-1.7686956
-0.9,-0.884152889251709,0,-0.8841529
-3.41,-3.642563581466675,0,-3.6425636
-3.52,-3.8987903594970703,0,-3.8987904
-1.43,-1.336922287940979,0,-1.3369223
0.0,0.31805241107940674,0,0.3180524
1.47,1.231528878211975,0,1.2315289
-2.38,-1.9007982015609741,0,-1.9007982
-7.19,-6.942057132720947,0,-6.942057
