expt,physics_ml,physics,ml
-4.72,-4.982348329544068,-3.232,-1.7503483
-3.04,-3.5091085987091066,-1.083,-2.4261086
-4.59,-4.374113282442092,-3.953,-0.42111328
-3.82,-4.201320020675659,-5.442,1.24068
-2.93,-3.1550594170093538,-3.652,0.49694058
-0.98,-1.2979155635833741,-0.11,-1.1879156
-0.74,-1.2216447319984436,-0.609,-0.61264473
2.89,2.737429354906082,2.542,0.19542935
-1.59,-2.0256683988571167,-0.617,-1.4086684
-3.75,-3.721721160650253,-3.344,-0.37772116
-0.25,-0.22748464775085453,0.833,-1.0604846
-2.82,-2.535894823074341,-1.325,-1.2108948
-5.48,-5.8327184629440305,-4.345,-1.4877185
2.51,2.690892803430557,2.506,0.1848928
-0.64,-0.39054309368133544,0.885,-1.2755431
-7.5,-6.335602355957031,-10.251,3.9153976
-1.99,-1.865353998184204,-0.384,-1.481354
-3.64,-3.603144810676575,-4.573,0.9698552
-4.84,-4.025815767288208,-2.869,-1.1568158
-5.22,-3.8440180625915525,-1.284,-2.560018
-0.83,-1.4975029559135438,-0.697,-0.80050296
-0.68,-0.6396605370044708,-0.456,-0.18366054
-3.56,-4.15083619594574,-3.59,-0.5608362
-2.49,-2.8141055171489717,-2.563,-0.25110552
-4.93,-4.074741666793823,-3.343,-0.73174167
-6.16,-6.404005525588989,-5.148,-1.2560055
-2.23,-2.4348752596378325,-2.929,0.49412474
-0.53,-0.9757509498596191,-0.178,-0.79775095
-5.1,-5.029456797599792,-3.491,-1.5384568
-4.47,-4.643590581893921,-3.288,-1.3555906
-7.17,-7.274417701721191,-6.116,-1.1584177
0.29,-0.21381500673294063,0.553,-0.766815
-2.78,-2.8088628082275386,-4.028,1.2191372
3.43,3.354728646993637,3.077,0.27772865
-3.15,-4.457253748178482,-4.9,0.44274625
-5.85,-6.998762186050415,-5.833,-1.1657622
-6.21,-5.728297451019287,-7.878,2.1497025
-5.71,-8.186156274557113,-8.683,0.49684373
-1.14,-1.6695166330337523,-0.473,-1.1965166
-2.4,-2.8264395990371702,-3.304,0.4775604
-2.33,-2.6492880821228026,-1.275,-1.3742881
-1.14,-1.978439826965332,-0.395,-1.5834398
2.38,2.538506198823452,2.59,-0.0514938
-5.88,-6.856051908493042,-8.161,1.3049481
-2.81,-2.9782953491806983,-2.86,-0.11829535
1.77,1.5694433528780938,1.691,-0.12155665
-6.5,-3.0103367080688477,-7.024,4.0136633
-1.62,-2.325691617965698,0.136,-2.4616916
-1.79,-1.9056620244979858,-0.363,-1.542662
-6.79,-6.871602444648743,-5.28,-1.5916024
-1.1,-1.4765008277893066,-0.182,-1.2945008
-0.9,-1.517012574672699,-0.79,-0.7270126
-3.41,-3.369767564535141,-3.05,-0.31976756
-3.52,-3.411649218559265,-3.166,-0.24564922
-1.43,-1.4817442092895508,-0.091,-1.3907442
0.0,0.012545429229736227,1.261,-1.2484546
1.47,1.6052609667778017,2.486,-0.88073903
-2.38,-2.6656375079154966,-1.853,-0.8126375
-7.19,-6.707825819015502,-10.466,3.7581742
2.1,1.8610230689048768,2.588,-0.72697693
-4.02,-3.8637763977050783,-2.075,-1.7887764
-3.5,-3.8751856298446654,-3.372,-0.50318563
-4.61,-3.6592657141685487,-3.043,-0.6162657
-2.07,-2.4541699112057684,-2.336,-0.11816991
-0.33,-0.38546614837646487,0.973,-1.3584661
-0.9,-1.7836976318359374,-0.553,-1.2306976
-2.7,-2.7469212346076963,-3.143,0.39607877
1.83,1.203255500793457,2.465,-1.2617445
0.1,-0.5731667098999023,-1.156,0.5828333
-3.9,-4.58826748418808,-4.003,-0.5852675
-6.6,-6.865483862876892,-5.707,-1.1584839
2.0,1.5789514136314393,2.495,-0.9160486
-7.0,-8.477636701583862,-10.857,2.3793633
-5.66,-5.972830765724182,-4.768,-1.2048308
1.83,1.6612061042785644,2.452,-0.7907939
-0.1,-0.18036579227447502,1.084,-1.2643658
-0.45,-0.33664596945047376,-0.22,-0.11664597
3.16,2.6814033007621765,3.335,-0.6535967
-0.63,-0.7760785579681396,0.775,-1.5510786
2.51,2.407507622718811,2.613,-0.20549238
-4.5,-4.4504500675201415,-3.13,-1.3204501
-3.15,-2.999893472671509,-4.198,1.1981065
-2.56,-2.702621118545532,-3.867,1.1643789
-5.0,-5.183711833000183,-3.394,-1.7897118
2.55,1.89148669219017,2.381,-0.4895133
-2.56,-3.015982971906662,-3.492,0.47601703
-6.25,-6.420637890815735,-5.272,-1.1486379
-5.22,-4.134656990528107,-3.201,-0.933657
-2.92,-3.0705920197963716,-2.704,-0.36659202
-6.0,-6.19777832365036,-6.716,0.5182217
-4.5,-4.5173103628158575,-3.156,-1.3613104
-4.1,-4.147103095531463,-3.238,-0.9091031
-1.45,-1.6429634609222412,-0.379,-1.2639635
-1.93,-2.902112977027893,-1.742,-1.160113
-1.36,-2.11102059173584,-0.553,-1.5580206
-1.23,-1.3413404378890992,0.059,-1.4003404
0.25,-0.015383998870849513,1.108,-1.123384
-2.45,-2.4861716923713684,-1.956,-0.5301717
0.34,0.23457611608505258,1.223,-0.9884239
-5.74,-12.475287094116212,-16.515,4.039713
2.88,2.6471196145415306,2.686,-0.038880385
