expt,physics_ml,physics,ml
-4.72,-4.57397590877533,-3.22227,-1.3517059
-3.04,-3.531330168457031,-2.11372,-1.4176102
-4.59,-4.069756225433349,-0.447715,-3.6220412
-3.82,-3.7374358425903322,-6.57758,2.8401442
-2.93,-2.7632629015350343,-3.66474,0.9014771
-0.98,-1.1837966133880615,-1.45543,0.2716334
-0.74,-0.6514269253349304,0.116715,-0.7681419
2.89,2.7406597936344146,2.25602,0.4846398
-1.59,-1.3888887542705537,-0.907798,-0.48109075
-3.75,-3.630152721443176,-2.45829,-1.1718627
-0.25,0.1851446803894043,-0.333791,0.5189357
-2.82,-2.530624612464905,-2.20814,-0.3224846
-5.48,-4.993816518821717,-2.99454,-1.9992765
2.51,2.7424238694381713,1.90732,0.83510387
-0.64,-0.26911041027069094,1.07819,-1.3473004
-7.5,-7.492450087738037,-11.5907,4.09825
-1.99,-2.4107605711841584,-2.59119,0.18042943
-3.64,-3.694809808273315,-1.97427,-1.7205398
-4.84,-4.237210383676291,-4.24443,0.0072196163
-5.22,-3.667217266647339,-0.845567,-2.8216503
-0.83,-0.9248786382055283,-0.78156,-0.14331864
-0.68,0.033106836602211004,-0.174978,0.20808484
-3.56,-3.501414071235657,-4.87666,1.3752459
-2.49,-2.5791614999008177,-2.04742,-0.5317415
-4.93,-4.50075973192215,-4.83966,0.33890027
-6.16,-6.249100229797364,-5.22681,-1.0222902
-2.23,-2.191632194108963,-2.60682,0.4151878
-0.53,-0.8326917892951966,-0.328502,-0.5041898
-5.1,-5.2861675520706175,-4.24733,-1.0388376
-4.47,-3.8513997632598875,-3.01116,-0.84023976
-7.17,-6.572406701622009,-5.51506,-1.0573467
0.29,0.29822119821929927,0.587594,-0.2893728
-2.78,-2.7766903682708737,-4.6221,1.8454096
3.43,3.431292030029297,3.87818,-0.44688797
-3.15,-3.216335051574707,-6.23754,3.021205
-5.85,-6.840131813583374,-6.02331,-0.8168218
-6.21,-6.020764595718385,-8.16397,2.1432054
-5.71,-5.847864014129638,-7.41548,1.567616
-1.14,-1.3971026745307447,-1.37383,-0.023272675
-2.4,-2.364294915428162,-3.03474,0.6704451
-2.33,-2.411143921180725,-0.656971,-1.7541729
-1.14,-1.0805106119308472,-0.168841,-0.9116696
2.38,2.198228421821594,1.92139,0.27683842
-5.88,-6.664646661319733,-7.25704,0.59239334
-2.81,-2.827638819475174,-2.60627,-0.22136882
1.77,1.305554694252014,2.14558,-0.8400253
-6.5,-3.4832860801696786,-8.7748,5.291514
-1.62,-1.1876667706737518,-0.702526,-0.48514077
-1.79,-2.0770394444465636,-2.24375,0.16671056
-6.79,-6.3167632248497005,-5.55451,-0.7622532
-1.1,-1.1956470597076416,0.13347,-1.3291171
-0.9,-1.1680310341107845,-1.10628,-0.061751034
-3.41,-3.6147590578842164,-2.60413,-1.010629
-3.52,-3.360976022748947,-2.92428,-0.43669602
-1.43,-1.5760005091953277,-1.25393,-0.3220705
0.0,0.47978119395279883,0.494274,-0.014492806
1.47,1.5412744143116475,1.58098,-0.039705586
-2.38,-2.6067712612915037,-2.19608,-0.41069126
-7.19,-6.911450254058838,-11.0791,4.1676497
2.1,1.9850468057346344,1.77912,0.2059268
-4.02,-3.9246836601638795,-3.53689,-0.38779366
-3.5,-3.3546976836776734,-3.82261,0.46791232
-4.61,-4.7102426506805415,-3.38543,-1.3248127
-2.07,-2.223621897125244,-1.9494,-0.2742219
-0.33,0.0024686580829620386,-0.111232,0.11370066
-0.9,-0.560351148926735,-0.454687,-0.10566415
-2.7,-2.6967478588294984,-3.21382,0.51707214
1.83,1.5869701727437973,1.41048,0.17649017
0.1,0.21868687875747683,-0.295295,0.5139819
-3.9,-3.7211175757217405,-2.54708,-1.1740376
-6.6,-7.041882804069519,-6.11241,-0.9294728
2.0,1.9536554248428344,1.58001,0.37364542
-7.0,-7.487150146484375,-10.9895,3.5023499
-5.66,-5.4119699958705905,-5.03739,-0.37458
1.83,1.6740424847126008,1.48245,0.19159248
-0.1,0.26687917403006556,0.237144,0.029735174
-0.45,-0.12013177048420906,-0.175011,0.05487923
3.16,2.996779747496843,3.02248,-0.025700253
-0.63,-0.1625201466999054,-0.452146,0.28962585
2.51,2.210025597229004,2.09389,0.1161356
-4.5,-4.107631289710998,-3.06674,-1.0408913
-3.15,-3.0470628977108003,-3.33028,0.2832171
-2.56,-2.5911546348953243,-4.23319,1.6420354
-5.0,-4.846058390960693,-3.71136,-1.1346984
2.55,2.3055213885974886,2.63282,-0.3272986
-2.56,-2.762983149471283,-3.25219,0.48920685
-6.25,-5.7996643284988405,-5.03392,-0.7657443
-5.22,-4.598960224112273,-4.53999,-0.058970224
-2.92,-3.1851112693405152,-2.03486,-1.1502513
-6.0,-5.739495157775879,-8.46006,2.7205648
-4.5,-4.362251959228516,-1.1554,-3.206852
-4.1,-3.7922773097229,-5.42207,1.6297927
-1.45,-1.309627855041504,-0.198253,-1.1113749
-1.93,-2.3123126896572113,-2.59937,0.2870573
-1.36,-1.664355806655884,-1.79157,0.1272142
-1.23,-1.5632766162109375,-0.64337,-0.9199066
0.25,0.18827947278976442,-0.30804,0.49631947
-2.45,-2.429853376506567,-2.42453,-0.0053233765
0.34,0.4721057020378112,1.16712,-0.6950143
-5.74,-10.254960353851319,-15.6455,5.3905396
2.88,2.599438981800079,2.27878,0.32065898
-4.52,-5.097723196563721,-5.89031,0.7925868
-2.26,-2.12889726811409,-2.43606,0.30716273
-5.33,-3.8998497274780277,-5.53734,1.6374903
-0.78,-0.5918188806304931,-0.872876,0.28105712
1.23,1.411891015701294,1.72768,-0.31578898
-5.04,-4.624431460075378,-6.36168,1.7372485
-2.22,-2.3847694448280334,-3.02813,0.64336056
0.75,0.8680680518436432,1.24953,-0.38146195
-4.01,-3.6344657191467284,-4.48067,0.8462043
-3.68,-3.405004212216139,-3.42936,0.024355788
-0.4,-0.24651702032470701,0.501321,-0.747838
-2.4,-2.541776206512451,-3.16852,0.6267438
-4.78,-4.540024370107651,-4.12816,-0.41186437
-3.84,-3.5617926572883127,-3.61894,0.057147343
-3.37,-2.6032945976257325,-3.62975,1.0264554
-4.68,-6.382370415115357,-8.8229,2.4405296
-1.24,-1.3587700993537903,-1.55695,0.1981799
-4.39,-4.175894040679932,-2.54335,-1.632544
-1.88,-1.473904837360382,-2.38699,0.91308516
-6.13,-5.982566686496734,-5.37761,-0.6049567
-6.13,-6.463611486759186,-5.73784,-0.7257715
-6.09,-5.776932846984863,-8.48621,2.7092772
-3.65,-2.891064810447693,-1.38743,-1.5036348
-3.71,-2.391562053375244,-1.88443,-0.50713205
-4.69,-4.55345454284668,-5.19547,0.64201546
-3.78,-2.9547935208797456,-3.33095,0.37615648
-1.4,-1.0140764229183197,-0.814638,-0.19943842
1.16,1.3378645463562011,1.11506,0.22280455
-1.08,-1.200480957271576,-0.824977,-0.37550396
-4.31,-4.247725271329879,-4.62461,0.37688473
1.32,1.089898044248581,0.979696,0.110202044
-6.69,-6.9049910383605955,-9.75254,2.847549
-0.85,-0.5631115846393109,-0.611056,0.047944415
-7.65,-7.7499245941162105,-10.5162,2.7662754
-0.9,-1.3340096213293076,-1.42557,0.09156038
2.93,3.0180498252773287,2.67309,0.34495983
-2.93,-2.7771178794670104,-3.25283,0.47571212
-4.85,-4.959587289047241,-3.44245,-1.5171373
-5.91,-5.914530859947204,-5.0985,-0.81603086
-3.64,-3.300754801712036,-1.99121,-1.3095448
2.88,2.6332973382866385,2.60951,0.023787338
-0.86,-0.6902746450824737,-0.601092,-0.089182645
-5.53,-5.347971827936172,-5.0237,-0.32427183
-4.95,-5.1337133926391605,-7.45565,2.3219366
0.14,0.5727436706066131,0.9559,-0.38315633
-0.8,-0.8910067518539428,-0.783307,-0.10769975
-7.47,-7.347305002012253,-7.11554,-0.231765
-1.92,-2.4566825514221193,-3.26379,0.80710745
-2.01,-1.7654457278823852,-1.13631,-0.6291357
-3.17,-3.2744677714157104,-1.68438,-1.5900878
-6.23,-5.646334879341126,-6.69444,1.0481051
-2.64,-2.7615473279953004,-1.58225,-1.1792973
-4.04,-3.9454028297424317,-6.64135,2.6959472
-5.26,-4.830122855596542,-5.20993,0.37980714
-0.11,0.2415784147529602,0.315228,-0.073649585
-3.12,-2.1760205553436283,-1.45809,-0.71793056
-1.74,-1.3230398552970886,-0.463833,-0.85920686
-3.92,-3.442679454307556,-2.14173,-1.3009495
-1.21,-0.7600513598430156,-0.721355,-0.03869636
-4.7,-4.556034416027069,-5.08732,0.5312856
-5.94,-5.52029483543396,-6.28411,0.76381516
-4.4,-4.169465104255677,-2.81291,-1.3565551
-2.11,-1.7917390676689147,-2.15562,0.36388093
-3.04,-2.9841185062885285,-2.4956,-0.4885185
