expt,physics_ml,physics,ml
-4.72,-4.935664610862732,-3.08,-1.8556646
-3.04,-3.1095306167602534,0.8990000000000005,-4.0085306
-4.59,-4.031247863769531,0.2400000000000002,-4.271248
-3.82,-3.2167773170471197,-8.342,5.1252227
-2.93,-3.1953354263305664,-4.915,1.7196646
-0.98,-1.3174144721031191,-0.5100000000000002,-0.8074145
-0.74,-1.1413479218482974,-1.7760000000000002,0.6346521
2.89,2.968375324845314,3.059,-0.090624675
-1.59,-1.2642176427841187,-0.3540000000000001,-0.91021764
-3.75,-3.7895282144546507,-3.437,-0.3525282
-0.25,-0.14417052280902884,-0.1470000000000002,0.0028294772
-2.82,-2.6925093832015987,-1.0439999999999996,-1.6485094
-5.48,-5.345163276672364,-2.5780000000000003,-2.7671633
2.51,2.6445488049983976,2.514,0.1305488
-0.64,-0.593132740020752,2.819,-3.4121327
-7.5,-6.562271892547608,-12.912,6.349728
-1.99,-2.268697276830673,-2.022,-0.24669728
-3.64,-3.7566587171554566,-3.096,-0.6606587
-4.84,-4.5920692429542544,-3.836,-0.75606924
-5.22,-4.765123840332031,2.454,-7.219124
-0.83,-1.1549122524261475,-0.395,-0.75991225
-0.68,-0.5264596128463745,0.3349999999999999,-0.8614596
-3.56,-3.4617736196517948,-2.3600000000000003,-1.1017736
-2.49,-2.5323082556724543,-3.0489999999999995,0.51669174
-4.93,-4.749601763010025,-4.612,-0.13760176
-6.16,-5.872427767753601,-4.644,-1.2284278
-2.23,-2.3230896520614626,-3.18,0.85691035
-0.53,-0.7153278551101687,0.5789999999999997,-1.2943279
-5.1,-4.997175659179687,-4.789,-0.20817566
-4.47,-4.783275170326233,-2.9200000000000004,-1.8632752
-7.17,-6.971117055892945,-4.813000000000001,-2.158117
0.29,0.32466332292556754,1.031,-0.7063367
-2.78,-2.9182418327331545,-6.998,4.079758
3.43,3.743061943054199,0.92,2.823062
-3.15,-4.456741626501083,-4.664,0.20725837
-5.85,-6.61344109916687,-5.939,-0.6744411
-6.21,-6.20944186592102,-9.289,3.0795581
-5.71,-5.647290641784668,-9.407,3.7597094
-1.14,-1.5276358008384707,-0.6750000000000003,-0.8526358
-2.4,-2.5343428554534913,-3.919,1.3846571
-2.33,-2.355844950675964,-0.5999999999999996,-1.755845
-1.14,-1.6513108555674556,-1.6020000000000003,-0.049310856
2.38,2.339753777742386,2.551,-0.21124622
-5.88,-7.418139162540435,-7.278,-0.14013916
-2.81,-2.6426120481491093,-4.246,1.603388
1.77,1.6354992532730102,1.89,-0.25450075
-6.5,-5.849127304077147,-10.986999999999998,5.1378727
-1.62,-1.6972427539825437,1.2070000000000003,-2.9042428
-1.79,-2.1346894116401676,-2.1220000000000003,-0.012689412
-6.79,-6.154874332904816,-5.371,-0.78387433
-1.1,-1.4857951397895812,-1.162,-0.32379514
-0.9,-1.1631375873088836,-0.815,-0.3481376
-3.41,-3.520559032201768,-3.689000000000001,0.16844097
-3.52,-3.506073268890381,-4.359,0.85292673
-1.43,-1.680876606941223,-0.0689999999999999,-1.6118766
0.0,0.4930460944175721,1.064,-0.5709539
1.47,1.7102673010826113,2.083,-0.3727327
-2.38,-2.772694164276123,-2.106,-0.66669416
-7.19,-6.95586280822754,-13.05,6.094137
2.1,2.1252439420223235,2.348,-0.22275606
-4.02,-4.369004939079285,-2.998,-1.3710049
-3.5,-3.4462655086517344,-6.277000000000001,2.8307345
-4.61,-4.75612308549881,-4.9830000000000005,0.22687691
-2.07,-2.0253702955245974,-3.333,1.3076297
-0.33,0.022572532355785463,0.1360000000000001,-0.11342747
-0.9,-0.8512780752182008,0.0409999999999999,-0.8922781
-2.7,-2.813549729347229,-3.021,0.20745027
1.83,2.0214462077617643,1.76,0.2614462
0.1,0.4185107078552246,-4.766,5.1845107
-3.9,-3.226695349276066,-3.2510000000000003,0.02430465
-6.6,-6.247989421665668,-6.148,-0.09998942
2.0,1.9612038402557372,2.053,-0.09179616
-7.0,-7.125941303253175,-12.178,5.0520587
-5.66,-5.237583778381348,-4.423,-0.8145838
1.83,1.7019963031411172,1.824,-0.1220037
-0.1,0.22817811012268052,0.7149999999999999,-0.4868219
-0.45,-0.2562720217704775,0.2959999999999998,-0.552272
3.16,3.3821152658462523,4.122,-0.73988473
-0.63,-0.27352701872587204,-0.375,0.10147298
2.51,2.337673464536667,2.797,-0.45932654
-4.5,-4.468889387130737,-2.8080000000000003,-1.6608894
-3.15,-3.2687806577682497,-2.547,-0.72178066
-2.56,-2.2924572105407712,-6.337,4.044543
-5.0,-4.748693636894226,-3.754,-0.99469364
2.55,2.6475906829833984,3.698,-1.0504093
-2.56,-2.975928820610047,-4.239000000000001,1.2630712
-6.25,-5.706159302234649,-4.834,-0.8721593
-5.22,-4.9270368952751165,-4.1770000000000005,-0.7500369
-2.92,-2.8552304497361183,-2.835,-0.02023045
-6.0,-6.3330144042968755,-11.137,4.8039856
-4.5,-4.485122648239136,-0.891,-3.5941226
-4.1,-3.655392713546753,-5.445,1.7896073
-1.45,-1.169829402923584,1.789,-2.9588294
-1.93,-2.8351907320022582,-2.432,-0.40319073
-1.36,-1.7905940656661987,-0.863,-0.92759407
-1.23,-1.4079317989349365,0.931,-2.3389318
0.25,0.4822477321624756,0.298,0.18424773
-2.45,-2.8538516540527343,-2.077,-0.77685165
0.34,0.6660712461471558,1.723,-1.0569288
-5.74,-6.771946578979492,-20.831,14.059053
2.88,2.8998361731767655,3.012,-0.11216383
-4.52,-4.716490328967572,-4.746,0.029509671
-2.26,-1.5762721586227415,-3.155,1.5787278
-5.33,-4.379035200119018,-4.789,0.4099648
-0.78,-0.5577933301925655,0.6010000000000004,-1.1587933
1.23,1.3521412248611449,2.562,-1.2098588
