expt,physics_ml,physics,ml
-4.72,-4.1745180847549435,-3.13599,-1.0385281
-3.04,-2.94991357421875,-2.34475,-0.6051636
-4.59,-4.040784143447876,-1.75525,-2.2855341
-3.82,-3.911471749572754,-5.70653,1.7950583
-2.93,-2.890637777023316,-4.29168,1.4010422
-0.98,-0.7431417074241639,-0.999704,0.2565623
-0.74,-0.7861725648498534,-1.27761,0.49143744
2.89,2.986563226661682,2.21496,0.7716032
-1.59,-1.2638785445709229,-0.719727,-0.54415154
-3.75,-3.6675019954109196,-4.06934,0.401838
-0.25,0.03864274858856204,-0.471056,0.50969875
-2.82,-2.5648509643554687,-1.84855,-0.71630096
-5.48,-5.096118489723206,-3.16298,-1.9331385
2.51,2.856881108627319,1.94086,0.9160211
-0.64,-0.3093696189651489,-0.443376,0.13400638
-7.5,-7.981097561912536,-8.80233,0.82123244
-1.99,-2.380140221452713,-2.3491,-0.031040221
-3.64,-3.6141143231582644,-5.01902,1.4049057
-4.84,-4.372668406484127,-4.40906,0.036391594
-5.22,-4.019797186012267,-2.18137,-1.8384272
-0.83,-1.3922746566176414,-1.44315,0.050875343
-0.68,-0.6158479556808472,-0.835526,0.21967804
-3.56,-3.1290766756248476,-2.86147,-0.26760668
-2.49,-2.804589241065979,-3.65004,0.84545076
-4.93,-4.214855609054565,-4.65612,0.4412644
-6.16,-5.8154424933624265,-4.45142,-1.3640225
-2.23,-2.2606673386383056,-3.55178,1.2911127
-0.53,-0.16840974127635955,-0.0964986,-0.07191114
-5.1,-4.6873579657173154,-4.07426,-0.61309797
-4.47,-4.5189632007980345,-3.08674,-1.4322232
-7.17,-6.706296179332734,-6.12954,-0.5767562
0.29,0.3002026305122375,0.842092,-0.54188937
-2.78,-2.6726733908462528,-4.36373,1.6910566
3.43,4.07089697101593,4.87378,-0.802883
-3.15,-3.5878894077301027,-3.9786,0.3907106
-5.85,-6.444427158126831,-4.87226,-1.5721672
-6.21,-5.69157849319458,-7.45533,1.7637515
-5.71,-7.85415390197754,-9.16167,1.3075161
-1.14,-0.902764656867981,-1.21859,0.31582534
-2.4,-2.2263897157287595,-3.65181,1.4254203
-2.33,-1.870273317604065,-2.13828,0.26800668
-1.14,-1.3531674630546568,-2.08024,0.72707254
2.38,2.244843894577026,1.99285,0.2519939
-5.88,-6.514603534851074,-7.03166,0.51705647
-2.81,-2.608872380142212,-3.49388,0.8850076
1.77,1.476925332710743,1.49411,-0.017184667
-6.5,-4.705495832214355,-9.58076,4.875264
-1.62,-1.5598834250335694,-0.783938,-0.7759454
-1.79,-1.8608208868122103,-2.10896,0.24813911
-6.79,-6.518294550323486,-6.0964,-0.42189455
-1.1,-1.3995143997573853,-1.82824,0.4287256
-0.9,-1.1216804935836793,-1.62474,0.5030595
-3.41,-3.218424502182007,-3.92455,0.7061255
-3.52,-3.5751470791244504,-4.42939,0.8542429
-1.43,-1.2164623862457276,-1.41537,0.19890761
0.0,0.434602937620163,0.166193,0.26840994
1.47,1.763212146472931,1.41845,0.34476215
-2.38,-2.037604127254486,-2.83859,0.8009859
-7.19,-7.899437271916867,-7.9709,0.07146273
2.1,2.1923703915786743,1.86422,0.3281504
-4.02,-3.3901649383735655,-2.83267,-0.55749494
-3.5,-3.1790261502838133,-4.48506,1.3060338
-4.61,-4.1867854127883914,-4.84475,0.6579646
-2.07,-2.032766048946381,-2.91204,0.87927395
-0.33,-0.05180733792304992,-0.33592,0.28411266
-0.9,-1.242720001897812,-1.05546,-0.18726
-2.7,-2.6007293708610533,-3.36853,0.7678006
1.83,1.8926501115131378,1.58483,0.3078201
0.1,-0.2946725891685486,-0.445985,0.15131241
-3.9,-3.225755492248535,-3.87304,0.6472845
-6.6,-6.812381801605224,-5.06,-1.7523818
2.0,2.2973238071441653,1.7034,0.5939238
-7.0,-8.425589226150512,-10.2434,1.8178108
-5.66,-4.887401346149445,-4.31219,-0.57521135
1.83,1.7158881147003173,1.23501,0.4808781
-0.1,0.2596820856903076,-0.0144752,0.2741573
-0.45,-0.2617292253303527,-1.07818,0.8164508
