expt,physics_ml,physics,ml
-4.72,-3.791290746212006,-4.198,0.40670925
-3.04,-3.0724356870651244,-1.348,-1.7244357
-4.59,-4.141214337348938,-2.215,-1.9262143
-3.82,-4.293571838378906,-10.084,5.790428
-2.93,-2.5988888397216803,-5.664000000000001,3.0651112
-0.98,-1.2464573945999144,-1.884,0.6375426
-0.74,-0.6774848670959472,-2.347,1.6695151
2.89,2.5900298175811765,1.531,1.0590298
-1.59,-1.8829283661842346,-1.157,-0.72592837
-3.75,-3.6674636163711547,-4.779,1.1115364
-0.25,0.47421465778350835,-0.941,1.4152147
-2.82,-2.693592442512512,-1.839,-0.85459244
-5.48,-4.253384208679199,-3.6,-0.6533842
2.51,2.5772126455307007,1.177,1.4002126
-0.64,-0.41710676765441895,0.054,-0.47110677
-7.5,-6.726319683074951,-13.788,7.0616803
-1.99,-2.280656500339508,-3.258,0.9773435
-3.64,-4.111551671028137,-4.154999999999999,0.04344833
-4.84,-4.1937508831024175,-4.9510000000000005,0.7572491
-5.22,-3.8426242446899415,0.565,-4.4076242
-0.83,-1.13897939491272,-1.9830000000000003,0.8440206
-0.68,-0.7817350368499756,-1.373,0.59126496
-3.56,-3.609130022525788,-4.3100000000000005,0.70087
-2.49,-2.7119636850357054,-4.558,1.8460363
-4.93,-4.281141273498536,-5.8420000000000005,1.5608587
-6.16,-6.206777155876159,-6.337999999999999,0.13122284
-2.23,-2.054872238159179,-4.436999999999999,2.3821278
-0.53,-1.3373858046531677,-0.47,-0.8673858
-5.1,-4.213866647720337,-5.384,1.1701334
-4.47,-3.7336845178604126,-3.952,0.21831548
-7.17,-6.688481498718262,-4.476,-2.2124815
0.29,0.3191548895835876,-0.53,0.8491549
-2.78,-2.424993572235107,-7.81,5.3850064
3.43,4.693565559387207,-1.05,5.7435656
-3.15,-4.3598232688903815,-6.369000000000001,2.0091767
-5.85,-6.811753737449646,-7.212,0.40024626
-6.21,-6.384256454467774,-10.271,3.8867435
-5.71,-6.974224605560302,-10.415,3.4407754
-1.14,-1.428284340381622,-2.143,0.71471566
-2.4,-1.781234062194824,-4.938,3.156766
-2.33,-1.4048107557296754,-1.618,0.21318924
-1.14,-1.3752120590209964,-2.2350000000000003,0.85978794
2.38,2.3372446546554566,1.201,1.1362447
-5.88,-7.384983073234558,-9.311,1.9260169
-2.81,-2.5135689811706543,-5.633,3.119431
1.77,1.556050495147705,-1.971,3.5270505
-6.5,-6.179029331207275,-10.36,4.1809707
-1.62,-1.6678822679519651,-0.4169999999999998,-1.2508823
-1.79,-2.109579161643982,-2.904,0.79442084
-6.79,-5.734572535514832,-7.431,1.6964275
-1.1,-0.9920478053092956,-1.932,0.9399522
-0.9,-1.0609497900009157,-2.462,1.4010502
-3.41,-3.3886340379714968,-4.95,1.561366
-3.52,-3.359750309944153,-5.341,1.9812497
-1.43,-1.1956053628921508,-1.914,0.71839464
0.0,0.3946340436935425,-0.238,0.63263404
1.47,1.291243576526642,0.562,0.7292436
-2.38,-2.7031215362548826,-3.643,0.93987846
-7.19,-7.72301188659668,-13.637,5.913988
2.1,1.8738610668182374,1.092,0.78186107
-4.02,-3.217674683570862,-3.149,-0.06867468
-3.5,-3.1745845909118655,-6.937,3.7624154
-4.61,-4.136383325576782,-5.757,1.6206167
-2.07,-2.0496155204772952,-5.094,3.0443845
-0.33,0.06393771362304701,-0.7229999999999999,0.7869377
-0.9,-1.2223191890716554,-1.491,0.2686808
-2.7,-2.636482915878296,-4.96,2.323517
1.83,1.444773663520813,0.8140000000000001,0.63077366
0.1,-2.1114173965454093,-8.008,5.8965826
-3.9,-2.9782686634063724,-4.517,1.5387313
-6.6,-7.016029123306275,-7.579000000000001,0.5629709
2.0,1.9621984853744507,0.939,1.0231985
-7.0,-8.363972675323486,-13.862,5.4980273
-5.66,-5.272557076454163,-6.384,1.1114429
1.83,1.7101958875656127,0.388,1.3221959
-0.1,0.22110649347305317,-0.4749999999999998,0.6961065
-0.45,-0.40956098079681347,-1.5649999999999995,1.155439
3.16,2.460618651390076,2.063,0.39761865
-0.63,0.042064111709594565,-1.0570000000000002,1.0990641
2.51,2.0652852287292482,1.349,0.7162852
-4.5,-3.3160632791519165,-4.069,0.7529367
-3.15,-3.276300038337707,-4.164,0.88769996
