expt,physics_ml,physics,ml
-4.72,-4.652026934757233,-5.18839,0.53636307
-3.04,-3.6761345561828613,-0.459959,-3.2161756
-4.59,-3.667822098501587,-0.0271034,-3.6407187
-3.82,-2.9830770704650877,-7.40799,4.424913
-2.93,-2.4859607939147947,-4.61494,2.1289792
-0.98,-1.4060632855129243,-1.03292,-0.3731433
-0.74,-0.5090269047546387,-3.15843,2.649403
2.89,2.4965596062088014,1.81014,0.6864196
-1.59,-1.4355695152950287,-1.07732,-0.35824952
-3.75,-3.613998369026184,-3.77505,0.16105163
-0.25,0.0018514365386962384,-0.71708,0.71893144
-2.82,-2.8054061448669434,-1.56176,-1.2436461
-5.48,-5.190677390918732,-4.36136,-0.8293174
2.51,2.203945117607117,1.40514,0.7988051
-0.64,-0.39305104927062984,1.28346,-1.676511
-7.5,-6.1983752502441405,-10.8339,4.6355247
-1.99,-2.330347496950626,-2.4254,0.0950525
-3.64,-3.8566113275432587,-3.56014,-0.29647133
-4.84,-4.470583359184265,-4.16219,-0.30839336
-5.22,-4.026775769104004,0.758061,-4.784837
-0.83,-1.393753913230896,-1.12182,-0.2719339
-0.68,-0.5163682667922974,-0.52897,0.012601733
-3.56,-3.966847389202118,-3.07073,-0.8961174
-2.49,-2.3077526833724975,-3.53497,1.2272173
-4.93,-4.635151486535072,-4.70552,0.07036851
-6.16,-5.531361291656494,-7.09326,1.5618987
-2.23,-1.8256990948104859,-3.54854,1.7228409
-0.53,-0.39444496838617327,-0.480758,0.08631303
-5.1,-4.160373402252198,-6.24389,2.0835166
-4.47,-3.7493112295341495,-4.35282,0.6035088
-7.17,-7.445905404815674,-4.25126,-3.1946454
0.29,0.3043745857143402,0.17009,0.13428459
-2.78,-2.9938937014770506,-5.86792,2.8740263
3.43,3.7537789775390626,0.254252,3.499527
-3.15,-3.9855587724685666,-4.9079,0.9223412
-5.85,-7.269139749507904,-8.22223,0.95309025
-6.21,-5.636219333648681,-11.8365,6.2002807
-5.71,-5.998632838821411,-8.60135,2.6027172
-1.14,-1.8552835228538513,-1.29576,-0.5595235
-2.4,-2.368558227500915,-4.12996,1.7614018
-2.33,-2.582106554317474,-1.8648,-0.71730655
-1.14,-0.961483581123352,-2.15556,1.1940764
2.38,2.023740240116119,1.44952,0.57422024
-5.88,-6.903382971553802,-6.77053,-0.13285297
-2.81,-2.871688876800537,-4.20468,1.3329911
