expt,physics_ml,physics,ml
-4.72,-4.472631931304932,0,-4.472632
-3.04,-2.916199207305908,0,-2.9161992
-4.59,-4.712706089019775,0,-4.712706
-3.82,-3.8731319904327393,0,-3.873132
-2.93,-4.051734447479248,0,-4.0517344
-0.98,-1.4961594343185425,0,-1.4961594
-0.74,-0.6688840985298157,0,-0.6688841
2.89,2.50236177444458,0,2.5023618
-1.59,-2.200922727584839,0,-2.2009227
-3.75,-3.605234384536743,0,-3.6052344
-0.25,-0.08349628746509552,0,-0.08349629
-2.82,-1.8444703817367554,0,-1.8444704
-5.48,-4.790597915649414,0,-4.790598
2.51,2.51507830619812,0,2.5150783
-0.64,-0.1289316862821579,0,-0.12893169
-7.5,-6.4380717277526855,0,-6.4380717
-1.99,-1.793033242225647,0,-1.7930332
-3.64,-2.6789791584014893,0,-2.6789792
-4.84,-4.91702127456665,0,-4.9170213
-5.22,-3.9051241874694824,0,-3.9051242
-0.83,-1.2500498294830322,0,-1.2500498
-0.68,-0.49226880073547363,0,-0.4922688
-3.56,-3.4416592121124268,0,-3.4416592
-2.49,-2.6634535789489746,0,-2.6634536
-4.93,-5.319366931915283,0,-5.319367
-6.16,-5.984915733337402,0,-5.9849157
-2.23,-2.678809642791748,0,-2.6788096
-0.53,-1.7922559976577759,0,-1.792256
-5.1,-5.2482008934021,0,-5.248201
-4.47,-3.996570110321045,0,-3.99657
-7.17,-6.2989325523376465,0,-6.2989326
0.29,0.17249102890491486,0,0.17249103
-2.78,-3.5663833618164062,0,-3.5663834
3.43,2.652219772338867,0,2.6522198
-3.15,-3.7703428268432617,0,-3.7703428
-5.85,-5.890251636505127,0,-5.8902516
-6.21,-6.134951114654541,0,-6.134951
-5.71,-4.20263147354126,0,-4.2026315
-1.14,-1.250339150428772,0,-1.2503392
-2.4,-3.299699306488037,0,-3.2996993
-2.33,-1.974594235420227,0,-1.9745942
-1.14,-1.4263826608657837,0,-1.4263827
2.38,2.4659876823425293,0,2.4659877
-5.88,-5.5464959144592285,0,-5.546496
-2.81,-2.6264944076538086,0,-2.6264944
1.77,1.0406941175460815,0,1.0406941
-6.5,-5.892439365386963,0,-5.8924394
-1.62,-2.2237470149993896,0,-2.223747
-1.79,-1.5890904664993286,0,-1.5890905
-6.79,-5.92117166519165,0,-5.9211717
-1.1,-1.5958019495010376,0,-1.595802
-0.9,-1.2020403146743774,0,-1.2020403
-3.41,-3.793759822845459,0,-3.7937598
-3.52,-3.5420053005218506,0,-3.5420053
-1.43,-0.9556031823158264,0,-0.9556032
0.0,0.35117754340171814,0,0.35117754
1.47,1.582696557044983,0,1.5826966
-2.38,-2.0535755157470703,0,-2.0535755
-7.19,-6.183568477630615,0,-6.1835685
2.1,2.50761079788208,0,2.5076108
-4.02,-4.760146617889404,0,-4.7601466
-3.5,-3.7651102542877197,0,-3.7651103
-4.61,-4.28326940536499,0,-4.2832694
-2.07,-2.588045597076416,0,-2.5880456
-0.33,-0.2931889295578003,0,-0.29318893
-0.9,-1.3031362295150757,0,-1.3031362
-2.7,-2.1035261154174805,0,-2.103526
1.83,2.1458797454833984,0,2.1458797
0.1,-0.6107970476150513,0,-0.61079705
-3.9,-3.7421514987945557,0,-3.7421515
-6.6,-5.900472640991211,0,-5.9004726
2.0,2.400794506072998,0,2.4007945
-7.0,-6.227364540100098,0,-6.2273645
-5.66,-5.849888324737549,0,-5.8498883
1.83,1.751224398612976,0,1.7512244
-0.1,0.21976487338542938,0,0.21976487
-0.45,-0.17791657149791718,0,-0.17791657
3.16,2.313568115234375,0,2.313568
-0.63,-0.1590583324432373,0,-0.15905833
2.51,2.479231595993042,0,2.4792316
-4.5,-4.688204288482666,0,-4.6882043
-3.15,-3.159395217895508,0,-3.1593952
-2.56,-2.7293379306793213,0,-2.729338
-5.0,-4.913578033447266,0,-4.913578
2.55,1.8848520517349243,0,1.884852
-2.56,-3.006885051727295,0,-3.006885
-6.25,-5.997364044189453,0,-5.997364
-5.22,-5.40593957901001,0,-5.4059396
-2.92,-3.2465264797210693,0,-3.2465265
-6.0,-4.245377063751221,0,-4.245377
-4.5,-4.769540309906006,0,-4.7695403
-4.1,-4.579685211181641,0,-4.579685
-1.45,-2.9124879837036133,0,-2.912488
-1.93,-1.2065703868865967,0,-1.2065704
-1.36,-1.4905099868774414,0,-1.49051
-1.23,-1.010206699371338,0,-1.0102067
0.25,-0.8996036052703857,0,-0.8996036
-2.45,-2.889224052429199,0,-2.889224
0.34,0.2018565684556961,0,0.20185657
-5.74,-5.747743129730225,0,-5.747743
2.88,2.543349266052246,0,2.5433493
