expt,physics_ml,physics,ml
-4.72,-4.861953145980835,-3.232,-1.6299531
-3.04,-3.424801404953003,-1.083,-2.3418014
-4.59,-4.712660065174102,-3.953,-0.75966007
-3.82,-3.6913057250976564,-5.442,1.7506943
-2.93,-2.781535794258118,-3.652,0.8704642
-0.98,-1.1298477506637574,-0.11,-1.0198478
-0.74,-0.9005677428245544,-0.609,-0.29156774
2.89,2.4595056666135786,2.542,-0.08249433
-1.59,-2.083629981994629,-0.617,-1.46663
-3.75,-3.316855372354388,-3.344,0.027144628
-0.25,-0.2805532855987549,0.833,-1.1135533
-2.82,-2.70997269153595,-1.325,-1.3849727
-5.48,-5.705552906990051,-4.345,-1.3605529
2.51,2.656019958615303,2.506,0.15001996
-0.64,-0.2697272205352783,0.885,-1.1547272
-7.5,-6.3085938224792475,-10.251,3.9424062
-1.99,-1.891223606109619,-0.384,-1.5072236
-3.64,-3.5266708593368534,-4.573,1.0463291
-4.84,-4.343403381347656,-2.869,-1.4744034
-5.22,-3.8549896087646482,-1.284,-2.5709896
-0.83,-1.1677000851631165,-0.697,-0.4707001
-0.68,-0.6069940475225448,-0.456,-0.15099405
-3.56,-3.545072611570358,-3.59,0.04492739
-2.49,-2.7234883670806886,-2.563,-0.16048837
-4.93,-4.253456478595734,-3.343,-0.9104565
-6.16,-6.394557354927063,-5.148,-1.2465574
-2.23,-2.051943878173828,-2.929,0.8770561
-0.53,-1.4363317756652831,-0.178,-1.2583318
-5.1,-5.022173944473266,-3.491,-1.531174
-4.47,-4.599619281768799,-3.288,-1.3116193
-7.17,-7.077364567279815,-6.116,-0.96136457
0.29,0.1595752804279328,0.553,-0.39342472
-2.78,-2.676995757102966,-4.028,1.3510042
3.43,3.7728046555519104,3.077,0.69580466
-3.15,-4.148421370983124,-4.9,0.7515786
-5.85,-6.654655690670014,-5.833,-0.8216557
-6.21,-5.35675714302063,-7.878,2.5212429
-5.71,-7.805548103332519,-8.683,0.8774519
-1.14,-1.0925830702781676,-0.473,-0.6195831
-2.4,-2.2697957553863524,-3.304,1.0342042
-2.33,-2.3329874515533446,-1.275,-1.0579875
-1.14,-2.0210008811950684,-0.395,-1.6260009
2.38,2.2896003985404967,2.59,-0.3003996
-5.88,-7.485735045433044,-8.161,0.67526495
-2.81,-2.808935344815254,-2.86,0.051064655
1.77,1.7191992424279452,1.691,0.028199242
-6.5,-3.0773924102783203,-7.024,3.9466076
-1.62,-2.3859831466674803,0.136,-2.5219831
-1.79,-1.7179517393112183,-0.363,-1.3549517
-6.79,-6.576687602996826,-5.28,-1.2966876
-1.1,-1.747325379371643,-0.182,-1.5653254
-0.9,-0.9039365434646607,-0.79,-0.11393654
-3.41,-3.3308558344841,-3.05,-0.28085583
-3.52,-3.326595431923866,-3.166,-0.16059543
-1.43,-1.3973793182373047,-0.091,-1.3063793
0.0,-0.11849228286743174,1.261,-1.3794923
1.47,1.4703168258666994,2.486,-1.0156832
-2.38,-2.6963092236518857,-1.853,-0.8433092
-7.19,-6.547544399261474,-10.466,3.9184556
2.1,2.073871136188507,2.588,-0.51412886
-4.02,-3.8478261947631838,-2.075,-1.7728262
-3.5,-3.5126551152467727,-3.372,-0.14065512
-4.61,-3.4340422921180727,-3.043,-0.3910423
-2.07,-2.284525711894035,-2.336,0.051474288
-0.33,-0.49890999984741213,0.973,-1.47191
-0.9,-1.3466804890632629,-0.553,-0.7936805
-2.7,-2.7144180171489714,-3.143,0.42858198
1.83,1.4958799147605895,2.465,-0.9691201
0.1,0.6061731758117677,-1.156,1.7621732
-3.9,-4.396416941165924,-4.003,-0.39341694
-6.6,-6.39007214975357,-5.707,-0.68307215
2.0,1.940444941520691,2.495,-0.55455506
-7.0,-7.3235086269378655,-10.857,3.5334914
-5.66,-5.7231073908805845,-4.768,-0.9551074
1.83,1.722444393157959,2.452,-0.7295556
-0.1,-0.3166323814392089,1.084,-1.4006324
-0.45,-0.30544130623340604,-0.22,-0.085441306
3.16,2.8762224531173706,3.335,-0.45877755
-0.63,-0.7340606212615967,0.775,-1.5090606
2.51,2.251885974884033,2.613,-0.36111403
-4.5,-4.608151679039001,-3.13,-1.4781517
-3.15,-3.3928444247245793,-4.198,0.8051556
-2.56,-2.4840157194137573,-3.867,1.3829843
-5.0,-5.090972608566284,-3.394,-1.6969726
2.55,2.066217261314392,2.381,-0.31478274
-2.56,-2.6253741545677185,-3.492,0.86662585
-6.25,-6.1491035075187686,-5.272,-0.8771035
-5.22,-4.402996326446534,-3.201,-1.2019963
-2.92,-2.9324484058618547,-2.704,-0.2284484
-6.0,-5.817287364959717,-6.716,0.89871264
-4.5,-4.429729801177979,-3.156,-1.2737298
-4.1,-4.059010649204254,-3.238,-0.82101065
-1.45,-1.5972855606079102,-0.379,-1.2182856
-1.93,-2.7400716705322266,-1.742,-0.9980717
-1.36,-1.5714909105300903,-0.553,-1.0184909
-1.23,-1.3257225904464722,0.059,-1.3847226
0.25,0.11768056917190561,1.108,-0.99031943
-2.45,-1.9410725065916776,-1.956,0.014927493
0.34,0.15300125885009774,1.223,-1.0699987
-5.74,-12.541065111160279,-16.515,3.973935
2.88,2.731325994491577,2.686,0.045325994
-4.52,-5.599592604637146,-6.79,1.1904074
-2.26,-1.4171624364852904,-2.219,0.80183756
-5.33,-4.535090022087097,-4.055,-0.48009002
-0.78,-1.577469443321228,0.326,-1.9034694
1.23,1.1250414042472838,1.503,-0.3779586
-5.04,-5.76725062251091,-5.495,-0.27225062
-2.22,-2.782702735900879,-2.254,-0.52870274
0.75,2.107041404247284,2.485,-0.3779586
-4.01,-3.487309019088745,-2.767,-0.720309
-3.68,-3.4485673050880434,-3.123,-0.3255673
-0.4,-0.43263689994812016,0.705,-1.1376369
-2.4,-2.3221670393943787,-3.213,0.89083296
-4.78,-4.407146634101868,-4.014,-0.39314663
-3.84,-4.213343057632446,-2.66,-1.553343
-3.37,-3.207443633079529,-2.54,-0.66744363
-4.68,-7.396908267974853,-8.809,1.4120917
-1.24,-1.4733381776809693,-1.078,-0.39533818
-4.39,-4.403364844322205,-2.945,-1.4583648
-1.88,-1.5960564082860946,-1.835,0.23894359
-6.13,-6.195289960384369,-5.453,-0.74228996
-6.13,-6.312001172542572,-5.579,-0.7330012
-6.09,-5.571457761764526,-8.844,3.2725422
-3.65,-3.3915068702697755,-2.233,-1.1585069
-3.71,-4.127153852462769,-1.878,-2.2491539
-4.69,-3.886055691719055,-3.508,-0.3780557
