expt,physics_ml,physics,ml
-4.72,-5.054839360733032,-3.22227,-1.8325694
-3.04,-3.4227195384216307,-2.11372,-1.3089995
-4.59,-4.351561025466919,-0.447715,-3.903846
-3.82,-3.693807388381958,-6.57758,2.8837726
-2.93,-2.9972198941612245,-3.66474,0.6675201
-0.98,-1.4245933582115173,-1.45543,0.030836642
-0.74,-0.7930061956977844,0.116715,-0.9097212
2.89,2.5075861120414733,2.25602,0.2515661
-1.59,-1.754270442150116,-0.907798,-0.84647244
-3.75,-3.490331072845459,-2.45829,-1.0320411
-0.25,-0.011568290344238286,-0.333791,0.3222227
-2.82,-2.8169217549705508,-2.20814,-0.60878175
-5.48,-5.336073899307252,-2.99454,-2.341534
2.51,2.6409151924324035,1.90732,0.7335952
-0.64,-0.054547159729003925,1.07819,-1.1327372
-7.5,-7.511504500579834,-11.5907,4.0791955
-1.99,-2.358369548740387,-2.59119,0.23282045
-3.64,-3.8954187770080564,-1.97427,-1.9211488
-4.84,-4.508173162155152,-4.24443,-0.26374316
-5.22,-4.408000958053589,-0.845567,-3.562434
-0.83,-0.9450089893913269,-0.78156,-0.16344899
-0.68,-0.1731423408536911,-0.174978,0.0018356591
-3.56,-3.5591558324432375,-4.87666,1.3175042
-2.49,-2.4611670722198484,-2.04742,-0.41374707
-4.93,-4.691722463760376,-4.83966,0.14793754
-6.16,-5.800283274707795,-5.22681,-0.5734733
-2.23,-2.265357060022354,-2.60682,0.34146294
-0.53,-1.0524918443222047,-0.328502,-0.72398984
-5.1,-4.961456586914062,-4.24733,-0.7141266
-4.47,-4.222681148681641,-3.01116,-1.2115211
-7.17,-6.9269097371673585,-5.51506,-1.4118497
0.29,0.4653618310871124,0.587594,-0.12223217
-2.78,-2.710101251220703,-4.6221,1.9119987
3.43,3.5022365180778503,3.87818,-0.37594348
-3.15,-3.860194676437378,-6.23754,2.3773453
-5.85,-6.672472232875824,-6.02331,-0.64916223
-6.21,-6.22123981163025,-8.16397,1.9427302
-5.71,-5.838227135162353,-7.41548,1.5772529
-1.14,-1.2455163095760347,-1.37383,0.12831369
-2.4,-2.552041440238953,-3.03474,0.48269856
-2.33,-2.2734320385894775,-0.656971,-1.616461
-1.14,-1.3971070007476807,-0.168841,-1.228266
2.38,2.343650820865631,1.92139,0.42226082
-5.88,-6.976320213117599,-7.25704,0.2807198
-2.81,-2.7459730055522917,-2.60627,-0.139703
1.77,1.2620391908454893,2.14558,-0.8835408
-6.5,-6.1059760425567635,-8.7748,2.668824
-1.62,-1.7508372335205078,-0.702526,-1.0483112
-1.79,-1.8962427914142608,-2.24375,0.3475072
-6.79,-6.673561694869995,-5.55451,-1.1190517
-1.1,-1.0841706383514405,0.13347,-1.2176406
-0.9,-1.0651433961975574,-1.10628,0.041136604
-3.41,-3.582219511394501,-2.60413,-0.9780895
-3.52,-3.2340012314605713,-2.92428,-0.30972123
-1.43,-1.449174938135147,-1.25393,-0.19524494
0.0,0.5253665096273422,0.494274,0.03109251
1.47,1.5461000473308564,1.58098,-0.034879953
-2.38,-2.2130609982180593,-2.19608,-0.016980998
-7.19,-7.401211129760743,-11.0791,3.6778889
2.1,2.0538528281402586,1.77912,0.27473283
-4.02,-3.862032800807953,-3.53689,-0.3251428
-3.5,-3.514038244113922,-3.82261,0.30857176
-4.61,-4.646761796646118,-3.38543,-1.2613318
-2.07,-2.1319901865959165,-1.9494,-0.18259019
-0.33,0.2042536562614441,-0.111232,0.31548566
-0.9,-0.7771664268608094,-0.454687,-0.32247943
-2.7,-2.9502843812179567,-3.21382,0.26353562
1.83,1.694887913684845,1.41048,0.2844079
0.1,-0.07143005721092222,-0.295295,0.22386494
-3.9,-3.7359263497161863,-2.54708,-1.1888463
