expt,physics_ml,physics,ml
-3.82,-4.428926221847535,-8.342,3.9130738
-2.93,-2.5584941291809082,-4.915,2.3565059
-0.98,-1.6012690162658694,-0.5100000000000002,-1.091269
-0.74,-1.2443857560157778,-1.7760000000000002,0.53161424
-1.59,-1.5665294208526612,-0.3540000000000001,-1.2125294
-3.75,-3.8512348170280455,-3.437,-0.41423482
-4.55,-4.537195228099823,-3.886,-0.6511952
-2.73,-2.5613718881607057,-2.164,-0.3973719
-0.53,-0.5974337038993838,-1.1310000000000002,0.5335663
-0.25,-0.0007135422229768984,-0.1470000000000002,0.14628646
-5.48,-3.9172341136932376,-2.5780000000000003,-1.3392341
2.51,2.5592907383441923,2.514,0.04529074
-0.64,2.3481519463062286,2.819,-0.47084805
-0.83,-0.2747844295501709,1.117,-1.3917844
-6.88,-4.806373025894166,-7.502000000000001,2.695627
-3.64,-3.441175176858902,-3.096,-0.34517518
-4.84,-4.090645168781281,-3.836,-0.25464517
-5.22,0.7554671802520754,2.454,-1.6985328
-9.01,-7.275387999534608,-8.097000000000001,0.821612
-0.83,-1.0430554938316345,-0.395,-0.6480555
-0.68,-0.7413199329376221,0.3349999999999999,-1.0763199
-3.56,-3.442511425018311,-2.3600000000000003,-1.0825114
-4.93,-4.564698826789856,-4.612,0.047301173
-8.42,-11.769077001571656,-15.736,3.966923
-6.16,-5.146892732620239,-4.644,-0.50289273
-2.23,-2.5182523059844972,-3.18,0.6617477
-0.53,-1.1225430927276614,0.5789999999999997,-1.7015431
-4.47,-4.209081335067749,-2.9200000000000004,-1.2890813
-7.17,-5.951025760650635,-4.813000000000001,-1.1380258
-2.78,-3.5255444984436037,-6.998,3.4724555
3.43,3.1807691287994384,0.92,2.2607691
-11.0,-9.983763946533204,-13.089,3.105236
-6.21,-7.16948243522644,-9.289,2.1195176
-5.71,-7.433593923568726,-9.407,1.9734061
-5.26,-4.832314516544342,-4.414,-0.41831452
-1.14,-1.6703051805496218,-0.6750000000000003,-0.9953052
-2.4,-3.116262167930603,-3.919,0.80273783
-2.33,-0.774461483955383,-0.5999999999999996,-0.17446148
2.38,1.772802055835724,2.551,-0.77819794
-6.5,-5.711911212921141,-10.986999999999998,5.275089
-1.62,-0.41283561515808076,1.2070000000000003,-1.6198356
-6.79,-6.1813544712066655,-5.371,-0.8103545
-1.1,-1.6255222554206847,-1.162,-0.46352226
-0.9,-1.0833606147766113,-0.815,-0.2683606
-3.52,-3.3931944098472595,-4.359,0.9658056
-1.43,0.11001235818862926,-0.0689999999999999,0.17901236
0.0,0.43205313825607305,1.064,-0.63194686
1.47,0.9945881919860842,2.083,-1.0884118
-4.62,-4.155988960266113,-2.405,-1.750989
-2.38,-2.16046121096611,-2.106,-0.05446121
2.1,1.2061461906433104,2.348,-1.1418538
-9.73,-12.287553991317749,-13.664,1.376446
-9.34,-6.458088923454285,-5.351,-1.1070889
-10.0,-6.589528692245484,-9.663,3.0734713
-3.5,-2.3949604530334483,-6.277000000000001,3.8820395
-4.61,-3.061287839889527,-4.9830000000000005,1.9217122
-2.07,-2.1927440719604494,-3.333,1.1402559
-0.33,-0.4813676848411559,0.1360000000000001,-0.6173677
-0.9,-0.9760369148254395,0.0409999999999999,-1.0170369
-2.7,-2.8908359727859496,-3.021,0.13016403
1.83,0.673487434387207,1.76,-1.0865126
-3.9,-2.851947201251984,-3.2510000000000003,0.3990528
-1.5,-0.9265466961860653,-0.4909999999999996,-0.4355467
-6.6,-5.939709303855896,-6.148,0.2082907
2.0,1.0323912172317504,2.053,-1.0206088
-7.0,-9.72565820503235,-12.178,2.4523418
-10.78,-17.266256067276,-20.947,3.680744
-0.46,-0.2732081413269043,-1.375,1.1017919
-10.17,-9.652909487247467,-10.456,0.8030905
-2.75,-2.1342068138122556,-6.869,4.734793
3.16,3.2315104813575743,4.122,-0.8904895
-10.21,-9.710216897964477,-13.469,3.758783
-4.42,-5.313004817485809,-5.502,0.18899518
-2.56,-2.909876214981079,-6.337,3.4271238
-9.51,-8.609523975372314,-11.187,2.577476
-5.0,-4.291656545639038,-3.754,-0.53765655
-14.21,-14.47297347974777,-15.301999999999998,0.8290265
2.55,2.741209195137024,3.698,-0.9567908
-2.56,-3.1754123344421394,-4.239000000000001,1.0635877
-2.64,-2.8474416904449456,-4.667999999999999,1.8205583
-5.22,-4.409979357242585,-4.1770000000000005,-0.23297936
-2.92,-3.4421975231170654,-2.835,-0.6071975
-4.5,-2.0419921550750733,-0.891,-1.1509922
-1.66,-1.8498725357055665,-0.6440000000000001,-1.2058725
-11.85,-12.207030973434449,-13.96,1.752969
-4.1,-4.641789562702179,-5.445,0.80321044
-7.66,-7.095803581237794,-7.261000000000001,0.16519642
-1.93,-3.220628876209259,-2.432,-0.7886289
-3.28,-3.413570976734162,-4.063000000000001,0.649429
-1.36,-2.0321315174102783,-0.863,-1.1691315
-1.23,0.7167725024223328,0.931,-0.2142275
0.25,-0.06257990789413453,0.298,-0.3605799
-2.45,-1.2615294833183288,-2.077,0.8154705
0.34,1.4043829243183137,1.723,-0.31861708
-5.74,-12.474266677856445,-20.831,8.356733
2.88,2.386280869960785,3.012,-0.62571913
-4.52,-4.669759937286377,-4.746,0.07624006
-2.26,-1.6218946266174314,-3.155,1.5331054
2.56,1.988465537071228,2.939,-0.95053446
-5.33,-4.780454541683197,-4.789,0.008545458
-9.65,-8.61828340625763,-9.316,0.6977166
-0.78,-0.7041488399505611,0.6010000000000004,-1.3051488
1.23,1.5804687376022337,2.562,-0.98153126
-5.04,-6.722796442985535,-6.2780000000000005,-0.44479644
-9.8,-6.508773021697998,-7.93,1.421227
-18.72,-18.14769972038269,-20.982,2.8343003
-10.64,-8.093793256521225,-8.464,0.37020674
-2.22,-3.1744093017578123,-2.433,-0.7414093
0.75,0.6677306599617003,1.632,-0.96426934
-4.01,-4.399921058177949,-3.986,-0.41392106
-3.68,-3.84837361907959,-5.516,1.6676264
-0.4,0.5269961783885955,0.7509999999999999,-0.22400382
-3.37,-1.516345499038696,-0.1479999999999997,-1.3683455
-1.24,-1.3910815329551691,-1.4969999999999994,0.10591847
-4.39,-3.3329982566833496,-2.105,-1.2279983
-9.94,-8.414751079559327,-12.553,4.138249
-6.13,-6.259731231689453,-5.236,-1.0237312
-6.13,-5.879302306175232,-5.67,-0.2093023
-6.09,-6.90459674835205,-9.69,2.7854033
-3.71,0.43051912689209004,2.099,-1.6684809
-4.69,-4.504681283950806,-5.032,0.5273187
-3.78,-3.038518236160278,-2.5729999999999995,-0.46551824
-1.4,-2.227396753311157,-1.053,-1.1743968
1.16,0.4120314884185792,1.455,-1.0429685
-1.08,0.00023604011535655056,-0.0689999999999999,0.06923604
-4.31,-3.891099718093871,-7.677999999999999,3.7869003
-6.69,-7.398561420440673,-11.94,4.5414386
-0.85,-1.3513715095520022,-0.0820000000000003,-1.2693715
-7.65,-8.946173179149628,-9.675,0.7288268
-0.9,-1.0768775167465208,-1.2439999999999998,0.16712248
2.93,2.8214915232658386,3.508,-0.6865085
-2.93,-3.2173687882423403,-3.357,0.13963121
-11.14,-10.911145416259764,-12.390999999999998,1.4798546
-4.85,-4.662194437026978,-3.394,-1.2681944
-5.91,-5.016898921489716,-4.541,-0.47589892
-3.64,-2.3854437894821166,-1.332,-1.0534438
2.88,2.625928319454193,3.526,-0.9000717
-4.91,-5.613097725868225,-4.861,-0.7520977
-0.86,-0.9606923694610594,-0.0619999999999998,-0.89869237
-5.53,-5.025878672599792,-4.755,-0.27087867
-9.41,-10.156295747756959,-12.345,2.1887043
-4.95,-5.312215971708297,-4.880999999999999,-0.43121597
0.14,-0.19532610130310069,1.638,-1.8333261
-7.78,-8.916066413879394,-11.556,2.6399336
-1.92,-2.745798486709595,-6.219,3.4732015
-2.01,-2.1384764156341554,-0.7210000000000001,-1.4174764
-3.17,-0.28044976234436025,1.86,-2.1404498
-6.23,-4.275568387508392,-3.46,-0.8155684
-2.64,-2.7673820462226866,-2.159,-0.60838205
-4.04,-4.228314205646515,-5.059,0.8306858
-0.11,-1.4841136379241942,-2.542,1.0578864
-16.92,-17.17146129989624,-21.404,4.2325387
-3.88,-2.6868910694122317,-1.6150000000000002,-1.0718911
-3.12,-2.8031915969848633,-0.907,-1.8961916
-1.74,-1.2580160861015315,-1.3129999999999995,0.054983914
-3.92,-2.92902074432373,-1.656,-1.2730207
-1.21,-1.0751626715660096,-0.1360000000000001,-0.9391627
-4.7,-4.413712148666383,-6.505000000000001,2.0912879
-5.94,-5.655915943145752,-5.766,0.11008406
-0.23,-0.3079008016586302,0.5590000000000002,-0.8669008
-2.11,-1.654783703804016,-2.452,0.7972163
-4.09,-2.9876120700836184,-1.889,-1.0986121
-8.11,-6.986603414058686,-7.174,0.18739659
-4.91,-4.5868290898799895,-4.606,0.01917091
-3.28,-3.932694637298584,-2.187,-1.7456946
-2.28,-2.253651879787446,-3.136000000000001,0.8823481
2.06,1.9850857849121093,3.037,-1.0519142
-2.82,-2.508108952999115,-1.841,-0.66710895
-1.24,-1.4390752010345462,-0.7430000000000003,-0.6960752
-0.19,0.7931990799903867,0.2559999999999998,0.5371991
-2.89,-2.6182934579849246,-2.6060000000000003,-0.012293458
-8.84,-7.497389533042908,-7.702,0.20461047
-1.66,-1.3150465531349185,-0.4170000000000002,-0.89804655
-7.28,-6.70455999803543,-6.741999999999999,0.037440002
-4.7,-4.067187225341797,-4.7620000000000005,0.6948128
-3.92,-3.962470287322997,-6.568999999999999,2.6065297
-4.02,-4.332464452743531,-7.296000000000001,2.9635355
-3.64,-4.027913124084472,-5.882,1.8540869
-4.15,-0.6444636344909664,0.9000000000000004,-1.5444636
-1.24,-1.701513488769531,-0.2329999999999996,-1.4685135
-3.13,-2.6993569622039804,-5.976000000000001,3.276643
-0.84,-0.5327841060161593,-0.8080000000000003,0.2752159
-2.74,-3.2771051664352417,-2.677,-0.60010517
-5.9,-5.163440462589264,-5.009,-0.15444046
1.68,0.5995223999023436,1.7999999999999998,-1.2004776
2.93,2.394078953742981,3.133,-0.73892105
-3.67,-3.4990877509117126,-2.5,-0.99908775
2.56,2.3416036701202394,3.16,-0.81839633
-9.29,-8.187851329803467,-9.196,1.0081487
-7.48,-7.115836302280426,-7.179,0.0631637
-1.34,-0.9607722129821776,0.7410000000000001,-1.7017722
0.16,-0.1372966217994689,0.2450000000000001,-0.38229662
-4.63,-4.026536971569062,-4.2940000000000005,0.26746303
-4.39,-5.465924977064133,-5.155,-0.31092498
3.13,2.9184408469200136,3.817,-0.89855915
-6.79,-5.962723610401154,-5.0600000000000005,-0.9027236
-4.97,-6.178741954803467,-10.849,4.670258
-1.17,-2.3436698722839355,-1.23,-1.1136699
-2.78,-2.696140894889832,-2.6350000000000007,-0.061140895
-1.39,-1.463007297515869,-0.7149999999999999,-0.7480073
-0.11,0.4458799967765805,-0.4490000000000003,0.89488
-4.59,-3.112075459957123,-3.575,0.46292454
-23.62,-24.34056739616394,-22.823,-1.5175674
-4.23,-5.6816283640861505,-5.005999999999999,-0.67562836
-7.63,-9.313778012275696,-9.493,0.17922199
-4.1,-2.6586658267974848,-5.077999999999999,2.4193342
-4.84,-4.389806767940522,-4.284000000000001,-0.10580677
-9.3,-10.55223427438736,-10.744,0.19176573
1.07,0.44805358505249027,-3.964,4.4120536
-5.21,-5.604400434494019,-4.915,-0.68940043
-6.4,-8.174532109260557,-7.105999999999999,-1.0685321
-2.55,-1.1628785114288327,0.6020000000000003,-1.7648785
-3.54,-4.597014879226684,-3.424,-1.1730149
-2.29,-2.4350965442657473,-3.619,1.1839035
1.58,2.019867642879486,2.971,-0.95113236
0.27,0.5234975857734678,0.1669999999999998,0.3564976
-6.01,-5.079294958114624,-4.54,-0.53929496
-6.16,-7.914419639587402,-10.263,2.3485804
-2.33,1.1920272274017334,3.367,-2.1749728
-5.49,-5.287751749038696,-5.353,0.06524825
-4.59,-4.894655228137971,-3.963000000000001,-0.9316552
-3.52,-4.725384612560273,-3.983,-0.7423846
0.6,0.34768888330459613,1.3310000000000002,-0.9833111
-5.23,-5.993841096878053,-4.897000000000001,-1.0968411
-6.78,-7.25877138710022,-10.766,3.5072286
-5.99,-6.189843801498412,-8.979,2.7891562
-1.46,-0.6651536555290223,-0.197,-0.46815366
-11.53,-12.471565219879155,-14.322000000000005,1.8504348
-4.09,-3.365595066070556,-4.811999999999999,1.4464049
-3.3,-3.144946466445923,-1.061,-2.0839465
-4.58,-8.961455982923507,-9.325,0.36354402
-6.12,-6.355441028118134,-6.319000000000001,-0.036441028
-5.66,-5.608276868820191,-6.7010000000000005,1.0927231
-4.21,-3.3531236152648924,-2.223,-1.1301236
-2.63,-2.433937176704407,-1.809,-0.6249372
0.56,0.6283635416030886,0.3790000000000002,0.24936354
-3.73,-3.171748700141907,-2.3150000000000004,-0.8567487
2.3,2.1200478384494783,2.301,-0.18095216
-5.45,-8.151738590240479,-7.269,-0.8827386
-2.4,-2.9064009037017833,-1.8090000000000008,-1.0974009
-5.73,-4.93297461271286,-5.475,0.5420254
-2.32,-1.9367316524982452,-1.448,-0.48873165
1.58,0.9166321773529056,2.1020000000000003,-1.1853678
-6.62,-6.390541794776915,-6.402999999999999,0.012458205
-3.11,-3.4468799519538873,-4.029999999999999,0.58312005
-1.12,-1.544705562353134,-1.886,0.34129444
-3.1,-4.343634334087372,-3.553,-0.79063433
-2.83,-3.102441457748413,-4.479,1.3765585
-6.48,-7.4780535430908195,-12.322,4.8439465
2.3,1.6738707776069641,2.637,-0.9631292
-5.91,-5.71337624168396,-4.756,-0.95737624
-2.78,-2.599345968723297,-1.911,-0.68834597
-8.41,-7.794126788616181,-8.054,0.2598732
-4.42,-3.5127576980590822,-4.341,0.8282423
-5.57,-5.284041851520539,-4.956,-0.32804185
-2.55,-3.4361609916687015,-2.4730000000000003,-0.963161
-2.16,-2.055564466476441,-0.6160000000000005,-1.4395645
-5.21,-5.067307194709778,-4.534,-0.5333072
-2.53,-3.075008629322052,-2.486,-0.5890086
-2.86,-2.8298594512939452,-4.654,1.8241405
-2.47,-2.595697744846344,-1.846,-0.74969774
-4.29,-3.7554382748603823,-2.982,-0.7734383
-9.86,-6.6334681282043455,-10.151,3.5175319
-10.27,-9.405412592172622,-9.658,0.2525874
-3.58,-3.499797595977783,-3.339,-0.1607976
-4.57,-4.067940107345581,-2.791,-1.2769401
-5.1,-4.136428798675537,-10.914,6.777571
1.59,1.507881018638611,2.572,-1.064119
-6.25,-7.823697331428528,-6.7780000000000005,-1.0456973
-0.04,-0.08141345024108881,0.81,-0.89141345
-1.64,-2.193795609712601,-2.0940000000000003,-0.09979561
-5.8,-5.471069299221039,-5.224,-0.2470693
2.51,2.0554041962623595,2.723,-0.6675958
-7.37,-7.330259809732437,-7.679,0.3487402
0.1,1.4632755870819092,2.512,-1.0487244
-4.42,-3.759645547389984,-2.877,-0.88264555
-4.77,-4.359445487499237,-4.424,0.06455451
-3.09,-2.3368373847007753,-1.41,-0.9268374
-9.4,-12.424025205612182,-16.104,3.6799748
-3.43,-3.452988983154297,-4.801,1.348011
-9.82,-8.946703969478607,-9.199,0.25229603
1.28,1.7919634861946108,0.8170000000000001,0.9749635
-8.7,-8.731254985809326,-14.578,5.846745
-4.27,-4.071727699279785,-6.894,2.8222723
-2.37,-1.315517691850662,-1.0229999999999997,-0.2925177
-8.68,-8.056165285110474,-10.445,2.3888347
-8.84,-13.762240392684937,-17.582,3.8197596
-9.37,-8.319053135395048,-9.172999999999998,0.85394686
-7.1,-7.453377119064331,-10.541,3.087623
0.0,-0.08380884099006641,0.3170000000000001,-0.40080884
-18.06,-19.139987155914305,-25.772,6.632013
0.08,0.22428937244415303,-0.1469999999999998,0.37128937
-5.82,-6.006514110565185,-5.164999999999999,-0.8415141
-0.03,0.4694209952354431,0.752,-0.282579
-2.28,-3.526365043640137,-1.7270000000000003,-1.799365
-4.73,-5.12091672039032,-4.171,-0.9499167
-5.11,-3.5767235031127935,-1.7490000000000006,-1.8277235
-12.74,-11.457876810073852,-13.709,2.2511232
-6.68,-6.786138628959654,-7.673999999999999,0.8878614
-8.26,-7.626649198532105,-10.06,2.4333508
1.07,-0.24749275207519528,-4.835,4.5875072
-2.46,-2.7416686630249023,-1.585,-1.1566687
-3.88,-2.3457137622833253,-0.8540000000000001,-1.4917138
2.13,2.133902084350586,3.112,-0.9780979
-0.53,-0.8142735757827757,-0.0539999999999998,-0.7602736
-1.69,-2.2309303212165834,-2.68,0.44906968
