expt,physics_ml,physics,ml
-3.82,-3.546918413391113,-7.40799,3.8610716
-2.93,-3.9753399018669127,-4.61494,0.6396001
-0.98,-0.8807932109069825,-1.03292,0.15212679
-0.74,-1.1112398106384278,-3.15843,2.0471902
-1.59,-2.1952464783859256,-1.07732,-1.1179265
-3.75,-3.455498085069656,-3.77505,0.31955191
-4.55,-5.699502757811547,-5.87065,0.17114724
-2.73,-1.5820895446586607,-2.41788,0.83579046
-0.53,-0.8703785463333129,-2.7346,1.8642215
-0.25,-0.4993667035865784,-0.71708,0.2177133
-5.48,-4.720840649232865,-4.36136,-0.35948065
2.51,2.7612115913772586,1.40514,1.3560716
-0.64,0.7667172937011719,1.28346,-0.5167427
-0.83,-0.2539517708797455,-0.126202,-0.12774977
-6.88,-6.411233746833801,-6.78707,0.37583625
-3.64,-4.16268579782486,-3.56014,-0.6025458
-4.84,-4.057676511290073,-4.16219,0.10451349
-5.22,-2.0636545933380126,0.758061,-2.8217156
-9.01,-8.504019092197417,-7.90712,-0.5968991
-0.83,-0.7031874628734589,-1.12182,0.41863254
-0.68,-0.08412027046203618,-0.52897,0.44484973
-3.56,-3.7729901366043093,-3.07073,-0.70226014
-4.93,-4.884110685129166,-4.70552,-0.17859069
-8.42,-11.540070480346678,-17.769,6.2289295
-6.16,-6.496769318828583,-7.09326,0.5964907
-2.23,-2.9037498870277405,-3.54854,0.6447901
-0.53,-1.002488899810791,-0.480758,-0.5217309
-4.47,-5.257114729232788,-4.35282,-0.9042947
-7.17,-6.359953838119507,-4.25126,-2.1086938
-2.78,-3.951261360092163,-5.86792,1.9166586
3.43,2.967849059249878,0.254252,2.713597
-11.0,-8.676578763580322,-11.1336,2.4570212
-6.21,-7.594720672607421,-11.8365,4.2417793
-5.71,-7.796535124874115,-8.60135,0.8048149
-5.26,-5.4910552460289,-5.99241,0.50135475
-1.14,-1.2927916542312503,-1.29576,0.0029683458
-2.4,-3.218081712207794,-4.12996,0.9118783
-2.33,-2.122880244064331,-1.8648,-0.25808024
2.38,2.293955095787048,1.44952,0.8444351
-6.5,-4.377432584533691,-9.71401,5.3365774
-1.62,-2.469330059814453,0.120075,-2.589405
-6.79,-6.943938322048187,-7.52273,0.5787917
-1.1,-1.9296847669541837,-1.8681,-0.061584767
-0.9,-0.8098141173362732,-1.43665,0.6268359
-3.52,-4.166291951112747,-4.39293,0.22663805
-1.43,-1.700604244003296,-0.99751,-0.70309424
0.0,-0.035456640293121344,0.101348,-0.13680464
1.47,1.5822568887519837,1.07213,0.5101269
-4.62,-4.438079085280895,-4.35224,-0.085839085
-2.38,-1.9173674696350096,-2.95259,1.0352225
2.1,1.982712077999115,1.31365,0.6690621
-9.73,-11.811555451107026,-12.2162,0.40464455
-9.34,-8.20743192024231,-5.4432,-2.764232
-10.0,-8.688993851583003,-8.58373,-0.10526385
-3.5,-3.6497554403686525,-5.56639,1.9166346
-4.61,-3.936245646018982,-4.83052,0.89427435
-2.07,-2.9026510772895815,-3.57202,0.6693689
-0.33,-0.5142450239312648,-0.47762,-0.036625024
-0.9,-0.6461910940761566,-0.799137,0.1529459
-2.7,-2.5110796062278746,-3.34068,0.8296004
1.83,1.0630782650437354,0.946109,0.116969265
-3.9,-3.3117562435150147,-3.7048,0.39304376
-1.5,-1.078719647412777,-0.982718,-0.09600165
-6.6,-6.77833524646759,-8.02315,1.2448148
2.0,1.767116799144745,1.12003,0.6470868
-7.0,-8.357280581665039,-14.5282,6.1709194
-10.78,-16.00228026199341,-21.678,5.6757197
-0.46,-0.4626482418060305,-3.0203,2.5576518
-10.17,-10.87852008600235,-11.2377,0.3591799
-2.75,-3.9881162277603153,-5.86739,1.8792738
3.16,3.1853370879173277,2.51855,0.6667871
-10.21,-9.195226039886474,-15.2775,6.082274
-4.42,-5.488410624979735,-5.43428,-0.054130625
-2.56,-3.8509201255416867,-5.48206,1.6311399
-9.51,-11.28305126914978,-12.4726,1.1895487
-5.0,-4.835408061695099,-5.6162,0.78079194
-14.21,-13.627677209472655,-16.0251,2.3974228
2.55,2.9370647937583922,2.29093,0.6461348
-2.56,-3.633493747634888,-4.24467,0.61117625
-2.64,-3.394026634445191,-4.53924,1.1452134
-5.22,-4.478550859998465,-4.42823,-0.05032086
-2.92,-3.257791487891674,-3.33477,0.07697851
-4.5,-3.6475564385375976,-0.838771,-2.8087854
-1.66,-1.2005950261378289,-1.30244,0.101844974
-11.85,-11.03197170753479,-12.3627,1.3307283
-4.1,-4.3079119065094,-4.60303,0.2951181
-7.66,-8.590334041156769,-9.20204,0.61170596
-1.93,-2.2772910427188875,-2.69166,0.41436896
-3.28,-3.736239383296967,-4.23033,0.49409062
-1.36,-2.6330348880004886,-1.36047,-1.2725649
-1.23,-0.8241184901237488,-0.274275,-0.5498435
0.25,0.3825332272758484,-0.276351,0.6588842
-2.45,-1.3640082106590272,-2.10475,0.7407418
0.34,0.9440505672683716,0.119949,0.82410157
-5.74,-9.97142493209839,-17.9246,7.953175
2.88,2.864675820159912,1.77155,1.0931258
-4.52,-4.329136504993439,-5.18411,0.8549735
-2.26,-2.299013752861023,-3.36217,1.0631562
2.56,2.7593830414199827,1.71404,1.045343
-5.33,-4.652205313415528,-5.15847,0.5062647
-9.65,-10.091294342374802,-10.4176,0.32630566
-0.78,-0.47349707647132877,-0.214983,-0.25851408
1.23,1.9808900057792664,1.45995,0.52094
-5.04,-5.430994230976105,-6.16124,0.73024577
-9.8,-8.60047635307312,-7.23115,-1.3693264
-18.72,-17.97378441786766,-17.676,-0.29778442
-10.64,-9.995318645882607,-10.1438,0.14848135
-2.22,-2.600710726490021,-2.91149,0.31077927
0.75,0.6132719158611297,0.837996,-0.22472408
-4.01,-5.78000939289093,-4.14466,-1.6353494
-3.68,-3.9740226107406613,-5.10333,1.1293074
-0.4,0.3411733383789063,-0.532461,0.87363434
-3.37,-2.666534164543152,-1.41162,-1.2549142
-1.24,-1.0107925867462157,-1.92444,0.9136474
-4.39,-4.805817502708435,-4.11972,-0.6860975
-9.94,-9.311878605651856,-14.8108,5.4989214
-6.13,-6.666805722522736,-7.28605,0.6192443
-6.13,-6.509320848655701,-7.64695,1.1376292
-6.09,-5.997991389465332,-11.9917,5.9937086
-3.71,-2.307450963378906,0.247824,-2.555275
-4.69,-5.178375342912674,-5.02207,-0.15630534
-3.78,-2.6848557496261596,-3.22477,0.53991425
-1.4,-1.8057714481163025,-1.49848,-0.30729145
1.16,1.3605325296821595,0.614294,0.7462385
-1.08,-1.2680576514701842,-0.784598,-0.48345965
-4.31,-4.758254263610841,-9.77372,5.0154657
-6.69,-9.312606701660156,-13.4748,4.1621933
-0.85,-0.830207344271183,-0.925864,0.095656656
-7.65,-8.053463780593873,-8.7222,0.6687362
-0.9,-1.0338935145568848,-1.75567,0.7217765
2.93,3.342775561103821,2.13476,1.2080156
-2.93,-3.5405133149528503,-3.26924,-0.27127331
-11.14,-11.20410186109543,-10.7931,-0.41100186
-4.85,-4.511938185539246,-5.40434,0.8924018
-5.91,-6.3231121822738645,-7.01664,0.6935278
-3.64,-3.527931616182327,-4.00587,0.47793838
2.88,2.780653931179047,2.11479,0.66586393
-4.91,-4.821726383705139,-4.36802,-0.45370638
-0.86,-0.692675537519455,-0.910305,0.21762946
-5.53,-4.061949129295349,-4.4052,0.34325087
-9.41,-11.747935651445388,-11.9499,0.20196435
-4.95,-4.64235000436306,-4.82255,0.1802
0.14,0.08957618421173097,0.701361,-0.6117848
-7.78,-10.545966882324219,-12.8871,2.341133
-1.92,-1.5438400955200198,-5.8345,4.29066
-2.01,-2.312983513698578,-1.37636,-0.9366235
-3.17,-2.617037798995972,0.12063,-2.7376678
-6.23,-6.255571723651886,-6.4982,0.24262828
-2.64,-2.3895165486335754,-2.89825,0.50873345
-4.04,-5.728441224946976,-6.10414,0.37569878
-0.11,0.4724805926513671,-2.31658,2.7890606
-16.92,-16.78683820991516,-17.3403,0.5534618
-3.88,-3.7563063029670714,-4.20869,0.4523837
-3.12,-2.829210706214905,-1.51698,-1.3122307
-1.74,-1.6655292728805544,-2.20109,0.5355607
-3.92,-3.585318375375271,-3.46184,-0.123478375
-1.21,-0.836674765405655,-1.00181,0.16513523
-4.7,-4.592886013221741,-6.24795,1.655064
-5.94,-6.468251210479736,-7.69278,1.2245288
-0.23,0.07035715629196165,-0.421059,0.49141616
-2.11,-2.1536593894195555,-2.91517,0.7615106
-4.09,-3.971524486694336,-4.38816,0.4166355
-8.11,-7.830983615989686,-9.05962,1.2286364
-4.91,-4.342890443000793,-4.61091,0.26801956
-3.28,-3.8046585029029845,-2.91009,-0.8945685
-2.28,-2.8976981412506104,-3.43541,0.53771186
2.06,2.3667591736221314,1.81549,0.5512692
-2.82,-2.001812911891937,-2.5709,0.5690871
-1.24,-0.5147904699516297,-1.35657,0.84177953
-0.19,-1.0524438586349487,-0.574862,-0.47758186
-2.89,-2.10348790309906,-2.83423,0.7307421
-8.84,-6.229722583426237,-6.28067,0.050947417
-1.66,-0.8036175650024413,-1.15759,0.35397243
-7.28,-5.556254313030243,-6.20454,0.6482857
-4.7,-3.857822523059845,-4.62444,0.7666175
-3.92,-4.8674582851028445,-6.07176,1.2043017
-4.02,-4.950161837272644,-6.62393,1.6737682
-3.64,-4.624505958938599,-5.5929,0.96839404
-4.15,-3.1779806176757814,-0.56341,-2.6145706
-1.24,-3.4174108193969728,-0.91786,-2.4995508
-3.13,-3.894261215934754,-5.32551,1.4312488
-0.84,-1.677538369808197,-1.27666,-0.40087837
-2.74,-2.4759473274803163,-3.45786,0.9819127
-5.9,-6.495611154384613,-7.32407,0.82845885
1.68,1.5707972346420287,0.945712,0.62508523
2.93,2.645835108165741,1.85463,0.7912051
-3.67,-2.4341027790260314,-3.09537,0.6612672
2.56,3.0320761714172364,1.90077,1.1313062
-9.29,-8.13017829410553,-8.61467,0.4844917
-7.48,-5.938479577598572,-6.40956,0.47108042
-1.34,-2.8836793657073976,-0.257251,-2.6264284
0.16,0.2045176044006347,-0.559973,0.7644906
-4.63,-4.653233586133719,-4.68447,0.031236414
-4.39,-5.442303286247253,-5.18593,-0.2563733
3.13,2.9863258791160585,2.31727,0.6690559
-6.79,-6.727469367961883,-7.21648,0.48901063
-4.97,-7.117042642898559,-9.34982,2.2327774
-1.17,-2.3987116764068603,-1.49105,-0.9076617
