expt,physics_ml,physics,ml
-3.82,-5.343816757202148,0,-5.3438168
-2.93,-2.9901771545410156,0,-2.9901772
-0.98,-1.4656507968902588,0,-1.4656508
-0.74,-0.673991858959198,0,-0.67399186
-1.59,-1.8360368013381958,0,-1.8360368
-3.75,-3.3626351356506348,0,-3.3626351
-4.55,-6.605531692504883,0,-6.6055317
-2.73,-2.7577223777770996,0,-2.7577224
-0.53,-1.0136504173278809,0,-1.0136504
-0.25,0.05516090244054794,0,0.055160902
-5.48,-4.93387508392334,0,-4.933875
2.51,2.101806402206421,0,2.1018064
-0.64,-1.7049640417099,0,-1.704964
-0.83,-1.5432811975479126,0,-1.5432812
-6.88,-5.210389614105225,0,-5.2103896
-3.64,-4.16436243057251,0,-4.1643624
-4.84,-4.4258503913879395,0,-4.4258504
-5.22,-3.858154535293579,0,-3.8581545
-9.01,-9.340721130371094,0,-9.340721
-0.83,-0.8945215940475464,0,-0.8945216
-0.68,-0.3047374188899994,0,-0.30473742
-3.56,-2.733140468597412,0,-2.7331405
-4.93,-6.249212265014648,0,-6.2492123
-8.42,-8.574787139892578,0,-8.574787
-6.16,-5.602934837341309,0,-5.602935
-2.23,-2.231478452682495,0,-2.2314785
-0.53,-1.3850390911102295,0,-1.3850391
-4.47,-4.608003616333008,0,-4.6080036
-7.17,-7.315769672393799,0,-7.3157697
-2.78,-3.7373054027557373,0,-3.7373054
3.43,0.13730958104133606,0,0.13730958
-11.0,-12.508184432983398,0,-12.508184
-6.21,-5.211668014526367,0,-5.211668
-5.71,-4.068335056304932,0,-4.068335
-5.26,-4.8636345863342285,0,-4.8636346
-1.14,-1.1098532676696777,0,-1.1098533
-2.4,-3.2245047092437744,0,-3.2245047
-2.33,-2.2947518825531006,0,-2.294752
2.38,2.4285058975219727,0,2.428506
-6.5,-6.716376304626465,0,-6.7163763
-1.62,-2.7072031497955322,0,-2.7072031
-6.79,-7.458686828613281,0,-7.458687
-1.1,-1.0932316780090332,0,-1.0932317
-0.9,-1.0991795063018799,0,-1.0991795
-3.52,-3.0614545345306396,0,-3.0614545
-1.43,-1.8415277004241943,0,-1.8415277
0.0,-0.00406280905008316,0,-0.004062809
1.47,0.6848288178443909,0,0.6848288
-4.62,-3.0681183338165283,0,-3.0681183
-2.38,-1.5538275241851807,0,-1.5538275
2.1,2.493950843811035,0,2.4939508
-9.73,-10.238107681274414,0,-10.238108
-9.34,-7.23716926574707,0,-7.2371693
-10.0,-9.218733787536621,0,-9.218734
-3.5,-3.30142879486084,0,-3.3014288
-4.61,-4.532096862792969,0,-4.532097
-2.07,-1.3090126514434814,0,-1.3090127
-0.33,-1.0324735641479492,0,-1.0324736
-0.9,-0.6442724466323853,0,-0.64427245
-2.7,-3.0226211547851562,0,-3.0226212
1.83,2.1783931255340576,0,2.1783931
-3.9,-3.3577702045440674,0,-3.3577702
-1.5,-1.886338710784912,0,-1.8863387
-6.6,-7.286101818084717,0,-7.286102
2.0,1.9114253520965576,0,1.9114254
-7.0,-6.8625898361206055,0,-6.86259
-10.78,-9.814685821533203,0,-9.814686
-0.46,-0.7491910457611084,0,-0.74919105
-10.17,-7.615129470825195,0,-7.6151295
-2.75,-3.4241364002227783,0,-3.4241364
3.16,2.57771372795105,0,2.5777137
-10.21,-7.932324409484863,0,-7.9323244
-4.42,-3.2777109146118164,0,-3.277711
-2.56,-3.1832354068756104,0,-3.1832354
-9.51,-7.908480644226074,0,-7.9084806
-5.0,-4.068858623504639,0,-4.0688586
-14.21,-12.071918487548828,0,-12.0719185
2.55,2.501575231552124,0,2.5015752
-2.56,-1.9091503620147705,0,-1.9091504
-2.64,-2.646580696105957,0,-2.6465807
-5.22,-5.115438938140869,0,-5.115439
-2.92,-3.1052544116973877,0,-3.1052544
-4.5,-5.157019138336182,0,-5.157019
-1.66,-0.9594271183013916,0,-0.9594271
-11.85,-11.507688522338867,0,-11.5076885
-4.1,-3.1230967044830322,0,-3.1230967
-7.66,-8.881465911865234,0,-8.881466
-1.93,-1.8555104732513428,0,-1.8555105
-3.28,-2.5821759700775146,0,-2.582176
-1.36,-1.886863112449646,0,-1.8868631
-1.23,-1.8483387231826782,0,-1.8483387
0.25,0.4384772479534149,0,0.43847725
-2.45,-2.9638750553131104,0,-2.963875
0.34,0.029930345714092255,0,0.029930346
