expt,physics_ml,physics,ml
-3.82,-4.343666283607483,-5.442,1.0983337
-2.93,-2.7852963705062868,-3.652,0.8667036
-0.98,-1.2799405908584596,-0.11,-1.1699406
-0.74,-0.8874261405467987,-0.609,-0.27842614
-1.59,-1.971456067085266,-0.617,-1.3544561
-3.75,-2.6571589889526366,-3.344,0.686841
-4.55,-4.406241743087769,-3.317,-1.0892417
-2.73,-2.555580568313599,-1.325,-1.2305806
-0.53,-0.5234270207881928,-0.443,-0.08042702
-0.25,-0.07715458106994633,0.833,-0.9101546
-5.48,-4.883115859031677,-4.345,-0.53811586
2.51,1.9940405664443968,2.506,-0.51195943
-0.64,-0.2557146453857422,0.885,-1.1407146
-0.83,-0.7203195676803589,0.139,-0.85931957
-6.88,-6.563825861096382,-6.588,0.024174139
-3.64,-3.3049738864898686,-4.573,1.2680261
-4.84,-3.6427410068511965,-2.869,-0.773741
-5.22,-2.446968635559082,-1.284,-1.1629686
-9.01,-9.482487624168396,-8.718,-0.7644876
-0.83,-1.130161586523056,-0.697,-0.4331616
-0.68,-0.9907802639007568,-0.456,-0.53478026
-3.56,-4.169276323318481,-3.59,-0.5792763
-4.93,-3.894450729370117,-3.343,-0.5514507
-8.42,-12.682309678077697,-13.953,1.2706903
-6.16,-5.8673752527236935,-5.148,-0.71937525
-2.23,-2.0148083963394163,-2.929,0.9141916
-0.53,-0.7333518533706664,-0.178,-0.55535185
-4.47,-3.8326014404296873,-3.288,-0.54460144
-7.17,-6.876655760765075,-6.116,-0.76065576
-2.78,-3.622583004713058,-4.028,0.405417
3.43,2.6602068026065826,3.077,-0.4167932
-11.0,-9.672836124420167,-10.412,0.7391639
-6.21,-6.729949810981751,-7.878,1.1480502
-5.71,-7.817625196456909,-8.683,0.8653748
-5.26,-4.980279477119446,-4.308,-0.6722795
-1.14,-1.3426876764297484,-0.473,-0.8696877
-2.4,-2.589022497177124,-3.304,0.7149775
-2.33,-2.394895339012146,-1.275,-1.1198953
