expt,physics_ml,physics,ml
-3.82,-4.013379360275269,-6.57758,2.5642006
-2.93,-3.185734007587433,-3.66474,0.479006
-0.98,-1.3325736512470245,-1.45543,0.12285635
-0.74,-0.9633504888153076,0.116715,-1.0800655
-1.59,-1.580786772392273,-0.907798,-0.6729888
-3.75,-3.9655939531707762,-2.45829,-1.507304
-4.55,-4.942672916154861,-4.56098,-0.38169292
-2.73,-2.3358785736846923,-1.61028,-0.7255986
-0.53,-0.7662728737640381,0.516745,-1.2830179
-0.25,0.04077635968589782,-0.333791,0.37456736
-5.48,-4.693483972587586,-2.99454,-1.698944
2.51,2.439158297843933,1.90732,0.5318383
-0.64,0.12058368438720701,1.07819,-0.9576063
-0.83,-1.8513941404327392,0.0647066,-1.9161007
-6.88,-6.768950391998291,-7.73074,0.9617896
-3.64,-3.960960044403076,-1.97427,-1.98669
-4.84,-4.806585485153199,-4.24443,-0.5621555
-5.22,-2.977447283355713,-0.845567,-2.1318803
-9.01,-8.424863044891357,-6.82641,-1.598453
-0.83,-1.1883825026130677,-0.78156,-0.4068225
-0.68,-0.851809841468811,-0.174978,-0.67683184
-3.56,-4.686394001755715,-4.87666,0.190266
-4.93,-4.529776465091706,-4.83966,0.30988353
-8.42,-8.560241184997558,-13.7258,5.165559
-6.16,-5.809220573959351,-5.22681,-0.5824106
-2.23,-2.124052984304428,-2.60682,0.48276702
-0.53,-1.1034116155166627,-0.328502,-0.7749096
-4.47,-4.630812509689331,-3.01116,-1.6196525
-7.17,-6.999631933746338,-5.51506,-1.4845719
-2.78,-2.8536223217010495,-4.6221,1.7684777
3.43,4.681701156311036,3.87818,0.80352116
-11.0,-10.193034658956527,-10.5443,0.35126534
-6.21,-6.088106400222779,-8.16397,2.0758636
-5.71,-6.337350827674865,-7.41548,1.0781292
-5.26,-5.621231254806519,-4.98249,-0.63874125
-1.14,-1.7066741083431245,-1.37383,-0.3328441
-2.4,-2.4022671272659304,-3.03474,0.6324729
-2.33,-1.9387372954330444,-0.656971,-1.2817663
2.38,2.4527920514488217,1.92139,0.53140205
-6.5,-6.255081352996827,-8.7748,2.5197186
-1.62,-1.8116024999389648,-0.702526,-1.1090765
-6.79,-6.864500406036377,-5.55451,-1.3099904
-1.1,-0.5215325939941406,0.13347,-0.6550026
-0.9,-1.4517394910144805,-1.10628,-0.3454595
-3.52,-3.657219124107361,-2.92428,-0.7329391
-1.43,-2.2092045819091797,-1.25393,-0.9552746
0.0,-0.19175495736694337,0.494274,-0.68602896
1.47,0.31854217956542974,1.58098,-1.2624378
-4.62,-4.606953479690551,-2.76292,-1.8440335
-2.38,-2.728543788986206,-2.19608,-0.5324638
2.1,2.104015471334457,1.77912,0.32489547
-9.73,-9.846375153970719,-10.2147,0.36832485
-9.34,-8.3154276713562,-6.18442,-2.1310077
-10.0,-6.6728944651126865,-7.0254,0.35250553
-3.5,-3.7795764746522904,-3.82261,0.043033525
-4.61,-4.750521919898986,-3.38543,-1.3650919
-2.07,-2.164768241071701,-1.9494,-0.21536824
-0.33,-0.7032025629348755,-0.111232,-0.59197056
-0.9,-0.8577413863773347,-0.454687,-0.4030544
-2.7,-3.022207413620949,-3.21382,0.19161259
1.83,1.8152684047031402,1.41048,0.4047884
-3.9,-3.654490907745361,-2.54708,-1.1074109
-1.5,-0.8996773684387207,0.226437,-1.1261144
-6.6,-6.921300342712402,-6.11241,-0.80889034
2.0,1.8021571220254897,1.58001,0.22214712
-7.0,-6.839961483001709,-10.9895,4.1495385
-10.78,-12.6414889755249,-17.7065,5.065011
-0.46,-0.35012797664642337,0.349135,-0.699263
-10.17,-10.314579938912392,-10.1784,-0.13617994
-2.75,-2.8230993603134156,-3.91934,1.0962406
3.16,3.0600055346298216,3.02248,0.037525535
-10.21,-10.189323775100709,-13.1193,2.9299762
-4.42,-5.097794227771759,-5.63668,0.5388858
-2.56,-2.678386151733398,-4.23319,1.5548038
-9.51,-9.478766779136658,-10.0267,0.5479332
-5.0,-4.930879734382629,-3.71136,-1.2195197
-14.21,-13.619071209907531,-13.9255,0.3064288
2.55,2.530143250770569,2.63282,-0.10267675
-2.56,-2.8338598968410493,-3.25219,0.4183301
-2.64,-2.5121970514297485,-3.4179,0.90570295
-5.22,-5.070809296836853,-4.53999,-0.5308193
-2.92,-3.2259933799362184,-2.03486,-1.1911334
-4.5,-2.7729875663757326,-1.1554,-1.6175876
-1.66,-1.5089719664478303,-1.05319,-0.45578197
-11.85,-11.952795455932618,-13.2855,1.3327045
-4.1,-4.38684735042572,-5.42207,1.0352226
-7.66,-7.254588096456528,-7.57558,0.3209919
-1.93,-2.439812270040512,-2.59937,0.15955773
-3.28,-3.599129963951111,-2.72758,-0.87154996
-1.36,-2.0994693260860444,-1.79157,-0.30789933
-1.23,-1.5529552375030518,-0.64337,-0.90958524
0.25,0.08669101496696474,-0.30804,0.39473101
-2.45,-2.9199464922237395,-2.42453,-0.4954165
0.34,0.009241362686157162,1.16712,-1.1578786
-5.74,-6.114428337097168,-15.6455,9.531072
2.88,2.7713976369190214,2.27878,0.49261764
-4.52,-5.543355684099198,-5.89031,0.34695432
-2.26,-1.4629487281417846,-2.43606,0.9731113
2.56,2.64889811627388,2.20842,0.44047812
-5.33,-5.195868774976731,-5.53734,0.34147123
-9.65,-9.186748711671829,-9.32659,0.13984129
-0.78,-0.7342316921482086,-0.872876,0.13864431
1.23,1.2020855271148683,1.72768,-0.5255945
-5.04,-5.184388129882812,-6.36168,1.1772919
-9.8,-8.292225223693848,-5.59666,-2.6955652
-18.72,-16.650307873153686,-14.1359,-2.5144079
-10.64,-8.844881922836304,-9.25937,0.41448808
-2.22,-2.4535213164138794,-3.02813,0.5746087
0.75,0.4017206852722168,1.24953,-0.8478093
-4.01,-4.806572193784714,-4.48067,-0.3259022
-3.68,-2.9336087680912017,-3.42936,0.49575123
-0.4,-0.67183573828125,0.501321,-1.1731567
-3.37,-3.4690999106168747,-3.62975,0.16065009
-1.24,-1.5084940464019776,-1.55695,0.048455954
-4.39,-3.960993785476685,-2.54335,-1.4176438
-9.94,-9.16062314929962,-11.0994,1.9387769
-6.13,-6.277867706642151,-5.37761,-0.9002577
-6.13,-6.601632419433594,-5.73784,-0.8637924
-6.09,-5.403473984680176,-8.48621,3.082736
-3.71,-3.5994238344955445,-1.88443,-1.7149938
-4.69,-5.093911776633263,-5.19547,0.10155822
-3.78,-3.7813934168338776,-3.33095,-0.45044342
-1.4,-1.2263124697093963,-0.814638,-0.41167447
1.16,0.39716306167602533,1.11506,-0.71789694
-1.08,-1.3744469478149415,-0.824977,-0.54946995
-4.31,-4.37834588502407,-4.62461,0.24626411
-6.69,-7.299235709228515,-9.75254,2.4533043
-0.85,-1.1739836037216187,-0.611056,-0.5629276
-7.65,-8.242621356201171,-10.5162,2.2735786
-0.9,-1.4629410989952087,-1.42557,-0.0373711
2.93,3.2062603424453737,2.67309,0.53317034
-2.93,-3.5059086395072936,-3.25283,-0.25307864
-11.14,-11.033719862823487,-9.59913,-1.4345899
-4.85,-5.380440188598633,-3.44245,-1.9379902
-5.91,-5.73714254951477,-5.0985,-0.63864255
-3.64,-3.6881535214996335,-1.99121,-1.6969435
2.88,2.678501005420685,2.60951,0.068991005
-4.91,-5.72928681096077,-5.41284,-0.3164468
-0.86,-1.164253849975586,-0.601092,-0.56316185
-5.53,-5.4997367572307585,-5.0237,-0.47603676
-9.41,-11.79973707485199,-12.4405,0.6407629
-4.95,-5.588852075958252,-7.45565,1.8667979
0.14,-0.11828572902679446,0.9559,-1.0741857
-7.78,-8.266487312316894,-11.0125,2.7460127
-1.92,-1.0154079084777834,-3.26379,2.248382
-2.01,-2.0551386066055297,-1.13631,-0.9188286
-3.17,-4.003070061569214,-1.68438,-2.31869
-6.23,-4.777221314849854,-6.69444,1.9172187
-2.64,-2.7330292472839357,-1.58225,-1.1507792
-4.04,-5.285646169281006,-6.64135,1.3557038
-0.11,-0.9269786926956176,0.315228,-1.2422067
-16.92,-14.680007471704483,-14.2034,-0.47660747
-3.88,-3.969772551574707,-2.24879,-1.7209826
-3.12,-2.9367422388458255,-1.45809,-1.4786522
-1.74,-2.5596090810852052,-0.463833,-2.095776
-3.92,-3.6348262324142455,-2.14173,-1.4930962
-1.21,-1.2755170254516601,-0.721355,-0.554162
-4.7,-5.079063862628937,-5.08732,0.008256137
-5.94,-6.672208865747452,-6.28411,-0.38809887
-0.23,-0.3622023485168457,-0.0397684,-0.32243395
-2.11,-1.9555838020992278,-2.15562,0.2000362
-4.09,-4.1414727809906005,-2.42155,-1.7199228
-8.11,-8.154051773643495,-7.41635,-0.7377018
-4.91,-4.310028295135498,-3.19085,-1.1191783
-3.28,-3.654581207733154,-3.10348,-0.5511012
-2.28,-1.985274229660034,-2.54764,0.5623658
2.06,1.7059754402923586,2.33978,-0.63380456
-2.82,-3.091507958679199,-2.56703,-0.52447796
-1.24,-1.4291618306446074,-1.00473,-0.42443183
-0.19,-0.4893591742458343,-0.574444,0.085084826
-2.89,-3.2827693225097656,-2.31487,-0.9678993
-8.84,-7.6043310679245,-8.43913,0.83479893
-1.66,-1.208625929298401,-2.12569,0.9170641
-7.28,-6.886404489154816,-7.15087,0.2644655
-4.7,-4.119990044441224,-3.22784,-0.89215004
-3.92,-4.630783474349975,-5.5199,0.8891165
-4.02,-4.3674372118377685,-5.31384,0.9464028
-3.64,-3.299444392776489,-5.05235,1.7529056
-4.15,-4.446687784194946,-2.59,-1.8566878
-1.24,-2.5456658212280274,-1.59966,-0.9460058
-3.13,-3.929407246026993,-4.21666,0.28725275
-0.84,-1.4350417558765411,-1.14971,-0.28533176
-2.74,-3.4810393408203124,-2.11109,-1.3699493
-5.9,-6.0154588514328005,-5.4481,-0.56735885
1.68,0.9379352342224121,1.46041,-0.52247477
2.93,2.622864823217392,2.34462,0.27824482
-3.67,-4.593568642311096,-5.00793,0.41436136
2.56,2.5479572183465957,2.41431,0.13364722
-9.29,-8.879973571281432,-7.24523,-1.6347436
-7.48,-7.4194152211761475,-7.35921,-0.06020522
-1.34,-3.0377877590942384,-1.09878,-1.9390078
0.16,-0.10179797695350648,-0.216707,0.11490902
-4.63,-4.492242628154755,-4.96656,0.47431737
-4.39,-4.834310814628601,-5.64226,0.8079492
3.13,2.8753484218215943,2.81726,0.05808842
-6.79,-6.030503913564682,-5.57017,-0.4603339
-4.97,-5.295383141326904,-7.81905,2.5236669
-1.17,-1.6632394086027145,-1.58374,-0.07949941
-2.78,-2.329266752576828,-2.6631,0.33383325
-1.39,-1.6110762490081787,-1.08663,-0.52444625
-0.11,-0.1079272530059815,0.736852,-0.84477925
-4.59,-3.6759280189514163,-4.7434,1.067472
-23.62,-24.953486735534668,-22.5047,-2.4487867
-4.23,-5.374700237092972,-4.98006,-0.39464024
-7.63,-8.708452373876572,-9.17464,0.46618763
-4.1,-4.16873296456337,-3.8208,-0.34793296
-4.84,-4.735290094976425,-4.38188,-0.3534101
-9.3,-10.434850145959855,-10.2154,-0.21945015
1.07,0.8099051533966064,-0.157097,0.96700215
-5.21,-6.011547781066895,-5.12133,-0.8902178
-6.4,-7.889854888267517,-7.24782,-0.6420349
-2.55,-1.8651675084495545,-1.93859,0.07342249
-3.54,-4.654273450927734,-4.08958,-0.56469345
-2.29,-2.4031098597812655,-2.16333,-0.23977986
1.58,2.1333237609148026,2.0703,0.06302376
0.27,0.14889573631286623,1.3506,-1.2017043
-6.01,-5.640526954956055,-5.07957,-0.56095695
-6.16,-5.65284233581543,-8.96362,3.3107777
-2.33,-1.742501380645752,0.740188,-2.4826894
-5.49,-5.789823333864212,-5.40238,-0.38744333
-4.59,-5.113176130638123,-4.41861,-0.69456613
-3.52,-3.6218087746047973,-3.90089,0.27908123
0.6,0.6354521609420777,0.796587,-0.16113484
-5.23,-5.283388370857239,-6.01361,0.7302216
-6.78,-7.611716313934327,-9.0256,1.4138837
-5.99,-7.396226950988769,-8.47186,1.075633
-1.46,-0.7125824663543701,0.39826,-1.1108425
-11.53,-11.539008044052125,-12.2513,0.71229196
-4.09,-4.404111108551025,-3.14276,-1.2613511
-3.3,-3.5003836302947997,-1.71277,-1.7876136
-4.58,-8.238325540924071,-10.1749,1.9365745
-6.12,-6.570238802776337,-6.82336,0.2531212
-5.66,-5.712116855163575,-6.99077,1.2786531
-4.21,-4.339648050804138,-2.59802,-1.741628
-2.63,-2.874240206041336,-2.39904,-0.4752002
0.56,-0.05166671629333497,0.523721,-0.5753877
-3.73,-3.715542605514526,-2.61162,-1.1039226
2.3,2.4056617943572998,1.75318,0.6524818
-5.45,-5.878450845870971,-7.14591,1.2674592
-2.4,-3.1837419438934327,-2.47181,-0.71193194
-5.73,-6.203757899284363,-7.8555,1.6517421
