expt,physics_ml,physics,ml
-3.82,-4.382535688400269,-8.342,3.9594643
-2.93,-3.4647264862060547,-4.915,1.4502735
-0.98,-1.252069721221924,-0.5100000000000002,-0.7420697
-0.74,-1.6807508835792544,-1.7760000000000002,0.09524912
-1.59,-1.6060707845687867,-0.3540000000000001,-1.2520708
-3.75,-3.5748235220909117,-3.437,-0.13782352
-4.55,-4.433741293907166,-3.886,-0.5477413
-2.73,-2.352625231385231,-2.164,-0.18862523
-0.53,-1.2493457076549532,-1.1310000000000002,-0.11834571
-0.25,-0.8972713203430178,-0.1470000000000002,-0.7502713
-5.48,-4.892112901687622,-2.5780000000000003,-2.314113
2.51,2.135824026107788,2.514,-0.37817597
-0.64,0.17378615760803218,2.819,-2.6452138
-0.83,-0.6049302654266357,1.117,-1.7219303
-6.88,-6.144219066619874,-7.502000000000001,1.3577809
-3.64,-3.7581379256248475,-3.096,-0.6621379
-4.84,-4.3241784915924075,-3.836,-0.4881785
-5.22,-4.080443855285644,2.454,-6.534444
-9.01,-8.993420419216157,-8.097000000000001,-0.8964204
-0.83,-1.0506291580200195,-0.395,-0.65562916
-0.68,-0.5185839915275574,0.3349999999999999,-0.853584
-3.56,-3.0200152850151065,-2.3600000000000003,-0.6600153
-4.93,-4.911533843994141,-4.612,-0.29953384
-8.42,-10.98658937072754,-15.736,4.7494106
-6.16,-5.640088325977326,-4.644,-0.9960883
-2.23,-2.6582876372337343,-3.18,0.52171236
-0.53,-0.8412688932418826,0.5789999999999997,-1.4202689
-4.47,-3.5871274900436405,-2.9200000000000004,-0.6671275
-7.17,-7.037422454833985,-4.813000000000001,-2.2244225
-2.78,-4.111934993743897,-6.998,2.886065
3.43,4.340689105987549,0.92,3.420689
-11.0,-10.586827768325806,-13.089,2.5021722
-6.21,-7.615725959777832,-9.289,1.673274
-5.71,-7.672006542205811,-9.407,1.7349935
-5.26,-5.27766593837738,-4.414,-0.86366594
-1.14,-1.478731441497803,-0.6750000000000003,-0.80373144
-2.4,-3.0382010045051575,-3.919,0.880799
-2.33,-1.9928008079528805,-0.5999999999999996,-1.3928008
2.38,1.2172620306015016,2.551,-1.333738
-6.5,-4.070238601684569,-10.986999999999998,6.9167614
-1.62,-1.5879075698852536,1.2070000000000003,-2.7949076
-6.79,-6.2665520987510686,-5.371,-0.8955521
-1.1,-2.346718370437622,-1.162,-1.1847184
-0.9,-1.2030074620246887,-0.815,-0.38800746
-3.52,-3.8954356637001037,-4.359,0.46356434
-1.43,-0.9595295133590698,-0.0689999999999999,-0.8905295
0.0,-0.615884910583496,1.064,-1.6798849
1.47,1.2968171195983889,2.083,-0.7861829
-4.62,-4.19711950302124,-2.405,-1.7921195
-2.38,-2.8117235836982726,-2.106,-0.7057236
2.1,0.9100789527893065,2.348,-1.437921
-9.73,-11.334185804367065,-13.664,2.3298142
-9.34,-6.598591733932495,-5.351,-1.2475917
-10.0,-8.893964720249176,-9.663,0.7690353
-3.5,-3.5619321365356456,-6.277000000000001,2.7150679
-4.61,-4.920355890870095,-4.9830000000000005,0.06264411
-2.07,-2.801491852283478,-3.333,0.53150815
-0.33,-1.1189766302108763,0.1360000000000001,-1.2549766
-0.9,-1.036970027923584,0.0409999999999999,-1.07797
-2.7,-2.6457975826263427,-3.021,0.37520242
1.83,1.318895468711853,1.76,-0.44110453
-3.9,-3.7936751971244815,-3.2510000000000003,-0.5426752
-1.5,-0.7867315444946286,-0.4909999999999996,-0.29573154
-6.6,-6.421696362972259,-6.148,-0.27369636
2.0,0.9690650968551635,2.053,-1.0839349
-7.0,-9.699764039993287,-12.178,2.478236
-10.78,-16.222535583496093,-20.947,4.7244644
-0.46,-1.340379275381565,-1.375,0.034620725
-10.17,-10.504288516700267,-10.456,-0.048288517
-2.75,-3.7916982593536375,-6.869,3.0773017
3.16,2.193735858917236,4.122,-1.9282641
-10.21,-9.068647045135497,-13.469,4.400353
-4.42,-5.017459835529327,-5.502,0.48454016
-2.56,-3.834436761856079,-6.337,2.5025632
-9.51,-9.875591718673705,-11.187,1.3114083
-5.0,-5.118307045936584,-3.754,-1.364307
-14.21,-14.744329525947569,-15.301999999999998,0.5576705
2.55,1.5492394428253173,3.698,-2.1487606
-2.56,-3.3352179899215706,-4.239000000000001,0.903782
