expt,physics_ml,physics,ml
-3.82,-3.9402387392807006,-5.70653,1.7662913
-2.93,-3.462983272247315,-4.29168,0.8286967
-0.98,-0.8891332339682579,-0.999704,0.110570766
-0.74,-0.8015223106002807,-1.27761,0.4760877
-1.59,-1.3270526134986877,-0.719727,-0.6073256
-3.75,-3.719671497192383,-4.06934,0.3496685
-4.55,-4.295905565757751,-3.02802,-1.2678856
-2.73,-2.088044108867645,-2.63325,0.5452059
-0.53,-0.3683793541679382,-0.940476,0.57209665
-0.25,-0.00544510841941831,-0.471056,0.4656109
-5.48,-4.7111236252593995,-3.16298,-1.5481436
2.51,2.713425126419067,1.94086,0.7725651
-0.64,-0.2140228403339386,-0.443376,0.22935316
-0.83,-0.8624274731506347,0.0773561,-0.9397836
-6.88,-6.094548134934902,-6.14795,0.053401865
-3.64,-4.097591140766144,-5.01902,0.92142886
-4.84,-4.478226950881481,-4.40906,-0.06916695
-5.22,-4.205661276931762,-2.18137,-2.0242913
-9.01,-9.194141177997588,-9.73036,0.5362188
-0.83,-1.2465985578536987,-1.44315,0.19655144
-0.68,-1.444564531780243,-0.835526,-0.60903853
-3.56,-3.608091668338776,-2.86147,-0.74662167
-4.93,-4.6858396134924885,-4.65612,-0.029719613
-8.42,-9.200284826278686,-12.837,3.6367152
-6.16,-5.908294251365661,-4.45142,-1.4568743
-2.23,-2.2804994728851318,-3.55178,1.2712805
-0.53,-0.5797058854042053,-0.0964986,-0.4832073
-4.47,-4.022622568359375,-3.08674,-0.93588257
-7.17,-7.246216330566407,-6.12954,-1.1166763
-2.78,-3.066210554580689,-4.36373,1.2975194
3.43,3.1133190272140503,4.87378,-1.760461
-11.0,-11.13712577265501,-11.027,-0.11012577
-6.21,-5.480561242179871,-7.45533,1.9747688
-5.71,-7.897305280609132,-9.16167,1.2643647
-5.26,-5.3947766639328005,-4.11941,-1.2753667
-1.14,-1.0591030207538605,-1.21859,0.15948698
-2.4,-2.6948860979652403,-3.65181,0.9569239
-2.33,-1.980110849647522,-2.13828,0.15816915
2.38,2.3544094208240507,1.99285,0.36155942
-6.5,-2.849737642059326,-9.58076,6.7310224
-1.62,-1.2064765785102844,-0.783938,-0.42253858
-6.79,-5.705315954828262,-6.0964,0.39108405
-1.1,-1.630699716796875,-1.82824,0.19754028
-0.9,-1.2776660873794556,-1.62474,0.3470739
-3.52,-3.6501901017570493,-4.42939,0.7791999
-1.43,-1.0234037166786194,-1.41537,0.39196628
0.0,0.1328145255856514,0.166193,-0.033378474
1.47,1.9321923872947693,1.41845,0.5137424
-4.62,-4.118876226806641,-2.75965,-1.3592262
-2.38,-2.497606788005829,-2.83859,0.3409832
2.1,1.2123666174125671,1.86422,-0.6518534
-9.73,-9.775435346984864,-14.4769,4.7014647
-9.34,-8.961693712043761,-7.0233,-1.9383937
-10.0,-9.557795911273956,-8.86721,-0.6905859
-3.5,-3.3310529227828978,-4.48506,1.1540071
-4.61,-3.9066478738784793,-4.84475,0.9381021
-2.07,-2.2434525537872316,-2.91204,0.66858745
-0.33,-0.3481470518913865,-0.33592,-0.012227052
-0.9,-1.2405795991039277,-1.05546,-0.1851196
-2.7,-3.2653799824404715,-3.36853,0.10315002
1.83,1.4569037099647522,1.58483,-0.12792629
-3.9,-2.9444258008384705,-3.87304,0.9286142
-1.5,-1.1662884265208244,-1.21919,0.052901573
-6.6,-6.574975905418396,-5.06,-1.5149759
2.0,1.391189410352707,1.7034,-0.3122106
-7.0,-6.6080852970123285,-10.2434,3.6353147
-10.78,-12.709873665237428,-16.3334,3.6235263
-0.46,-0.5646565053367614,-1.27049,0.7058335
-10.17,-9.173431354599,-7.41383,-1.7596014
-2.75,-2.8290205675315856,-3.69162,0.86259943
3.16,2.2914644689369204,2.91848,-0.62701553
-10.21,-7.559041074371338,-10.9961,3.437059
-4.42,-4.142459014434815,-4.54452,0.402061
-2.56,-2.804752161636353,-4.44589,1.6411378
-9.51,-9.812167456626891,-8.1405,-1.6716675
-5.0,-4.622063346939087,-3.49758,-1.1244833
-14.21,-11.9645863986969,-14.8526,2.8880136
2.55,2.3065755035209654,2.45293,-0.1463545
-2.56,-3.305183394870758,-3.93896,0.6337766
-2.64,-3.2933616793823246,-4.44732,1.1539583
-5.22,-4.725756771240234,-4.45391,-0.27184677
-2.92,-3.0870924357509613,-3.39716,0.31006756
-4.5,-4.0087806898498535,-2.76389,-1.2448907
-1.66,-2.009997031036377,-0.987116,-1.022881
-11.85,-14.17607767791748,-16.8997,2.7236223
-4.1,-4.080262669925689,-4.35713,0.27686733
-7.66,-7.463803522071839,-5.90371,-1.5600935
-1.93,-2.2634436077022553,-2.62514,0.3616964
-3.28,-3.462048442287445,-4.24967,0.78762156
-1.36,-1.2347610555839539,-1.42337,0.18860894
-1.23,-1.3749427116775512,-1.06334,-0.3116027
0.25,-0.08322601791143416,-0.15377,0.07054398
-2.45,-2.418394944820404,-2.05691,-0.36148494
0.34,0.401633364730835,0.154981,0.24665236
-5.74,-10.31096591720581,-17.1026,6.791634
2.88,2.9098963927268984,2.28365,0.6262464
-4.52,-4.932200934181213,-4.74726,-0.18494093
-2.26,-2.163935103263855,-3.31809,1.1541549
2.56,2.5680387080192566,2.26505,0.3029887
-5.33,-4.365625437142849,-4.45569,0.09006456
-9.65,-8.488205513305665,-6.91532,-1.5728855
-0.78,-0.6265177826933861,-0.522718,-0.10379978
1.23,0.7818578329086303,1.6215,-0.83964217
-5.04,-4.378253790206909,-6.65232,2.2740662
-9.8,-9.366478220596314,-8.14114,-1.2253382
-18.72,-17.871246952819824,-18.2348,0.36355305
-10.64,-9.079894299316408,-6.17855,-2.9013443
-2.22,-2.2825005422401428,-2.90258,0.62007946
0.75,0.31432178665161126,1.18976,-0.8754382
-4.01,-4.522589340827465,-4.41646,-0.10612934
-3.68,-3.8358931607246403,-4.5269,0.69100684
-0.4,-0.16233080661201477,-0.412074,0.2497432
-3.37,-3.18355413482666,-2.15698,-1.0265741
-1.24,-1.4256136317253114,-2.152,0.72638637
-4.39,-3.9742956693649294,-2.5708,-1.4034957
-9.94,-9.645603867816925,-9.41755,-0.22805387
-6.13,-5.694991386375428,-4.28096,-1.4140314
-6.13,-6.176038327140808,-4.56342,-1.6126183
-6.09,-5.598193820381165,-7.55965,1.9614562
-3.71,-3.6617738793563843,-2.06332,-1.5984539
-4.69,-5.380943703098297,-4.80417,-0.5767737
