expt,physics_ml,physics,ml
-3.82,-3.6156395759582516,-10.084,6.4683604
-2.93,-2.3497907772064215,-5.664000000000001,3.3142092
-0.98,-0.6672802534103393,-1.884,1.2167197
-0.74,-0.6503937215805053,-2.347,1.6966063
-1.59,-0.994867021560669,-1.157,0.16213298
-3.75,-3.575846270561218,-4.779,1.2031537
-4.55,-4.688593177318573,-5.567,0.8784068
-2.73,-2.2338248167037964,-3.516,1.2821752
-0.53,-0.2952039670944213,-1.92,1.624796
-0.25,0.057774230480194144,-0.941,0.99877423
-5.48,-4.950252032279968,-3.6,-1.350252
2.51,2.4509540338516236,1.177,1.273954
-0.64,0.4050221242904663,0.054,0.35102212
-0.83,0.05841677093505848,-0.1260000000000001,0.18441677
-6.88,-5.858245138168334,-8.578999999999999,2.7207549
-3.64,-3.9877378332614892,-4.154999999999999,0.16726217
-4.84,-4.338701570987702,-4.9510000000000005,0.6122984
-5.22,-4.408672389984131,0.565,-4.9736724
-9.01,-9.105642560005188,-10.528,1.4223574
-0.83,-0.9183909492492679,-1.9830000000000003,1.064609
-0.68,0.31989040565490723,-1.373,1.6928904
-3.56,-3.120262799263001,-4.3100000000000005,1.1897372
-4.93,-4.513242594718934,-5.8420000000000005,1.3287574
-8.42,-9.008942459106443,-17.747999999999998,8.739058
-6.16,-5.734228194236755,-6.337999999999999,0.6037718
-2.23,-1.7877754802703851,-4.436999999999999,2.6492245
-0.53,-1.0996530365943908,-0.47,-0.62965304
-4.47,-3.905122340142727,-3.952,0.04687766
-7.17,-7.339895654678345,-4.476,-2.8638957
-2.78,-2.2704587554931637,-7.81,5.5395412
3.43,4.269037914276123,-1.05,5.319038
-11.0,-10.795452674865723,-13.534,2.7385473
-6.21,-5.949358554840089,-10.271,4.3216414
-5.71,-6.603649415969848,-10.415,3.8113506
-5.26,-5.1776336507797245,-5.908,0.73036635
-1.14,-0.8052363328933714,-2.143,1.3377637
-2.4,-2.0157189731597898,-4.938,2.922281
-2.33,-1.8173302404880525,-1.618,-0.19933024
2.38,2.265950942993164,1.201,1.064951
-6.5,-1.3344071960449213,-10.36,9.025593
-1.62,-1.3952593846321104,-0.4169999999999998,-0.9782594
-6.79,-6.241574173927307,-7.431,1.1894258
-1.1,-1.1163386888504028,-1.932,0.8156613
-0.9,-0.8632988805770876,-2.462,1.5987011
-3.52,-3.0854322109222414,-5.341,2.2555678
-1.43,-1.312839771747589,-1.914,0.6011602
0.0,0.23745626759529115,-0.238,0.47545627
1.47,1.4529251093864441,0.562,0.8909251
-4.62,-4.615922900676727,-3.734,-0.8819229
-2.38,-2.4030218057632444,-3.643,1.2399782
2.1,1.851427309036255,1.092,0.7594273
-9.73,-9.046354995727539,-14.286,5.239645
-9.34,-8.147425325393677,-5.558000000000001,-2.5894253
-10.0,-9.328442860126495,-10.138,0.80955714
-3.5,-2.7467238540649417,-6.937,4.190276
-4.61,-4.618956000328064,-5.757,1.138044
-2.07,-2.085048097610474,-5.094,3.008952
-0.33,-0.03837270545959459,-0.7229999999999999,0.6846273
-0.9,-0.7469174299240113,-1.491,0.74408257
-2.7,-2.5622298336029052,-4.96,2.3977702
1.83,2.188771237373352,0.8140000000000001,1.3747712
-3.9,-3.3519131345748905,-4.517,1.1650869
-1.5,-0.8952963986396785,-1.4539999999999995,0.5587036
-6.6,-6.507943514823914,-7.579000000000001,1.0710565
2.0,1.6779869689941407,0.939,0.73898697
-7.0,-6.675029289245606,-13.862,7.1869707
-10.78,-13.613104400634764,-22.31,8.696896
-0.46,0.29251894187927263,-2.058,2.350519
-10.17,-10.290668469905853,-10.994,0.70333153
-2.75,-1.9948552703857425,-7.735,5.7401447
3.16,2.6249745254516603,2.063,0.5619745
-10.21,-6.281583084106446,-14.964,8.682417
-4.42,-4.723540293931961,-5.131,0.4074597
-2.56,-2.060081848144531,-7.209,5.148918
-9.51,-8.612384658813477,-12.156,3.5436153
-5.0,-5.190569382190705,-4.6930000000000005,-0.49756938
-14.21,-13.148198602676391,-16.648,3.4998014
2.55,2.084222825050354,1.933,0.15122283
-2.56,-2.4248517360687254,-5.284,2.8591483
-2.64,-2.4853246288299564,-5.408,2.9226754
-5.22,-4.453815643310547,-5.292,0.83818436
-2.92,-2.8230536966323854,-4.378,1.5549463
-4.5,-4.04208492231369,-3.277,-0.7650849
-1.66,-1.6843962578773497,-1.4529999999999998,-0.23139626
-11.85,-10.878359252929688,-16.782,5.9036407
-4.1,-3.81913687324524,-6.191000000000001,2.3718631
-7.66,-7.205919051170348,-8.399999999999999,1.194081
-1.93,-2.2813132257461546,-3.897,1.6156868
-3.28,-3.0434317398071293,-5.23,2.1865683
-1.36,-0.766105498313904,-2.164,1.3978945
-1.23,-1.2122787306308744,-1.5259999999999998,0.31372127
