expt,physics_ml,physics,ml
-3.82,-4.687984249343872,-7.40799,2.7200058
-2.93,-3.0547286991500853,-4.61494,1.5602113
-0.98,-1.1960162491035462,-1.03292,-0.16309625
-0.74,-1.2865797478485108,-3.15843,1.8718503
-1.59,-1.2880302423906327,-1.07732,-0.21071024
-3.75,-3.3778912282466886,-3.77505,0.39715877
-4.55,-4.53360063495636,-5.87065,1.3370494
-2.73,-2.722203613643646,-2.41788,-0.3043236
-0.53,-1.0252934022903442,-2.7346,1.7093066
-0.25,-0.5418683617877961,-0.71708,0.17521164
-5.48,-4.709925369844437,-4.36136,-0.34856537
2.51,2.091490166797638,1.40514,0.68635017
-0.64,0.648353913269043,1.28346,-0.6351061
-0.83,-0.18024122125697137,-0.126202,-0.05403922
-6.88,-4.837524020500183,-6.78707,1.949546
-3.64,-3.1316640836143494,-3.56014,0.42847592
-4.84,-4.415623465957641,-4.16219,-0.25343347
-5.22,-2.795812300552368,0.758061,-3.5538733
-9.01,-8.128551106328963,-7.90712,-0.2214311
-0.83,-1.0564886899662018,-1.12182,0.06533131
-0.68,-0.47969990283370023,-0.52897,0.049270097
-3.56,-3.420331358175278,-3.07073,-0.34960136
-4.93,-4.587300311465263,-4.70552,0.11821969
-8.42,-10.617690032958983,-17.769,7.15131
-6.16,-5.776921580085754,-7.09326,1.3163384
-2.23,-2.0293883123779297,-3.54854,1.5191517
-0.53,-0.5149782447354794,-0.480758,-0.034220245
-4.47,-5.236332616157532,-4.35282,-0.8835126
-7.17,-7.480348544845581,-4.25126,-3.2290885
-2.78,-3.293882209701538,-5.86792,2.5740378
3.43,3.7959566546936037,0.254252,3.5417047
-11.0,-11.676599029159545,-11.1336,-0.542999
-6.21,-5.190728496551513,-11.8365,6.6457715
-5.71,-7.07258646736145,-8.60135,1.5287635
-5.26,-4.990011509094238,-5.99241,1.0023985
-1.14,-1.2429181690013409,-1.29576,0.05284183
-2.4,-2.5727345342254635,-4.12996,1.5572255
-2.33,-1.6646537719249725,-1.8648,0.20014623
2.38,1.6377075842809676,1.44952,0.18818758
-6.5,-2.0348255632019043,-9.71401,7.6791844
-1.62,-2.5828943126678467,0.120075,-2.7029693
-6.79,-6.690376408081055,-7.52273,0.8323536
-1.1,-1.0952883487701417,-1.8681,0.77281165
-0.9,-1.0066521982192993,-1.43665,0.4299978
-3.52,-3.5330710102844236,-4.39293,0.859859
-1.43,-1.3532712597942353,-0.99751,-0.35576126
0.0,0.01815772278118133,0.101348,-0.08319028
1.47,1.3450824970054627,1.07213,0.2729525
-4.62,-4.536117676725388,-4.35224,-0.18387768
-2.38,-3.2051917427444456,-2.95259,-0.25260174
2.1,1.3888172089099884,1.31365,0.07516721
-9.73,-11.06430245037079,-12.2162,1.1518975
-9.34,-7.943242676925659,-5.4432,-2.5000427
-10.0,-8.743211272101401,-8.58373,-0.15948127
-3.5,-3.394188366546631,-5.56639,2.1722016
-4.61,-4.142128552932739,-4.83052,0.68839145
-2.07,-1.940123623390198,-3.57202,1.6318964
-0.33,-0.5434036645841598,-0.47762,-0.065783665
-0.9,-1.0545941330547333,-0.799137,-0.25545713
-2.7,-2.8233238426971434,-3.34068,0.51735616
