expt,physics_ml,physics,ml
-3.82,-3.8910322904586794,0,-3.8910322904586794
-2.93,-3.079523229598999,0,-3.079523229598999
-0.98,-1.1790653496980668,0,-1.1790653496980668
-0.74,-0.9532532244920731,0,-0.9532532244920731
-1.59,-2.1250690490007402,0,-2.1250690490007402
-3.75,-3.564942789077759,0,-3.564942789077759
-4.55,-5.45402090549469,0,-5.45402090549469
-2.73,-1.8443458080291748,0,-1.8443458080291748
-0.53,-0.6078028470277786,0,-0.6078028470277786
-0.25,-0.09425608385354281,0,-0.09425608385354281
-5.48,-4.891599225997925,0,-4.891599225997925
2.51,2.5417548060417174,0,2.5417548060417174
-0.64,-1.023923820257187,0,-1.023923820257187
-0.83,-1.6354536175727845,0,-1.6354536175727845
-6.88,-6.794564938545227,0,-6.794564938545227
-3.64,-4.123242819309235,0,-4.123242819309235
-4.84,-4.477163672447205,0,-4.477163672447205
-5.22,-4.514103949069977,0,-4.514103949069977
-9.01,-9.275133609771729,0,-9.275133609771729
-0.83,-0.9102017283439636,0,-0.9102017283439636
-0.68,-0.6906938005238772,0,-0.6906938005238772
-3.56,-3.646101474761963,0,-3.646101474761963
-4.93,-4.798682427406311,0,-4.798682427406311
-8.42,-8.864283323287964,0,-8.864283323287964
-6.16,-5.708193778991699,0,-5.708193778991699
-2.23,-2.502453547716141,0,-2.502453547716141
-0.53,-1.3048764437437057,0,-1.3048764437437057
-4.47,-3.8348414301872253,0,-3.8348414301872253
-7.17,-7.057037997245788,0,-7.057037997245788
-2.78,-3.312414586544037,0,-3.312414586544037
3.43,2.555363970994949,0,2.555363970994949
-11.0,-10.913611841201782,0,-10.913611841201782
-6.21,-6.184859085083008,0,-6.184859085083008
-5.71,-4.009899115562439,0,-4.009899115562439
-5.26,-5.121119952201843,0,-5.121119952201843
-1.14,-1.252748230099678,0,-1.252748230099678
-2.4,-2.1575633943080903,0,-2.1575633943080903
-2.33,-1.8854396879673003,0,-1.8854396879673003
2.38,2.447976791858673,0,2.447976791858673
-6.5,-5.740630364418029,0,-5.740630364418029
-1.62,-1.6884814381599427,0,-1.6884814381599427
-6.79,-6.410306286811829,0,-6.410306286811829
-1.1,-1.538541954755783,0,-1.538541954755783
-0.9,-1.0029703468084334,0,-1.0029703468084334
-3.52,-3.4685556888580322,0,-3.4685556888580322
-1.43,-1.241316768527031,0,-1.241316768527031
0.0,0.28180109430104494,0,0.28180109430104494
1.47,1.5229507863521576,0,1.5229507863521576
-4.62,-4.610928225517273,0,-4.610928225517273
-2.38,-2.037336474657059,0,-2.037336474657059
2.1,2.4612064719200135,0,2.4612064719200135
-9.73,-9.882919549942017,0,-9.882919549942017
-9.34,-7.409747052192688,0,-7.409747052192688
-10.0,-9.992384958267213,0,-9.992384958267213
-3.5,-3.645067048072815,0,-3.645067048072815
-4.61,-4.472221004962921,0,-4.472221004962921
-2.07,-2.291359567642212,0,-2.291359567642212
-0.33,-0.2850098215043545,0,-0.2850098215043545
-0.9,-0.7756098836660386,0,-0.7756098836660386
-2.7,-2.472459387779236,0,-2.472459387779236
1.83,2.075497233867645,0,2.075497233867645
-3.9,-3.692744195461273,0,-3.692744195461273
-1.5,-1.0760865166783333,0,-1.0760865166783333
-6.6,-6.580916047096252,0,-6.580916047096252
2.0,2.316918659210205,0,2.316918659210205
-7.0,-7.6494606018066404,0,-7.6494606018066404
-10.78,-9.975244045257568,0,-9.975244045257568
-0.46,-0.4448087692260742,0,-0.4448087692260742
-10.17,-9.325304126739502,0,-9.325304126739502
-2.75,-2.9225221395492555,0,-2.9225221395492555
3.16,2.3429755568504333,0,2.3429755568504333
-10.21,-9.47884111404419,0,-9.47884111404419
-4.42,-4.1840632319450375,0,-4.1840632319450375
-2.56,-2.9585496187210083,0,-2.9585496187210083
-9.51,-9.083047533035279,0,-9.083047533035279
-5.0,-5.094117116928101,0,-5.094117116928101
-14.21,-12.362833213806152,0,-12.362833213806152
2.55,2.0414057970046997,0,2.0414057970046997
-2.56,-2.682836151123047,0,-2.682836151123047
-2.64,-2.7457788705825807,0,-2.7457788705825807
-5.22,-4.749760460853577,0,-4.749760460853577
-2.92,-3.341402268409729,0,-3.341402268409729
-4.5,-4.44509334564209,0,-4.44509334564209
-1.66,-1.6295211136341095,0,-1.6295211136341095
-11.85,-10.96081280708313,0,-10.96081280708313
-4.1,-4.534281623363495,0,-4.534281623363495
-7.66,-7.6288978099823,0,-7.6288978099823
-1.93,-1.819792267680168,0,-1.819792267680168
-3.28,-3.2202611207962035,0,-3.2202611207962035
-1.36,-1.4779782712459564,0,-1.4779782712459564
-1.23,-1.4222935438156128,0,-1.4222935438156128
0.25,-0.2071565805003047,0,-0.2071565805003047
-2.45,-3.234547519683838,0,-3.234547519683838
0.34,0.19356681052595373,0,0.19356681052595373
-5.74,-6.860606098175049,0,-6.860606098175049
2.88,2.5543535947799683,0,2.5543535947799683
-4.52,-4.535243630409241,0,-4.535243630409241
-2.26,-2.3592306852340696,0,-2.3592306852340696
2.56,2.5181361198425294,0,2.5181361198425294
-5.33,-3.9765003085136414,0,-3.9765003085136414
-9.65,-8.725720381736755,0,-8.725720381736755
-0.78,-1.0651635259389878,0,-1.0651635259389878
1.23,2.052489000558853,0,2.052489000558853
-5.04,-4.781715202331543,0,-4.781715202331543
-9.8,-8.627934885025024,0,-8.627934885025024
-18.72,-17.871741199493407,0,-17.871741199493407
-10.64,-10.030754947662354,0,-10.030754947662354
-2.22,-2.282157391309738,0,-2.282157391309738
0.75,1.6225710302591323,0,1.6225710302591323
-4.01,-4.5674901604652405,0,-4.5674901604652405
-3.68,-3.504845345020294,0,-3.504845345020294
-0.4,-0.34440825767815114,0,-0.34440825767815114
-3.37,-3.495323669910431,0,-3.495323669910431
-1.24,-1.3281139761209488,0,-1.3281139761209488
-4.39,-4.493310737609863,0,-4.493310737609863
-9.94,-9.868552350997925,0,-9.868552350997925
-6.13,-6.383508419990539,0,-6.383508419990539
-6.13,-6.515784406661988,0,-6.515784406661988
-6.09,-6.051516342163086,0,-6.051516342163086
-3.71,-3.928991746902466,0,-3.928991746902466
-4.69,-4.684700441360474,0,-4.684700441360474
