expt,physics_ml,physics,ml
-3.82,-3.983569622039795,0,-3.9835696
-2.93,-3.0436785221099854,0,-3.0436785
-0.98,-1.007161021232605,0,-1.007161
-0.74,-0.8989436030387878,0,-0.8989436
-1.59,-2.268601894378662,0,-2.268602
-3.75,-3.37178373336792,0,-3.3717837
-4.55,-5.637218952178955,0,-5.637219
-2.73,-1.9968056678771973,0,-1.9968057
-0.53,-0.6385729908943176,0,-0.638573
-0.25,-0.01512468233704567,0,-0.015124682
-5.48,-4.923560619354248,0,-4.9235606
2.51,2.542562961578369,0,2.542563
-0.64,-1.2085914611816406,0,-1.2085915
-0.83,-1.8144069910049438,0,-1.814407
-6.88,-7.660806179046631,0,-7.660806
-3.64,-4.431488513946533,0,-4.4314885
-4.84,-3.8326222896575928,0,-3.8326223
-5.22,-5.0288543701171875,0,-5.0288544
-9.01,-8.795849800109863,0,-8.79585
-0.83,-1.062290906906128,0,-1.0622909
-0.68,-0.7043662667274475,0,-0.70436627
-3.56,-3.872776508331299,0,-3.8727765
-4.93,-4.256771564483643,0,-4.2567716
-8.42,-8.939299583435059,0,-8.9393
-6.16,-5.5007405281066895,0,-5.5007405
-2.23,-2.2506675720214844,0,-2.2506676
-0.53,-1.6575430631637573,0,-1.6575431
-4.47,-4.248829364776611,0,-4.2488294
-7.17,-6.8960723876953125,0,-6.8960724
-2.78,-3.3538239002227783,0,-3.353824
3.43,2.5365045070648193,0,2.5365045
-11.0,-11.388895988464355,0,-11.388896
-6.21,-6.494652271270752,0,-6.4946523
-5.71,-3.9103503227233887,0,-3.9103503
-5.26,-5.0422444343566895,0,-5.0422444
-1.14,-1.3941338062286377,0,-1.3941338
-2.4,-1.726751446723938,0,-1.7267514
-2.33,-1.6604177951812744,0,-1.6604178
2.38,2.2960593700408936,0,2.2960594
-6.5,-5.530806541442871,0,-5.5308065
-1.62,-1.6982090473175049,0,-1.698209
-6.79,-7.617696762084961,0,-7.617697
-1.1,-1.4812006950378418,0,-1.4812007
-0.9,-0.9829656481742859,0,-0.98296565
-3.52,-3.48573899269104,0,-3.485739
-1.43,-1.2157881259918213,0,-1.2157881
0.0,0.4624113142490387,0,0.4624113
1.47,1.6568167209625244,0,1.6568167
-4.62,-4.871510982513428,0,-4.871511
-2.38,-2.3469343185424805,0,-2.3469343
2.1,2.3642091751098633,0,2.3642092
-9.73,-9.977897644042969,0,-9.977898
-9.34,-8.32321834564209,0,-8.323218
-10.0,-10.461402893066406,0,-10.461403
-3.5,-3.350595474243164,0,-3.3505955
-4.61,-4.43844747543335,0,-4.4384475
-2.07,-2.249340534210205,0,-2.2493405
-0.33,-0.1868000477552414,0,-0.18680005
-0.9,-1.141066312789917,0,-1.1410663
-2.7,-2.743314266204834,0,-2.7433143
1.83,2.3720083236694336,0,2.3720083
-3.9,-3.632993221282959,0,-3.6329932
-1.5,-0.8989751935005188,0,-0.8989752
-6.6,-6.915159702301025,0,-6.9151597
2.0,2.3727505207061768,0,2.3727505
-7.0,-7.682734966278076,0,-7.682735
-10.78,-10.623116493225098,0,-10.6231165
-0.46,-0.22309814393520355,0,-0.22309814
-10.17,-9.221556663513184,0,-9.221557
-2.75,-2.530466079711914,0,-2.530466
3.16,2.2403972148895264,0,2.2403972
-10.21,-9.591287612915039,0,-9.591288
-4.42,-4.366292476654053,0,-4.3662925
-2.56,-3.0338218212127686,0,-3.0338218
-9.51,-9.610230445861816,0,-9.61023
-5.0,-5.52678108215332,0,-5.526781
-14.21,-12.552639961242676,0,-12.55264
2.55,2.0096898078918457,0,2.0096898
-2.56,-2.2634644508361816,0,-2.2634645
-2.64,-2.384155750274658,0,-2.3841558
-5.22,-3.829380989074707,0,-3.829381
-2.92,-2.80944561958313,0,-2.8094456
-4.5,-4.874995708465576,0,-4.8749957
-1.66,-1.2900753021240234,0,-1.2900753
-11.85,-11.492560386657715,0,-11.49256
-4.1,-4.590240955352783,0,-4.590241
-7.66,-7.706053256988525,0,-7.7060533
-1.93,-2.0390236377716064,0,-2.0390236
-3.28,-3.134592056274414,0,-3.134592
-1.36,-1.7976207733154297,0,-1.7976208
-1.23,-1.3162295818328857,0,-1.3162296
0.25,-0.5309139490127563,0,-0.53091395
-2.45,-2.7290544509887695,0,-2.7290545
0.34,0.12519536912441254,0,0.12519537
-5.74,-7.146354675292969,0,-7.1463547
2.88,2.4389190673828125,0,2.438919
-4.52,-4.450769901275635,0,-4.45077
-2.26,-2.011413097381592,0,-2.011413
2.56,2.34552264213562,0,2.3455226
-5.33,-4.438086986541748,0,-4.438087
-9.65,-9.240586280822754,0,-9.240586
-0.78,-0.9911263585090637,0,-0.99112636
1.23,1.8382408618927002,0,1.8382409
-5.04,-3.7846102714538574,0,-3.7846103
