expt,physics_ml,physics,ml
-3.82,-3.851846067428589,-5.442,1.5901539
-2.93,-2.7531977791786195,-3.652,0.8988022
-0.98,-0.8744826769828796,-0.11,-0.7644827
-0.74,-0.6608976747989654,-0.609,-0.051897675
-1.59,-1.6122839016914368,-0.617,-0.9952839
-3.75,-3.273893136024475,-3.344,0.070106864
-4.55,-4.245332924842835,-3.317,-0.9283329
-2.73,-2.454567861557007,-1.325,-1.1295679
-0.53,-0.22569582986831666,-0.443,0.21730417
-0.25,0.11781823205947872,0.833,-0.71518177
-5.48,-5.213357300758362,-4.345,-0.8683573
2.51,3.0114765939712522,2.506,0.5054766
-0.64,-0.29490922927856444,0.885,-1.1799092
-0.83,-0.5028999433517456,0.139,-0.64189994
-6.88,-6.616670743107796,-6.588,-0.028670743
-3.64,-3.6117878417968754,-4.573,0.96121216
-4.84,-4.387552541732788,-2.869,-1.5185525
-5.22,-5.66987474822998,-1.284,-4.3858747
-9.01,-9.077900206327438,-8.718,-0.3599002
-0.83,-0.6091809899806976,-0.697,0.08781901
-0.68,-0.5165878233909607,-0.456,-0.060587823
-3.56,-3.620810296535492,-3.59,-0.030810297
-4.93,-4.684517210006714,-3.343,-1.3415172
-8.42,-9.214476039886474,-13.953,4.738524
-6.16,-6.330427644729614,-5.148,-1.1824276
-2.23,-1.7295137443542479,-2.929,1.1994863
-0.53,-0.7722324995994567,-0.178,-0.5942325
-4.47,-4.059230161190033,-3.288,-0.77123016
-7.17,-6.817637208461761,-6.116,-0.7016372
-2.78,-2.6724253921508785,-4.028,1.3555746
3.43,3.822346486568451,3.077,0.7453465
-11.0,-10.907660841464997,-10.412,-0.49566084
-6.21,-5.464852073669434,-7.878,2.413148
-5.71,-7.453612478256225,-8.683,1.2293875
-5.26,-5.0579560713768,-4.308,-0.7499561
-1.14,-0.7556974093914032,-0.473,-0.2826974
-2.4,-2.0078006782531737,-3.304,1.2961993
-2.33,-2.2976898193359374,-1.275,-1.0226898
2.38,2.5705141389369963,2.59,-0.019485861
-6.5,-4.82685906791687,-7.024,2.197141
-1.62,-1.875651039123535,0.136,-2.011651
-6.79,-6.526792316436768,-5.28,-1.2467923
-1.1,-1.1979623622894287,-0.182,-1.0159624
-0.9,-0.7192005598545075,-0.79,0.07079944
-3.52,-3.2393177363872527,-3.166,-0.07331774
-1.43,-1.226930061340332,-0.091,-1.1359301
0.0,0.13238748168945302,1.261,-1.1286125
1.47,1.716574429035187,2.486,-0.7694256
-4.62,-4.338097591400146,-3.145,-1.1930976
-2.38,-2.0795085279941556,-1.853,-0.22650853
2.1,2.35360053229332,2.588,-0.23439947
-9.73,-9.706634231567383,-14.496,4.789366
-9.34,-8.784253035068513,-7.873,-0.91125304
-10.0,-9.732507205963135,-8.276,-1.4565072
-3.5,-3.572419336557388,-3.372,-0.20041934
-4.61,-3.7485624127388,-3.043,-0.7055624
-2.07,-2.221813921689987,-2.336,0.11418608
-0.33,-0.2670009632110596,0.973,-1.240001
-0.9,-0.6739636330604554,-0.553,-0.12096363
-2.7,-2.3305831484794615,-3.143,0.81241685
1.83,1.8022676372528075,2.465,-0.66273236
-3.9,-4.403523215532303,-4.003,-0.40052322
-1.5,-0.9497112407684326,0.386,-1.3357112
-6.6,-6.200253529071808,-5.707,-0.49325353
2.0,2.1019427132606507,2.495,-0.3930573
-7.0,-6.253564483642577,-10.857,4.6034355
-10.78,-12.483675853729249,-17.242,4.758324
-0.46,-0.37132145595550536,-0.492,0.120678544
-10.17,-9.715191497802735,-8.39,-1.3251915
-2.75,-2.6038290548324583,-3.155,0.55117095
3.16,3.138141474723816,3.335,-0.19685853
-10.21,-7.479389785766601,-12.199,4.71961
-4.42,-3.8692097067832947,-4.625,0.7557903
-2.56,-2.529879228591919,-3.867,1.3371208
-9.51,-9.081629309654236,-9.785,0.7033707
-5.0,-5.060141748428345,-3.394,-1.6661417
-14.21,-14.365226947307587,-13.599,-0.76622695
2.55,2.3823900995254514,2.381,0.0013900995
-2.56,-2.5393373532295227,-3.492,0.95266265
-2.64,-2.7590387282371522,-3.406,0.6469613
-5.22,-5.116020465850831,-3.201,-1.9150205
-2.92,-3.035794172525406,-2.704,-0.33179417
-4.5,-4.192360740661622,-3.156,-1.0363607
-1.66,-1.5577314000129698,-0.598,-0.9597314
-11.85,-12.50683274459839,-15.252,2.7451673
-4.1,-4.473408782958984,-3.238,-1.2354088
