expt,physics_ml,physics,ml
-3.82,-4.025002948760987,-8.342,4.316997
-2.93,-2.511062660217285,-4.915,2.4039373
-0.98,-1.2226075029373171,-0.5100000000000002,-0.7126075
-0.74,-0.33439586257934595,-1.7760000000000002,1.4416041
-1.59,-1.1080695667266847,-0.3540000000000001,-0.75406957
-3.75,-3.4153363938331602,-3.437,0.021663606
-4.55,-4.463328085899353,-3.886,-0.5773281
-2.73,-2.3467964782714845,-2.164,-0.18279648
-0.53,-0.29680384969711326,-1.1310000000000002,0.83419615
-0.25,0.09087426948547342,-0.1470000000000002,0.23787427
-5.48,-4.938245943069458,-2.5780000000000003,-2.360246
2.51,2.3962750598192213,2.514,-0.11772494
-0.64,-0.6387519893646241,2.819,-3.457752
-0.83,0.13668967914581298,1.117,-0.9803103
-6.88,-7.587496604442597,-7.502000000000001,-0.085496604
-3.64,-3.345609798192978,-3.096,-0.2496098
-4.84,-4.4864895687103274,-3.836,-0.65048957
-5.22,-4.7664828262329095,2.454,-7.220483
-9.01,-8.873564359664918,-8.097000000000001,-0.77656436
-0.83,-1.2936327648162842,-0.395,-0.89863276
-0.68,-0.3550724172592164,0.3349999999999999,-0.6900724
-3.56,-2.843027905225754,-2.3600000000000003,-0.4830279
-4.93,-4.703690003871918,-4.612,-0.091690004
-8.42,-6.39026254272461,-15.736,9.345737
-6.16,-5.725415891647339,-4.644,-1.0814159
-2.23,-2.605850510597229,-3.18,0.5741495
-0.53,-0.6738765201568606,0.5789999999999997,-1.2528765
-4.47,-3.624467594623566,-2.9200000000000004,-0.7044676
-7.17,-7.627417362213135,-4.813000000000001,-2.8144174
-2.78,-3.0701368789672854,-6.998,3.9278631
3.43,2.695919437408447,0.92,1.7759194
-11.0,-10.877703680038453,-13.089,2.2112963
-6.21,-5.953748430252075,-9.289,3.3352516
-5.71,-5.753471548080444,-9.407,3.6535285
-5.26,-5.511984790802002,-4.414,-1.0979848
-1.14,-1.5415975332260135,-0.6750000000000003,-0.86659753
-2.4,-2.650541633605957,-3.919,1.2684584
-2.33,-1.80329475402832,-0.5999999999999996,-1.2032948
2.38,2.261732400417328,2.551,-0.2892676
-6.5,-6.189756404876707,-10.986999999999998,4.7972436
-1.62,-2.8560021095275876,1.2070000000000003,-4.063002
-6.79,-6.250750430583954,-5.371,-0.87975043
-1.1,-1.5728635187149047,-1.162,-0.41086352
-0.9,-1.4690949940681457,-0.815,-0.654095
-3.52,-3.0761332836151123,-4.359,1.2828667
-1.43,-1.0568411293029785,-0.0689999999999999,-0.9878411
0.0,0.13021295213699347,1.064,-0.93378705
1.47,1.1015043811798098,2.083,-0.9814956
-4.62,-4.124614744186401,-2.405,-1.7196147
-2.38,-2.393255883216858,-2.106,-0.28725588
2.1,1.7242444853782652,2.348,-0.6237555
-9.73,-9.944368089675903,-13.664,3.719632
-9.34,-7.831918645858765,-5.351,-2.4809186
-10.0,-9.379086655855179,-9.663,0.28391334
-3.5,-3.6058726806640635,-6.277000000000001,2.6711273
-4.61,-5.14333411026001,-4.9830000000000005,-0.16033411
-2.07,-1.7585347251892092,-3.333,1.5744653
-0.33,-0.3991711511611937,0.1360000000000001,-0.53517115
-0.9,-1.4196571197509766,0.0409999999999999,-1.4606571
-2.7,-3.0050108156204223,-3.021,0.015989184
1.83,1.7042751035094261,1.76,-0.055724896
-3.9,-3.6485054621696476,-3.2510000000000003,-0.39750546
-1.5,-0.9178059432506558,-0.4909999999999996,-0.42680594
-6.6,-6.437551556110382,-6.148,-0.28955156
2.0,1.793543007850647,2.053,-0.259457
-7.0,-7.049300697326661,-12.178,5.1286993
-10.78,-11.231012794494628,-20.947,9.715987
-0.46,-0.8311240077018738,-1.375,0.543876
-10.17,-9.698116510868072,-10.456,0.7578835
-2.75,-2.845844310760498,-6.869,4.0231557
3.16,2.848482629776001,4.122,-1.2735174
-10.21,-10.186378616333007,-13.469,3.2826214
-4.42,-5.0692096014022825,-5.502,0.4327904
-2.56,-2.3565870399475095,-6.337,3.980413
-9.51,-9.501067840576171,-11.187,1.6859322
-5.0,-5.401526979446411,-3.754,-1.647527
-14.21,-14.33571077775955,-15.301999999999998,0.9662892
2.55,2.1740847091674804,3.698,-1.5239153
-2.56,-3.097028173446656,-4.239000000000001,1.1419718
-2.64,-3.5478408508300774,-4.667999999999999,1.1201591
-5.22,-4.821635140895844,-4.1770000000000005,-0.64463514
