expt,physics_ml,physics,ml
-3.82,-4.072400356559753,-5.70653,1.6341296
-2.93,-2.6396382071304325,-4.29168,1.6520418
-0.98,-0.9976517152228356,-0.999704,0.0020522848
-0.74,-0.5976949890708922,-1.27761,0.679915
-1.59,-1.2552689516563416,-0.719727,-0.53554195
-3.75,-3.640956351604462,-4.06934,0.42838365
-4.55,-4.785469984550476,-3.02802,-1.75745
-2.73,-2.8639827091693877,-2.63325,-0.23073271
-0.53,-0.2677336332092285,-0.940476,0.67274237
-0.25,0.24028055309677127,-0.471056,0.71133655
-5.48,-5.140842477302551,-3.16298,-1.9778625
2.51,2.817614283905029,1.94086,0.8767543
-0.64,-0.43467428065633773,-0.443376,0.008701719
-0.83,-0.8490281701911926,0.0773561,-0.92638427
-6.88,-6.270822151434421,-6.14795,-0.12287215
-3.64,-3.874336281318665,-5.01902,1.1446837
-4.84,-4.581764190015793,-4.40906,-0.17270419
-5.22,-5.254865388031005,-2.18137,-3.0734954
-9.01,-8.950046448574065,-9.73036,0.78031355
-0.83,-1.1550987226009368,-1.44315,0.28805128
-0.68,-0.6655602857837677,-0.835526,0.16996571
-3.56,-3.2665973465156557,-2.86147,-0.40512735
-4.93,-4.7475373200726505,-4.65612,-0.09141732
-8.42,-8.128884422302246,-12.837,4.7081156
-6.16,-6.115726282997131,-4.45142,-1.6643063
-2.23,-1.9403163340377807,-3.55178,1.6114637
-0.53,-0.5583391103683472,-0.0964986,-0.4618405
-4.47,-4.239790065040588,-3.08674,-1.1530501
-7.17,-6.253217246272564,-6.12954,-0.123677246
-2.78,-2.3858912453460697,-4.36373,1.9778388
3.43,3.655784714012146,4.87378,-1.2179953
-11.0,-10.421239485263824,-11.027,0.6057605
-6.21,-5.67742620475769,-7.45533,1.7779038
-5.71,-7.04248455230713,-9.16167,2.1191854
-5.26,-5.255859933052063,-4.11941,-1.1364499
-1.14,-0.9220580545330048,-1.21859,0.29653195
-2.4,-2.1288454032516477,-3.65181,1.5229646
-2.33,-2.1770799191880226,-2.13828,-0.03879992
2.38,2.5244376007080076,1.99285,0.5315876
-6.5,-3.8280687310791013,-9.58076,5.7526913
-1.62,-1.262775788105011,-0.783938,-0.4788378
-6.79,-6.721307910823822,-6.0964,-0.6249079
-1.1,-1.2006472575569154,-1.82824,0.62759274
-0.9,-1.2253923370742799,-1.62474,0.39934766
-3.52,-3.269691752090454,-4.42939,1.1596982
-1.43,-1.248275501127243,-1.41537,0.1670945
0.0,0.3761520599536896,0.166193,0.20995906
1.47,1.7892671844482422,1.41845,0.37081718
-4.62,-4.553260572814942,-2.75965,-1.7936106
-2.38,-2.335133049812317,-2.83859,0.50345695
2.1,2.324417478532791,1.86422,0.46019748
-9.73,-9.644394297027588,-14.4769,4.8325057
-9.34,-9.124288149642943,-7.0233,-2.1009881
-10.0,-9.310549407444,-8.86721,-0.4433394
-3.5,-3.021233343658447,-4.48506,1.4638267
-4.61,-4.426707519054413,-4.84475,0.41804248
-2.07,-2.100272243061066,-2.91204,0.81176776
-0.33,-0.1408261894416809,-0.33592,0.19509381
-0.9,-1.0165022775149346,-1.05546,0.038957722
-2.7,-2.7015083678054808,-3.36853,0.66702163
1.83,2.049281402425766,1.58483,0.4644514
-3.9,-3.455036113061905,-3.87304,0.4180039
-1.5,-1.4463121578121185,-1.21919,-0.22712216
-6.6,-6.259018239974975,-5.06,-1.1990182
2.0,2.3144342741012576,1.7034,0.6110343
-7.0,-5.528637312316894,-10.2434,4.7147627
-10.78,-11.619461763763429,-16.3334,4.713938
-0.46,-0.5318531486892699,-1.27049,0.73863685
-10.17,-9.67051740272522,-7.41383,-2.2566874
-2.75,-2.9477709013175963,-3.69162,0.7438491
3.16,3.190813949804306,2.91848,0.27233395
-10.21,-10.155584446048737,-10.9961,0.84051555
-4.42,-4.476790720601082,-4.54452,0.06772928
-2.56,-2.6795295978927616,-4.44589,1.7663604
-9.51,-10.396687200546264,-8.1405,-2.2561872
-5.0,-4.913332053260803,-3.49758,-1.415752
-14.21,-14.231196246242524,-14.8526,0.62140375
2.55,2.7169115807342528,2.45293,0.26398158
-2.56,-2.2541554412460325,-3.93896,1.6848046
-2.64,-2.383950249023438,-4.44732,2.0633698
-5.22,-5.009548253688812,-4.45391,-0.55563825
-2.92,-3.0480405453777313,-3.39716,0.34911945
-4.5,-4.4509089905166626,-2.76389,-1.687019
-1.66,-1.5475965350303649,-0.987116,-0.56048054
-11.85,-11.489054515075683,-16.8997,5.4106455
-4.1,-3.955331751708984,-4.35713,0.40179825
-7.66,-7.414577714881897,-5.90371,-1.5108677
-1.93,-1.8998750335121155,-2.62514,0.72526497
-3.28,-3.092087359352112,-4.24967,1.1575826
-1.36,-1.1368383430194855,-1.42337,0.28653166
-1.23,-1.255639723625183,-1.06334,-0.19229972
0.25,0.2679392394828797,-0.15377,0.42170924
-2.45,-3.0147371508216856,-2.05691,-0.95782715
0.34,0.379504663520813,0.154981,0.22452366
-5.74,-8.897343537902831,-17.1026,8.205256
2.88,2.7972397994041445,2.28365,0.5135898
-4.52,-4.605488653669357,-4.74726,0.14177135
-2.26,-1.2556827448272707,-3.31809,2.0624073
2.56,2.8501954734802246,2.26505,0.5851455
-5.33,-5.149342868270874,-4.45569,-0.69365287
-9.65,-9.153210958786012,-6.91532,-2.237891
-0.78,-0.6950173552684784,-0.522718,-0.17229936
1.23,1.483130380153656,1.6215,-0.13836962
-5.04,-4.856302353210449,-6.65232,1.7960176
-9.8,-9.082683757915497,-8.14114,-0.94154376
-18.72,-18.19582276816964,-18.2348,0.03897723
-10.64,-8.435353750991823,-6.17855,-2.2568038
-2.22,-2.415240652399063,-2.90258,0.48733935
0.75,1.0513904397583007,1.18976,-0.13836956
-4.01,-4.268974773607254,-4.41646,0.14748523
-3.68,-3.705439395332337,-4.5269,0.8214606
-0.4,-0.1763005260219574,-0.412074,0.23577347
-3.37,-3.351117096405029,-2.15698,-1.1941371
-1.24,-1.2469203968048097,-2.152,0.9050796
-4.39,-4.325094991493225,-2.5708,-1.754295
-9.94,-9.506614218103886,-9.41755,-0.08906422
-6.13,-6.538031256637574,-4.28096,-2.2570713
-6.13,-6.820657195968628,-4.56342,-2.2572372
-6.09,-5.636955674552918,-7.55965,1.9226943
-3.71,-3.723228652305603,-2.06332,-1.6599087
-4.69,-5.032739954633713,-4.80417,-0.22856995
-3.78,-3.6079284129977225,-3.55265,-0.055278413
-1.4,-1.323338466720581,-2.35133,1.0279915
1.16,1.196394423210144,0.988937,0.20745742
-1.08,-0.8855738273544311,-0.666442,-0.21913183
-4.31,-4.048369789485932,-3.20438,-0.8439898
-6.69,-6.514175377426147,-8.97106,2.4568846
-0.85,-0.90902746635437,-1.34506,0.43603253
-7.65,-8.396350505065918,-13.5122,5.1158495
-0.9,-0.5150772743606566,-1.75629,1.2412127
2.93,3.0724546569061277,2.63907,0.43338466
-2.93,-2.875923054227829,-2.99426,0.118336946
-11.14,-10.745115913772583,-13.9969,3.251784
-4.85,-4.406846999664307,-3.33427,-1.072577
-5.91,-6.279418952598572,-4.30714,-1.972279
-3.64,-3.5271378954315185,-2.09909,-1.4280479
2.88,2.880613216972351,2.5646,0.31601322
-4.91,-5.370322284507751,-7.0248,1.6544777
-0.86,-0.8882052576923369,-1.18579,0.29758474
-5.53,-5.453667868614197,-6.689,1.2353321
-9.41,-9.48339803314209,-14.251,4.767602
-4.95,-5.157651741676331,-5.50793,0.35027826
0.14,0.47424624099779134,0.532738,-0.05849176
-7.78,-8.01138135181427,-9.22536,1.2139786
-1.92,-2.065476550674439,-5.60085,3.5353734
-2.01,-1.8206923911209105,-0.920562,-0.9001304
-3.17,-3.418620337638855,-2.31716,-1.1014603
-6.23,-6.044173694076538,-3.60869,-2.4354837
-2.64,-2.5718701979351044,-2.97567,0.4037998
-4.04,-4.503012134437561,-5.70588,1.2028679
-0.11,-0.34522347330093384,-1.13449,0.7892665
-16.92,-17.157525217533113,-17.5375,0.37997478
-3.88,-3.7366757285308836,-2.30847,-1.4282057
-3.12,-2.5849877727890016,-1.46084,-1.1241478
-1.74,-1.2024272848033906,-1.37084,0.16841272
-3.92,-3.804118812294006,-2.26997,-1.5341488
-1.21,-1.1400652218341827,-1.2888,0.14873478
-4.7,-4.16658983669281,-6.00335,1.8367602
-5.94,-6.351222245368957,-5.00766,-1.3435622
-0.23,-0.20947754426956178,-1.05596,0.84648246
-2.11,-1.090182197303772,-2.93872,1.8485378
-4.09,-3.862127628326416,-2.43375,-1.4283776
-8.11,-8.207449821472167,-5.76025,-2.4471998
-4.91,-4.400776265516281,-4.80414,0.40336373
-3.28,-3.1226741389656065,-2.54119,-0.58148414
-2.28,-1.7208025106048583,-3.40136,1.6805575
2.06,2.280580185995102,1.93711,0.3434702
-2.82,-2.6144574869537354,-2.41459,-0.19986749
-1.24,-1.2382409478092193,-1.56209,0.32384905
-0.19,-0.1168080521965027,-1.01339,0.89658195
-2.89,-3.019867956752777,-3.72112,0.70125204
-8.84,-8.580417112464906,-9.68762,1.1072029
-1.66,-1.6196980092263222,-1.57366,-0.04603801
-7.28,-7.4447518982124326,-8.42742,0.9826681
-4.7,-4.488168724784851,-4.89176,0.40359128
-3.92,-3.6611524217605593,-5.28305,1.6218976
-4.02,-4.227572501487732,-5.96932,1.7417475
-3.64,-3.174469697036743,-5.18154,2.0070703
-4.15,-4.0508203684616095,-2.18143,-1.8693904
-1.24,-1.304462293946743,-1.3634,0.058937706
-3.13,-3.074604390525818,-4.87465,1.8000456
-0.84,-0.7717616963005065,-1.22921,0.4574483
-2.74,-2.528306864814758,-3.10058,0.57227314
